bowler,overs,runs,maidens,wicket,econrate,date,team2,winner,result,venue
A Flintoff,2,25,0,0,12.5,2014-12-21,Brisbane Heat,Sydney Thunder,0,Stadium Australia
A Flintoff,4,41,0,2,10.25,2014-12-28,Melbourne Stars,Brisbane Heat,0,"Brisbane Cricket Ground, Woolloongabba"
A Flintoff,2,28,0,1,14.0,2015-01-02,Brisbane Heat,Hobart Hurricanes,0,Bellerive Oval
A Flintoff,1,18,0,0,18.0,2015-01-08,Brisbane Heat,Perth Scorchers,0,Western Australia Cricket Association Ground
A Flintoff,1,10,0,0,10.0,2015-01-11,Sydney Sixers,Sydney Sixers,0,"Brisbane Cricket Ground, Woolloongabba"
A Flintoff,2,14,0,1,7.0,2015-01-15,Hobart Hurricanes,Brisbane Heat,0,"Brisbane Cricket Ground, Woolloongabba"
AC McDermott,3,33,0,1,11.0,2011-12-16,Brisbane Heat,Sydney Sixers,0,Sydney Cricket Ground
AC McDermott,4,29,0,0,7.25,2011-12-20,Melbourne Stars,Melbourne Stars,0,"Brisbane Cricket Ground, Woolloongabba"
AC McDermott,3,25,0,1,8.333333333333334,2011-12-29,Brisbane Heat,Perth Scorchers,0,Western Australia Cricket Association Ground
AC McDermott,4,18,0,5,4.5,2012-01-12,Brisbane Heat,Brisbane Heat,0,Docklands Stadium
AC McDermott,4,25,1,2,6.25,2012-01-17,Sydney Thunder,Brisbane Heat,0,"Brisbane Cricket Ground, Woolloongabba"
AC McDermott,4,48,0,3,12.0,2012-12-13,Brisbane Heat,Brisbane Heat,0,Adelaide Oval
AC McDermott,2,17,0,1,8.5,2013-01-07,Sydney Sixers,Sydney Sixers,0,"Brisbane Cricket Ground, Woolloongabba"
AC McDermott,4,21,0,2,5.25,2013-01-19,Brisbane Heat,Brisbane Heat,0,Western Australia Cricket Association Ground
AC McDermott,4,31,0,2,7.75,2013-02-04,Brisbane Heat,Brisbane Heat,0,Docklands Stadium
AC McDermott,4,38,0,3,9.5,2013-12-22,Perth Scorchers,Brisbane Heat,0,"Brisbane Cricket Ground, Woolloongabba"
AC McDermott,2,28,0,1,14.0,2013-12-28,Hobart Hurricanes,Hobart Hurricanes,0,"Brisbane Cricket Ground, Woolloongabba"
AC McDermott,3,34,0,0,11.333333333333334,2013-12-30,Brisbane Heat,Melbourne Renegades,0,Docklands Stadium
AC McDermott,3,32,0,0,10.666666666666666,2014-01-11,Melbourne Stars,Melbourne Stars,0,"Brisbane Cricket Ground, Woolloongabba"
AC McDermott,1,12,0,0,12.0,2015-01-13,Brisbane Heat,Melbourne Renegades,0,Docklands Stadium
AL Fekete,4,44,0,2,11.0,2015-12-19,Melbourne Renegades,Melbourne Renegades,0,"Brisbane Cricket Ground, Woolloongabba"
AL Fekete,3,32,0,1,10.666666666666666,2015-12-22,Brisbane Heat,Hobart Hurricanes,0,Bellerive Oval
AL Fekete,2,16,0,1,8.0,2015-12-26,Brisbane Heat,Perth Scorchers,0,Western Australia Cricket Association Ground
AL Fekete,2,40,0,0,20.0,2016-01-08,Adelaide Strikers,Adelaide Strikers,0,"Brisbane Cricket Ground, Woolloongabba"
AL Fekete,2,20,0,0,10.0,2016-01-14,Brisbane Heat,Brisbane Heat,0,Melbourne Cricket Ground
BCJ Cutting,3,19,0,1,6.333333333333333,2012-12-09,Hobart Hurricanes,Hobart Hurricanes,0,"Brisbane Cricket Ground, Woolloongabba"
BCJ Cutting,4,37,0,2,9.25,2012-12-13,Brisbane Heat,Brisbane Heat,0,Adelaide Oval
BCJ Cutting,1,11,0,0,11.0,2012-12-18,Perth Scorchers,Perth Scorchers,0,"Brisbane Cricket Ground, Woolloongabba"
