bowler,overs,runs,maidens,wicket,econrate,date,team2,winner,result,venue
B Lee,4,19,0,0,4.75,2011-12-16,Brisbane Heat,Sydney Sixers,0,Sydney Cricket Ground
B Lee,4,19,0,0,4.75,2011-12-21,Sydney Sixers,Hobart Hurricanes,0,Bellerive Oval
B Lee,4,30,0,1,7.5,2011-12-27,Melbourne Stars,Sydney Sixers,0,Sydney Cricket Ground
B Lee,4,42,0,0,10.5,2012-01-02,Sydney Sixers,Melbourne Renegades,0,Docklands Stadium
B Lee,3,11,1,1,3.6666666666666665,2012-01-08,Sydney Sixers,Sydney Sixers,0,Stadium Australia
B Lee,2,17,0,2,8.5,2012-01-10,Sydney Sixers,Sydney Sixers,0,Adelaide Oval
B Lee,4,35,0,1,8.75,2012-01-18,Perth Scorchers,Sydney Sixers,0,Sydney Cricket Ground
B Lee,4,22,0,2,5.5,2012-01-22,Sydney Sixers,Sydney Sixers,0,Bellerive Oval
B Lee,4,21,0,2,5.25,2012-01-28,Sydney Sixers,Sydney Sixers,0,Western Australia Cricket Association Ground
B Lee,4,35,0,0,8.75,2012-12-08,Sydney Thunder,Sydney Sixers,0,Sydney Cricket Ground
B Lee,4,27,0,0,6.75,2012-12-16,Perth Scorchers,Perth Scorchers,0,Sydney Cricket Ground
B Lee,4,32,0,0,8.0,2012-12-23,Sydney Sixers,Adelaide Strikers,0,Adelaide Oval
B Lee,4,21,0,1,5.25,2012-12-26,Hobart Hurricanes,Hobart Hurricanes,0,Sydney Cricket Ground
B Lee,4,25,0,0,6.25,2012-12-30,Sydney Sixers,Sydney Sixers,0,Stadium Australia
B Lee,4,29,0,1,7.25,2013-01-07,Sydney Sixers,Sydney Sixers,0,"Brisbane Cricket Ground, Woolloongabba"
B Lee,4,35,0,1,8.75,2013-12-21,Sydney Thunder,Sydney Sixers,0,Sydney Cricket Ground
B Lee,4,37,0,0,9.25,2013-12-29,Melbourne Stars,Melbourne Stars,0,Sydney Cricket Ground
B Lee,4,22,0,3,5.5,2014-01-02,Sydney Sixers,Sydney Sixers,0,"Brisbane Cricket Ground, Woolloongabba"
B Lee,4,31,0,0,7.75,2014-01-05,Sydney Sixers,Sydney Sixers,0,Adelaide Oval
B Lee,4,28,1,4,7.0,2014-01-10,Perth Scorchers,0,tie,Sydney Cricket Ground
B Lee,4,36,0,2,9.0,2014-01-15,Hobart Hurricanes,Sydney Sixers,0,Sydney Cricket Ground
B Lee,4,34,0,0,8.5,2014-01-18,Sydney Sixers,Sydney Sixers,0,Docklands Stadium
B Lee,4,35,0,1,8.75,2014-01-25,Sydney Sixers,Sydney Sixers,0,Stadium Australia
B Lee,4,27,0,2,6.75,2014-02-05,Perth Scorchers,Perth Scorchers,0,Sydney Cricket Ground
B Lee,4,21,0,2,5.25,2014-12-19,Melbourne Renegades,Sydney Sixers,0,Sydney Cricket Ground
B Lee,4,34,0,4,8.5,2014-12-23,Sydney Sixers,Sydney Sixers,0,Bellerive Oval
