delivery,batsman,bowler,extras_dict,non_striker,runs_dict,wicket_dict,wides,noballs,legbyes,byes,penalty,kind,player_out,fielders,runs,extras,total,team,city,date,gender,match_type,neutral_venue,winner,winType,winMargin,result,resultHow,resultTeam,non_boundary,ManOfMatch,overs,team1,team2,tossWinner,tossDecision,venue
0.1,DJ Harris,SW Tait,0,MW Hill,"{'batsman': 0, 'extras': 0, 'total': 0}",0,0.0,0,0.0,0.0,0,0,0,0,0,0,0,Melbourne Renegades,0,2014-01-22,male,T20,0,Melbourne Renegades,runs,1,0,0,0,0,DJ Bravo,20,Adelaide Strikers,Melbourne Renegades,Melbourne Renegades,bat,Adelaide Oval
0.2,DJ Harris,SW Tait,{'wides': 1},MW Hill,"{'batsman': 0, 'extras': 1, 'total': 1}",0,1.0,0,0.0,0.0,0,0,0,0,0,1,1,Melbourne Renegades,0,2014-01-22,male,T20,0,Melbourne Renegades,runs,1,0,0,0,0,DJ Bravo,20,Adelaide Strikers,Melbourne Renegades,Melbourne Renegades,bat,Adelaide Oval
0.3,DJ Harris,SW Tait,0,MW Hill,"{'batsman': 4, 'extras': 0, 'total': 4}",0,0.0,0,0.0,0.0,0,0,0,0,4,0,4,Melbourne Renegades,0,2014-01-22,male,T20,0,Melbourne Renegades,runs,1,0,0,0,0,DJ Bravo,20,Adelaide Strikers,Melbourne Renegades,Melbourne Renegades,bat,Adelaide Oval
0.4,DJ Harris,SW Tait,0,MW Hill,"{'batsman': 0, 'extras': 0, 'total': 0}",0,0.0,0,0.0,0.0,0,0,0,0,0,0,0,Melbourne Renegades,0,2014-01-22,male,T20,0,Melbourne Renegades,runs,1,0,0,0,0,DJ Bravo,20,Adelaide Strikers,Melbourne Renegades,Melbourne Renegades,bat,Adelaide Oval
0.5,DJ Harris,SW Tait,{'wides': 1},MW Hill,"{'batsman': 0, 'extras': 1, 'total': 1}",0,1.0,0,0.0,0.0,0,0,0,0,0,1,1,Melbourne Renegades,0,2014-01-22,male,T20,0,Melbourne Renegades,runs,1,0,0,0,0,DJ Bravo,20,Adelaide Strikers,Melbourne Renegades,Melbourne Renegades,bat,Adelaide Oval
0.6,DJ Harris,SW Tait,0,MW Hill,"{'batsman': 4, 'extras': 0, 'total': 4}",0,0.0,0,0.0,0.0,0,0,0,0,4,0,4,Melbourne Renegades,0,2014-01-22,male,T20,0,Melbourne Renegades,runs,1,0,0,0,0,DJ Bravo,20,Adelaide Strikers,Melbourne Renegades,Melbourne Renegades,bat,Adelaide Oval
0.7,DJ Harris,SW Tait,0,MW Hill,"{'batsman': 1, 'extras': 0, 'total': 1}",0,0.0,0,0.0,0.0,0,0,0,0,1,0,1,Melbourne Renegades,0,2014-01-22,male,T20,0,Melbourne Renegades,runs,1,0,0,0,0,DJ Bravo,20,Adelaide Strikers,Melbourne Renegades,Melbourne Renegades,bat,Adelaide Oval
0.8,MW Hill,SW Tait,0,DJ Harris,"{'batsman': 0, 'extras': 0, 'total': 0}",0,0.0,0,0.0,0.0,0,0,0,0,0,0,0,Melbourne Renegades,0,2014-01-22,male,T20,0,Melbourne Renegades,runs,1,0,0,0,0,DJ Bravo,20,Adelaide Strikers,Melbourne Renegades,Melbourne Renegades,bat,Adelaide Oval
1.1,DJ Harris,J Botha,0,MW Hill,"{'batsman': 1, 'extras': 0, 'total': 1}",0,0.0,0,0.0,0.0,0,0,0,0,1,0,1,Melbourne Renegades,0,2014-01-22,male,T20,0,Melbourne Renegades,runs,1,0,0,0,0,DJ Bravo,20,Adelaide Strikers,Melbourne Renegades,Melbourne Renegades,bat,Adelaide Oval
1.2,MW Hill,J Botha,0,DJ Harris,"{'batsman': 1, 'extras': 0, 'total': 1}",0,0.0,0,0.0,0.0,0,0,0,0,1,0,1,Melbourne Renegades,0,2014-01-22,male,T20,0,Melbourne Renegades,runs,1,0,0,0,0,DJ Bravo,20,Adelaide Strikers,Melbourne Renegades,Melbourne Renegades,bat,Adelaide Oval
1.3,DJ Harris,J Botha,0,MW Hill,"{'batsman': 1, 'extras': 0, 'total': 1}",0,0.0,0,0.0,0.0,0,0,0,0,1,0,1,Melbourne Renegades,0,2014-01-22,male,T20,0,Melbourne Renegades,runs,1,0,0,0,0,DJ Bravo,20,Adelaide Strikers,Melbourne Renegades,Melbourne Renegades,bat,Adelaide Oval
1.4,MW Hill,J Botha,0,DJ Harris,"{'batsman': 2, 'extras': 0, 'total': 2}",0,0.0,0,0.0,0.0,0,0,0,0,2,0,2,Melbourne Renegades,0,2014-01-22,male,T20,0,Melbourne Renegades,runs,1,0,0,0,0,DJ Bravo,20,Adelaide Strikers,Melbourne Renegades,Melbourne Renegades,bat,Adelaide Oval
1.5,MW Hill,J Botha,0,DJ Harris,"{'batsman': 0, 'extras': 0, 'total': 0}",0,0.0,0,0.0,0.0,0,0,0,0,0,0,0,Melbourne Renegades,0,2014-01-22,male,T20,0,Melbourne Renegades,runs,1,0,0,0,0,DJ Bravo,20,Adelaide Strikers,Melbourne Renegades,Melbourne Renegades,bat,Adelaide Oval
1.6,MW Hill,J Botha,0,DJ Harris,"{'batsman': 1, 'extras': 0, 'total': 1}",0,0.0,0,0.0,0.0,0,0,0,0,1,0,1,Melbourne Renegades,0,2014-01-22,male,T20,0,Melbourne Renegades,runs,1,0,0,0,0,DJ Bravo,20,Adelaide Strikers,Melbourne Renegades,Melbourne Renegades,bat,Adelaide Oval
2.1,MW Hill,JM Holland,0,DJ Harris,"{'batsman': 1, 'extras': 0, 'total': 1}",0,0.0,0,0.0,0.0,0,0,0,0,1,0,1,Melbourne Renegades,0,2014-01-22,male,T20,0,Melbourne Renegades,runs,1,0,0,0,0,DJ Bravo,20,Adelaide Strikers,Melbourne Renegades,Melbourne Renegades,bat,Adelaide Oval
