delivery,batsman,bowler,extras_dict,non_striker,runs_dict,wicket_dict,wides,noballs,legbyes,byes,penalty,kind,player_out,fielders,runs,extras,total,team,city,date,gender,match_type,neutral_venue,winner,winType,winMargin,result,resultHow,resultTeam,non_boundary,ManOfMatch,overs,team1,team2,tossWinner,tossDecision,venue
0.1,MS Harris,MT Steketee,0,AJ Finch,"{'batsman': 0, 'extras': 0, 'total': 0}",0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,Melbourne Renegades,Brisbane,2017-01-20,male,T20,0,Melbourne Renegades,runs,1,0,0,0,0,AJ Finch,20,Brisbane Heat,Melbourne Renegades,Brisbane Heat,field,"Brisbane Cricket Ground, Woolloongabba"
0.2,MS Harris,MT Steketee,{'wides': 1},AJ Finch,"{'batsman': 0, 'extras': 1, 'total': 1}",0,1.0,0.0,0.0,0,0,0,0,0,0,1,1,Melbourne Renegades,Brisbane,2017-01-20,male,T20,0,Melbourne Renegades,runs,1,0,0,0,0,AJ Finch,20,Brisbane Heat,Melbourne Renegades,Brisbane Heat,field,"Brisbane Cricket Ground, Woolloongabba"
0.3,MS Harris,MT Steketee,0,AJ Finch,"{'batsman': 0, 'extras': 0, 'total': 0}",0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,Melbourne Renegades,Brisbane,2017-01-20,male,T20,0,Melbourne Renegades,runs,1,0,0,0,0,AJ Finch,20,Brisbane Heat,Melbourne Renegades,Brisbane Heat,field,"Brisbane Cricket Ground, Woolloongabba"
0.4,MS Harris,MT Steketee,0,AJ Finch,"{'batsman': 1, 'extras': 0, 'total': 1}",0,0.0,0.0,0.0,0,0,0,0,0,1,0,1,Melbourne Renegades,Brisbane,2017-01-20,male,T20,0,Melbourne Renegades,runs,1,0,0,0,0,AJ Finch,20,Brisbane Heat,Melbourne Renegades,Brisbane Heat,field,"Brisbane Cricket Ground, Woolloongabba"
0.5,AJ Finch,MT Steketee,0,MS Harris,"{'batsman': 4, 'extras': 0, 'total': 4}",0,0.0,0.0,0.0,0,0,0,0,0,4,0,4,Melbourne Renegades,Brisbane,2017-01-20,male,T20,0,Melbourne Renegades,runs,1,0,0,0,0,AJ Finch,20,Brisbane Heat,Melbourne Renegades,Brisbane Heat,field,"Brisbane Cricket Ground, Woolloongabba"
0.6,AJ Finch,MT Steketee,0,MS Harris,"{'batsman': 0, 'extras': 0, 'total': 0}",0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,Melbourne Renegades,Brisbane,2017-01-20,male,T20,0,Melbourne Renegades,runs,1,0,0,0,0,AJ Finch,20,Brisbane Heat,Melbourne Renegades,Brisbane Heat,field,"Brisbane Cricket Ground, Woolloongabba"
0.7,AJ Finch,MT Steketee,0,MS Harris,"{'batsman': 6, 'extras': 0, 'total': 6}",0,0.0,0.0,0.0,0,0,0,0,0,6,0,6,Melbourne Renegades,Brisbane,2017-01-20,male,T20,0,Melbourne Renegades,runs,1,0,0,0,0,AJ Finch,20,Brisbane Heat,Melbourne Renegades,Brisbane Heat,field,"Brisbane Cricket Ground, Woolloongabba"
1.1,MS Harris,JD Wildermuth,0,AJ Finch,"{'batsman': 0, 'extras': 0, 'total': 0}",0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,Melbourne Renegades,Brisbane,2017-01-20,male,T20,0,Melbourne Renegades,runs,1,0,0,0,0,AJ Finch,20,Brisbane Heat,Melbourne Renegades,Brisbane Heat,field,"Brisbane Cricket Ground, Woolloongabba"
1.2,MS Harris,JD Wildermuth,0,AJ Finch,"{'batsman': 4, 'extras': 0, 'total': 4}",0,0.0,0.0,0.0,0,0,0,0,0,4,0,4,Melbourne Renegades,Brisbane,2017-01-20,male,T20,0,Melbourne Renegades,runs,1,0,0,0,0,AJ Finch,20,Brisbane Heat,Melbourne Renegades,Brisbane Heat,field,"Brisbane Cricket Ground, Woolloongabba"
1.3,MS Harris,JD Wildermuth,0,AJ Finch,"{'batsman': 4, 'extras': 0, 'total': 4}",0,0.0,0.0,0.0,0,0,0,0,0,4,0,4,Melbourne Renegades,Brisbane,2017-01-20,male,T20,0,Melbourne Renegades,runs,1,0,0,0,0,AJ Finch,20,Brisbane Heat,Melbourne Renegades,Brisbane Heat,field,"Brisbane Cricket Ground, Woolloongabba"
1.4,MS Harris,JD Wildermuth,0,AJ Finch,"{'batsman': 1, 'extras': 0, 'total': 1}",0,0.0,0.0,0.0,0,0,0,0,0,1,0,1,Melbourne Renegades,Brisbane,2017-01-20,male,T20,0,Melbourne Renegades,runs,1,0,0,0,0,AJ Finch,20,Brisbane Heat,Melbourne Renegades,Brisbane Heat,field,"Brisbane Cricket Ground, Woolloongabba"
1.5,AJ Finch,JD Wildermuth,0,MS Harris,"{'batsman': 4, 'extras': 0, 'total': 4}",0,0.0,0.0,0.0,0,0,0,0,0,4,0,4,Melbourne Renegades,Brisbane,2017-01-20,male,T20,0,Melbourne Renegades,runs,1,0,0,0,0,AJ Finch,20,Brisbane Heat,Melbourne Renegades,Brisbane Heat,field,"Brisbane Cricket Ground, Woolloongabba"
1.6,AJ Finch,JD Wildermuth,0,MS Harris,"{'batsman': 1, 'extras': 0, 'total': 1}",0,0.0,0.0,0.0,0,0,0,0,0,1,0,1,Melbourne Renegades,Brisbane,2017-01-20,male,T20,0,Melbourne Renegades,runs,1,0,0,0,0,AJ Finch,20,Brisbane Heat,Melbourne Renegades,Brisbane Heat,field,"Brisbane Cricket Ground, Woolloongabba"
2.1,AJ Finch,MT Steketee,0,MS Harris,"{'batsman': 0, 'extras': 0, 'total': 0}",0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,Melbourne Renegades,Brisbane,2017-01-20,male,T20,0,Melbourne Renegades,runs,1,0,0,0,0,AJ Finch,20,Brisbane Heat,Melbourne Renegades,Brisbane Heat,field,"Brisbane Cricket Ground, Woolloongabba"
2.2,AJ Finch,MT Steketee,{'wides': 1},MS Harris,"{'batsman': 0, 'extras': 1, 'total': 1}",0,1.0,0.0,0.0,0,0,0,0,0,0,1,1,Melbourne Renegades,Brisbane,2017-01-20,male,T20,0,Melbourne Renegades,runs,1,0,0,0,0,AJ Finch,20,Brisbane Heat,Melbourne Renegades,Brisbane Heat,field,"Brisbane Cricket Ground, Woolloongabba"
2.3,AJ Finch,MT Steketee,0,MS Harris,"{'batsman': 1, 'extras': 0, 'total': 1}",0,0.0,0.0,0.0,0,0,0,0,0,1,0,1,Melbourne Renegades,Brisbane,2017-01-20,male,T20,0,Melbourne Renegades,runs,1,0,0,0,0,AJ Finch,20,Brisbane Heat,Melbourne Renegades,Brisbane Heat,field,"Brisbane Cricket Ground, Woolloongabba"
