delivery,batsman,bowler,extras_dict,non_striker,runs_dict,wicket_dict,wides,noballs,legbyes,byes,penalty,kind,player_out,fielders,runs,extras,total,team,city,date,gender,match_type,neutral_venue,winner,winType,winMargin,result,resultHow,resultTeam,non_boundary,ManOfMatch,overs,team1,team2,tossWinner,tossDecision,venue
0.1,RJ Quiney,NM Hauritz,0,MS Wade,"{'batsman': 0, 'extras': 0, 'total': 0}",0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,Melbourne Stars,Brisbane,2011-12-20,male,T20,0,Melbourne Stars,runs,8,0,0,0,0,RJ Quiney,20,Brisbane Heat,Melbourne Stars,Melbourne Stars,bat,"Brisbane Cricket Ground, Woolloongabba"
0.2,RJ Quiney,NM Hauritz,0,MS Wade,"{'batsman': 4, 'extras': 0, 'total': 4}",0,0.0,0.0,0.0,0,0,0,0,0,4,0,4,Melbourne Stars,Brisbane,2011-12-20,male,T20,0,Melbourne Stars,runs,8,0,0,0,0,RJ Quiney,20,Brisbane Heat,Melbourne Stars,Melbourne Stars,bat,"Brisbane Cricket Ground, Woolloongabba"
0.3,RJ Quiney,NM Hauritz,0,MS Wade,"{'batsman': 0, 'extras': 0, 'total': 0}",0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,Melbourne Stars,Brisbane,2011-12-20,male,T20,0,Melbourne Stars,runs,8,0,0,0,0,RJ Quiney,20,Brisbane Heat,Melbourne Stars,Melbourne Stars,bat,"Brisbane Cricket Ground, Woolloongabba"
0.4,RJ Quiney,NM Hauritz,0,MS Wade,"{'batsman': 0, 'extras': 0, 'total': 0}",0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,Melbourne Stars,Brisbane,2011-12-20,male,T20,0,Melbourne Stars,runs,8,0,0,0,0,RJ Quiney,20,Brisbane Heat,Melbourne Stars,Melbourne Stars,bat,"Brisbane Cricket Ground, Woolloongabba"
0.5,RJ Quiney,NM Hauritz,0,MS Wade,"{'batsman': 0, 'extras': 0, 'total': 0}",0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,Melbourne Stars,Brisbane,2011-12-20,male,T20,0,Melbourne Stars,runs,8,0,0,0,0,RJ Quiney,20,Brisbane Heat,Melbourne Stars,Melbourne Stars,bat,"Brisbane Cricket Ground, Woolloongabba"
0.6,RJ Quiney,NM Hauritz,0,MS Wade,"{'batsman': 0, 'extras': 0, 'total': 0}",0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,Melbourne Stars,Brisbane,2011-12-20,male,T20,0,Melbourne Stars,runs,8,0,0,0,0,RJ Quiney,20,Brisbane Heat,Melbourne Stars,Melbourne Stars,bat,"Brisbane Cricket Ground, Woolloongabba"
1.1,MS Wade,RJ Harris,0,RJ Quiney,"{'batsman': 1, 'extras': 0, 'total': 1}",0,0.0,0.0,0.0,0,0,0,0,0,1,0,1,Melbourne Stars,Brisbane,2011-12-20,male,T20,0,Melbourne Stars,runs,8,0,0,0,0,RJ Quiney,20,Brisbane Heat,Melbourne Stars,Melbourne Stars,bat,"Brisbane Cricket Ground, Woolloongabba"
1.2,RJ Quiney,RJ Harris,0,MS Wade,"{'batsman': 0, 'extras': 0, 'total': 0}",0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,Melbourne Stars,Brisbane,2011-12-20,male,T20,0,Melbourne Stars,runs,8,0,0,0,0,RJ Quiney,20,Brisbane Heat,Melbourne Stars,Melbourne Stars,bat,"Brisbane Cricket Ground, Woolloongabba"
1.3,RJ Quiney,RJ Harris,0,MS Wade,"{'batsman': 0, 'extras': 0, 'total': 0}",0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,Melbourne Stars,Brisbane,2011-12-20,male,T20,0,Melbourne Stars,runs,8,0,0,0,0,RJ Quiney,20,Brisbane Heat,Melbourne Stars,Melbourne Stars,bat,"Brisbane Cricket Ground, Woolloongabba"
1.4,RJ Quiney,RJ Harris,0,MS Wade,"{'batsman': 4, 'extras': 0, 'total': 4}",0,0.0,0.0,0.0,0,0,0,0,0,4,0,4,Melbourne Stars,Brisbane,2011-12-20,male,T20,0,Melbourne Stars,runs,8,0,0,0,0,RJ Quiney,20,Brisbane Heat,Melbourne Stars,Melbourne Stars,bat,"Brisbane Cricket Ground, Woolloongabba"
