delivery,batsman,bowler,extras_dict,non_striker,runs_dict,wicket_dict,wides,noballs,legbyes,byes,penalty,kind,player_out,fielders,runs,extras,total,team,city,date,gender,match_type,neutral_venue,winner,winType,winMargin,result,resultHow,resultTeam,non_boundary,ManOfMatch,overs,team1,team2,tossWinner,tossDecision,venue
0.1,JJ Peirson,XJ Doherty,0,PJ Forrest,"{'batsman': 2, 'extras': 0, 'total': 2}",0,0.0,0,0.0,0,0,0,0,0,2,0,2,Brisbane Heat,Hobart,2015-01-02,male,T20,0,Hobart Hurricanes,wickets,6,0,0,0,0,TD Paine,20,Hobart Hurricanes,Brisbane Heat,Hobart Hurricanes,field,Bellerive Oval
0.2,JJ Peirson,XJ Doherty,0,PJ Forrest,"{'batsman': 1, 'extras': 0, 'total': 1}",0,0.0,0,0.0,0,0,0,0,0,1,0,1,Brisbane Heat,Hobart,2015-01-02,male,T20,0,Hobart Hurricanes,wickets,6,0,0,0,0,TD Paine,20,Hobart Hurricanes,Brisbane Heat,Hobart Hurricanes,field,Bellerive Oval
0.3,PJ Forrest,XJ Doherty,0,JJ Peirson,"{'batsman': 4, 'extras': 0, 'total': 4}",0,0.0,0,0.0,0,0,0,0,0,4,0,4,Brisbane Heat,Hobart,2015-01-02,male,T20,0,Hobart Hurricanes,wickets,6,0,0,0,0,TD Paine,20,Hobart Hurricanes,Brisbane Heat,Hobart Hurricanes,field,Bellerive Oval
0.4,PJ Forrest,XJ Doherty,0,JJ Peirson,"{'batsman': 1, 'extras': 0, 'total': 1}",0,0.0,0,0.0,0,0,0,0,0,1,0,1,Brisbane Heat,Hobart,2015-01-02,male,T20,0,Hobart Hurricanes,wickets,6,0,0,0,0,TD Paine,20,Hobart Hurricanes,Brisbane Heat,Hobart Hurricanes,field,Bellerive Oval
0.5,JJ Peirson,XJ Doherty,0,PJ Forrest,"{'batsman': 0, 'extras': 0, 'total': 0}",0,0.0,0,0.0,0,0,0,0,0,0,0,0,Brisbane Heat,Hobart,2015-01-02,male,T20,0,Hobart Hurricanes,wickets,6,0,0,0,0,TD Paine,20,Hobart Hurricanes,Brisbane Heat,Hobart Hurricanes,field,Bellerive Oval
0.6,JJ Peirson,XJ Doherty,0,PJ Forrest,"{'batsman': 0, 'extras': 0, 'total': 0}",0,0.0,0,0.0,0,0,0,0,0,0,0,0,Brisbane Heat,Hobart,2015-01-02,male,T20,0,Hobart Hurricanes,wickets,6,0,0,0,0,TD Paine,20,Hobart Hurricanes,Brisbane Heat,Hobart Hurricanes,field,Bellerive Oval
1.1,PJ Forrest,JM Mennie,0,JJ Peirson,"{'batsman': 1, 'extras': 0, 'total': 1}",0,0.0,0,0.0,0,0,0,0,0,1,0,1,Brisbane Heat,Hobart,2015-01-02,male,T20,0,Hobart Hurricanes,wickets,6,0,0,0,0,TD Paine,20,Hobart Hurricanes,Brisbane Heat,Hobart Hurricanes,field,Bellerive Oval
1.2,JJ Peirson,JM Mennie,0,PJ Forrest,"{'batsman': 0, 'extras': 0, 'total': 0}",0,0.0,0,0.0,0,0,0,0,0,0,0,0,Brisbane Heat,Hobart,2015-01-02,male,T20,0,Hobart Hurricanes,wickets,6,0,0,0,0,TD Paine,20,Hobart Hurricanes,Brisbane Heat,Hobart Hurricanes,field,Bellerive Oval
1.3,JJ Peirson,JM Mennie,0,PJ Forrest,"{'batsman': 0, 'extras': 0, 'total': 0}",0,0.0,0,0.0,0,0,0,0,0,0,0,0,Brisbane Heat,Hobart,2015-01-02,male,T20,0,Hobart Hurricanes,wickets,6,0,0,0,0,TD Paine,20,Hobart Hurricanes,Brisbane Heat,Hobart Hurricanes,field,Bellerive Oval
1.4,JJ Peirson,JM Mennie,0,PJ Forrest,"{'batsman': 6, 'extras': 0, 'total': 6}",0,0.0,0,0.0,0,0,0,0,0,6,0,6,Brisbane Heat,Hobart,2015-01-02,male,T20,0,Hobart Hurricanes,wickets,6,0,0,0,0,TD Paine,20,Hobart Hurricanes,Brisbane Heat,Hobart Hurricanes,field,Bellerive Oval
