delivery,batsman,bowler,extras_dict,non_striker,runs_dict,wicket_dict,wides,noballs,legbyes,byes,penalty,kind,player_out,fielders,runs,extras,total,team,city,date,gender,match_type,neutral_venue,winner,winType,winMargin,result,resultHow,resultTeam,non_boundary,ManOfMatch,overs,team1,team2,tossWinner,tossDecision,venue
0.1,JJ Peirson,JL Pattinson,0,PJ Forrest,"{'batsman': 0, 'extras': 0, 'total': 0}","{'fielders': ['CJ Ferguson'], 'kind': 'caught', 'player_out': 'JJ Peirson'}",0.0,0.0,0.0,0,0,caught,JJ Peirson,['CJ Ferguson'],0,0,0,Brisbane Heat,Melbourne,2015-01-13,male,T20,0,Melbourne Renegades,wickets,5,0,0,0,0,Shakib Al Hasan,20,Melbourne Renegades,Brisbane Heat,Melbourne Renegades,field,Docklands Stadium
0.2,JA Burns,JL Pattinson,0,PJ Forrest,"{'batsman': 0, 'extras': 0, 'total': 0}","{'kind': 'bowled', 'player_out': 'JA Burns'}",0.0,0.0,0.0,0,0,bowled,JA Burns,0,0,0,0,Brisbane Heat,Melbourne,2015-01-13,male,T20,0,Melbourne Renegades,wickets,5,0,0,0,0,Shakib Al Hasan,20,Melbourne Renegades,Brisbane Heat,Melbourne Renegades,field,Docklands Stadium
0.3,DT Christian,JL Pattinson,0,PJ Forrest,"{'batsman': 0, 'extras': 0, 'total': 0}",0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,Brisbane Heat,Melbourne,2015-01-13,male,T20,0,Melbourne Renegades,wickets,5,0,0,0,0,Shakib Al Hasan,20,Melbourne Renegades,Brisbane Heat,Melbourne Renegades,field,Docklands Stadium
0.4,DT Christian,JL Pattinson,0,PJ Forrest,"{'batsman': 0, 'extras': 0, 'total': 0}",0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,Brisbane Heat,Melbourne,2015-01-13,male,T20,0,Melbourne Renegades,wickets,5,0,0,0,0,Shakib Al Hasan,20,Melbourne Renegades,Brisbane Heat,Melbourne Renegades,field,Docklands Stadium
0.5,DT Christian,JL Pattinson,0,PJ Forrest,"{'batsman': 0, 'extras': 0, 'total': 0}",0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,Brisbane Heat,Melbourne,2015-01-13,male,T20,0,Melbourne Renegades,wickets,5,0,0,0,0,Shakib Al Hasan,20,Melbourne Renegades,Brisbane Heat,Melbourne Renegades,field,Docklands Stadium
0.6,DT Christian,JL Pattinson,0,PJ Forrest,"{'batsman': 0, 'extras': 0, 'total': 0}",0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,Brisbane Heat,Melbourne,2015-01-13,male,T20,0,Melbourne Renegades,wickets,5,0,0,0,0,Shakib Al Hasan,20,Melbourne Renegades,Brisbane Heat,Melbourne Renegades,field,Docklands Stadium
1.1,PJ Forrest,PM Siddle,{'wides': 1},DT Christian,"{'batsman': 0, 'extras': 1, 'total': 1}",0,1.0,0.0,0.0,0,0,0,0,0,0,1,1,Brisbane Heat,Melbourne,2015-01-13,male,T20,0,Melbourne Renegades,wickets,5,0,0,0,0,Shakib Al Hasan,20,Melbourne Renegades,Brisbane Heat,Melbourne Renegades,field,Docklands Stadium
1.2,PJ Forrest,PM Siddle,0,DT Christian,"{'batsman': 0, 'extras': 0, 'total': 0}",0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,Brisbane Heat,Melbourne,2015-01-13,male,T20,0,Melbourne Renegades,wickets,5,0,0,0,0,Shakib Al Hasan,20,Melbourne Renegades,Brisbane Heat,Melbourne Renegades,field,Docklands Stadium
1.3,PJ Forrest,PM Siddle,{'legbyes': 2},DT Christian,"{'batsman': 0, 'extras': 2, 'total': 2}",0,0.0,0.0,2.0,0,0,0,0,0,0,2,2,Brisbane Heat,Melbourne,2015-01-13,male,T20,0,Melbourne Renegades,wickets,5,0,0,0,0,Shakib Al Hasan,20,Melbourne Renegades,Brisbane Heat,Melbourne Renegades,field,Docklands Stadium
1.4,PJ Forrest,PM Siddle,0,DT Christian,"{'batsman': 0, 'extras': 0, 'total': 0}",0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,Brisbane Heat,Melbourne,2015-01-13,male,T20,0,Melbourne Renegades,wickets,5,0,0,0,0,Shakib Al Hasan,20,Melbourne Renegades,Brisbane Heat,Melbourne Renegades,field,Docklands Stadium
