delivery,batsman,bowler,extras_dict,non_striker,runs_dict,wicket_dict,wides,noballs,legbyes,byes,penalty,kind,player_out,fielders,runs,extras,total,team,city,date,gender,match_type,neutral_venue,winner,winType,winMargin,result,resultHow,resultTeam,non_boundary,ManOfMatch,overs,team1,team2,tossWinner,tossDecision,venue
0.1,CL White,JL Pattinson,{'wides': 1},LJ Wright,"{'batsman': 0, 'extras': 1, 'total': 1}",0,1.0,0.0,0.0,0.0,0,0,0,0,0,1,1,Melbourne Stars,Melbourne,2015-01-03,male,T20,0,Melbourne Stars,runs,112,0,0,0,0,MA Beer,20,Melbourne Renegades,Melbourne Stars,Melbourne Renegades,field,Docklands Stadium
0.2,CL White,JL Pattinson,0,LJ Wright,"{'batsman': 4, 'extras': 0, 'total': 4}",0,0.0,0.0,0.0,0.0,0,0,0,0,4,0,4,Melbourne Stars,Melbourne,2015-01-03,male,T20,0,Melbourne Stars,runs,112,0,0,0,0,MA Beer,20,Melbourne Renegades,Melbourne Stars,Melbourne Renegades,field,Docklands Stadium
0.3,CL White,JL Pattinson,{'wides': 5},LJ Wright,"{'batsman': 0, 'extras': 5, 'total': 5}",0,5.0,0.0,0.0,0.0,0,0,0,0,0,5,5,Melbourne Stars,Melbourne,2015-01-03,male,T20,0,Melbourne Stars,runs,112,0,0,0,0,MA Beer,20,Melbourne Renegades,Melbourne Stars,Melbourne Renegades,field,Docklands Stadium
0.4,CL White,JL Pattinson,{'wides': 1},LJ Wright,"{'batsman': 0, 'extras': 1, 'total': 1}",0,1.0,0.0,0.0,0.0,0,0,0,0,0,1,1,Melbourne Stars,Melbourne,2015-01-03,male,T20,0,Melbourne Stars,runs,112,0,0,0,0,MA Beer,20,Melbourne Renegades,Melbourne Stars,Melbourne Renegades,field,Docklands Stadium
0.5,CL White,JL Pattinson,{'legbyes': 1},LJ Wright,"{'batsman': 0, 'extras': 1, 'total': 1}",0,0.0,0.0,1.0,0.0,0,0,0,0,0,1,1,Melbourne Stars,Melbourne,2015-01-03,male,T20,0,Melbourne Stars,runs,112,0,0,0,0,MA Beer,20,Melbourne Renegades,Melbourne Stars,Melbourne Renegades,field,Docklands Stadium
0.6,LJ Wright,JL Pattinson,0,CL White,"{'batsman': 0, 'extras': 0, 'total': 0}",0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,Melbourne Stars,Melbourne,2015-01-03,male,T20,0,Melbourne Stars,runs,112,0,0,0,0,MA Beer,20,Melbourne Renegades,Melbourne Stars,Melbourne Renegades,field,Docklands Stadium
0.7,LJ Wright,JL Pattinson,0,CL White,"{'batsman': 1, 'extras': 0, 'total': 1}",0,0.0,0.0,0.0,0.0,0,0,0,0,1,0,1,Melbourne Stars,Melbourne,2015-01-03,male,T20,0,Melbourne Stars,runs,112,0,0,0,0,MA Beer,20,Melbourne Renegades,Melbourne Stars,Melbourne Renegades,field,Docklands Stadium
0.8,CL White,JL Pattinson,0,LJ Wright,"{'batsman': 0, 'extras': 0, 'total': 0}",0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,Melbourne Stars,Melbourne,2015-01-03,male,T20,0,Melbourne Stars,runs,112,0,0,0,0,MA Beer,20,Melbourne Renegades,Melbourne Stars,Melbourne Renegades,field,Docklands Stadium
0.9,CL White,JL Pattinson,0,LJ Wright,"{'batsman': 0, 'extras': 0, 'total': 0}",0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,Melbourne Stars,Melbourne,2015-01-03,male,T20,0,Melbourne Stars,runs,112,0,0,0,0,MA Beer,20,Melbourne Renegades,Melbourne Stars,Melbourne Renegades,field,Docklands Stadium
1.1,LJ Wright,NP Winter,0,CL White,"{'batsman': 1, 'extras': 0, 'total': 1}",0,0.0,0.0,0.0,0.0,0,0,0,0,1,0,1,Melbourne Stars,Melbourne,2015-01-03,male,T20,0,Melbourne Stars,runs,112,0,0,0,0,MA Beer,20,Melbourne Renegades,Melbourne Stars,Melbourne Renegades,field,Docklands Stadium
