delivery,batsman,bowler,extras_dict,non_striker,runs_dict,wicket_dict,wides,noballs,legbyes,byes,penalty,kind,player_out,fielders,runs,extras,total,team,city,date,gender,match_type,neutral_venue,winner,winType,winMargin,result,resultHow,resultTeam,non_boundary,ManOfMatch,overs,team1,team2,tossWinner,tossDecision,venue
0.1,NJ Maddinson,MG Gale,0,MJ Lumb,"{'batsman': 2, 'extras': 0, 'total': 2}",0,0.0,0,0.0,0,0,0,0,0,2,0,2,Sydney Sixers,Melbourne,2014-01-18,male,T20,0,Sydney Sixers,runs,2,0,0,0,0,MC Henriques,20,Melbourne Renegades,Sydney Sixers,Melbourne Renegades,field,Docklands Stadium
0.2,NJ Maddinson,MG Gale,0,MJ Lumb,"{'batsman': 1, 'extras': 0, 'total': 1}",0,0.0,0,0.0,0,0,0,0,0,1,0,1,Sydney Sixers,Melbourne,2014-01-18,male,T20,0,Sydney Sixers,runs,2,0,0,0,0,MC Henriques,20,Melbourne Renegades,Sydney Sixers,Melbourne Renegades,field,Docklands Stadium
0.3,MJ Lumb,MG Gale,0,NJ Maddinson,"{'batsman': 0, 'extras': 0, 'total': 0}",0,0.0,0,0.0,0,0,0,0,0,0,0,0,Sydney Sixers,Melbourne,2014-01-18,male,T20,0,Sydney Sixers,runs,2,0,0,0,0,MC Henriques,20,Melbourne Renegades,Sydney Sixers,Melbourne Renegades,field,Docklands Stadium
0.4,MJ Lumb,MG Gale,{'wides': 1},NJ Maddinson,"{'batsman': 0, 'extras': 1, 'total': 1}",0,1.0,0,0.0,0,0,0,0,0,0,1,1,Sydney Sixers,Melbourne,2014-01-18,male,T20,0,Sydney Sixers,runs,2,0,0,0,0,MC Henriques,20,Melbourne Renegades,Sydney Sixers,Melbourne Renegades,field,Docklands Stadium
0.5,MJ Lumb,MG Gale,0,NJ Maddinson,"{'batsman': 0, 'extras': 0, 'total': 0}",0,0.0,0,0.0,0,0,0,0,0,0,0,0,Sydney Sixers,Melbourne,2014-01-18,male,T20,0,Sydney Sixers,runs,2,0,0,0,0,MC Henriques,20,Melbourne Renegades,Sydney Sixers,Melbourne Renegades,field,Docklands Stadium
0.6,MJ Lumb,MG Gale,0,NJ Maddinson,"{'batsman': 2, 'extras': 0, 'total': 2}",0,0.0,0,0.0,0,0,0,0,0,2,0,2,Sydney Sixers,Melbourne,2014-01-18,male,T20,0,Sydney Sixers,runs,2,0,0,0,0,MC Henriques,20,Melbourne Renegades,Sydney Sixers,Melbourne Renegades,field,Docklands Stadium
0.7,MJ Lumb,MG Gale,0,NJ Maddinson,"{'batsman': 0, 'extras': 0, 'total': 0}",0,0.0,0,0.0,0,0,0,0,0,0,0,0,Sydney Sixers,Melbourne,2014-01-18,male,T20,0,Sydney Sixers,runs,2,0,0,0,0,MC Henriques,20,Melbourne Renegades,Sydney Sixers,Melbourne Renegades,field,Docklands Stadium
1.1,NJ Maddinson,AW O'Brien,0,MJ Lumb,"{'batsman': 0, 'extras': 0, 'total': 0}","{'fielders': ['PM Nevill'], 'kind': 'stumped', 'player_out': 'NJ Maddinson'}",0.0,0,0.0,0,0,stumped,NJ Maddinson,['PM Nevill'],0,0,0,Sydney Sixers,Melbourne,2014-01-18,male,T20,0,Sydney Sixers,runs,2,0,0,0,0,MC Henriques,20,Melbourne Renegades,Sydney Sixers,Melbourne Renegades,field,Docklands Stadium
1.2,MC Henriques,AW O'Brien,0,MJ Lumb,"{'batsman': 1, 'extras': 0, 'total': 1}",0,0.0,0,0.0,0,0,0,0,0,1,0,1,Sydney Sixers,Melbourne,2014-01-18,male,T20,0,Sydney Sixers,runs,2,0,0,0,0,MC Henriques,20,Melbourne Renegades,Sydney Sixers,Melbourne Renegades,field,Docklands Stadium
1.3,MJ Lumb,AW O'Brien,0,MC Henriques,"{'batsman': 1, 'extras': 0, 'total': 1}",0,0.0,0,0.0,0,0,0,0,0,1,0,1,Sydney Sixers,Melbourne,2014-01-18,male,T20,0,Sydney Sixers,runs,2,0,0,0,0,MC Henriques,20,Melbourne Renegades,Sydney Sixers,Melbourne Renegades,field,Docklands Stadium
1.4,MC Henriques,AW O'Brien,0,MJ Lumb,"{'batsman': 1, 'extras': 0, 'total': 1}",0,0.0,0,0.0,0,0,0,0,0,1,0,1,Sydney Sixers,Melbourne,2014-01-18,male,T20,0,Sydney Sixers,runs,2,0,0,0,0,MC Henriques,20,Melbourne Renegades,Sydney Sixers,Melbourne Renegades,field,Docklands Stadium
1.5,MJ Lumb,AW O'Brien,0,MC Henriques,"{'batsman': 2, 'extras': 0, 'total': 2}",0,0.0,0,0.0,0,0,0,0,0,2,0,2,Sydney Sixers,Melbourne,2014-01-18,male,T20,0,Sydney Sixers,runs,2,0,0,0,0,MC Henriques,20,Melbourne Renegades,Sydney Sixers,Melbourne Renegades,field,Docklands Stadium
1.6,MJ Lumb,AW O'Brien,0,MC Henriques,"{'batsman': 4, 'extras': 0, 'total': 4}",0,0.0,0,0.0,0,0,0,0,0,4,0,4,Sydney Sixers,Melbourne,2014-01-18,male,T20,0,Sydney Sixers,runs,2,0,0,0,0,MC Henriques,20,Melbourne Renegades,Sydney Sixers,Melbourne Renegades,field,Docklands Stadium
2.1,MC Henriques,MG Gale,0,MJ Lumb,"{'batsman': 0, 'extras': 0, 'total': 0}",0,0.0,0,0.0,0,0,0,0,0,0,0,0,Sydney Sixers,Melbourne,2014-01-18,male,T20,0,Sydney Sixers,runs,2,0,0,0,0,MC Henriques,20,Melbourne Renegades,Sydney Sixers,Melbourne Renegades,field,Docklands Stadium
2.2,MC Henriques,MG Gale,{'legbyes': 1},MJ Lumb,"{'batsman': 0, 'extras': 1, 'total': 1}",0,0.0,0,1.0,0,0,0,0,0,0,1,1,Sydney Sixers,Melbourne,2014-01-18,male,T20,0,Sydney Sixers,runs,2,0,0,0,0,MC Henriques,20,Melbourne Renegades,Sydney Sixers,Melbourne Renegades,field,Docklands Stadium
2.3,MJ Lumb,MG Gale,0,MC Henriques,"{'batsman': 0, 'extras': 0, 'total': 0}",0,0.0,0,0.0,0,0,0,0,0,0,0,0,Sydney Sixers,Melbourne,2014-01-18,male,T20,0,Sydney Sixers,runs,2,0,0,0,0,MC Henriques,20,Melbourne Renegades,Sydney Sixers,Melbourne Renegades,field,Docklands Stadium
2.4,MJ Lumb,MG Gale,0,MC Henriques,"{'batsman': 1, 'extras': 0, 'total': 1}",0,0.0,0,0.0,0,0,0,0,0,1,0,1,Sydney Sixers,Melbourne,2014-01-18,male,T20,0,Sydney Sixers,runs,2,0,0,0,0,MC Henriques,20,Melbourne Renegades,Sydney Sixers,Melbourne Renegades,field,Docklands Stadium
2.5,MC Henriques,MG Gale,0,MJ Lumb,"{'batsman': 2, 'extras': 0, 'total': 2}",0,0.0,0,0.0,0,0,0,0,0,2,0,2,Sydney Sixers,Melbourne,2014-01-18,male,T20,0,Sydney Sixers,runs,2,0,0,0,0,MC Henriques,20,Melbourne Renegades,Sydney Sixers,Melbourne Renegades,field,Docklands Stadium
2.6,MC Henriques,MG Gale,0,MJ Lumb,"{'batsman': 1, 'extras': 0, 'total': 1}",0,0.0,0,0.0,0,0,0,0,0,1,0,1,Sydney Sixers,Melbourne,2014-01-18,male,T20,0,Sydney Sixers,runs,2,0,0,0,0,MC Henriques,20,Melbourne Renegades,Sydney Sixers,Melbourne Renegades,field,Docklands Stadium
3.1,MC Henriques,AW O'Brien,0,MJ Lumb,"{'batsman': 0, 'extras': 0, 'total': 0}",0,0.0,0,0.0,0,0,0,0,0,0,0,0,Sydney Sixers,Melbourne,2014-01-18,male,T20,0,Sydney Sixers,runs,2,0,0,0,0,MC Henriques,20,Melbourne Renegades,Sydney Sixers,Melbourne Renegades,field,Docklands Stadium
3.2,MC Henriques,AW O'Brien,0,MJ Lumb,"{'batsman': 4, 'extras': 0, 'total': 4}",0,0.0,0,0.0,0,0,0,0,0,4,0,4,Sydney Sixers,Melbourne,2014-01-18,male,T20,0,Sydney Sixers,runs,2,0,0,0,0,MC Henriques,20,Melbourne Renegades,Sydney Sixers,Melbourne Renegades,field,Docklands Stadium
3.3,MC Henriques,AW O'Brien,0,MJ Lumb,"{'batsman': 6, 'extras': 0, 'total': 6}",0,0.0,0,0.0,0,0,0,0,0,6,0,6,Sydney Sixers,Melbourne,2014-01-18,male,T20,0,Sydney Sixers,runs,2,0,0,0,0,MC Henriques,20,Melbourne Renegades,Sydney Sixers,Melbourne Renegades,field,Docklands Stadium
3.4,MC Henriques,AW O'Brien,0,MJ Lumb,"{'batsman': 4, 'extras': 0, 'total': 4}",0,0.0,0,0.0,0,0,0,0,0,4,0,4,Sydney Sixers,Melbourne,2014-01-18,male,T20,0,Sydney Sixers,runs,2,0,0,0,0,MC Henriques,20,Melbourne Renegades,Sydney Sixers,Melbourne Renegades,field,Docklands Stadium
3.5,MC Henriques,AW O'Brien,0,MJ Lumb,"{'batsman': 4, 'extras': 0, 'total': 4}",0,0.0,0,0.0,0,0,0,0,0,4,0,4,Sydney Sixers,Melbourne,2014-01-18,male,T20,0,Sydney Sixers,runs,2,0,0,0,0,MC Henriques,20,Melbourne Renegades,Sydney Sixers,Melbourne Renegades,field,Docklands Stadium
3.6,MC Henriques,AW O'Brien,0,MJ Lumb,"{'batsman': 0, 'extras': 0, 'total': 0}",0,0.0,0,0.0,0,0,0,0,0,0,0,0,Sydney Sixers,Melbourne,2014-01-18,male,T20,0,Sydney Sixers,runs,2,0,0,0,0,MC Henriques,20,Melbourne Renegades,Sydney Sixers,Melbourne Renegades,field,Docklands Stadium
4.1,MJ Lumb,DJ Bravo,0,MC Henriques,"{'batsman': 0, 'extras': 0, 'total': 0}",0,0.0,0,0.0,0,0,0,0,0,0,0,0,Sydney Sixers,Melbourne,2014-01-18,male,T20,0,Sydney Sixers,runs,2,0,0,0,0,MC Henriques,20,Melbourne Renegades,Sydney Sixers,Melbourne Renegades,field,Docklands Stadium
4.2,MJ Lumb,DJ Bravo,0,MC Henriques,"{'batsman': 0, 'extras': 0, 'total': 0}",0,0.0,0,0.0,0,0,0,0,0,0,0,0,Sydney Sixers,Melbourne,2014-01-18,male,T20,0,Sydney Sixers,runs,2,0,0,0,0,MC Henriques,20,Melbourne Renegades,Sydney Sixers,Melbourne Renegades,field,Docklands Stadium
4.3,MJ Lumb,DJ Bravo,0,MC Henriques,"{'batsman': 4, 'extras': 0, 'total': 4}",0,0.0,0,0.0,0,0,0,0,0,4,0,4,Sydney Sixers,Melbourne,2014-01-18,male,T20,0,Sydney Sixers,runs,2,0,0,0,0,MC Henriques,20,Melbourne Renegades,Sydney Sixers,Melbourne Renegades,field,Docklands Stadium
4.4,MJ Lumb,DJ Bravo,0,MC Henriques,"{'batsman': 0, 'extras': 0, 'total': 0}",0,0.0,0,0.0,0,0,0,0,0,0,0,0,Sydney Sixers,Melbourne,2014-01-18,male,T20,0,Sydney Sixers,runs,2,0,0,0,0,MC Henriques,20,Melbourne Renegades,Sydney Sixers,Melbourne Renegades,field,Docklands Stadium
4.5,MJ Lumb,DJ Bravo,0,MC Henriques,"{'batsman': 2, 'extras': 0, 'total': 2}",0,0.0,0,0.0,0,0,0,0,0,2,0,2,Sydney Sixers,Melbourne,2014-01-18,male,T20,0,Sydney Sixers,runs,2,0,0,0,0,MC Henriques,20,Melbourne Renegades,Sydney Sixers,Melbourne Renegades,field,Docklands Stadium
4.6,MJ Lumb,DJ Bravo,0,MC Henriques,"{'batsman': 2, 'extras': 0, 'total': 2}",0,0.0,0,0.0,0,0,0,0,0,2,0,2,Sydney Sixers,Melbourne,2014-01-18,male,T20,0,Sydney Sixers,runs,2,0,0,0,0,MC Henriques,20,Melbourne Renegades,Sydney Sixers,Melbourne Renegades,field,Docklands Stadium
