delivery,batsman,bowler,extras_dict,non_striker,runs_dict,wicket_dict,wides,noballs,legbyes,byes,penalty,kind,player_out,fielders,runs,extras,total,team,city,date,gender,match_type,neutral_venue,winner,winType,winMargin,result,resultHow,resultTeam,non_boundary,ManOfMatch,overs,team1,team2,tossWinner,tossDecision,venue
0.1,RJ Quiney,MT Steketee,{'wides': 1},LJ Wright,"{'batsman': 0, 'extras': 1, 'total': 1}",0,1.0,0.0,0.0,0,0,0,0,0,0,1,1,Melbourne Stars,0,2017-01-17,male,T20,0,Brisbane Heat,wickets,7,0,0,0,0,MJ Swepson,20,Melbourne Stars,Brisbane Heat,Melbourne Stars,bat,Melbourne Cricket Ground
0.2,RJ Quiney,MT Steketee,0,LJ Wright,"{'batsman': 0, 'extras': 0, 'total': 0}","{'kind': 'bowled', 'player_out': 'RJ Quiney'}",0.0,0.0,0.0,0,0,bowled,RJ Quiney,0,0,0,0,Melbourne Stars,0,2017-01-17,male,T20,0,Brisbane Heat,wickets,7,0,0,0,0,MJ Swepson,20,Melbourne Stars,Brisbane Heat,Melbourne Stars,bat,Melbourne Cricket Ground
0.3,KP Pietersen,MT Steketee,0,LJ Wright,"{'batsman': 0, 'extras': 0, 'total': 0}","{'kind': 'lbw', 'player_out': 'KP Pietersen'}",0.0,0.0,0.0,0,0,lbw,KP Pietersen,0,0,0,0,Melbourne Stars,0,2017-01-17,male,T20,0,Brisbane Heat,wickets,7,0,0,0,0,MJ Swepson,20,Melbourne Stars,Brisbane Heat,Melbourne Stars,bat,Melbourne Cricket Ground
0.4,SE Gotch,MT Steketee,0,LJ Wright,"{'batsman': 1, 'extras': 0, 'total': 1}",0,0.0,0.0,0.0,0,0,0,0,0,1,0,1,Melbourne Stars,0,2017-01-17,male,T20,0,Brisbane Heat,wickets,7,0,0,0,0,MJ Swepson,20,Melbourne Stars,Brisbane Heat,Melbourne Stars,bat,Melbourne Cricket Ground
0.5,LJ Wright,MT Steketee,0,SE Gotch,"{'batsman': 0, 'extras': 0, 'total': 0}",0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,Melbourne Stars,0,2017-01-17,male,T20,0,Brisbane Heat,wickets,7,0,0,0,0,MJ Swepson,20,Melbourne Stars,Brisbane Heat,Melbourne Stars,bat,Melbourne Cricket Ground
0.6,LJ Wright,MT Steketee,0,SE Gotch,"{'batsman': 0, 'extras': 0, 'total': 0}",0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,Melbourne Stars,0,2017-01-17,male,T20,0,Brisbane Heat,wickets,7,0,0,0,0,MJ Swepson,20,Melbourne Stars,Brisbane Heat,Melbourne Stars,bat,Melbourne Cricket Ground
0.7,LJ Wright,MT Steketee,0,SE Gotch,"{'batsman': 0, 'extras': 0, 'total': 0}",0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,Melbourne Stars,0,2017-01-17,male,T20,0,Brisbane Heat,wickets,7,0,0,0,0,MJ Swepson,20,Melbourne Stars,Brisbane Heat,Melbourne Stars,bat,Melbourne Cricket Ground
1.1,SE Gotch,TS Mills,0,LJ Wright,"{'batsman': 0, 'extras': 0, 'total': 0}",0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,Melbourne Stars,0,2017-01-17,male,T20,0,Brisbane Heat,wickets,7,0,0,0,0,MJ Swepson,20,Melbourne Stars,Brisbane Heat,Melbourne Stars,bat,Melbourne Cricket Ground
1.2,SE Gotch,TS Mills,0,LJ Wright,"{'batsman': 1, 'extras': 0, 'total': 1}",0,0.0,0.0,0.0,0,0,0,0,0,1,0,1,Melbourne Stars,0,2017-01-17,male,T20,0,Brisbane Heat,wickets,7,0,0,0,0,MJ Swepson,20,Melbourne Stars,Brisbane Heat,Melbourne Stars,bat,Melbourne Cricket Ground
1.3,LJ Wright,TS Mills,0,SE Gotch,"{'batsman': 0, 'extras': 0, 'total': 0}",0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,Melbourne Stars,0,2017-01-17,male,T20,0,Brisbane Heat,wickets,7,0,0,0,0,MJ Swepson,20,Melbourne Stars,Brisbane Heat,Melbourne Stars,bat,Melbourne Cricket Ground
1.4,LJ Wright,TS Mills,0,SE Gotch,"{'batsman': 0, 'extras': 0, 'total': 0}",0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,Melbourne Stars,0,2017-01-17,male,T20,0,Brisbane Heat,wickets,7,0,0,0,0,MJ Swepson,20,Melbourne Stars,Brisbane Heat,Melbourne Stars,bat,Melbourne Cricket Ground
1.5,LJ Wright,TS Mills,0,SE Gotch,"{'batsman': 1, 'extras': 0, 'total': 1}",0,0.0,0.0,0.0,0,0,0,0,0,1,0,1,Melbourne Stars,0,2017-01-17,male,T20,0,Brisbane Heat,wickets,7,0,0,0,0,MJ Swepson,20,Melbourne Stars,Brisbane Heat,Melbourne Stars,bat,Melbourne Cricket Ground
1.6,SE Gotch,TS Mills,0,LJ Wright,"{'batsman': 1, 'extras': 0, 'total': 1}",0,0.0,0.0,0.0,0,0,0,0,0,1,0,1,Melbourne Stars,0,2017-01-17,male,T20,0,Brisbane Heat,wickets,7,0,0,0,0,MJ Swepson,20,Melbourne Stars,Brisbane Heat,Melbourne Stars,bat,Melbourne Cricket Ground
2.1,SE Gotch,MT Steketee,0,LJ Wright,"{'batsman': 2, 'extras': 0, 'total': 2}",0,0.0,0.0,0.0,0,0,0,0,0,2,0,2,Melbourne Stars,0,2017-01-17,male,T20,0,Brisbane Heat,wickets,7,0,0,0,0,MJ Swepson,20,Melbourne Stars,Brisbane Heat,Melbourne Stars,bat,Melbourne Cricket Ground
2.2,SE Gotch,MT Steketee,0,LJ Wright,"{'batsman': 2, 'extras': 0, 'total': 2}",0,0.0,0.0,0.0,0,0,0,0,0,2,0,2,Melbourne Stars,0,2017-01-17,male,T20,0,Brisbane Heat,wickets,7,0,0,0,0,MJ Swepson,20,Melbourne Stars,Brisbane Heat,Melbourne Stars,bat,Melbourne Cricket Ground
2.3,SE Gotch,MT Steketee,0,LJ Wright,"{'batsman': 1, 'extras': 0, 'total': 1}",0,0.0,0.0,0.0,0,0,0,0,0,1,0,1,Melbourne Stars,0,2017-01-17,male,T20,0,Brisbane Heat,wickets,7,0,0,0,0,MJ Swepson,20,Melbourne Stars,Brisbane Heat,Melbourne Stars,bat,Melbourne Cricket Ground
2.4,LJ Wright,MT Steketee,0,SE Gotch,"{'batsman': 1, 'extras': 0, 'total': 1}",0,0.0,0.0,0.0,0,0,0,0,0,1,0,1,Melbourne Stars,0,2017-01-17,male,T20,0,Brisbane Heat,wickets,7,0,0,0,0,MJ Swepson,20,Melbourne Stars,Brisbane Heat,Melbourne Stars,bat,Melbourne Cricket Ground
2.5,SE Gotch,MT Steketee,0,LJ Wright,"{'batsman': 1, 'extras': 0, 'total': 1}",0,0.0,0.0,0.0,0,0,0,0,0,1,0,1,Melbourne Stars,0,2017-01-17,male,T20,0,Brisbane Heat,wickets,7,0,0,0,0,MJ Swepson,20,Melbourne Stars,Brisbane Heat,Melbourne Stars,bat,Melbourne Cricket Ground
2.6,LJ Wright,MT Steketee,0,SE Gotch,"{'batsman': 0, 'extras': 0, 'total': 0}",0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,Melbourne Stars,0,2017-01-17,male,T20,0,Brisbane Heat,wickets,7,0,0,0,0,MJ Swepson,20,Melbourne Stars,Brisbane Heat,Melbourne Stars,bat,Melbourne Cricket Ground
3.1,SE Gotch,TS Mills,0,LJ Wright,"{'batsman': 1, 'extras': 0, 'total': 1}",0,0.0,0.0,0.0,0,0,0,0,0,1,0,1,Melbourne Stars,0,2017-01-17,male,T20,0,Brisbane Heat,wickets,7,0,0,0,0,MJ Swepson,20,Melbourne Stars,Brisbane Heat,Melbourne Stars,bat,Melbourne Cricket Ground
3.2,LJ Wright,TS Mills,0,SE Gotch,"{'batsman': 1, 'extras': 0, 'total': 1}",0,0.0,0.0,0.0,0,0,0,0,0,1,0,1,Melbourne Stars,0,2017-01-17,male,T20,0,Brisbane Heat,wickets,7,0,0,0,0,MJ Swepson,20,Melbourne Stars,Brisbane Heat,Melbourne Stars,bat,Melbourne Cricket Ground
3.3,SE Gotch,TS Mills,0,LJ Wright,"{'batsman': 0, 'extras': 0, 'total': 0}",0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,Melbourne Stars,0,2017-01-17,male,T20,0,Brisbane Heat,wickets,7,0,0,0,0,MJ Swepson,20,Melbourne Stars,Brisbane Heat,Melbourne Stars,bat,Melbourne Cricket Ground
3.4,SE Gotch,TS Mills,0,LJ Wright,"{'batsman': 1, 'extras': 0, 'total': 1}",0,0.0,0.0,0.0,0,0,0,0,0,1,0,1,Melbourne Stars,0,2017-01-17,male,T20,0,Brisbane Heat,wickets,7,0,0,0,0,MJ Swepson,20,Melbourne Stars,Brisbane Heat,Melbourne Stars,bat,Melbourne Cricket Ground
3.5,LJ Wright,TS Mills,0,SE Gotch,"{'batsman': 1, 'extras': 0, 'total': 1}",0,0.0,0.0,0.0,0,0,0,0,0,1,0,1,Melbourne Stars,0,2017-01-17,male,T20,0,Brisbane Heat,wickets,7,0,0,0,0,MJ Swepson,20,Melbourne Stars,Brisbane Heat,Melbourne Stars,bat,Melbourne Cricket Ground
3.6,SE Gotch,TS Mills,0,LJ Wright,"{'batsman': 2, 'extras': 0, 'total': 2}",0,0.0,0.0,0.0,0,0,0,0,0,2,0,2,Melbourne Stars,0,2017-01-17,male,T20,0,Brisbane Heat,wickets,7,0,0,0,0,MJ Swepson,20,Melbourne Stars,Brisbane Heat,Melbourne Stars,bat,Melbourne Cricket Ground
4.1,LJ Wright,JD Wildermuth,0,SE Gotch,"{'batsman': 1, 'extras': 0, 'total': 1}",0,0.0,0.0,0.0,0,0,0,0,0,1,0,1,Melbourne Stars,0,2017-01-17,male,T20,0,Brisbane Heat,wickets,7,0,0,0,0,MJ Swepson,20,Melbourne Stars,Brisbane Heat,Melbourne Stars,bat,Melbourne Cricket Ground
4.2,SE Gotch,JD Wildermuth,0,LJ Wright,"{'batsman': 4, 'extras': 0, 'total': 4}",0,0.0,0.0,0.0,0,0,0,0,0,4,0,4,Melbourne Stars,0,2017-01-17,male,T20,0,Brisbane Heat,wickets,7,0,0,0,0,MJ Swepson,20,Melbourne Stars,Brisbane Heat,Melbourne Stars,bat,Melbourne Cricket Ground
4.3,SE Gotch,JD Wildermuth,0,LJ Wright,"{'batsman': 3, 'extras': 0, 'total': 3}",0,0.0,0.0,0.0,0,0,0,0,0,3,0,3,Melbourne Stars,0,2017-01-17,male,T20,0,Brisbane Heat,wickets,7,0,0,0,0,MJ Swepson,20,Melbourne Stars,Brisbane Heat,Melbourne Stars,bat,Melbourne Cricket Ground
4.4,LJ Wright,JD Wildermuth,0,SE Gotch,"{'batsman': 4, 'extras': 0, 'total': 4}",0,0.0,0.0,0.0,0,0,0,0,0,4,0,4,Melbourne Stars,0,2017-01-17,male,T20,0,Brisbane Heat,wickets,7,0,0,0,0,MJ Swepson,20,Melbourne Stars,Brisbane Heat,Melbourne Stars,bat,Melbourne Cricket Ground
4.5,LJ Wright,JD Wildermuth,0,SE Gotch,"{'batsman': 1, 'extras': 0, 'total': 1}",0,0.0,0.0,0.0,0,0,0,0,0,1,0,1,Melbourne Stars,0,2017-01-17,male,T20,0,Brisbane Heat,wickets,7,0,0,0,0,MJ Swepson,20,Melbourne Stars,Brisbane Heat,Melbourne Stars,bat,Melbourne Cricket Ground
4.6,SE Gotch,JD Wildermuth,0,LJ Wright,"{'batsman': 0, 'extras': 0, 'total': 0}",0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,Melbourne Stars,0,2017-01-17,male,T20,0,Brisbane Heat,wickets,7,0,0,0,0,MJ Swepson,20,Melbourne Stars,Brisbane Heat,Melbourne Stars,bat,Melbourne Cricket Ground
5.1,LJ Wright,BCJ Cutting,{'legbyes': 1},SE Gotch,"{'batsman': 0, 'extras': 1, 'total': 1}",0,0.0,0.0,1.0,0,0,0,0,0,0,1,1,Melbourne Stars,0,2017-01-17,male,T20,0,Brisbane Heat,wickets,7,0,0,0,0,MJ Swepson,20,Melbourne Stars,Brisbane Heat,Melbourne Stars,bat,Melbourne Cricket Ground
5.2,SE Gotch,BCJ Cutting,0,LJ Wright,"{'batsman': 1, 'extras': 0, 'total': 1}",0,0.0,0.0,0.0,0,0,0,0,0,1,0,1,Melbourne Stars,0,2017-01-17,male,T20,0,Brisbane Heat,wickets,7,0,0,0,0,MJ Swepson,20,Melbourne Stars,Brisbane Heat,Melbourne Stars,bat,Melbourne Cricket Ground
5.3,LJ Wright,BCJ Cutting,0,SE Gotch,"{'batsman': 1, 'extras': 0, 'total': 1}",0,0.0,0.0,0.0,0,0,0,0,0,1,0,1,Melbourne Stars,0,2017-01-17,male,T20,0,Brisbane Heat,wickets,7,0,0,0,0,MJ Swepson,20,Melbourne Stars,Brisbane Heat,Melbourne Stars,bat,Melbourne Cricket Ground
