delivery,batsman,bowler,extras_dict,non_striker,runs_dict,wicket_dict,wides,noballs,legbyes,byes,penalty,kind,player_out,fielders,runs,extras,total,team,city,date,gender,match_type,neutral_venue,winner,winType,winMargin,result,resultHow,resultTeam,non_boundary,ManOfMatch,overs,team1,team2,tossWinner,tossDecision,venue
0.1,RJ Quiney,CH Gayle,0,MS Wade,"{'batsman': 0, 'extras': 0, 'total': 0}",0,0.0,0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,Melbourne Stars,0,2011-12-17,male,T20,0,Sydney Thunder,wickets,6,0,0,0,0,DA Warner,20,Melbourne Stars,Sydney Thunder,Sydney Thunder,field,Melbourne Cricket Ground
0.2,RJ Quiney,CH Gayle,0,MS Wade,"{'batsman': 1, 'extras': 0, 'total': 1}",0,0.0,0,0.0,0.0,0,0,0,0,1.0,0.0,1.0,Melbourne Stars,0,2011-12-17,male,T20,0,Sydney Thunder,wickets,6,0,0,0,0,DA Warner,20,Melbourne Stars,Sydney Thunder,Sydney Thunder,field,Melbourne Cricket Ground
0.3,MS Wade,CH Gayle,0,RJ Quiney,"{'batsman': 0, 'extras': 0, 'total': 0}",0,0.0,0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,Melbourne Stars,0,2011-12-17,male,T20,0,Sydney Thunder,wickets,6,0,0,0,0,DA Warner,20,Melbourne Stars,Sydney Thunder,Sydney Thunder,field,Melbourne Cricket Ground
0.4,MS Wade,CH Gayle,{'wides': 1},RJ Quiney,"{'batsman': 0, 'extras': 1, 'total': 1}",0,1.0,0,0.0,0.0,0,0,0,0,0.0,1.0,1.0,Melbourne Stars,0,2011-12-17,male,T20,0,Sydney Thunder,wickets,6,0,0,0,0,DA Warner,20,Melbourne Stars,Sydney Thunder,Sydney Thunder,field,Melbourne Cricket Ground
0.5,MS Wade,CH Gayle,0,RJ Quiney,"{'batsman': 1, 'extras': 0, 'total': 1}",0,0.0,0,0.0,0.0,0,0,0,0,1.0,0.0,1.0,Melbourne Stars,0,2011-12-17,male,T20,0,Sydney Thunder,wickets,6,0,0,0,0,DA Warner,20,Melbourne Stars,Sydney Thunder,Sydney Thunder,field,Melbourne Cricket Ground
0.6,RJ Quiney,CH Gayle,0,MS Wade,"{'batsman': 0, 'extras': 0, 'total': 0}",0,0.0,0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,Melbourne Stars,0,2011-12-17,male,T20,0,Sydney Thunder,wickets,6,0,0,0,0,DA Warner,20,Melbourne Stars,Sydney Thunder,Sydney Thunder,field,Melbourne Cricket Ground
0.7,RJ Quiney,CH Gayle,0,MS Wade,"{'batsman': 0, 'extras': 0, 'total': 0}",0,0.0,0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,Melbourne Stars,0,2011-12-17,male,T20,0,Sydney Thunder,wickets,6,0,0,0,0,DA Warner,20,Melbourne Stars,Sydney Thunder,Sydney Thunder,field,Melbourne Cricket Ground
1.1,MS Wade,DE Bollinger,0,RJ Quiney,"{'batsman': 1, 'extras': 0, 'total': 1}",0,0.0,0,0.0,0.0,0,0,0,0,1.0,0.0,1.0,Melbourne Stars,0,2011-12-17,male,T20,0,Sydney Thunder,wickets,6,0,0,0,0,DA Warner,20,Melbourne Stars,Sydney Thunder,Sydney Thunder,field,Melbourne Cricket Ground
1.2,RJ Quiney,DE Bollinger,0,MS Wade,"{'batsman': 6, 'extras': 0, 'total': 6}",0,0.0,0,0.0,0.0,0,0,0,0,6.0,0.0,6.0,Melbourne Stars,0,2011-12-17,male,T20,0,Sydney Thunder,wickets,6,0,0,0,0,DA Warner,20,Melbourne Stars,Sydney Thunder,Sydney Thunder,field,Melbourne Cricket Ground
1.3,RJ Quiney,DE Bollinger,0,MS Wade,"{'batsman': 0, 'extras': 0, 'total': 0}",0,0.0,0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,Melbourne Stars,0,2011-12-17,male,T20,0,Sydney Thunder,wickets,6,0,0,0,0,DA Warner,20,Melbourne Stars,Sydney Thunder,Sydney Thunder,field,Melbourne Cricket Ground
1.4,RJ Quiney,DE Bollinger,0,MS Wade,"{'batsman': 0, 'extras': 0, 'total': 0}",0,0.0,0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,Melbourne Stars,0,2011-12-17,male,T20,0,Sydney Thunder,wickets,6,0,0,0,0,DA Warner,20,Melbourne Stars,Sydney Thunder,Sydney Thunder,field,Melbourne Cricket Ground
1.5,RJ Quiney,DE Bollinger,0,MS Wade,"{'batsman': 0, 'extras': 0, 'total': 0}",0,0.0,0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,Melbourne Stars,0,2011-12-17,male,T20,0,Sydney Thunder,wickets,6,0,0,0,0,DA Warner,20,Melbourne Stars,Sydney Thunder,Sydney Thunder,field,Melbourne Cricket Ground
1.6,RJ Quiney,DE Bollinger,0,MS Wade,"{'batsman': 0, 'extras': 0, 'total': 0}","{'fielders': ['FH Edwards'], 'kind': 'caught', 'player_out': 'RJ Quiney'}",0.0,0,0.0,0.0,0,caught,RJ Quiney,['FH Edwards'],0.0,0.0,0.0,Melbourne Stars,0,2011-12-17,male,T20,0,Sydney Thunder,wickets,6,0,0,0,0,DA Warner,20,Melbourne Stars,Sydney Thunder,Sydney Thunder,field,Melbourne Cricket Ground
2.1,MS Wade,FH Edwards,0,GJ Bailey,"{'batsman': 1, 'extras': 0, 'total': 1}",0,0.0,0,0.0,0.0,0,0,0,0,1.0,0.0,1.0,Melbourne Stars,0,2011-12-17,male,T20,0,Sydney Thunder,wickets,6,0,0,0,0,DA Warner,20,Melbourne Stars,Sydney Thunder,Sydney Thunder,field,Melbourne Cricket Ground
2.2,GJ Bailey,FH Edwards,{'wides': 1},MS Wade,"{'batsman': 0, 'extras': 1, 'total': 1}",0,1.0,0,0.0,0.0,0,0,0,0,0.0,1.0,1.0,Melbourne Stars,0,2011-12-17,male,T20,0,Sydney Thunder,wickets,6,0,0,0,0,DA Warner,20,Melbourne Stars,Sydney Thunder,Sydney Thunder,field,Melbourne Cricket Ground
2.3,GJ Bailey,FH Edwards,0,MS Wade,"{'batsman': 4, 'extras': 0, 'total': 4}",0,0.0,0,0.0,0.0,0,0,0,0,4.0,0.0,4.0,Melbourne Stars,0,2011-12-17,male,T20,0,Sydney Thunder,wickets,6,0,0,0,0,DA Warner,20,Melbourne Stars,Sydney Thunder,Sydney Thunder,field,Melbourne Cricket Ground
2.4,GJ Bailey,FH Edwards,0,MS Wade,"{'batsman': 0, 'extras': 0, 'total': 0}",0,0.0,0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,Melbourne Stars,0,2011-12-17,male,T20,0,Sydney Thunder,wickets,6,0,0,0,0,DA Warner,20,Melbourne Stars,Sydney Thunder,Sydney Thunder,field,Melbourne Cricket Ground
2.5,GJ Bailey,FH Edwards,{'legbyes': 1},MS Wade,"{'batsman': 0, 'extras': 1, 'total': 1}",0,0.0,0,1.0,0.0,0,0,0,0,0.0,1.0,1.0,Melbourne Stars,0,2011-12-17,male,T20,0,Sydney Thunder,wickets,6,0,0,0,0,DA Warner,20,Melbourne Stars,Sydney Thunder,Sydney Thunder,field,Melbourne Cricket Ground
2.6,MS Wade,FH Edwards,0,GJ Bailey,"{'batsman': 4, 'extras': 0, 'total': 4}",0,0.0,0,0.0,0.0,0,0,0,0,4.0,0.0,4.0,Melbourne Stars,0,2011-12-17,male,T20,0,Sydney Thunder,wickets,6,0,0,0,0,DA Warner,20,Melbourne Stars,Sydney Thunder,Sydney Thunder,field,Melbourne Cricket Ground
2.7,MS Wade,FH Edwards,0,GJ Bailey,"{'batsman': 0, 'extras': 0, 'total': 0}",0,0.0,0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,Melbourne Stars,0,2011-12-17,male,T20,0,Sydney Thunder,wickets,6,0,0,0,0,DA Warner,20,Melbourne Stars,Sydney Thunder,Sydney Thunder,field,Melbourne Cricket Ground
3.1,GJ Bailey,DE Bollinger,0,MS Wade,"{'batsman': 0, 'extras': 0, 'total': 0}",0,0.0,0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,Melbourne Stars,0,2011-12-17,male,T20,0,Sydney Thunder,wickets,6,0,0,0,0,DA Warner,20,Melbourne Stars,Sydney Thunder,Sydney Thunder,field,Melbourne Cricket Ground
3.2,GJ Bailey,DE Bollinger,0,MS Wade,"{'batsman': 0, 'extras': 0, 'total': 0}",0,0.0,0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,Melbourne Stars,0,2011-12-17,male,T20,0,Sydney Thunder,wickets,6,0,0,0,0,DA Warner,20,Melbourne Stars,Sydney Thunder,Sydney Thunder,field,Melbourne Cricket Ground
3.3,GJ Bailey,DE Bollinger,0,MS Wade,"{'batsman': 0, 'extras': 0, 'total': 0}",0,0.0,0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,Melbourne Stars,0,2011-12-17,male,T20,0,Sydney Thunder,wickets,6,0,0,0,0,DA Warner,20,Melbourne Stars,Sydney Thunder,Sydney Thunder,field,Melbourne Cricket Ground
3.4,GJ Bailey,DE Bollinger,0,MS Wade,"{'batsman': 4, 'extras': 0, 'total': 4}",0,0.0,0,0.0,0.0,0,0,0,0,4.0,0.0,4.0,Melbourne Stars,0,2011-12-17,male,T20,0,Sydney Thunder,wickets,6,0,0,0,0,DA Warner,20,Melbourne Stars,Sydney Thunder,Sydney Thunder,field,Melbourne Cricket Ground
