delivery,batsman,bowler,extras_dict,non_striker,runs_dict,wicket_dict,wides,noballs,legbyes,byes,penalty,kind,player_out,fielders,runs,extras,total,team,city,date,gender,match_type,neutral_venue,winner,winType,winMargin,result,resultHow,resultTeam,non_boundary,ManOfMatch,overs,team1,team2,tossWinner,tossDecision,venue
0.1,JJ Peirson,JP Behrendorff,0,LMP Simmons,"{'batsman': 1, 'extras': 0, 'total': 1}",0,0.0,0,0.0,0.0,0,0,0,0,1,0,1,Brisbane Heat,Perth,2015-12-26,male,T20,0,Perth Scorchers,wickets,9,0,0,0,0,DJ Willey,20,Perth Scorchers,Brisbane Heat,Brisbane Heat,bat,Western Australia Cricket Association Ground
0.2,LMP Simmons,JP Behrendorff,{'wides': 1},JJ Peirson,"{'batsman': 0, 'extras': 1, 'total': 1}",0,1.0,0,0.0,0.0,0,0,0,0,0,1,1,Brisbane Heat,Perth,2015-12-26,male,T20,0,Perth Scorchers,wickets,9,0,0,0,0,DJ Willey,20,Perth Scorchers,Brisbane Heat,Brisbane Heat,bat,Western Australia Cricket Association Ground
0.3,LMP Simmons,JP Behrendorff,0,JJ Peirson,"{'batsman': 0, 'extras': 0, 'total': 0}","{'fielders': ['CT Bancroft'], 'kind': 'caught', 'player_out': 'LMP Simmons'}",0.0,0,0.0,0.0,0,caught,LMP Simmons,['CT Bancroft'],0,0,0,Brisbane Heat,Perth,2015-12-26,male,T20,0,Perth Scorchers,wickets,9,0,0,0,0,DJ Willey,20,Perth Scorchers,Brisbane Heat,Brisbane Heat,bat,Western Australia Cricket Association Ground
0.4,CA Lynn,JP Behrendorff,0,JJ Peirson,"{'batsman': 0, 'extras': 0, 'total': 0}",0,0.0,0,0.0,0.0,0,0,0,0,0,0,0,Brisbane Heat,Perth,2015-12-26,male,T20,0,Perth Scorchers,wickets,9,0,0,0,0,DJ Willey,20,Perth Scorchers,Brisbane Heat,Brisbane Heat,bat,Western Australia Cricket Association Ground
0.5,CA Lynn,JP Behrendorff,0,JJ Peirson,"{'batsman': 1, 'extras': 0, 'total': 1}",0,0.0,0,0.0,0.0,0,0,0,0,1,0,1,Brisbane Heat,Perth,2015-12-26,male,T20,0,Perth Scorchers,wickets,9,0,0,0,0,DJ Willey,20,Perth Scorchers,Brisbane Heat,Brisbane Heat,bat,Western Australia Cricket Association Ground
0.6,JJ Peirson,JP Behrendorff,0,CA Lynn,"{'batsman': 1, 'extras': 0, 'total': 1}",0,0.0,0,0.0,0.0,0,0,0,0,1,0,1,Brisbane Heat,Perth,2015-12-26,male,T20,0,Perth Scorchers,wickets,9,0,0,0,0,DJ Willey,20,Perth Scorchers,Brisbane Heat,Brisbane Heat,bat,Western Australia Cricket Association Ground
0.7,CA Lynn,JP Behrendorff,0,JJ Peirson,"{'batsman': 1, 'extras': 0, 'total': 1}",0,0.0,0,0.0,0.0,0,0,0,0,1,0,1,Brisbane Heat,Perth,2015-12-26,male,T20,0,Perth Scorchers,wickets,9,0,0,0,0,DJ Willey,20,Perth Scorchers,Brisbane Heat,Brisbane Heat,bat,Western Australia Cricket Association Ground
1.1,CA Lynn,JS Paris,0,JJ Peirson,"{'batsman': 0, 'extras': 0, 'total': 0}",0,0.0,0,0.0,0.0,0,0,0,0,0,0,0,Brisbane Heat,Perth,2015-12-26,male,T20,0,Perth Scorchers,wickets,9,0,0,0,0,DJ Willey,20,Perth Scorchers,Brisbane Heat,Brisbane Heat,bat,Western Australia Cricket Association Ground
1.2,CA Lynn,JS Paris,0,JJ Peirson,"{'batsman': 0, 'extras': 0, 'total': 0}",0,0.0,0,0.0,0.0,0,0,0,0,0,0,0,Brisbane Heat,Perth,2015-12-26,male,T20,0,Perth Scorchers,wickets,9,0,0,0,0,DJ Willey,20,Perth Scorchers,Brisbane Heat,Brisbane Heat,bat,Western Australia Cricket Association Ground
1.3,CA Lynn,JS Paris,0,JJ Peirson,"{'batsman': 2, 'extras': 0, 'total': 2}",0,0.0,0,0.0,0.0,0,0,0,0,2,0,2,Brisbane Heat,Perth,2015-12-26,male,T20,0,Perth Scorchers,wickets,9,0,0,0,0,DJ Willey,20,Perth Scorchers,Brisbane Heat,Brisbane Heat,bat,Western Australia Cricket Association Ground
