delivery,batsman,bowler,extras_dict,non_striker,runs_dict,wicket_dict,wides,noballs,legbyes,byes,penalty,kind,player_out,fielders,runs,extras,total,team,city,date,gender,match_type,neutral_venue,winner,winType,winMargin,result,resultHow,resultTeam,non_boundary,ManOfMatch,overs,team1,team2,tossWinner,tossDecision,venue
0.1,MJ Lumb,JP Behrendorff,0,MH Wessels,"{'batsman': 0, 'extras': 0, 'total': 0}",0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,Sydney Sixers,Canberra,2015-01-28,male,T20,0,Perth Scorchers,wickets,4,0,0,0,0,SE Marsh,20,Perth Scorchers,Sydney Sixers,Sydney Sixers,bat,Manuka Oval
0.2,MJ Lumb,JP Behrendorff,0,MH Wessels,"{'batsman': 0, 'extras': 0, 'total': 0}",0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,Sydney Sixers,Canberra,2015-01-28,male,T20,0,Perth Scorchers,wickets,4,0,0,0,0,SE Marsh,20,Perth Scorchers,Sydney Sixers,Sydney Sixers,bat,Manuka Oval
0.3,MJ Lumb,JP Behrendorff,0,MH Wessels,"{'batsman': 1, 'extras': 0, 'total': 1}",0,0.0,0.0,0.0,0,0,0,0,0,1,0,1,Sydney Sixers,Canberra,2015-01-28,male,T20,0,Perth Scorchers,wickets,4,0,0,0,0,SE Marsh,20,Perth Scorchers,Sydney Sixers,Sydney Sixers,bat,Manuka Oval
0.4,MH Wessels,JP Behrendorff,0,MJ Lumb,"{'batsman': 0, 'extras': 0, 'total': 0}",0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,Sydney Sixers,Canberra,2015-01-28,male,T20,0,Perth Scorchers,wickets,4,0,0,0,0,SE Marsh,20,Perth Scorchers,Sydney Sixers,Sydney Sixers,bat,Manuka Oval
0.5,MH Wessels,JP Behrendorff,0,MJ Lumb,"{'batsman': 1, 'extras': 0, 'total': 1}",0,0.0,0.0,0.0,0,0,0,0,0,1,0,1,Sydney Sixers,Canberra,2015-01-28,male,T20,0,Perth Scorchers,wickets,4,0,0,0,0,SE Marsh,20,Perth Scorchers,Sydney Sixers,Sydney Sixers,bat,Manuka Oval
0.6,MJ Lumb,JP Behrendorff,0,MH Wessels,"{'batsman': 1, 'extras': 0, 'total': 1}",0,0.0,0.0,0.0,0,0,0,0,0,1,0,1,Sydney Sixers,Canberra,2015-01-28,male,T20,0,Perth Scorchers,wickets,4,0,0,0,0,SE Marsh,20,Perth Scorchers,Sydney Sixers,Sydney Sixers,bat,Manuka Oval
1.1,MJ Lumb,NM Coulter-Nile,0,MH Wessels,"{'batsman': 0, 'extras': 0, 'total': 0}",0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,Sydney Sixers,Canberra,2015-01-28,male,T20,0,Perth Scorchers,wickets,4,0,0,0,0,SE Marsh,20,Perth Scorchers,Sydney Sixers,Sydney Sixers,bat,Manuka Oval
1.2,MJ Lumb,NM Coulter-Nile,0,MH Wessels,"{'batsman': 1, 'extras': 0, 'total': 1}",0,0.0,0.0,0.0,0,0,0,0,0,1,0,1,Sydney Sixers,Canberra,2015-01-28,male,T20,0,Perth Scorchers,wickets,4,0,0,0,0,SE Marsh,20,Perth Scorchers,Sydney Sixers,Sydney Sixers,bat,Manuka Oval
1.3,MH Wessels,NM Coulter-Nile,0,MJ Lumb,"{'batsman': 1, 'extras': 0, 'total': 1}",0,0.0,0.0,0.0,0,0,0,0,0,1,0,1,Sydney Sixers,Canberra,2015-01-28,male,T20,0,Perth Scorchers,wickets,4,0,0,0,0,SE Marsh,20,Perth Scorchers,Sydney Sixers,Sydney Sixers,bat,Manuka Oval
1.4,MJ Lumb,NM Coulter-Nile,0,MH Wessels,"{'batsman': 0, 'extras': 0, 'total': 0}",0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,Sydney Sixers,Canberra,2015-01-28,male,T20,0,Perth Scorchers,wickets,4,0,0,0,0,SE Marsh,20,Perth Scorchers,Sydney Sixers,Sydney Sixers,bat,Manuka Oval
