delivery,batsman,bowler,extras_dict,non_striker,runs_dict,wicket_dict,wides,noballs,legbyes,byes,penalty,kind,player_out,fielders,runs,extras,total,team,city,date,gender,match_type,neutral_venue,winner,winType,winMargin,result,resultHow,resultTeam,non_boundary,ManOfMatch,overs,team1,team2,tossWinner,tossDecision,venue
0.1,MS Harris,B Lee,0,M Klinger,"{'batsman': 0, 'extras': 0, 'total': 0}",0,0.0,0,0.0,0,0,0,0,0,0,0,0,Perth Scorchers,0,2014-12-29,male,T20,0,Perth Scorchers,runs,36,0,0,0,0,AJ Tye,20,Sydney Sixers,Perth Scorchers,Perth Scorchers,bat,Sydney Cricket Ground
0.2,MS Harris,B Lee,0,M Klinger,"{'batsman': 1, 'extras': 0, 'total': 1}",0,0.0,0,0.0,0,0,0,0,0,1,0,1,Perth Scorchers,0,2014-12-29,male,T20,0,Perth Scorchers,runs,36,0,0,0,0,AJ Tye,20,Sydney Sixers,Perth Scorchers,Perth Scorchers,bat,Sydney Cricket Ground
0.3,M Klinger,B Lee,0,MS Harris,"{'batsman': 0, 'extras': 0, 'total': 0}",0,0.0,0,0.0,0,0,0,0,0,0,0,0,Perth Scorchers,0,2014-12-29,male,T20,0,Perth Scorchers,runs,36,0,0,0,0,AJ Tye,20,Sydney Sixers,Perth Scorchers,Perth Scorchers,bat,Sydney Cricket Ground
0.4,M Klinger,B Lee,0,MS Harris,"{'batsman': 1, 'extras': 0, 'total': 1}",0,0.0,0,0.0,0,0,0,0,0,1,0,1,Perth Scorchers,0,2014-12-29,male,T20,0,Perth Scorchers,runs,36,0,0,0,0,AJ Tye,20,Sydney Sixers,Perth Scorchers,Perth Scorchers,bat,Sydney Cricket Ground
0.5,MS Harris,B Lee,0,M Klinger,"{'batsman': 0, 'extras': 0, 'total': 0}",0,0.0,0,0.0,0,0,0,0,0,0,0,0,Perth Scorchers,0,2014-12-29,male,T20,0,Perth Scorchers,runs,36,0,0,0,0,AJ Tye,20,Sydney Sixers,Perth Scorchers,Perth Scorchers,bat,Sydney Cricket Ground
0.6,MS Harris,B Lee,0,M Klinger,"{'batsman': 1, 'extras': 0, 'total': 1}",0,0.0,0,0.0,0,0,0,0,0,1,0,1,Perth Scorchers,0,2014-12-29,male,T20,0,Perth Scorchers,runs,36,0,0,0,0,AJ Tye,20,Sydney Sixers,Perth Scorchers,Perth Scorchers,bat,Sydney Cricket Ground
1.1,MS Harris,MA Starc,0,M Klinger,"{'batsman': 4, 'extras': 0, 'total': 4}",0,0.0,0,0.0,0,0,0,0,0,4,0,4,Perth Scorchers,0,2014-12-29,male,T20,0,Perth Scorchers,runs,36,0,0,0,0,AJ Tye,20,Sydney Sixers,Perth Scorchers,Perth Scorchers,bat,Sydney Cricket Ground
1.2,MS Harris,MA Starc,0,M Klinger,"{'batsman': 1, 'extras': 0, 'total': 1}",0,0.0,0,0.0,0,0,0,0,0,1,0,1,Perth Scorchers,0,2014-12-29,male,T20,0,Perth Scorchers,runs,36,0,0,0,0,AJ Tye,20,Sydney Sixers,Perth Scorchers,Perth Scorchers,bat,Sydney Cricket Ground
1.3,M Klinger,MA Starc,0,MS Harris,"{'batsman': 0, 'extras': 0, 'total': 0}",0,0.0,0,0.0,0,0,0,0,0,0,0,0,Perth Scorchers,0,2014-12-29,male,T20,0,Perth Scorchers,runs,36,0,0,0,0,AJ Tye,20,Sydney Sixers,Perth Scorchers,Perth Scorchers,bat,Sydney Cricket Ground
1.4,M Klinger,MA Starc,0,MS Harris,"{'batsman': 0, 'extras': 0, 'total': 0}",0,0.0,0,0.0,0,0,0,0,0,0,0,0,Perth Scorchers,0,2014-12-29,male,T20,0,Perth Scorchers,runs,36,0,0,0,0,AJ Tye,20,Sydney Sixers,Perth Scorchers,Perth Scorchers,bat,Sydney Cricket Ground
1.5,M Klinger,MA Starc,0,MS Harris,"{'batsman': 4, 'extras': 0, 'total': 4}",0,0.0,0,0.0,0,0,0,0,0,4,0,4,Perth Scorchers,0,2014-12-29,male,T20,0,Perth Scorchers,runs,36,0,0,0,0,AJ Tye,20,Sydney Sixers,Perth Scorchers,Perth Scorchers,bat,Sydney Cricket Ground
1.6,M Klinger,MA Starc,{'wides': 1},MS Harris,"{'batsman': 0, 'extras': 1, 'total': 1}",0,1.0,0,0.0,0,0,0,0,0,0,1,1,Perth Scorchers,0,2014-12-29,male,T20,0,Perth Scorchers,runs,36,0,0,0,0,AJ Tye,20,Sydney Sixers,Perth Scorchers,Perth Scorchers,bat,Sydney Cricket Ground
1.7,M Klinger,MA Starc,0,MS Harris,"{'batsman': 1, 'extras': 0, 'total': 1}",0,0.0,0,0.0,0,0,0,0,0,1,0,1,Perth Scorchers,0,2014-12-29,male,T20,0,Perth Scorchers,runs,36,0,0,0,0,AJ Tye,20,Sydney Sixers,Perth Scorchers,Perth Scorchers,bat,Sydney Cricket Ground
2.1,M Klinger,DE Bollinger,0,MS Harris,"{'batsman': 4, 'extras': 0, 'total': 4}",0,0.0,0,0.0,0,0,0,0,0,4,0,4,Perth Scorchers,0,2014-12-29,male,T20,0,Perth Scorchers,runs,36,0,0,0,0,AJ Tye,20,Sydney Sixers,Perth Scorchers,Perth Scorchers,bat,Sydney Cricket Ground
2.2,M Klinger,DE Bollinger,0,MS Harris,"{'batsman': 0, 'extras': 0, 'total': 0}",0,0.0,0,0.0,0,0,0,0,0,0,0,0,Perth Scorchers,0,2014-12-29,male,T20,0,Perth Scorchers,runs,36,0,0,0,0,AJ Tye,20,Sydney Sixers,Perth Scorchers,Perth Scorchers,bat,Sydney Cricket Ground
