delivery,batsman,bowler,extras_dict,non_striker,runs_dict,wicket_dict,wides,noballs,legbyes,byes,penalty,kind,player_out,fielders,runs,extras,total,team,city,date,gender,match_type,neutral_venue,winner,winType,winMargin,result,resultHow,resultTeam,non_boundary,ManOfMatch,overs,team1,team2,tossWinner,tossDecision,venue
0.1,DP Hughes,CJ Green,0,MJ Lumb,"{'batsman': 0, 'extras': 0, 'total': 0}",0,0.0,0,0.0,0.0,0,0,0,0,0,0,0,Sydney Sixers,0,2017-01-14,male,T20,0,Sydney Thunder,wickets,8,0,0,0,0,Fawad Ahmed,20,Sydney Sixers,Sydney Thunder,Sydney Sixers,bat,Sydney Cricket Ground
0.2,DP Hughes,CJ Green,0,MJ Lumb,"{'batsman': 1, 'extras': 0, 'total': 1}",0,0.0,0,0.0,0.0,0,0,0,0,1,0,1,Sydney Sixers,0,2017-01-14,male,T20,0,Sydney Thunder,wickets,8,0,0,0,0,Fawad Ahmed,20,Sydney Sixers,Sydney Thunder,Sydney Sixers,bat,Sydney Cricket Ground
0.3,MJ Lumb,CJ Green,0,DP Hughes,"{'batsman': 0, 'extras': 0, 'total': 0}",0,0.0,0,0.0,0.0,0,0,0,0,0,0,0,Sydney Sixers,0,2017-01-14,male,T20,0,Sydney Thunder,wickets,8,0,0,0,0,Fawad Ahmed,20,Sydney Sixers,Sydney Thunder,Sydney Sixers,bat,Sydney Cricket Ground
0.4,MJ Lumb,CJ Green,0,DP Hughes,"{'batsman': 1, 'extras': 0, 'total': 1}",0,0.0,0,0.0,0.0,0,0,0,0,1,0,1,Sydney Sixers,0,2017-01-14,male,T20,0,Sydney Thunder,wickets,8,0,0,0,0,Fawad Ahmed,20,Sydney Sixers,Sydney Thunder,Sydney Sixers,bat,Sydney Cricket Ground
0.5,DP Hughes,CJ Green,0,MJ Lumb,"{'batsman': 0, 'extras': 0, 'total': 0}",0,0.0,0,0.0,0.0,0,0,0,0,0,0,0,Sydney Sixers,0,2017-01-14,male,T20,0,Sydney Thunder,wickets,8,0,0,0,0,Fawad Ahmed,20,Sydney Sixers,Sydney Thunder,Sydney Sixers,bat,Sydney Cricket Ground
0.6,DP Hughes,CJ Green,0,MJ Lumb,"{'batsman': 0, 'extras': 0, 'total': 0}",0,0.0,0,0.0,0.0,0,0,0,0,0,0,0,Sydney Sixers,0,2017-01-14,male,T20,0,Sydney Thunder,wickets,8,0,0,0,0,Fawad Ahmed,20,Sydney Sixers,Sydney Thunder,Sydney Sixers,bat,Sydney Cricket Ground
1.1,MJ Lumb,CJ McKay,0,DP Hughes,"{'batsman': 4, 'extras': 0, 'total': 4}",0,0.0,0,0.0,0.0,0,0,0,0,4,0,4,Sydney Sixers,0,2017-01-14,male,T20,0,Sydney Thunder,wickets,8,0,0,0,0,Fawad Ahmed,20,Sydney Sixers,Sydney Thunder,Sydney Sixers,bat,Sydney Cricket Ground
1.2,MJ Lumb,CJ McKay,0,DP Hughes,"{'batsman': 4, 'extras': 0, 'total': 4}",0,0.0,0,0.0,0.0,0,0,0,0,4,0,4,Sydney Sixers,0,2017-01-14,male,T20,0,Sydney Thunder,wickets,8,0,0,0,0,Fawad Ahmed,20,Sydney Sixers,Sydney Thunder,Sydney Sixers,bat,Sydney Cricket Ground
1.3,MJ Lumb,CJ McKay,0,DP Hughes,"{'batsman': 0, 'extras': 0, 'total': 0}",0,0.0,0,0.0,0.0,0,0,0,0,0,0,0,Sydney Sixers,0,2017-01-14,male,T20,0,Sydney Thunder,wickets,8,0,0,0,0,Fawad Ahmed,20,Sydney Sixers,Sydney Thunder,Sydney Sixers,bat,Sydney Cricket Ground
1.4,MJ Lumb,CJ McKay,{'wides': 1},DP Hughes,"{'batsman': 0, 'extras': 1, 'total': 1}",0,1.0,0,0.0,0.0,0,0,0,0,0,1,1,Sydney Sixers,0,2017-01-14,male,T20,0,Sydney Thunder,wickets,8,0,0,0,0,Fawad Ahmed,20,Sydney Sixers,Sydney Thunder,Sydney Sixers,bat,Sydney Cricket Ground
1.5,MJ Lumb,CJ McKay,0,DP Hughes,"{'batsman': 1, 'extras': 0, 'total': 1}",0,0.0,0,0.0,0.0,0,0,0,0,1,0,1,Sydney Sixers,0,2017-01-14,male,T20,0,Sydney Thunder,wickets,8,0,0,0,0,Fawad Ahmed,20,Sydney Sixers,Sydney Thunder,Sydney Sixers,bat,Sydney Cricket Ground
1.6,DP Hughes,CJ McKay,0,MJ Lumb,"{'batsman': 1, 'extras': 0, 'total': 1}",0,0.0,0,0.0,0.0,0,0,0,0,1,0,1,Sydney Sixers,0,2017-01-14,male,T20,0,Sydney Thunder,wickets,8,0,0,0,0,Fawad Ahmed,20,Sydney Sixers,Sydney Thunder,Sydney Sixers,bat,Sydney Cricket Ground
1.7,MJ Lumb,CJ McKay,0,DP Hughes,"{'batsman': 1, 'extras': 0, 'total': 1}",0,0.0,0,0.0,0.0,0,0,0,0,1,0,1,Sydney Sixers,0,2017-01-14,male,T20,0,Sydney Thunder,wickets,8,0,0,0,0,Fawad Ahmed,20,Sydney Sixers,Sydney Thunder,Sydney Sixers,bat,Sydney Cricket Ground
2.1,MJ Lumb,CJ Green,0,DP Hughes,"{'batsman': 0, 'extras': 0, 'total': 0}",0,0.0,0,0.0,0.0,0,0,0,0,0,0,0,Sydney Sixers,0,2017-01-14,male,T20,0,Sydney Thunder,wickets,8,0,0,0,0,Fawad Ahmed,20,Sydney Sixers,Sydney Thunder,Sydney Sixers,bat,Sydney Cricket Ground
2.2,MJ Lumb,CJ Green,0,DP Hughes,"{'batsman': 0, 'extras': 0, 'total': 0}",0,0.0,0,0.0,0.0,0,0,0,0,0,0,0,Sydney Sixers,0,2017-01-14,male,T20,0,Sydney Thunder,wickets,8,0,0,0,0,Fawad Ahmed,20,Sydney Sixers,Sydney Thunder,Sydney Sixers,bat,Sydney Cricket Ground
2.3,MJ Lumb,CJ Green,0,DP Hughes,"{'batsman': 0, 'extras': 0, 'total': 0}","{'kind': 'bowled', 'player_out': 'MJ Lumb'}",0.0,0,0.0,0.0,0,bowled,MJ Lumb,0,0,0,0,Sydney Sixers,0,2017-01-14,male,T20,0,Sydney Thunder,wickets,8,0,0,0,0,Fawad Ahmed,20,Sydney Sixers,Sydney Thunder,Sydney Sixers,bat,Sydney Cricket Ground
2.4,NJ Maddinson,CJ Green,0,DP Hughes,"{'batsman': 1, 'extras': 0, 'total': 1}",0,0.0,0,0.0,0.0,0,0,0,0,1,0,1,Sydney Sixers,0,2017-01-14,male,T20,0,Sydney Thunder,wickets,8,0,0,0,0,Fawad Ahmed,20,Sydney Sixers,Sydney Thunder,Sydney Sixers,bat,Sydney Cricket Ground
2.5,DP Hughes,CJ Green,0,NJ Maddinson,"{'batsman': 1, 'extras': 0, 'total': 1}",0,0.0,0,0.0,0.0,0,0,0,0,1,0,1,Sydney Sixers,0,2017-01-14,male,T20,0,Sydney Thunder,wickets,8,0,0,0,0,Fawad Ahmed,20,Sydney Sixers,Sydney Thunder,Sydney Sixers,bat,Sydney Cricket Ground
2.6,NJ Maddinson,CJ Green,0,DP Hughes,"{'batsman': 1, 'extras': 0, 'total': 1}",0,0.0,0,0.0,0.0,0,0,0,0,1,0,1,Sydney Sixers,0,2017-01-14,male,T20,0,Sydney Thunder,wickets,8,0,0,0,0,Fawad Ahmed,20,Sydney Sixers,Sydney Thunder,Sydney Sixers,bat,Sydney Cricket Ground
3.1,NJ Maddinson,CR Brathwaite,0,DP Hughes,"{'batsman': 1, 'extras': 0, 'total': 1}",0,0.0,0,0.0,0.0,0,0,0,0,1,0,1,Sydney Sixers,0,2017-01-14,male,T20,0,Sydney Thunder,wickets,8,0,0,0,0,Fawad Ahmed,20,Sydney Sixers,Sydney Thunder,Sydney Sixers,bat,Sydney Cricket Ground
3.2,DP Hughes,CR Brathwaite,0,NJ Maddinson,"{'batsman': 0, 'extras': 0, 'total': 0}",0,0.0,0,0.0,0.0,0,0,0,0,0,0,0,Sydney Sixers,0,2017-01-14,male,T20,0,Sydney Thunder,wickets,8,0,0,0,0,Fawad Ahmed,20,Sydney Sixers,Sydney Thunder,Sydney Sixers,bat,Sydney Cricket Ground
3.3,DP Hughes,CR Brathwaite,0,NJ Maddinson,"{'batsman': 0, 'extras': 0, 'total': 0}",0,0.0,0,0.0,0.0,0,0,0,0,0,0,0,Sydney Sixers,0,2017-01-14,male,T20,0,Sydney Thunder,wickets,8,0,0,0,0,Fawad Ahmed,20,Sydney Sixers,Sydney Thunder,Sydney Sixers,bat,Sydney Cricket Ground
3.4,DP Hughes,CR Brathwaite,0,NJ Maddinson,"{'batsman': 0, 'extras': 0, 'total': 0}",0,0.0,0,0.0,0.0,0,0,0,0,0,0,0,Sydney Sixers,0,2017-01-14,male,T20,0,Sydney Thunder,wickets,8,0,0,0,0,Fawad Ahmed,20,Sydney Sixers,Sydney Thunder,Sydney Sixers,bat,Sydney Cricket Ground
3.5,DP Hughes,CR Brathwaite,0,NJ Maddinson,"{'batsman': 6, 'extras': 0, 'total': 6}",0,0.0,0,0.0,0.0,0,0,0,0,6,0,6,Sydney Sixers,0,2017-01-14,male,T20,0,Sydney Thunder,wickets,8,0,0,0,0,Fawad Ahmed,20,Sydney Sixers,Sydney Thunder,Sydney Sixers,bat,Sydney Cricket Ground
3.6,DP Hughes,CR Brathwaite,0,NJ Maddinson,"{'batsman': 1, 'extras': 0, 'total': 1}",0,0.0,0,0.0,0.0,0,0,0,0,1,0,1,Sydney Sixers,0,2017-01-14,male,T20,0,Sydney Thunder,wickets,8,0,0,0,0,Fawad Ahmed,20,Sydney Sixers,Sydney Thunder,Sydney Sixers,bat,Sydney Cricket Ground
