delivery,batsman,bowler,extras_dict,non_striker,runs_dict,wicket_dict,wides,noballs,legbyes,byes,penalty,kind,player_out,fielders,runs,extras,total,team,city,date,gender,match_type,neutral_venue,winner,winType,winMargin,result,resultHow,resultTeam,non_boundary,ManOfMatch,overs,team1,team2,tossWinner,tossDecision,venue
0.1,TP Ludeman,AD Russell,0,CJ Simmons,"{'batsman': 0, 'extras': 0, 'total': 0}","{'fielders': ['CD Hartley'], 'kind': 'caught', 'player_out': 'TP Ludeman'}",0.0,0,0.0,0,0,caught,TP Ludeman,['CD Hartley'],0,0,0,Adelaide Strikers,0,2015-12-28,male,T20,0,Sydney Thunder,wickets,7,0,0,0,0,JH Kallis,20,Sydney Thunder,Adelaide Strikers,Adelaide Strikers,bat,Sydney Showground Stadium
0.2,DPMD Jayawardene,AD Russell,{'wides': 1},CJ Simmons,"{'batsman': 0, 'extras': 1, 'total': 1}",0,1.0,0,0.0,0,0,0,0,0,0,1,1,Adelaide Strikers,0,2015-12-28,male,T20,0,Sydney Thunder,wickets,7,0,0,0,0,JH Kallis,20,Sydney Thunder,Adelaide Strikers,Adelaide Strikers,bat,Sydney Showground Stadium
0.3,DPMD Jayawardene,AD Russell,0,CJ Simmons,"{'batsman': 0, 'extras': 0, 'total': 0}",0,0.0,0,0.0,0,0,0,0,0,0,0,0,Adelaide Strikers,0,2015-12-28,male,T20,0,Sydney Thunder,wickets,7,0,0,0,0,JH Kallis,20,Sydney Thunder,Adelaide Strikers,Adelaide Strikers,bat,Sydney Showground Stadium
0.4,DPMD Jayawardene,AD Russell,0,CJ Simmons,"{'batsman': 0, 'extras': 0, 'total': 0}",0,0.0,0,0.0,0,0,0,0,0,0,0,0,Adelaide Strikers,0,2015-12-28,male,T20,0,Sydney Thunder,wickets,7,0,0,0,0,JH Kallis,20,Sydney Thunder,Adelaide Strikers,Adelaide Strikers,bat,Sydney Showground Stadium
0.5,DPMD Jayawardene,AD Russell,0,CJ Simmons,"{'batsman': 1, 'extras': 0, 'total': 1}",0,0.0,0,0.0,0,0,0,0,0,1,0,1,Adelaide Strikers,0,2015-12-28,male,T20,0,Sydney Thunder,wickets,7,0,0,0,0,JH Kallis,20,Sydney Thunder,Adelaide Strikers,Adelaide Strikers,bat,Sydney Showground Stadium
0.6,CJ Simmons,AD Russell,0,DPMD Jayawardene,"{'batsman': 0, 'extras': 0, 'total': 0}",0,0.0,0,0.0,0,0,0,0,0,0,0,0,Adelaide Strikers,0,2015-12-28,male,T20,0,Sydney Thunder,wickets,7,0,0,0,0,JH Kallis,20,Sydney Thunder,Adelaide Strikers,Adelaide Strikers,bat,Sydney Showground Stadium
0.7,CJ Simmons,AD Russell,0,DPMD Jayawardene,"{'batsman': 1, 'extras': 0, 'total': 1}",0,0.0,0,0.0,0,0,0,0,0,1,0,1,Adelaide Strikers,0,2015-12-28,male,T20,0,Sydney Thunder,wickets,7,0,0,0,0,JH Kallis,20,Sydney Thunder,Adelaide Strikers,Adelaide Strikers,bat,Sydney Showground Stadium
1.1,CJ Simmons,GS Sandhu,0,DPMD Jayawardene,"{'batsman': 0, 'extras': 0, 'total': 0}",0,0.0,0,0.0,0,0,0,0,0,0,0,0,Adelaide Strikers,0,2015-12-28,male,T20,0,Sydney Thunder,wickets,7,0,0,0,0,JH Kallis,20,Sydney Thunder,Adelaide Strikers,Adelaide Strikers,bat,Sydney Showground Stadium
1.2,CJ Simmons,GS Sandhu,0,DPMD Jayawardene,"{'batsman': 0, 'extras': 0, 'total': 0}","{'fielders': ['BJ Rohrer'], 'kind': 'caught', 'player_out': 'CJ Simmons'}",0.0,0,0.0,0,0,caught,CJ Simmons,['BJ Rohrer'],0,0,0,Adelaide Strikers,0,2015-12-28,male,T20,0,Sydney Thunder,wickets,7,0,0,0,0,JH Kallis,20,Sydney Thunder,Adelaide Strikers,Adelaide Strikers,bat,Sydney Showground Stadium
1.3,TM Head,GS Sandhu,0,DPMD Jayawardene,"{'batsman': 0, 'extras': 0, 'total': 0}",0,0.0,0,0.0,0,0,0,0,0,0,0,0,Adelaide Strikers,0,2015-12-28,male,T20,0,Sydney Thunder,wickets,7,0,0,0,0,JH Kallis,20,Sydney Thunder,Adelaide Strikers,Adelaide Strikers,bat,Sydney Showground Stadium
1.4,TM Head,GS Sandhu,0,DPMD Jayawardene,"{'batsman': 0, 'extras': 0, 'total': 0}",0,0.0,0,0.0,0,0,0,0,0,0,0,0,Adelaide Strikers,0,2015-12-28,male,T20,0,Sydney Thunder,wickets,7,0,0,0,0,JH Kallis,20,Sydney Thunder,Adelaide Strikers,Adelaide Strikers,bat,Sydney Showground Stadium
1.5,TM Head,GS Sandhu,0,DPMD Jayawardene,"{'batsman': 0, 'extras': 0, 'total': 0}",0,0.0,0,0.0,0,0,0,0,0,0,0,0,Adelaide Strikers,0,2015-12-28,male,T20,0,Sydney Thunder,wickets,7,0,0,0,0,JH Kallis,20,Sydney Thunder,Adelaide Strikers,Adelaide Strikers,bat,Sydney Showground Stadium
1.6,TM Head,GS Sandhu,0,DPMD Jayawardene,"{'batsman': 0, 'extras': 0, 'total': 0}",0,0.0,0,0.0,0,0,0,0,0,0,0,0,Adelaide Strikers,0,2015-12-28,male,T20,0,Sydney Thunder,wickets,7,0,0,0,0,JH Kallis,20,Sydney Thunder,Adelaide Strikers,Adelaide Strikers,bat,Sydney Showground Stadium
2.1,DPMD Jayawardene,CJ McKay,0,TM Head,"{'batsman': 0, 'extras': 0, 'total': 0}",0,0.0,0,0.0,0,0,0,0,0,0,0,0,Adelaide Strikers,0,2015-12-28,male,T20,0,Sydney Thunder,wickets,7,0,0,0,0,JH Kallis,20,Sydney Thunder,Adelaide Strikers,Adelaide Strikers,bat,Sydney Showground Stadium
2.2,DPMD Jayawardene,CJ McKay,0,TM Head,"{'batsman': 0, 'extras': 0, 'total': 0}",0,0.0,0,0.0,0,0,0,0,0,0,0,0,Adelaide Strikers,0,2015-12-28,male,T20,0,Sydney Thunder,wickets,7,0,0,0,0,JH Kallis,20,Sydney Thunder,Adelaide Strikers,Adelaide Strikers,bat,Sydney Showground Stadium
2.3,DPMD Jayawardene,CJ McKay,0,TM Head,"{'batsman': 0, 'extras': 0, 'total': 0}",0,0.0,0,0.0,0,0,0,0,0,0,0,0,Adelaide Strikers,0,2015-12-28,male,T20,0,Sydney Thunder,wickets,7,0,0,0,0,JH Kallis,20,Sydney Thunder,Adelaide Strikers,Adelaide Strikers,bat,Sydney Showground Stadium
2.4,DPMD Jayawardene,CJ McKay,0,TM Head,"{'batsman': 0, 'extras': 0, 'total': 0}",0,0.0,0,0.0,0,0,0,0,0,0,0,0,Adelaide Strikers,0,2015-12-28,male,T20,0,Sydney Thunder,wickets,7,0,0,0,0,JH Kallis,20,Sydney Thunder,Adelaide Strikers,Adelaide Strikers,bat,Sydney Showground Stadium
2.5,DPMD Jayawardene,CJ McKay,0,TM Head,"{'batsman': 1, 'extras': 0, 'total': 1}",0,0.0,0,0.0,0,0,0,0,0,1,0,1,Adelaide Strikers,0,2015-12-28,male,T20,0,Sydney Thunder,wickets,7,0,0,0,0,JH Kallis,20,Sydney Thunder,Adelaide Strikers,Adelaide Strikers,bat,Sydney Showground Stadium
2.6,TM Head,CJ McKay,0,DPMD Jayawardene,"{'batsman': 0, 'extras': 0, 'total': 0}",0,0.0,0,0.0,0,0,0,0,0,0,0,0,Adelaide Strikers,0,2015-12-28,male,T20,0,Sydney Thunder,wickets,7,0,0,0,0,JH Kallis,20,Sydney Thunder,Adelaide Strikers,Adelaide Strikers,bat,Sydney Showground Stadium
