delivery,batsman,bowler,extras_dict,non_striker,runs_dict,wicket_dict,wides,noballs,legbyes,byes,penalty,kind,player_out,fielders,runs,extras,total,team,city,date,gender,match_type,neutral_venue,winner,winType,winMargin,result,resultHow,resultTeam,non_boundary,ManOfMatch,overs,team1,team2,tossWinner,tossDecision,venue
0.1,KR Patterson,SNJ O'Keefe,0,RJ Gibson,"{'batsman': 2, 'extras': 0, 'total': 2}",0,0.0,0,0.0,0.0,0,0,0,0,2,0,2,Sydney Thunder,0,2016-12-20,male,T20,0,Sydney Sixers,wickets,9,0,0,0,0,MC Henriques,20,Sydney Thunder,Sydney Sixers,Sydney Sixers,field,Sydney Showground Stadium
0.2,KR Patterson,SNJ O'Keefe,0,RJ Gibson,"{'batsman': 0, 'extras': 0, 'total': 0}",0,0.0,0,0.0,0.0,0,0,0,0,0,0,0,Sydney Thunder,0,2016-12-20,male,T20,0,Sydney Sixers,wickets,9,0,0,0,0,MC Henriques,20,Sydney Thunder,Sydney Sixers,Sydney Sixers,field,Sydney Showground Stadium
0.3,KR Patterson,SNJ O'Keefe,0,RJ Gibson,"{'batsman': 0, 'extras': 0, 'total': 0}",0,0.0,0,0.0,0.0,0,0,0,0,0,0,0,Sydney Thunder,0,2016-12-20,male,T20,0,Sydney Sixers,wickets,9,0,0,0,0,MC Henriques,20,Sydney Thunder,Sydney Sixers,Sydney Sixers,field,Sydney Showground Stadium
0.4,KR Patterson,SNJ O'Keefe,0,RJ Gibson,"{'batsman': 0, 'extras': 0, 'total': 0}",0,0.0,0,0.0,0.0,0,0,0,0,0,0,0,Sydney Thunder,0,2016-12-20,male,T20,0,Sydney Sixers,wickets,9,0,0,0,0,MC Henriques,20,Sydney Thunder,Sydney Sixers,Sydney Sixers,field,Sydney Showground Stadium
0.5,KR Patterson,SNJ O'Keefe,0,RJ Gibson,"{'batsman': 1, 'extras': 0, 'total': 1}",0,0.0,0,0.0,0.0,0,0,0,0,1,0,1,Sydney Thunder,0,2016-12-20,male,T20,0,Sydney Sixers,wickets,9,0,0,0,0,MC Henriques,20,Sydney Thunder,Sydney Sixers,Sydney Sixers,field,Sydney Showground Stadium
0.6,RJ Gibson,SNJ O'Keefe,0,KR Patterson,"{'batsman': 0, 'extras': 0, 'total': 0}",0,0.0,0,0.0,0.0,0,0,0,0,0,0,0,Sydney Thunder,0,2016-12-20,male,T20,0,Sydney Sixers,wickets,9,0,0,0,0,MC Henriques,20,Sydney Thunder,Sydney Sixers,Sydney Sixers,field,Sydney Showground Stadium
1.1,KR Patterson,BJ Dwarshuis,0,RJ Gibson,"{'batsman': 1, 'extras': 0, 'total': 1}",0,0.0,0,0.0,0.0,0,0,0,0,1,0,1,Sydney Thunder,0,2016-12-20,male,T20,0,Sydney Sixers,wickets,9,0,0,0,0,MC Henriques,20,Sydney Thunder,Sydney Sixers,Sydney Sixers,field,Sydney Showground Stadium
1.2,RJ Gibson,BJ Dwarshuis,0,KR Patterson,"{'batsman': 0, 'extras': 0, 'total': 0}",0,0.0,0,0.0,0.0,0,0,0,0,0,0,0,Sydney Thunder,0,2016-12-20,male,T20,0,Sydney Sixers,wickets,9,0,0,0,0,MC Henriques,20,Sydney Thunder,Sydney Sixers,Sydney Sixers,field,Sydney Showground Stadium
1.3,RJ Gibson,BJ Dwarshuis,{'legbyes': 1},KR Patterson,"{'batsman': 0, 'extras': 1, 'total': 1}",0,0.0,0,1.0,0.0,0,0,0,0,0,1,1,Sydney Thunder,0,2016-12-20,male,T20,0,Sydney Sixers,wickets,9,0,0,0,0,MC Henriques,20,Sydney Thunder,Sydney Sixers,Sydney Sixers,field,Sydney Showground Stadium
1.4,KR Patterson,BJ Dwarshuis,0,RJ Gibson,"{'batsman': 0, 'extras': 0, 'total': 0}",0,0.0,0,0.0,0.0,0,0,0,0,0,0,0,Sydney Thunder,0,2016-12-20,male,T20,0,Sydney Sixers,wickets,9,0,0,0,0,MC Henriques,20,Sydney Thunder,Sydney Sixers,Sydney Sixers,field,Sydney Showground Stadium
