,delivery,batsman,bowler,extras_dict,non_striker,runs_dict,wicket_dict,wides,noballs,legbyes,byes,penalty,kind,player_out,fielders,runs,extras,total,team,city,date,gender,match_type,neutral_venue,winner,winType,winMargin,result,resultHow,resultTeam,non_boundary,ManOfMatch,overs,team1,team2,tossWinner,tossDecision,venue
0,0.1,JW Wells,AC Thomas,0,PA Jaques,"{'batsman': 1, 'extras': 0, 'total': 1}",0,0.0,0.0,0.0,0.0,0.0,0,0,0,1.0,0.0,1.0,Hobart Hurricanes,0,2011-12-28,male,T20,0,Hobart Hurricanes,runs,14,0,0,0,0,XJ Doherty,20,Adelaide Strikers,Hobart Hurricanes,Hobart Hurricanes,bat,Adelaide Oval
1,0.2,PA Jaques,AC Thomas,0,JW Wells,"{'batsman': 1, 'extras': 0, 'total': 1}",0,0.0,0.0,0.0,0.0,0.0,0,0,0,1.0,0.0,1.0,Hobart Hurricanes,0,2011-12-28,male,T20,0,Hobart Hurricanes,runs,14,0,0,0,0,XJ Doherty,20,Adelaide Strikers,Hobart Hurricanes,Hobart Hurricanes,bat,Adelaide Oval
2,0.3,JW Wells,AC Thomas,0,PA Jaques,"{'batsman': 0, 'extras': 0, 'total': 0}",0,0.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,Hobart Hurricanes,0,2011-12-28,male,T20,0,Hobart Hurricanes,runs,14,0,0,0,0,XJ Doherty,20,Adelaide Strikers,Hobart Hurricanes,Hobart Hurricanes,bat,Adelaide Oval
3,0.4,JW Wells,AC Thomas,0,PA Jaques,"{'batsman': 0, 'extras': 0, 'total': 0}",0,0.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,Hobart Hurricanes,0,2011-12-28,male,T20,0,Hobart Hurricanes,runs,14,0,0,0,0,XJ Doherty,20,Adelaide Strikers,Hobart Hurricanes,Hobart Hurricanes,bat,Adelaide Oval
4,0.5,JW Wells,AC Thomas,0,PA Jaques,"{'batsman': 1, 'extras': 0, 'total': 1}",0,0.0,0.0,0.0,0.0,0.0,0,0,0,1.0,0.0,1.0,Hobart Hurricanes,0,2011-12-28,male,T20,0,Hobart Hurricanes,runs,14,0,0,0,0,XJ Doherty,20,Adelaide Strikers,Hobart Hurricanes,Hobart Hurricanes,bat,Adelaide Oval
5,0.6,PA Jaques,AC Thomas,0,JW Wells,"{'batsman': 1, 'extras': 0, 'total': 1}",0,0.0,0.0,0.0,0.0,0.0,0,0,0,1.0,0.0,1.0,Hobart Hurricanes,0,2011-12-28,male,T20,0,Hobart Hurricanes,runs,14,0,0,0,0,XJ Doherty,20,Adelaide Strikers,Hobart Hurricanes,Hobart Hurricanes,bat,Adelaide Oval
6,1.1,PA Jaques,J Botha,0,JW Wells,"{'batsman': 0, 'extras': 0, 'total': 0}",0,0.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,Hobart Hurricanes,0,2011-12-28,male,T20,0,Hobart Hurricanes,runs,14,0,0,0,0,XJ Doherty,20,Adelaide Strikers,Hobart Hurricanes,Hobart Hurricanes,bat,Adelaide Oval
7,1.2,PA Jaques,J Botha,0,JW Wells,"{'batsman': 1, 'extras': 0, 'total': 1}",0,0.0,0.0,0.0,0.0,0.0,0,0,0,1.0,0.0,1.0,Hobart Hurricanes,0,2011-12-28,male,T20,0,Hobart Hurricanes,runs,14,0,0,0,0,XJ Doherty,20,Adelaide Strikers,Hobart Hurricanes,Hobart Hurricanes,bat,Adelaide Oval
8,1.3,JW Wells,J Botha,0,PA Jaques,"{'batsman': 0, 'extras': 0, 'total': 0}",0,0.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,Hobart Hurricanes,0,2011-12-28,male,T20,0,Hobart Hurricanes,runs,14,0,0,0,0,XJ Doherty,20,Adelaide Strikers,Hobart Hurricanes,Hobart Hurricanes,bat,Adelaide Oval
9,1.4,JW Wells,J Botha,0,PA Jaques,"{'batsman': 0, 'extras': 0, 'total': 0}",0,0.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,Hobart Hurricanes,0,2011-12-28,male,T20,0,Hobart Hurricanes,runs,14,0,0,0,0,XJ Doherty,20,Adelaide Strikers,Hobart Hurricanes,Hobart Hurricanes,bat,Adelaide Oval
