,delivery,batsman,bowler,extras_dict,non_striker,runs_dict,wicket_dict,wides,noballs,legbyes,byes,penalty,kind,player_out,fielders,runs,extras,total,team,city,date,gender,match_type,neutral_venue,winner,winType,winMargin,result,resultHow,resultTeam,non_boundary,ManOfMatch,overs,team1,team2,tossWinner,tossDecision,venue
0,0.1,JR Hopes,SMSM Senanayake,0,LA Pomersbach,"{'batsman': 0, 'extras': 0, 'total': 0}",0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,Brisbane Heat,Brisbane,2013-01-07,male,T20,0,Sydney Sixers,wickets,5,0,0,0,0,MJ Lumb,20,Brisbane Heat,Sydney Sixers,Brisbane Heat,bat,"Brisbane Cricket Ground, Woolloongabba"
1,0.2,JR Hopes,SMSM Senanayake,0,LA Pomersbach,"{'batsman': 0, 'extras': 0, 'total': 0}",0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,Brisbane Heat,Brisbane,2013-01-07,male,T20,0,Sydney Sixers,wickets,5,0,0,0,0,MJ Lumb,20,Brisbane Heat,Sydney Sixers,Brisbane Heat,bat,"Brisbane Cricket Ground, Woolloongabba"
2,0.3,JR Hopes,SMSM Senanayake,0,LA Pomersbach,"{'batsman': 0, 'extras': 0, 'total': 0}",0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,Brisbane Heat,Brisbane,2013-01-07,male,T20,0,Sydney Sixers,wickets,5,0,0,0,0,MJ Lumb,20,Brisbane Heat,Sydney Sixers,Brisbane Heat,bat,"Brisbane Cricket Ground, Woolloongabba"
3,0.4,JR Hopes,SMSM Senanayake,0,LA Pomersbach,"{'batsman': 0, 'extras': 0, 'total': 0}",0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,Brisbane Heat,Brisbane,2013-01-07,male,T20,0,Sydney Sixers,wickets,5,0,0,0,0,MJ Lumb,20,Brisbane Heat,Sydney Sixers,Brisbane Heat,bat,"Brisbane Cricket Ground, Woolloongabba"
4,0.5,JR Hopes,SMSM Senanayake,0,LA Pomersbach,"{'batsman': 0, 'extras': 0, 'total': 0}",0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,Brisbane Heat,Brisbane,2013-01-07,male,T20,0,Sydney Sixers,wickets,5,0,0,0,0,MJ Lumb,20,Brisbane Heat,Sydney Sixers,Brisbane Heat,bat,"Brisbane Cricket Ground, Woolloongabba"
5,0.6,JR Hopes,SMSM Senanayake,0,LA Pomersbach,"{'batsman': 0, 'extras': 0, 'total': 0}",0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,Brisbane Heat,Brisbane,2013-01-07,male,T20,0,Sydney Sixers,wickets,5,0,0,0,0,MJ Lumb,20,Brisbane Heat,Sydney Sixers,Brisbane Heat,bat,"Brisbane Cricket Ground, Woolloongabba"
6,1.1,LA Pomersbach,SNJ O'Keefe,0,JR Hopes,"{'batsman': 2, 'extras': 0, 'total': 2}",0,0.0,0.0,0.0,0.0,0,0,0,0,2,0,2,Brisbane Heat,Brisbane,2013-01-07,male,T20,0,Sydney Sixers,wickets,5,0,0,0,0,MJ Lumb,20,Brisbane Heat,Sydney Sixers,Brisbane Heat,bat,"Brisbane Cricket Ground, Woolloongabba"
7,1.2,LA Pomersbach,SNJ O'Keefe,0,JR Hopes,"{'batsman': 0, 'extras': 0, 'total': 0}",0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,Brisbane Heat,Brisbane,2013-01-07,male,T20,0,Sydney Sixers,wickets,5,0,0,0,0,MJ Lumb,20,Brisbane Heat,Sydney Sixers,Brisbane Heat,bat,"Brisbane Cricket Ground, Woolloongabba"
8,1.3,LA Pomersbach,SNJ O'Keefe,0,JR Hopes,"{'batsman': 6, 'extras': 0, 'total': 6}",0,0.0,0.0,0.0,0.0,0,0,0,0,6,0,6,Brisbane Heat,Brisbane,2013-01-07,male,T20,0,Sydney Sixers,wickets,5,0,0,0,0,MJ Lumb,20,Brisbane Heat,Sydney Sixers,Brisbane Heat,bat,"Brisbane Cricket Ground, Woolloongabba"
9,1.4,LA Pomersbach,SNJ O'Keefe,0,JR Hopes,"{'batsman': 1, 'extras': 0, 'total': 1}",0,0.0,0.0,0.0,0.0,0,0,0,0,1,0,1,Brisbane Heat,Brisbane,2013-01-07,male,T20,0,Sydney Sixers,wickets,5,0,0,0,0,MJ Lumb,20,Brisbane Heat,Sydney Sixers,Brisbane Heat,bat,"Brisbane Cricket Ground, Woolloongabba"
10,1.5,JR Hopes,SNJ O'Keefe,0,LA Pomersbach,"{'batsman': 0, 'extras': 0, 'total': 0}",0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,Brisbane Heat,Brisbane,2013-01-07,male,T20,0,Sydney Sixers,wickets,5,0,0,0,0,MJ Lumb,20,Brisbane Heat,Sydney Sixers,Brisbane Heat,bat,"Brisbane Cricket Ground, Woolloongabba"
11,1.6,JR Hopes,SNJ O'Keefe,0,LA Pomersbach,"{'batsman': 0, 'extras': 0, 'total': 0}","{'fielders': ['B Lee'], 'kind': 'caught', 'player_out': 'JR Hopes'}",0.0,0.0,0.0,0.0,0,caught,JR Hopes,['B Lee'],0,0,0,Brisbane Heat,Brisbane,2013-01-07,male,T20,0,Sydney Sixers,wickets,5,0,0,0,0,MJ Lumb,20,Brisbane Heat,Sydney Sixers,Brisbane Heat,bat,"Brisbane Cricket Ground, Woolloongabba"
12,2.1,LA Pomersbach,SMSM Senanayake,0,JA Burns,"{'batsman': 0, 'extras': 0, 'total': 0}",0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,Brisbane Heat,Brisbane,2013-01-07,male,T20,0,Sydney Sixers,wickets,5,0,0,0,0,MJ Lumb,20,Brisbane Heat,Sydney Sixers,Brisbane Heat,bat,"Brisbane Cricket Ground, Woolloongabba"
13,2.2,LA Pomersbach,SMSM Senanayake,0,JA Burns,"{'batsman': 0, 'extras': 0, 'total': 0}",0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,Brisbane Heat,Brisbane,2013-01-07,male,T20,0,Sydney Sixers,wickets,5,0,0,0,0,MJ Lumb,20,Brisbane Heat,Sydney Sixers,Brisbane Heat,bat,"Brisbane Cricket Ground, Woolloongabba"
14,2.3,LA Pomersbach,SMSM Senanayake,0,JA Burns,"{'batsman': 0, 'extras': 0, 'total': 0}",0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,Brisbane Heat,Brisbane,2013-01-07,male,T20,0,Sydney Sixers,wickets,5,0,0,0,0,MJ Lumb,20,Brisbane Heat,Sydney Sixers,Brisbane Heat,bat,"Brisbane Cricket Ground, Woolloongabba"
15,2.4,LA Pomersbach,SMSM Senanayake,0,JA Burns,"{'batsman': 0, 'extras': 0, 'total': 0}",0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,Brisbane Heat,Brisbane,2013-01-07,male,T20,0,Sydney Sixers,wickets,5,0,0,0,0,MJ Lumb,20,Brisbane Heat,Sydney Sixers,Brisbane Heat,bat,"Brisbane Cricket Ground, Woolloongabba"
16,2.5,LA Pomersbach,SMSM Senanayake,0,JA Burns,"{'batsman': 0, 'extras': 0, 'total': 0}",0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,Brisbane Heat,Brisbane,2013-01-07,male,T20,0,Sydney Sixers,wickets,5,0,0,0,0,MJ Lumb,20,Brisbane Heat,Sydney Sixers,Brisbane Heat,bat,"Brisbane Cricket Ground, Woolloongabba"
17,2.6,LA Pomersbach,SMSM Senanayake,0,JA Burns,"{'batsman': 4, 'extras': 0, 'total': 4}",0,0.0,0.0,0.0,0.0,0,0,0,0,4,0,4,Brisbane Heat,Brisbane,2013-01-07,male,T20,0,Sydney Sixers,wickets,5,0,0,0,0,MJ Lumb,20,Brisbane Heat,Sydney Sixers,Brisbane Heat,bat,"Brisbane Cricket Ground, Woolloongabba"
18,3.1,JA Burns,B Lee,0,LA Pomersbach,"{'batsman': 1, 'extras': 0, 'total': 1}",0,0.0,0.0,0.0,0.0,0,0,0,0,1,0,1,Brisbane Heat,Brisbane,2013-01-07,male,T20,0,Sydney Sixers,wickets,5,0,0,0,0,MJ Lumb,20,Brisbane Heat,Sydney Sixers,Brisbane Heat,bat,"Brisbane Cricket Ground, Woolloongabba"
