,batsman,runs,balls,4s,6s,SR,bowler,fielders,kind,player_out,date,team2,winner,result,venue
9,Abdur Razzak,2.0,6,0,0,33.33333333333333,notOut,notOut,notOut,notOut,2007-09-15,Bangladesh,South Africa,0,Newlands
11,Abdur Razzak,5.0,12,0,0,41.66666666666667,ST Jayasuriya,['KC Sangakkara'],caught,Abdur Razzak,2007-09-18,Sri Lanka,Sri Lanka,0,New Wanderers Stadium
11,Abdur Razzak,0.0,1,0,0,0.0,Mohammad Asif,['Mohammad Asif'],run out,Abdur Razzak,2007-09-20,Pakistan,Pakistan,0,Newlands
11,Abdur Razzak,1.0,3,0,0,33.33333333333333,notOut,notOut,notOut,notOut,2008-04-20,Bangladesh,Pakistan,0,National Stadium
9,Abdur Razzak,0.0,2,0,0,0.0,DW Steyn,0,bowled,Abdur Razzak,2008-11-05,Bangladesh,South Africa,0,New Wanderers Stadium
10,Abdur Razzak,3.0,8,0,0,37.5,notOut,notOut,notOut,notOut,2010-05-05,Bangladesh,Australia,0,"Kensington Oval, Bridgetown"
8,Abdur Razzak,1.0,1,0,0,100.0,notOut,notOut,notOut,notOut,2011-10-11,West Indies,Bangladesh,0,Shere Bangla National Stadium
9,Abdur Razzak,9.0,9,1,0,100.0,Shoaib Malik,['Shahid Afridi'],caught,Abdur Razzak,2011-11-29,Pakistan,Pakistan,0,Shere Bangla National Stadium
8,Abdur Razzak,2.0,3,0,0,66.66666666666666,Mudassar Bukhari,['Ahsan Malik'],caught,Abdur Razzak,2012-07-26,Bangladesh,Netherlands,0,Sportpark Westvliet
9,Abdur Razzak,0.0,2,0,0,0.0,notOut,notOut,notOut,notOut,2012-09-21,New Zealand,New Zealand,0,Pallekele International Cricket Stadium
8,Abdur Razzak,6.0,8,0,0,75.0,notOut,notOut,notOut,notOut,2013-03-31,Bangladesh,Sri Lanka,0,Pallekele International Cricket Stadium
9,Abdur Razzak,2.0,4,0,0,50.0,T Panyangara,0,lbw,Abdur Razzak,2013-05-11,Bangladesh,Zimbabwe,0,Queens Sports Club
8,Abdur Razzak,6.0,7,0,0,85.71428571428571,notOut,notOut,notOut,notOut,2013-05-12,Bangladesh,Bangladesh,0,Queens Sports Club
9,Abdur Razzak,0.0,1,0,0,0.0,TG Southee,0,bowled,Abdur Razzak,2013-11-06,New Zealand,New Zealand,0,Shere Bangla National Stadium
8,Abdur Razzak,0.0,1,0,0,0.0,Nizakat Khan,['JJ Atkinson'],caught,Abdur Razzak,2014-03-20,Hong Kong,Hong Kong,0,Zahur Ahmed Chowdhury Stadium
8,Abu Hider,14.0,10,1,1,140.0,N Madziva,['LM Jongwe'],caught,Abu Hider,2016-01-22,Zimbabwe,Zimbabwe,0,Sheikh Abu Naser Stadium
2,Aftab Ahmed,17.0,6,2,1,283.33333333333337,LN Onyango,['TM Odoyo'],caught,Aftab Ahmed,2007-09-01,Bangladesh,Bangladesh,0,Gymkhana Club Ground
3,Aftab Ahmed,5.0,6,1,0,83.33333333333334,Shahid Afridi,0,lbw,Aftab Ahmed,2007-09-02,Pakistan,Pakistan,0,Gymkhana Club Ground
2,Aftab Ahmed,62.0,52,8,1,119.23076923076923,notOut,notOut,notOut,notOut,2007-09-13,West Indies,Bangladesh,0,New Wanderers Stadium
2,Aftab Ahmed,36.0,14,5,2,257.14285714285717,M Morkel,0,bowled,Aftab Ahmed,2007-09-15,Bangladesh,South Africa,0,Newlands
2,Aftab Ahmed,31.0,35,2,0,88.57142857142857,NW Bracken,['BJ Hodge'],caught,Aftab Ahmed,2007-09-16,Bangladesh,Australia,0,Newlands
2,Aftab Ahmed,18.0,11,3,0,163.63636363636365,CRD Fernando,0,bowled,Aftab Ahmed,2007-09-18,Sri Lanka,Sri Lanka,0,New Wanderers Stadium
3,Aftab Ahmed,15.0,17,0,0,88.23529411764706,Mohammad Hafeez,['Kamran Akmal'],stumped,Aftab Ahmed,2007-09-20,Pakistan,Pakistan,0,Newlands
5,Aftab Ahmed,3.0,5,0,0,60.0,notOut,notOut,notOut,notOut,2008-04-20,Bangladesh,Pakistan,0,National Stadium
2,Aftab Ahmed,12.0,14,1,1,85.71428571428571,JEC Franklin,0,bowled,Aftab Ahmed,2010-02-03,Bangladesh,New Zealand,0,Seddon Park
3,Aftab Ahmed,1.0,3,0,0,33.33333333333333,DP Nannes,['DA Warner'],caught,Aftab Ahmed,2010-05-05,Bangladesh,Australia,0,"Kensington Oval, Bridgetown"
10,Al-Amin Hossain,5.0,3,1,0,166.66666666666669,notOut,notOut,notOut,notOut,2013-11-06,New Zealand,New Zealand,0,Shere Bangla National Stadium
10,Al-Amin Hossain,1.0,5,0,0,20.0,Nadeem Ahmed,['Babar Hayat'],caught,Al-Amin Hossain,2014-03-20,Hong Kong,Hong Kong,0,Zahur Ahmed Chowdhury Stadium
10,Al-Amin Hossain,1.0,2,0,0,50.0,notOut,notOut,notOut,notOut,2015-11-15,Zimbabwe,Zimbabwe,0,Shere Bangla National Stadium
11,Al-Amin Hossain,0.0,2,0,0,0.0,IS Sodhi,0,bowled,Al-Amin Hossain,2016-03-26,New Zealand,New Zealand,0,Eden Gardens
4,Alok Kapali,17.0,20,1,0,85.0,notOut,notOut,notOut,notOut,2007-09-01,Bangladesh,Bangladesh,0,Gymkhana Club Ground
5,Alok Kapali,19.0,12,2,1,158.33333333333331,Shahid Afridi,0,bowled,Alok Kapali,2007-09-02,Pakistan,Pakistan,0,Gymkhana Club Ground
5,Alok Kapali,5.0,7,0,0,71.42857142857143,notOut,notOut,notOut,notOut,2007-09-13,West Indies,Bangladesh,0,New Wanderers Stadium
5,Alok Kapali,14.0,37,0,0,37.83783783783784,M Morkel,['AB de Villiers'],caught,Alok Kapali,2007-09-15,Bangladesh,South Africa,0,Newlands
6,Alok Kapali,0.0,1,0,0,0.0,B Lee,0,lbw,Alok Kapali,2007-09-16,Bangladesh,Australia,0,Newlands
4,Alok Kapali,2.0,9,0,0,22.22222222222222,CR Brathwaite,['A Martin'],caught,Alok Kapali,2011-10-11,West Indies,Bangladesh,0,Shere Bangla National Stadium
2,Alok Kapali,0.0,3,0,0,0.0,Mohammad Hafeez,['Misbah-ul-Haq'],caught,Alok Kapali,2011-11-29,Pakistan,Pakistan,0,Shere Bangla National Stadium
1,Anamul Haque,22.0,12,3,1,183.33333333333331,KAJ Roach,['DJG Sammy'],caught,Anamul Haque,2012-12-10,West Indies,West Indies,0,Shere Bangla National Stadium
2,Anamul Haque,58.0,45,7,0,128.88888888888889,NLTC Perera,"['NLTC Perera', 'KC Sangakkara']",run out,Farhad Reza,2014-02-12,Sri Lanka,Sri Lanka,0,Zahur Ahmed Chowdhury Stadium
3,Anamul Haque,58.0,45,7,0,128.88888888888889,NLTC Perera,0,caught and bowled,Anamul Haque,2014-02-12,Sri Lanka,Sri Lanka,0,Zahur Ahmed Chowdhury Stadium
2,Anamul Haque,24.0,17,2,2,141.1764705882353,SMSM Senanayake,['MDKJ Perera'],caught,Anamul Haque,2014-02-14,Sri Lanka,Sri Lanka,0,Zahur Ahmed Chowdhury Stadium
1,Anamul Haque,44.0,33,4,3,133.33333333333331,notOut,notOut,notOut,notOut,2014-03-16,Afghanistan,Bangladesh,0,Shere Bangla National Stadium
1,Anamul Haque,42.0,33,5,2,127.27272727272727,SP Gauchan,"['Sagar Pun', 'SP Khakurel']",run out,Anamul Haque,2014-03-18,Nepal,Bangladesh,0,Zahur Ahmed Chowdhury Stadium
2,Anamul Haque,26.0,17,3,1,152.94117647058823,Nadeem Ahmed,0,bowled,Anamul Haque,2014-03-20,Hong Kong,Hong Kong,0,Zahur Ahmed Chowdhury Stadium
1,Anamul Haque,10.0,7,2,0,142.85714285714286,K Santokie,['D Ramdin'],stumped,Anamul Haque,2014-03-25,West Indies,West Indies,0,Shere Bangla National Stadium
1,Anamul Haque,44.0,44,5,2,100.0,A Mishra,0,bowled,Anamul Haque,2014-03-28,India,India,0,Shere Bangla National Stadium
1,Anamul Haque,18.0,16,3,0,112.5,Saeed Ajmal,0,caught and bowled,Anamul Haque,2014-03-30,Pakistan,Pakistan,0,Shere Bangla National Stadium
1,Anamul Haque,0.0,6,0,0,0.0,NM Coulter-Nile,['SR Watson'],caught,Anamul Haque,2014-04-01,Australia,Australia,0,Shere Bangla National Stadium
2,Anamul Haque,1.0,2,0,0,50.0,notOut,notOut,notOut,notOut,2015-11-13,Zimbabwe,Bangladesh,0,Shere Bangla National Stadium
2,Anamul Haque,47.0,52,3,0,90.38461538461539,N Madziva,"['SC Williams', 'RW Chakabva']",run out,Anamul Haque,2015-11-15,Zimbabwe,Zimbabwe,0,Shere Bangla National Stadium
10,Arafat Sunny,5.0,6,1,0,83.33333333333334,SL Malinga,['LD Chandimal'],caught,Arafat Sunny,2014-02-14,Sri Lanka,Sri Lanka,0,Zahur Ahmed Chowdhury Stadium
10,Arafat Sunny,1.0,2,0,0,50.0,notOut,notOut,notOut,notOut,2015-07-05,South Africa,South Africa,0,Shere Bangla National Stadium
9,Arafat Sunny,5.0,6,0,0,83.33333333333334,notOut,notOut,notOut,notOut,2015-07-07,South Africa,South Africa,0,Shere Bangla National Stadium
8,Arafat Sunny,5.0,8,0,0,62.5,T Panyangara,['LM Jongwe'],caught,Arafat Sunny,2015-11-15,Zimbabwe,Zimbabwe,0,Shere Bangla National Stadium
9,Arafat Sunny,10.0,6,2,0,166.66666666666669,N Madziva,0,bowled,Arafat Sunny,2016-01-22,Zimbabwe,Zimbabwe,0,Sheikh Abu Naser Stadium
8,Arafat Sunny,8.0,4,0,1,200.0,notOut,notOut,notOut,notOut,2016-03-09,Netherlands,Bangladesh,0,Himachal Pradesh Cricket Association Stadium
1,Ayasha Rahman,34.0,40,2,0,85.0,S Loubser,['MM Letsoalo'],caught,Ayasha Rahman,2013-09-14,Bangladesh,South Africa,0,Senwes Park
0,Ayasha Rahman,42.0,59,3,0,71.1864406779661,S Luus,"['D van Niekerk', 'S Luus']",run out,Rumana Ahmed,2013-09-15,Bangladesh,South Africa,0,Senwes Park
1,Ayasha Rahman,42.0,59,3,0,71.1864406779661,S Luus,"['D van Niekerk', 'S Luus']",run out,Lata Mondal,2013-09-15,Bangladesh,South Africa,0,Senwes Park
2,Ayasha Rahman,42.0,59,3,0,71.1864406779661,M Kapp,0,lbw,Ayasha Rahman,2013-09-15,Bangladesh,South Africa,0,Senwes Park
0,Ayasha Rahman,10.0,19,1,0,52.63157894736842,SL Quintyne,0,bowled,Ayasha Rahman,2014-03-26,West Indies,West Indies,0,Sylhet Stadium
0,Ayasha Rahman,10.0,16,2,0,62.5,Poonam Yadav,['G Sultana'],caught,Ayasha Rahman,2014-03-30,India,India,0,Sylhet Stadium
0,Ayasha Rahman,6.0,5,1,0,120.0,KDU Prabodhani,0,bowled,Ayasha Rahman,2014-04-01,Sri Lanka,Bangladesh,0,Sylhet Stadium
0,Ayasha Rahman,12.0,22,2,0,54.54545454545454,LN McCarthy,['MV Waldron'],caught,Ayasha Rahman,2014-04-03,Ireland,Bangladesh,0,Sylhet Stadium
0,Ayasha Rahman,23.0,28,3,0,82.14285714285714,Bismah Maroof,['Sana Mir'],caught,Ayasha Rahman,2015-09-30,Bangladesh,Pakistan,0,Southend Club Cricket Stadium
