,batsman,runs,balls,4s,6s,SR,bowler,fielders,kind,player_out,date,team2,winner,result,venue
10,A Bhattarai,2,3,0,0,66.66666666666666,Haseeb Amjad,"['Anas Khan', 'JJ Atkinson']",run out,A Bhattarai,2014-11-24,Nepal,Hong Kong,0,P Sara Oval
9,A Karn,4,7,0,0,57.14285714285714,MJG Rippon,0,lbw,A Karn,2015-07-01,Nepal,Netherlands,0,VRA Ground
1,AK Mandal,2,9,0,0,22.22222222222222,AR Cusack,"[""KJ O'Brien""]",caught,AK Mandal,2015-07-13,Ireland,Ireland,0,"Civil Service Cricket Club, Stormont"
4,B Bhandari,1,2,0,0,50.0,Nadeem Ahmed,['Waqas Barkat'],caught,B Bhandari,2014-03-16,Nepal,Nepal,0,Zahur Ahmed Chowdhury Stadium
5,B Bhandari,0,5,0,0,0.0,Al-Amin Hossain,['Mushfiqur Rahim'],run out,S Vesawkar,2014-03-18,Nepal,Bangladesh,0,Zahur Ahmed Chowdhury Stadium
5,B Bhandari,4,6,1,0,66.66666666666666,notOut,notOut,notOut,notOut,2014-03-20,Nepal,Nepal,0,Zahur Ahmed Chowdhury Stadium
6,B Bhandari,1,2,0,0,50.0,Nadeem Ahmed,['Waqas Barkat'],caught,B Bhandari,2014-11-24,Nepal,Hong Kong,0,P Sara Oval
1,B Bhandari,2,5,0,0,40.0,Mudassar Bukhari,['PW Borren'],caught,B Bhandari,2015-07-01,Nepal,Netherlands,0,VRA Ground
5,B Bhandari,1,7,0,0,14.285714285714285,PW Borren,['Ahsan Malik'],caught,B Bhandari,2015-07-02,Nepal,Netherlands,0,Hazelaarweg
7,B Bhandari,0,1,0,0,0.0,KJ O'Brien,0,bowled,B Bhandari,2015-07-13,Ireland,Ireland,0,"Civil Service Cricket Club, Stormont"
7,B Bhandari,4,2,1,0,200.0,N Vanua,['MD Dai'],run out,B Bhandari,2015-07-17,Papua New Guinea,Papua New Guinea,0,"The Village, Malahide"
7,B Regmi,3,9,0,0,33.33333333333333,Nadeem Ahmed,['JJ Atkinson'],caught,B Regmi,2014-11-24,Nepal,Hong Kong,0,P Sara Oval
4,B Regmi,2,13,0,0,15.384615384615385,PA van Meekeren,0,bowled,B Regmi,2015-07-01,Nepal,Netherlands,0,VRA Ground
9,B Regmi,0,1,0,0,0.0,Ahsan Malik,['W Barresi'],caught,B Regmi,2015-07-02,Nepal,Netherlands,0,Hazelaarweg
8,B Regmi,2,4,0,0,50.0,SR Thompson,['GC Wilson'],caught,B Regmi,2015-07-13,Ireland,Ireland,0,"Civil Service Cricket Club, Stormont"
4,B Regmi,11,21,2,0,52.38095238095239,Aizaz Khan,['JJ Atkinson'],caught,B Regmi,2015-07-15,Nepal,Hong Kong,0,"Civil Service Cricket Club, Stormont"
10,B Regmi,1,3,0,0,33.33333333333333,notOut,notOut,notOut,notOut,2015-07-17,Papua New Guinea,Papua New Guinea,0,"The Village, Malahide"
2,G Malla,48,43,4,1,111.62790697674419,Haseeb Amjad,0,caught and bowled,G Malla,2014-03-16,Nepal,Nepal,0,Zahur Ahmed Chowdhury Stadium
2,G Malla,13,6,2,0,216.66666666666666,Al-Amin Hossain,0,lbw,G Malla,2014-03-18,Nepal,Bangladesh,0,Zahur Ahmed Chowdhury Stadium
2,G Malla,22,13,3,1,169.23076923076923,Mohammad Nabi,['Nawroz Mangal'],caught,G Malla,2014-03-20,Nepal,Nepal,0,Zahur Ahmed Chowdhury Stadium
4,G Malla,5,15,0,0,33.33333333333333,Aizaz Khan,0,bowled,G Malla,2014-11-24,Nepal,Hong Kong,0,P Sara Oval
0,G Malla,12,6,3,0,200.0,MB van Schelven,['Mudassar Bukhari'],caught,G Malla,2015-07-01,Nepal,Netherlands,0,VRA Ground
3,G Malla,17,19,3,0,89.47368421052632,MB van Schelven,['PW Borren'],caught,G Malla,2015-07-02,Nepal,Netherlands,0,Hazelaarweg
4,G Malla,2,7,0,0,28.57142857142857,KJ O'Brien,['SR Thompson'],caught,G Malla,2015-07-13,Ireland,Ireland,0,"Civil Service Cricket Club, Stormont"
2,G Malla,0,2,0,0,0.0,Haseeb Amjad,['JJ Atkinson'],caught,G Malla,2015-07-15,Nepal,Hong Kong,0,"Civil Service Cricket Club, Stormont"
3,G Malla,2,7,0,0,28.57142857142857,MD Dai,0,bowled,G Malla,2015-07-17,Papua New Guinea,Papua New Guinea,0,"The Village, Malahide"
10,Karan KC,2,10,0,0,20.0,notOut,notOut,notOut,notOut,2015-07-01,Nepal,Netherlands,0,VRA Ground
11,Karan KC,1,1,0,0,100.0,notOut,notOut,notOut,notOut,2015-07-02,Nepal,Netherlands,0,Hazelaarweg
12,Karan KC,0,2,0,0,0.0,A Vala,['WT Gavera'],caught,Karan KC,2015-07-17,Papua New Guinea,Papua New Guinea,0,"The Village, Malahide"
6,NB Budayair,0,1,0,0,0.0,Haseeb Amjad,0,bowled,NB Budayair,2014-03-16,Nepal,Nepal,0,Zahur Ahmed Chowdhury Stadium
6,NB Budayair,2,3,0,0,66.66666666666666,notOut,notOut,notOut,notOut,2014-03-20,Nepal,Nepal,0,Zahur Ahmed Chowdhury Stadium
1,NB Budayair,5,15,0,0,33.33333333333333,Irfan Ahmed,['Aizaz Khan'],caught,NB Budayair,2014-11-24,Nepal,Hong Kong,0,P Sara Oval
3,P Khadka,41,42,4,0,97.61904761904762,Najeeb Amar,['Nizakat Khan'],caught,P Khadka,2014-03-16,Nepal,Nepal,0,Zahur Ahmed Chowdhury Stadium
3,P Khadka,41,38,5,0,107.89473684210526,Mashrafe Mortaza,0,bowled,P Khadka,2014-03-18,Nepal,Bangladesh,0,Zahur Ahmed Chowdhury Stadium
3,P Khadka,1,5,0,0,20.0,Mirwais Ashraf,0,bowled,P Khadka,2014-03-20,Nepal,Nepal,0,Zahur Ahmed Chowdhury Stadium
3,P Khadka,0,1,0,0,0.0,Tanwir Afzal,0,bowled,P Khadka,2014-11-24,Nepal,Hong Kong,0,P Sara Oval
3,P Khadka,2,6,0,0,33.33333333333333,MB van Schelven,['Mudassar Bukhari'],caught,P Khadka,2015-07-01,Nepal,Netherlands,0,VRA Ground
4,P Khadka,36,29,2,0,124.13793103448276,notOut,notOut,notOut,notOut,2015-07-02,Nepal,Netherlands,0,Hazelaarweg
3,P Khadka,10,17,1,0,58.82352941176471,CA Young,0,bowled,P Khadka,2015-07-13,Ireland,Ireland,0,"Civil Service Cricket Club, Stormont"
3,P Khadka,1,11,0,0,9.090909090909092,Haseeb Amjad,0,lbw,P Khadka,2015-07-15,Nepal,Hong Kong,0,"Civil Service Cricket Club, Stormont"
4,P Khadka,5,9,0,0,55.55555555555556,MD Dai,['K Pala'],caught,P Khadka,2015-07-17,Papua New Guinea,Papua New Guinea,0,"The Village, Malahide"
7,PS Airee,0,1,0,0,0.0,PA van Meekeren,['W Barresi'],caught,PS Airee,2015-07-01,Nepal,Netherlands,0,VRA Ground
7,PS Airee,18,9,3,0,200.0,T van der Gugten,"['Ahsan Malik', 'T van der Gugten']",run out,P Khadka,2015-07-02,Nepal,Netherlands,0,Hazelaarweg
8,PS Airee,18,9,3,0,200.0,Ahsan Malik,['PW Borren'],caught,PS Airee,2015-07-02,Nepal,Netherlands,0,Hazelaarweg
2,PS Airee,0,1,0,0,0.0,JF Mooney,0,lbw,PS Airee,2015-07-13,Ireland,Ireland,0,"Civil Service Cricket Club, Stormont"
7,PS Airee,0,1,0,0,0.0,Nizakat Khan,0,lbw,PS Airee,2015-07-15,Nepal,Hong Kong,0,"Civil Service Cricket Club, Stormont"
1,PS Airee,29,28,4,0,103.57142857142858,L Nou,"['CJA Amini', 'JNT Vare']",run out,Sagar Pun,2015-07-17,Papua New Guinea,Papua New Guinea,0,"The Village, Malahide"
2,PS Airee,29,28,4,0,103.57142857142858,JB Reva,0,bowled,PS Airee,2015-07-17,Papua New Guinea,Papua New Guinea,0,"The Village, Malahide"
5,RP Magar,1,8,0,0,12.5,Aizaz Khan,0,lbw,RP Magar,2014-11-24,Nepal,Hong Kong,0,P Sara Oval
5,RP Magar,0,1,0,0,0.0,MJG Rippon,['W Barresi'],caught,RP Magar,2015-07-01,Nepal,Netherlands,0,VRA Ground
5,RP Magar,6,15,0,0,40.0,SR Thompson,0,lbw,RP Magar,2015-07-13,Ireland,Ireland,0,"Civil Service Cricket Club, Stormont"
5,RP Magar,25,37,0,2,67.56756756756756,Irfan Ahmed,['Haseeb Amjad'],caught,RP Magar,2015-07-15,Nepal,Hong Kong,0,"Civil Service Cricket Club, Stormont"
6,RP Magar,7,19,0,0,36.84210526315789,A Vala,['CJA Amini'],caught,RP Magar,2015-07-17,Papua New Guinea,Papua New Guinea,0,"The Village, Malahide"
5,S Vesawkar,14,9,2,0,155.55555555555557,Haseeb Amjad,"['Aizaz Khan', 'JJ Atkinson']",run out,S Vesawkar,2014-03-16,Nepal,Nepal,0,Zahur Ahmed Chowdhury Stadium
4,S Vesawkar,40,44,5,0,90.9090909090909,notOut,notOut,notOut,notOut,2014-03-18,Nepal,Bangladesh,0,Zahur Ahmed Chowdhury Stadium
4,S Vesawkar,37,32,5,0,115.625,Shapoor Zadran,['Mohammad Shahzad'],caught,S Vesawkar,2014-03-20,Nepal,Nepal,0,Zahur Ahmed Chowdhury Stadium
6,S Vesawkar,18,32,0,1,56.25,MP O'Dowd,['Ahsan Malik'],caught,S Vesawkar,2015-07-01,Nepal,Netherlands,0,VRA Ground
6,S Vesawkar,24,16,1,1,150.0,Ahsan Malik,['MB van Schelven'],caught,S Vesawkar,2015-07-02,Nepal,Netherlands,0,Hazelaarweg
6,S Vesawkar,6,10,0,0,60.0,KJ O'Brien,['GC Wilson'],caught,S Vesawkar,2015-07-13,Ireland,Ireland,0,"Civil Service Cricket Club, Stormont"
6,S Vesawkar,27,24,2,1,112.5,Tanwir Afzal,['Nadeem Ahmed'],caught,S Vesawkar,2015-07-15,Nepal,Hong Kong,0,"Civil Service Cricket Club, Stormont"
5,S Vesawkar,11,17,0,0,64.70588235294117,N Vanua,['A Vala'],caught,S Vesawkar,2015-07-17,Papua New Guinea,Papua New Guinea,0,"The Village, Malahide"
7,SP Gauchan,0,1,0,0,0.0,Haseeb Amjad,['Haseeb Amjad'],run out,SP Gauchan,2014-03-16,Nepal,Nepal,0,Zahur Ahmed Chowdhury Stadium
8,SP Gauchan,5,25,0,0,20.0,notOut,notOut,notOut,notOut,2014-11-24,Nepal,Hong Kong,0,P Sara Oval
10,SP Gauchan,0,2,0,0,0.0,SR Thompson,['GC Wilson'],caught,SP Gauchan,2015-07-13,Ireland,Ireland,0,"Civil Service Cricket Club, Stormont"
9,SP Gauchan,2,3,0,0,66.66666666666666,Haseeb Amjad,['Haseeb Amjad'],run out,SP Gauchan,2015-07-15,Nepal,Hong Kong,0,"Civil Service Cricket Club, Stormont"
11,SP Gauchan,6,12,0,0,50.0,notOut,notOut,notOut,notOut,2015-07-17,Papua New Guinea,Papua New Guinea,0,"The Village, Malahide"
0,SP Khakurel,22,17,4,0,129.41176470588235,Nadeem Ahmed,['Aizaz Khan'],caught,SP Khakurel,2014-03-16,Nepal,Nepal,0,Zahur Ahmed Chowdhury Stadium
0,SP Khakurel,8,16,0,0,50.0,Farhad Reza,['Abdur Razzak'],caught,SP Khakurel,2014-03-18,Nepal,Bangladesh,0,Zahur Ahmed Chowdhury Stadium
0,SP Khakurel,56,56,6,1,100.0,Shapoor Zadran,['Asghar Stanikzai'],caught,SP Khakurel,2014-03-20,Nepal,Nepal,0,Zahur Ahmed Chowdhury Stadium
0,SP Khakurel,2,8,0,0,25.0,Haseeb Amjad,['Aizaz Khan'],caught,SP Khakurel,2014-11-24,Nepal,Hong Kong,0,P Sara Oval
