,batsman,runs,balls,4s,6s,SR,bowler,fielders,kind,player_out,date,team2,winner,result,venue
9,AC Kerr,1.0,1,0,0,100.0,notOut,notOut,notOut,notOut,2016-11-21,Pakistan,New Zealand,0,Saxton Oval
9,AC Kerr,1.0,1,0,0,100.0,notOut,notOut,notOut,notOut,2017-02-22,New Zealand,New Zealand,0,Adelaide Oval
3,AE Satterthwaite,10.0,16,1,0,62.5,A Sharma,['M Raj'],run out,AE Satterthwaite,2009-06-18,New Zealand,New Zealand,0,Trent Bridge
5,AE Satterthwaite,4.0,8,0,0,50.0,EA Perry,0,bowled,AE Satterthwaite,2010-05-16,New Zealand,Australia,0,"Kensington Oval, Bridgetown"
6,AE Satterthwaite,7.0,8,1,0,87.5,S Nitschke,0,lbw,AE Satterthwaite,2010-12-30,Australia,Australia,0,Saxton Oval
2,AE Satterthwaite,8.0,15,0,0,53.333333333333336,D Hazell,['SE Rowe'],caught,AE Satterthwaite,2012-02-17,England,England,0,Westpac Stadium
3,AE Satterthwaite,17.0,17,1,0,100.0,DN Wyatt,['A Shrubsole'],caught,AE Satterthwaite,2012-02-19,England,England,0,Seddon Park
3,AE Satterthwaite,16.0,21,1,0,76.19047619047619,D Hazell,"['A Shrubsole', 'D Hazell']",run out,KT Perkins,2012-02-22,England,England,0,Eden Park
4,AE Satterthwaite,16.0,21,1,0,76.19047619047619,DN Wyatt,0,lbw,AE Satterthwaite,2012-02-22,England,England,0,Eden Park
1,AE Satterthwaite,15.0,21,3,0,71.42857142857143,SR Taylor,0,caught and bowled,AE Satterthwaite,2012-09-26,West Indies,West Indies,0,Galle International Stadium
1,AE Satterthwaite,2.0,7,0,0,28.57142857142857,SM Benade,0,bowled,AE Satterthwaite,2012-09-28,South Africa,New Zealand,0,Galle International Stadium
1,AE Satterthwaite,32.0,40,3,0,80.0,notOut,notOut,notOut,notOut,2012-09-30,New Zealand,New Zealand,0,Galle International Stadium
2,AE Satterthwaite,30.0,40,3,0,75.0,HL Colvin,['JL Gunn'],caught,AE Satterthwaite,2012-10-04,New Zealand,England,0,R Premadasa Stadium
4,AE Satterthwaite,13.0,15,1,0,86.66666666666667,notOut,notOut,notOut,notOut,2016-03-15,Sri Lanka,New Zealand,0,Feroz Shah Kotla
