bowler,overs,runs,maidens,wicket,econrate,date,team2,winner,result,venue
Aamer Yamin,2,12,0,1,6.0,2015-11-30,Pakistan,0,tie,Sharjah Cricket Stadium
Abdul Razzaq,4,30,0,3,7.5,2006-08-28,Pakistan,Pakistan,0,County Ground
Abdul Razzaq,3,17,1,3,5.666666666666667,2009-06-13,Pakistan,Pakistan,0,Kennington Oval
Abdul Razzaq,3,18,0,0,6.0,2009-06-15,Pakistan,Pakistan,0,Kennington Oval
Abdul Razzaq,3,19,0,0,6.333333333333333,2009-06-18,South Africa,Pakistan,0,Trent Bridge
Abdul Razzaq,3,20,0,3,6.666666666666667,2009-06-21,Sri Lanka,Pakistan,0,Lord's
Abdul Razzaq,3,9,0,2,3.0,2009-11-12,Pakistan,Pakistan,0,Dubai International Cricket Stadium
Abdul Razzaq,4,24,0,2,6.0,2010-02-19,Pakistan,England,0,Dubai International Cricket Stadium
Abdul Razzaq,4,17,0,0,4.25,2010-02-20,Pakistan,Pakistan,0,Dubai International Cricket Stadium
Abdul Razzaq,2,23,0,0,11.5,2010-05-01,Pakistan,Pakistan,0,"Beausejour Stadium, Gros Islet"
Abdul Razzaq,3,22,0,1,7.333333333333333,2010-05-06,Pakistan,England,0,"Kensington Oval, Bridgetown"
Abdul Razzaq,3,16,0,1,5.333333333333333,2010-05-10,South Africa,Pakistan,0,"Beausejour Stadium, Gros Islet"
Abdul Razzaq,2,22,0,0,11.0,2010-05-14,Pakistan,Australia,0,"Beausejour Stadium, Gros Islet"
Abdul Razzaq,2,15,0,1,7.5,2010-07-05,Pakistan,Pakistan,0,Edgbaston
Abdul Razzaq,2,20,0,0,10.0,2010-09-05,Pakistan,England,0,Sophia Gardens
Abdul Razzaq,2,20,0,0,10.0,2010-10-26,South Africa,South Africa,0,Sheikh Zayed Stadium
Abdul Razzaq,1,15,0,0,15.0,2010-12-26,Pakistan,New Zealand,0,Eden Park
Abdul Razzaq,2,12,0,1,6.0,2010-12-28,Pakistan,New Zealand,0,Seddon Park
Abdul Razzaq,4,13,1,3,3.25,2010-12-30,Pakistan,Pakistan,0,AMI Stadium
Abdul Razzaq,1,9,0,2,9.0,2012-09-07,Pakistan,0,tie,Dubai International Cricket Stadium
Abdul Razzaq,2,12,0,0,6.0,2012-09-10,Pakistan,Australia,0,Dubai International Cricket Stadium
Abdul Razzaq,1,14,0,0,14.0,2013-11-15,South Africa,South Africa,0,Dubai International Cricket Stadium
Abdur Rehman,3,7,0,2,2.3333333333333335,2007-09-04,Pakistan,Pakistan,0,Gymkhana Club Ground
Abdur Rehman,3,19,0,2,6.333333333333333,2010-05-08,Pakistan,New Zealand,0,"Kensington Oval, Bridgetown"
Abdur Rehman,4,35,0,2,8.75,2010-05-10,South Africa,Pakistan,0,"Beausejour Stadium, Gros Islet"
Abdur Rehman,4,33,0,2,8.25,2010-05-14,Pakistan,Australia,0,"Beausejour Stadium, Gros Islet"
Abdur Rehman,4,22,0,1,5.5,2010-12-30,Pakistan,Pakistan,0,AMI Stadium
Abdur Rehman,4,22,0,3,5.5,2011-04-21,Pakistan,West Indies,0,"Beausejour Stadium, Gros Islet"
Abdur Rehman,1,18,0,0,18.0,2013-11-13,South Africa,South Africa,0,Dubai International Cricket Stadium
Ahmed Shehzad,1,10,0,0,10.0,2015-11-27,Pakistan,England,0,Dubai International Cricket Stadium
Aiman Anwer,3,24,0,1,8.0,2016-07-05,Pakistan,England,0,The Rose Bowl
Aiman Anwer,2,23,0,0,11.5,2016-07-07,Pakistan,England,0,County Ground
Aizaz Cheema,3,21,0,2,7.0,2011-09-16,Pakistan,Pakistan,0,Harare Sports Club
Aizaz Cheema,4,30,0,4,7.5,2011-11-25,Sri Lanka,Pakistan,0,Sheikh Zayed Stadium
Aizaz Cheema,2,9,0,1,4.5,2011-11-29,Pakistan,Pakistan,0,Shere Bangla National Stadium
Aizaz Cheema,4,31,0,1,7.75,2012-02-25,Pakistan,England,0,Dubai International Cricket Stadium
Aizaz Cheema,4,25,0,1,6.25,2012-02-27,Pakistan,England,0,Sheikh Zayed Stadium
Aliya Riaz,1,4,0,1,4.0,2015-09-30,Bangladesh,Pakistan,0,Southend Club Cricket Stadium
Aliya Riaz,4,21,0,1,5.25,2015-10-29,Pakistan,West Indies,0,"National Cricket Stadium, St George's"
Aliya Riaz,2,12,0,0,6.0,2016-11-21,Pakistan,New Zealand,0,Saxton Oval
Anam Amin,4,22,0,0,5.5,2014-03-29,Pakistan,Australia,0,Sylhet Stadium
Anam Amin,4,17,0,1,4.25,2014-03-31,Pakistan,Pakistan,0,Sylhet Stadium
Anam Amin,3,15,0,0,5.0,2014-04-02,Pakistan,India,0,Sylhet Stadium
Anam Amin,4,21,0,2,5.25,2014-04-03,Sri Lanka,Pakistan,0,Sylhet Stadium
Anam Amin,3,18,0,1,6.0,2014-09-05,Pakistan,Australia,0,Kerrydale Oval
Anam Amin,4,16,1,1,4.0,2015-03-19,South Africa,Pakistan,0,Sharjah Cricket Stadium
Anam Amin,3,25,0,2,8.333333333333334,2015-03-20,South Africa,Pakistan,0,Sharjah Cricket Stadium
Anam Amin,4,20,0,2,5.0,2015-03-22,South Africa,South Africa,0,Sharjah Cricket Stadium
Anam Amin,4,17,0,2,4.25,2015-09-30,Bangladesh,Pakistan,0,Southend Club Cricket Stadium
Anam Amin,4,18,0,1,4.5,2015-10-01,Bangladesh,Pakistan,0,Southend Club Cricket Stadium
Anam Amin,4,12,0,1,3.0,2015-10-29,Pakistan,West Indies,0,"National Cricket Stadium, St George's"
Anam Amin,4,16,0,6,4.0,2016-03-16,West Indies,West Indies,0,"MA Chidambaram Stadium, Chepauk"
Anam Amin,4,9,0,2,2.25,2016-03-19,Pakistan,Pakistan,0,Feroz Shah Kotla
Anam Amin,4,12,0,2,3.0,2016-03-24,Pakistan,Pakistan,0,Feroz Shah Kotla
Anam Amin,3,36,0,0,12.0,2016-03-27,Pakistan,England,0,"MA Chidambaram Stadium, Chepauk"
Anam Amin,3,24,0,0,8.0,2016-07-05,Pakistan,England,0,The Rose Bowl
Anam Amin,4,38,0,0,9.5,2016-07-07,Pakistan,England,0,County Ground
Anam Amin,4,24,0,2,6.0,2016-12-04,Pakistan,India,0,Asian Institute of Technology Ground
Anwar Ali,3,21,0,1,7.0,2013-08-23,Pakistan,Pakistan,0,Harare Sports Club
Anwar Ali,2,24,0,1,12.0,2013-08-24,Pakistan,Pakistan,0,Harare Sports Club
Anwar Ali,2,22,0,0,11.0,2013-11-20,Pakistan,South Africa,0,New Wanderers Stadium
Anwar Ali,2,15,0,1,7.5,2014-12-04,Pakistan,Pakistan,0,Dubai International Cricket Stadium
Anwar Ali,2,13,0,0,6.5,2014-12-05,Pakistan,New Zealand,0,Dubai International Cricket Stadium
Anwar Ali,3,18,0,0,6.0,2015-05-22,Zimbabwe,Pakistan,0,Gaddafi Stadium
Anwar Ali,3,31,0,0,10.333333333333334,2015-05-24,Zimbabwe,Pakistan,0,Gaddafi Stadium
Anwar Ali,4,27,0,2,6.75,2015-07-30,Pakistan,Pakistan,0,R Premadasa Stadium
Anwar Ali,4,40,0,1,10.0,2015-08-01,Pakistan,Pakistan,0,R Premadasa Stadium
Anwar Ali,4,19,0,1,4.75,2015-11-26,Pakistan,England,0,Dubai International Cricket Stadium
Anwar Ali,4,27,0,2,6.75,2015-11-27,Pakistan,England,0,Dubai International Cricket Stadium
Anwar Ali,4,35,0,1,8.75,2015-11-30,Pakistan,0,tie,Sharjah Cricket Stadium
Anwar Ali,3,31,0,1,10.333333333333334,2016-01-22,Pakistan,New Zealand,0,Westpac Stadium
Anwar Ali,2,25,0,0,12.5,2016-03-02,Pakistan,Bangladesh,0,Shere Bangla National Stadium
Asad Ali,1,7,0,0,7.0,2013-07-28,Pakistan,Pakistan,0,"Arnos Vale Ground, Kingstown"
Asad Ali,3,26,0,0,8.666666666666666,2013-08-24,Pakistan,Pakistan,0,Harare Sports Club
Asmavia Iqbal,2,18,0,0,9.0,2012-09-04,Pakistan,England,0,Haslegrave Ground
Asmavia Iqbal,4,36,0,4,9.0,2012-09-05,Pakistan,England,0,Haslegrave Ground
Asmavia Iqbal,2,20,0,0,10.0,2012-09-27,Pakistan,England,0,Galle International Stadium
Asmavia Iqbal,3,20,0,1,6.666666666666667,2012-09-29,Pakistan,Australia,0,Galle International Stadium
Asmavia Iqbal,4,15,0,1,3.75,2012-10-30,Pakistan,Pakistan,0,Guanggong International Cricket Stadium
Asmavia Iqbal,1,10,0,0,10.0,2012-10-31,Pakistan,India,0,Guanggong International Cricket Stadium
Asmavia Iqbal,3,8,0,0,2.6666666666666665,2013-07-05,Pakistan,Pakistan,0,Haslegrave Ground
Asmavia Iqbal,2,12,0,1,6.0,2013-07-16,Pakistan,Pakistan,0,YMCA Cricket Club
Asmavia Iqbal,2,17,0,0,8.5,2014-01-19,Pakistan,Ireland,0,West End Park International Cricket Stadium
Asmavia Iqbal,3,11,0,1,3.6666666666666665,2014-01-19,South Africa,Pakistan,0,West End Park International Cricket Stadium
Asmavia Iqbal,4,14,0,3,3.5,2014-01-24,South Africa,Pakistan,0,West End Park International Cricket Stadium
Asmavia Iqbal,4,29,0,1,7.25,2014-03-27,Pakistan,New Zealand,0,Sylhet Stadium
Asmavia Iqbal,4,23,0,1,5.75,2014-03-29,Pakistan,Australia,0,Sylhet Stadium
Asmavia Iqbal,3,18,0,3,6.0,2014-03-31,Pakistan,Pakistan,0,Sylhet Stadium
Asmavia Iqbal,4,16,0,3,4.0,2014-04-02,Pakistan,India,0,Sylhet Stadium
Asmavia Iqbal,2,11,0,0,5.5,2014-04-03,Sri Lanka,Pakistan,0,Sylhet Stadium
Asmavia Iqbal,2,10,0,0,5.0,2014-08-30,Pakistan,Australia,0,Kerrydale Oval
Asmavia Iqbal,4,24,0,2,6.0,2014-08-31,Pakistan,Australia,0,Kerrydale Oval
Asmavia Iqbal,3,21,0,0,7.0,2014-09-03,Pakistan,Australia,0,Kerrydale Oval
Asmavia Iqbal,4,25,0,1,6.25,2014-09-05,Pakistan,Australia,0,Kerrydale Oval
Asmavia Iqbal,2,22,0,0,11.0,2015-01-17,Sri Lanka,Sri Lanka,0,Sharjah Cricket Stadium
Asmavia Iqbal,4,23,0,3,5.75,2015-03-19,South Africa,Pakistan,0,Sharjah Cricket Stadium
Asmavia Iqbal,4,12,0,2,3.0,2015-03-20,South Africa,Pakistan,0,Sharjah Cricket Stadium
Asmavia Iqbal,3,23,0,1,7.666666666666667,2015-03-22,South Africa,South Africa,0,Sharjah Cricket Stadium
Asmavia Iqbal,3,22,0,0,7.333333333333333,2015-09-30,Bangladesh,Pakistan,0,Southend Club Cricket Stadium
Asmavia Iqbal,3,16,0,0,5.333333333333333,2015-10-01,Bangladesh,Pakistan,0,Southend Club Cricket Stadium
