delivery,batsman,bowler,extras_dict,non_striker,runs_dict,wicket_dict,wides,noballs,legbyes,byes,penalty,kind,player_out,fielders,runs,extras,total,team,city,date,gender,match_type,neutral_venue,winner,winType,winMargin,result,resultHow,resultTeam,non_boundary,ManOfMatch,overs,team1,team2,tossWinner,tossDecision,venue
0.1,Irfan Ahmed,Shapoor Zadran,0,Waqas Barkat,"{'batsman': 0, 'extras': 0, 'total': 0}","{'kind': 'bowled', 'player_out': 'Irfan Ahmed'}",0.0,0.0,0.0,0.0,0,bowled,Irfan Ahmed,0,0,0,0,Hong Kong,Chittagong,2014-03-18,male,T20,1,Afghanistan,wickets,7,0,0,0,0,Mohammad Shahzad,20,Afghanistan,Hong Kong,Hong Kong,bat,Zahur Ahmed Chowdhury Stadium
0.2,JJ Atkinson,Shapoor Zadran,0,Waqas Barkat,"{'batsman': 0, 'extras': 0, 'total': 0}",0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,Hong Kong,Chittagong,2014-03-18,male,T20,1,Afghanistan,wickets,7,0,0,0,0,Mohammad Shahzad,20,Afghanistan,Hong Kong,Hong Kong,bat,Zahur Ahmed Chowdhury Stadium
0.3,JJ Atkinson,Shapoor Zadran,0,Waqas Barkat,"{'batsman': 0, 'extras': 0, 'total': 0}",0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,Hong Kong,Chittagong,2014-03-18,male,T20,1,Afghanistan,wickets,7,0,0,0,0,Mohammad Shahzad,20,Afghanistan,Hong Kong,Hong Kong,bat,Zahur Ahmed Chowdhury Stadium
0.4,JJ Atkinson,Shapoor Zadran,0,Waqas Barkat,"{'batsman': 0, 'extras': 0, 'total': 0}",0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,Hong Kong,Chittagong,2014-03-18,male,T20,1,Afghanistan,wickets,7,0,0,0,0,Mohammad Shahzad,20,Afghanistan,Hong Kong,Hong Kong,bat,Zahur Ahmed Chowdhury Stadium
0.5,JJ Atkinson,Shapoor Zadran,0,Waqas Barkat,"{'batsman': 1, 'extras': 0, 'total': 1}",0,0.0,0.0,0.0,0.0,0,0,0,0,1,0,1,Hong Kong,Chittagong,2014-03-18,male,T20,1,Afghanistan,wickets,7,0,0,0,0,Mohammad Shahzad,20,Afghanistan,Hong Kong,Hong Kong,bat,Zahur Ahmed Chowdhury Stadium
0.6,Waqas Barkat,Shapoor Zadran,0,JJ Atkinson,"{'batsman': 1, 'extras': 0, 'total': 1}",0,0.0,0.0,0.0,0.0,0,0,0,0,1,0,1,Hong Kong,Chittagong,2014-03-18,male,T20,1,Afghanistan,wickets,7,0,0,0,0,Mohammad Shahzad,20,Afghanistan,Hong Kong,Hong Kong,bat,Zahur Ahmed Chowdhury Stadium
1.1,Waqas Barkat,Gulbadin Naib,0,JJ Atkinson,"{'batsman': 1, 'extras': 0, 'total': 1}",0,0.0,0.0,0.0,0.0,0,0,0,0,1,0,1,Hong Kong,Chittagong,2014-03-18,male,T20,1,Afghanistan,wickets,7,0,0,0,0,Mohammad Shahzad,20,Afghanistan,Hong Kong,Hong Kong,bat,Zahur Ahmed Chowdhury Stadium
1.2,JJ Atkinson,Gulbadin Naib,0,Waqas Barkat,"{'batsman': 0, 'extras': 0, 'total': 0}",0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,Hong Kong,Chittagong,2014-03-18,male,T20,1,Afghanistan,wickets,7,0,0,0,0,Mohammad Shahzad,20,Afghanistan,Hong Kong,Hong Kong,bat,Zahur Ahmed Chowdhury Stadium
1.3,JJ Atkinson,Gulbadin Naib,{'wides': 1},Waqas Barkat,"{'batsman': 0, 'extras': 1, 'total': 1}",0,1.0,0.0,0.0,0.0,0,0,0,0,0,1,1,Hong Kong,Chittagong,2014-03-18,male,T20,1,Afghanistan,wickets,7,0,0,0,0,Mohammad Shahzad,20,Afghanistan,Hong Kong,Hong Kong,bat,Zahur Ahmed Chowdhury Stadium
1.4,JJ Atkinson,Gulbadin Naib,0,Waqas Barkat,"{'batsman': 0, 'extras': 0, 'total': 0}",0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,Hong Kong,Chittagong,2014-03-18,male,T20,1,Afghanistan,wickets,7,0,0,0,0,Mohammad Shahzad,20,Afghanistan,Hong Kong,Hong Kong,bat,Zahur Ahmed Chowdhury Stadium
