delivery,batsman,bowler,extras_dict,non_striker,runs_dict,wicket_dict,wides,noballs,legbyes,byes,penalty,kind,player_out,fielders,runs,extras,total,team,city,date,gender,match_type,neutral_venue,winner,winType,winMargin,result,resultHow,resultTeam,non_boundary,ManOfMatch,overs,team1,team2,tossWinner,tossDecision,venue
0.1,Mohammad Shahzad,BJ McCarthy,0,Najeeb Tarakai,"{'batsman': 0, 'extras': 0, 'total': 0}",0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,Afghanistan,Greater Noida,2017-03-12,male,T20,1,Afghanistan,runs,28,0,0,0,0,Mohammad Nabi,20,Afghanistan,Ireland,Ireland,field,Greater Noida Sports Complex Ground
0.2,Mohammad Shahzad,BJ McCarthy,0,Najeeb Tarakai,"{'batsman': 4, 'extras': 0, 'total': 4}",0,0.0,0.0,0.0,0,0,0,0,0,4,0,4,Afghanistan,Greater Noida,2017-03-12,male,T20,1,Afghanistan,runs,28,0,0,0,0,Mohammad Nabi,20,Afghanistan,Ireland,Ireland,field,Greater Noida Sports Complex Ground
0.3,Mohammad Shahzad,BJ McCarthy,0,Najeeb Tarakai,"{'batsman': 6, 'extras': 0, 'total': 6}",0,0.0,0.0,0.0,0,0,0,0,0,6,0,6,Afghanistan,Greater Noida,2017-03-12,male,T20,1,Afghanistan,runs,28,0,0,0,0,Mohammad Nabi,20,Afghanistan,Ireland,Ireland,field,Greater Noida Sports Complex Ground
0.4,Mohammad Shahzad,BJ McCarthy,0,Najeeb Tarakai,"{'batsman': 0, 'extras': 0, 'total': 0}",0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,Afghanistan,Greater Noida,2017-03-12,male,T20,1,Afghanistan,runs,28,0,0,0,0,Mohammad Nabi,20,Afghanistan,Ireland,Ireland,field,Greater Noida Sports Complex Ground
0.5,Mohammad Shahzad,BJ McCarthy,0,Najeeb Tarakai,"{'batsman': 0, 'extras': 0, 'total': 0}",0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,Afghanistan,Greater Noida,2017-03-12,male,T20,1,Afghanistan,runs,28,0,0,0,0,Mohammad Nabi,20,Afghanistan,Ireland,Ireland,field,Greater Noida Sports Complex Ground
0.6,Mohammad Shahzad,BJ McCarthy,0,Najeeb Tarakai,"{'batsman': 4, 'extras': 0, 'total': 4}",0,0.0,0.0,0.0,0,0,0,0,0,4,0,4,Afghanistan,Greater Noida,2017-03-12,male,T20,1,Afghanistan,runs,28,0,0,0,0,Mohammad Nabi,20,Afghanistan,Ireland,Ireland,field,Greater Noida Sports Complex Ground
1.1,Najeeb Tarakai,GH Dockrell,0,Mohammad Shahzad,"{'batsman': 0, 'extras': 0, 'total': 0}",0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,Afghanistan,Greater Noida,2017-03-12,male,T20,1,Afghanistan,runs,28,0,0,0,0,Mohammad Nabi,20,Afghanistan,Ireland,Ireland,field,Greater Noida Sports Complex Ground
1.2,Najeeb Tarakai,GH Dockrell,0,Mohammad Shahzad,"{'batsman': 1, 'extras': 0, 'total': 1}",0,0.0,0.0,0.0,0,0,0,0,0,1,0,1,Afghanistan,Greater Noida,2017-03-12,male,T20,1,Afghanistan,runs,28,0,0,0,0,Mohammad Nabi,20,Afghanistan,Ireland,Ireland,field,Greater Noida Sports Complex Ground
1.3,Mohammad Shahzad,GH Dockrell,0,Najeeb Tarakai,"{'batsman': 0, 'extras': 0, 'total': 0}",0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,Afghanistan,Greater Noida,2017-03-12,male,T20,1,Afghanistan,runs,28,0,0,0,0,Mohammad Nabi,20,Afghanistan,Ireland,Ireland,field,Greater Noida Sports Complex Ground
1.4,Mohammad Shahzad,GH Dockrell,{'legbyes': 4},Najeeb Tarakai,"{'batsman': 0, 'extras': 4, 'total': 4}",0,0.0,0.0,4.0,0,0,0,0,0,0,4,4,Afghanistan,Greater Noida,2017-03-12,male,T20,1,Afghanistan,runs,28,0,0,0,0,Mohammad Nabi,20,Afghanistan,Ireland,Ireland,field,Greater Noida Sports Complex Ground
