delivery,batsman,bowler,extras_dict,non_striker,runs_dict,wicket_dict,wides,noballs,legbyes,byes,penalty,kind,player_out,fielders,runs,extras,total,team,city,date,gender,match_type,neutral_venue,winner,winType,winMargin,result,resultHow,resultTeam,non_boundary,ManOfMatch,overs,team1,team2,tossWinner,tossDecision,venue
0.1,Mohammad Shahzad,Mudassar Bukhari,0,Nawroz Mangal,"{'batsman': 0, 'extras': 0, 'total': 0}",0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,Afghanistan,Sharjah,2013-11-15,male,T20,1,Netherlands,wickets,7,0,0,0,0,BN Cooper,20,Afghanistan,Netherlands,Afghanistan,bat,Sharjah Cricket Stadium
0.2,Mohammad Shahzad,Mudassar Bukhari,0,Nawroz Mangal,"{'batsman': 1, 'extras': 0, 'total': 1}",0,0.0,0.0,0.0,0.0,0,0,0,0,1,0,1,Afghanistan,Sharjah,2013-11-15,male,T20,1,Netherlands,wickets,7,0,0,0,0,BN Cooper,20,Afghanistan,Netherlands,Afghanistan,bat,Sharjah Cricket Stadium
0.3,Nawroz Mangal,Mudassar Bukhari,0,Mohammad Shahzad,"{'batsman': 1, 'extras': 0, 'total': 1}",0,0.0,0.0,0.0,0.0,0,0,0,0,1,0,1,Afghanistan,Sharjah,2013-11-15,male,T20,1,Netherlands,wickets,7,0,0,0,0,BN Cooper,20,Afghanistan,Netherlands,Afghanistan,bat,Sharjah Cricket Stadium
0.4,Mohammad Shahzad,Mudassar Bukhari,{'legbyes': 1},Nawroz Mangal,"{'batsman': 0, 'extras': 1, 'total': 1}",0,0.0,0.0,1.0,0.0,0,0,0,0,0,1,1,Afghanistan,Sharjah,2013-11-15,male,T20,1,Netherlands,wickets,7,0,0,0,0,BN Cooper,20,Afghanistan,Netherlands,Afghanistan,bat,Sharjah Cricket Stadium
0.5,Nawroz Mangal,Mudassar Bukhari,0,Mohammad Shahzad,"{'batsman': 1, 'extras': 0, 'total': 1}",0,0.0,0.0,0.0,0.0,0,0,0,0,1,0,1,Afghanistan,Sharjah,2013-11-15,male,T20,1,Netherlands,wickets,7,0,0,0,0,BN Cooper,20,Afghanistan,Netherlands,Afghanistan,bat,Sharjah Cricket Stadium
0.6,Mohammad Shahzad,Mudassar Bukhari,0,Nawroz Mangal,"{'batsman': 0, 'extras': 0, 'total': 0}",0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,Afghanistan,Sharjah,2013-11-15,male,T20,1,Netherlands,wickets,7,0,0,0,0,BN Cooper,20,Afghanistan,Netherlands,Afghanistan,bat,Sharjah Cricket Stadium
1.1,Nawroz Mangal,PA van Meekeren,{'wides': 1},Mohammad Shahzad,"{'batsman': 0, 'extras': 1, 'total': 1}",0,1.0,0.0,0.0,0.0,0,0,0,0,0,1,1,Afghanistan,Sharjah,2013-11-15,male,T20,1,Netherlands,wickets,7,0,0,0,0,BN Cooper,20,Afghanistan,Netherlands,Afghanistan,bat,Sharjah Cricket Stadium
1.2,Nawroz Mangal,PA van Meekeren,0,Mohammad Shahzad,"{'batsman': 2, 'extras': 0, 'total': 2}",0,0.0,0.0,0.0,0.0,0,0,0,0,2,0,2,Afghanistan,Sharjah,2013-11-15,male,T20,1,Netherlands,wickets,7,0,0,0,0,BN Cooper,20,Afghanistan,Netherlands,Afghanistan,bat,Sharjah Cricket Stadium
1.3,Nawroz Mangal,PA van Meekeren,0,Mohammad Shahzad,"{'batsman': 4, 'extras': 0, 'total': 4}",0,0.0,0.0,0.0,0.0,0,0,0,0,4,0,4,Afghanistan,Sharjah,2013-11-15,male,T20,1,Netherlands,wickets,7,0,0,0,0,BN Cooper,20,Afghanistan,Netherlands,Afghanistan,bat,Sharjah Cricket Stadium
1.4,Nawroz Mangal,PA van Meekeren,0,Mohammad Shahzad,"{'batsman': 0, 'extras': 0, 'total': 0}","{'fielders': ['W Barresi'], 'kind': 'caught', 'player_out': 'Nawroz Mangal'}",0.0,0.0,0.0,0.0,0,caught,Nawroz Mangal,['W Barresi'],0,0,0,Afghanistan,Sharjah,2013-11-15,male,T20,1,Netherlands,wickets,7,0,0,0,0,BN Cooper,20,Afghanistan,Netherlands,Afghanistan,bat,Sharjah Cricket Stadium
