delivery,batsman,bowler,extras_dict,non_striker,runs_dict,wicket_dict,wides,noballs,legbyes,byes,penalty,kind,player_out,fielders,runs,extras,total,team,city,date,gender,match_type,neutral_venue,winner,winType,winMargin,result,resultHow,resultTeam,non_boundary,ManOfMatch,overs,team1,team2,tossWinner,tossDecision,venue
0.1,Zeeshan Maqsood,Fareed Ahmad,0,Khawar Ali,"{'batsman': 1, 'extras': 0, 'total': 1}",0,0.0,0.0,0.0,0.0,0,0,0,0,1,0,1,Oman,0,2017-01-20,male,T20,1,Afghanistan,wickets,8,0,0,0,0,Mohammad Shahzad,20,Afghanistan,Oman,Afghanistan,field,Dubai International Cricket Stadium
0.2,Khawar Ali,Fareed Ahmad,0,Zeeshan Maqsood,"{'batsman': 0, 'extras': 0, 'total': 0}",0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,Oman,0,2017-01-20,male,T20,1,Afghanistan,wickets,8,0,0,0,0,Mohammad Shahzad,20,Afghanistan,Oman,Afghanistan,field,Dubai International Cricket Stadium
0.3,Khawar Ali,Fareed Ahmad,0,Zeeshan Maqsood,"{'batsman': 0, 'extras': 0, 'total': 0}",0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,Oman,0,2017-01-20,male,T20,1,Afghanistan,wickets,8,0,0,0,0,Mohammad Shahzad,20,Afghanistan,Oman,Afghanistan,field,Dubai International Cricket Stadium
0.4,Khawar Ali,Fareed Ahmad,0,Zeeshan Maqsood,"{'batsman': 0, 'extras': 0, 'total': 0}",0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,Oman,0,2017-01-20,male,T20,1,Afghanistan,wickets,8,0,0,0,0,Mohammad Shahzad,20,Afghanistan,Oman,Afghanistan,field,Dubai International Cricket Stadium
0.5,Khawar Ali,Fareed Ahmad,0,Zeeshan Maqsood,"{'batsman': 0, 'extras': 0, 'total': 0}",0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,Oman,0,2017-01-20,male,T20,1,Afghanistan,wickets,8,0,0,0,0,Mohammad Shahzad,20,Afghanistan,Oman,Afghanistan,field,Dubai International Cricket Stadium
0.6,Khawar Ali,Fareed Ahmad,0,Zeeshan Maqsood,"{'batsman': 0, 'extras': 0, 'total': 0}",0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,Oman,0,2017-01-20,male,T20,1,Afghanistan,wickets,8,0,0,0,0,Mohammad Shahzad,20,Afghanistan,Oman,Afghanistan,field,Dubai International Cricket Stadium
1.1,Zeeshan Maqsood,Mohammad Nabi,0,Khawar Ali,"{'batsman': 1, 'extras': 0, 'total': 1}",0,0.0,0.0,0.0,0.0,0,0,0,0,1,0,1,Oman,0,2017-01-20,male,T20,1,Afghanistan,wickets,8,0,0,0,0,Mohammad Shahzad,20,Afghanistan,Oman,Afghanistan,field,Dubai International Cricket Stadium
1.2,Khawar Ali,Mohammad Nabi,0,Zeeshan Maqsood,"{'batsman': 1, 'extras': 0, 'total': 1}",0,0.0,0.0,0.0,0.0,0,0,0,0,1,0,1,Oman,0,2017-01-20,male,T20,1,Afghanistan,wickets,8,0,0,0,0,Mohammad Shahzad,20,Afghanistan,Oman,Afghanistan,field,Dubai International Cricket Stadium
1.3,Zeeshan Maqsood,Mohammad Nabi,0,Khawar Ali,"{'batsman': 0, 'extras': 0, 'total': 0}",0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,Oman,0,2017-01-20,male,T20,1,Afghanistan,wickets,8,0,0,0,0,Mohammad Shahzad,20,Afghanistan,Oman,Afghanistan,field,Dubai International Cricket Stadium
1.4,Zeeshan Maqsood,Mohammad Nabi,{'legbyes': 1},Khawar Ali,"{'batsman': 0, 'extras': 1, 'total': 1}",0,0.0,0.0,1.0,0.0,0,0,0,0,0,1,1,Oman,0,2017-01-20,male,T20,1,Afghanistan,wickets,8,0,0,0,0,Mohammad Shahzad,20,Afghanistan,Oman,Afghanistan,field,Dubai International Cricket Stadium
1.5,Khawar Ali,Mohammad Nabi,0,Zeeshan Maqsood,"{'batsman': 4, 'extras': 0, 'total': 4}",0,0.0,0.0,0.0,0.0,0,0,0,0,4,0,4,Oman,0,2017-01-20,male,T20,1,Afghanistan,wickets,8,0,0,0,0,Mohammad Shahzad,20,Afghanistan,Oman,Afghanistan,field,Dubai International Cricket Stadium
1.6,Khawar Ali,Mohammad Nabi,0,Zeeshan Maqsood,"{'batsman': 0, 'extras': 0, 'total': 0}",0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,Oman,0,2017-01-20,male,T20,1,Afghanistan,wickets,8,0,0,0,0,Mohammad Shahzad,20,Afghanistan,Oman,Afghanistan,field,Dubai International Cricket Stadium
2.1,Zeeshan Maqsood,Fareed Ahmad,{'wides': 1},Khawar Ali,"{'batsman': 0, 'extras': 1, 'total': 1}",0,1.0,0.0,0.0,0.0,0,0,0,0,0,1,1,Oman,0,2017-01-20,male,T20,1,Afghanistan,wickets,8,0,0,0,0,Mohammad Shahzad,20,Afghanistan,Oman,Afghanistan,field,Dubai International Cricket Stadium
2.2,Zeeshan Maqsood,Fareed Ahmad,0,Khawar Ali,"{'batsman': 0, 'extras': 0, 'total': 0}",0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,Oman,0,2017-01-20,male,T20,1,Afghanistan,wickets,8,0,0,0,0,Mohammad Shahzad,20,Afghanistan,Oman,Afghanistan,field,Dubai International Cricket Stadium
2.3,Zeeshan Maqsood,Fareed Ahmad,{'wides': 1},Khawar Ali,"{'batsman': 0, 'extras': 1, 'total': 1}",0,1.0,0.0,0.0,0.0,0,0,0,0,0,1,1,Oman,0,2017-01-20,male,T20,1,Afghanistan,wickets,8,0,0,0,0,Mohammad Shahzad,20,Afghanistan,Oman,Afghanistan,field,Dubai International Cricket Stadium
2.4,Zeeshan Maqsood,Fareed Ahmad,0,Khawar Ali,"{'batsman': 1, 'extras': 0, 'total': 1}",0,0.0,0.0,0.0,0.0,0,0,0,0,1,0,1,Oman,0,2017-01-20,male,T20,1,Afghanistan,wickets,8,0,0,0,0,Mohammad Shahzad,20,Afghanistan,Oman,Afghanistan,field,Dubai International Cricket Stadium
2.5,Khawar Ali,Fareed Ahmad,0,Zeeshan Maqsood,"{'batsman': 0, 'extras': 0, 'total': 0}","{'fielders': ['Mohammad Shahzad'], 'kind': 'caught', 'player_out': 'Khawar Ali'}",0.0,0.0,0.0,0.0,0,caught,Khawar Ali,['Mohammad Shahzad'],0,0,0,Oman,0,2017-01-20,male,T20,1,Afghanistan,wickets,8,0,0,0,0,Mohammad Shahzad,20,Afghanistan,Oman,Afghanistan,field,Dubai International Cricket Stadium
2.6,Aqib Ilyas,Fareed Ahmad,0,Zeeshan Maqsood,"{'batsman': 0, 'extras': 0, 'total': 0}",0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,Oman,0,2017-01-20,male,T20,1,Afghanistan,wickets,8,0,0,0,0,Mohammad Shahzad,20,Afghanistan,Oman,Afghanistan,field,Dubai International Cricket Stadium
2.7,Aqib Ilyas,Fareed Ahmad,0,Zeeshan Maqsood,"{'batsman': 0, 'extras': 0, 'total': 0}",0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,Oman,0,2017-01-20,male,T20,1,Afghanistan,wickets,8,0,0,0,0,Mohammad Shahzad,20,Afghanistan,Oman,Afghanistan,field,Dubai International Cricket Stadium
2.8,Aqib Ilyas,Fareed Ahmad,0,Zeeshan Maqsood,"{'batsman': 4, 'extras': 0, 'total': 4}",0,0.0,0.0,0.0,0.0,0,0,0,0,4,0,4,Oman,0,2017-01-20,male,T20,1,Afghanistan,wickets,8,0,0,0,0,Mohammad Shahzad,20,Afghanistan,Oman,Afghanistan,field,Dubai International Cricket Stadium
3.1,Zeeshan Maqsood,Dawlat Zadran,0,Aqib Ilyas,"{'batsman': 0, 'extras': 0, 'total': 0}",0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,Oman,0,2017-01-20,male,T20,1,Afghanistan,wickets,8,0,0,0,0,Mohammad Shahzad,20,Afghanistan,Oman,Afghanistan,field,Dubai International Cricket Stadium
3.2,Zeeshan Maqsood,Dawlat Zadran,0,Aqib Ilyas,"{'batsman': 1, 'extras': 0, 'total': 1}",0,0.0,0.0,0.0,0.0,0,0,0,0,1,0,1,Oman,0,2017-01-20,male,T20,1,Afghanistan,wickets,8,0,0,0,0,Mohammad Shahzad,20,Afghanistan,Oman,Afghanistan,field,Dubai International Cricket Stadium
3.3,Aqib Ilyas,Dawlat Zadran,0,Zeeshan Maqsood,"{'batsman': 6, 'extras': 0, 'total': 6}",0,0.0,0.0,0.0,0.0,0,0,0,0,6,0,6,Oman,0,2017-01-20,male,T20,1,Afghanistan,wickets,8,0,0,0,0,Mohammad Shahzad,20,Afghanistan,Oman,Afghanistan,field,Dubai International Cricket Stadium
3.4,Aqib Ilyas,Dawlat Zadran,0,Zeeshan Maqsood,"{'batsman': 0, 'extras': 0, 'total': 0}",0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,Oman,0,2017-01-20,male,T20,1,Afghanistan,wickets,8,0,0,0,0,Mohammad Shahzad,20,Afghanistan,Oman,Afghanistan,field,Dubai International Cricket Stadium
3.5,Aqib Ilyas,Dawlat Zadran,0,Zeeshan Maqsood,"{'batsman': 1, 'extras': 0, 'total': 1}",0,0.0,0.0,0.0,0.0,0,0,0,0,1,0,1,Oman,0,2017-01-20,male,T20,1,Afghanistan,wickets,8,0,0,0,0,Mohammad Shahzad,20,Afghanistan,Oman,Afghanistan,field,Dubai International Cricket Stadium
3.6,Zeeshan Maqsood,Dawlat Zadran,0,Aqib Ilyas,"{'batsman': 1, 'extras': 0, 'total': 1}",0,0.0,0.0,0.0,0.0,0,0,0,0,1,0,1,Oman,0,2017-01-20,male,T20,1,Afghanistan,wickets,8,0,0,0,0,Mohammad Shahzad,20,Afghanistan,Oman,Afghanistan,field,Dubai International Cricket Stadium
4.1,Zeeshan Maqsood,Mohammad Nabi,0,Aqib Ilyas,"{'batsman': 3, 'extras': 0, 'total': 3}",0,0.0,0.0,0.0,0.0,0,0,0,0,3,0,3,Oman,0,2017-01-20,male,T20,1,Afghanistan,wickets,8,0,0,0,0,Mohammad Shahzad,20,Afghanistan,Oman,Afghanistan,field,Dubai International Cricket Stadium
4.2,Aqib Ilyas,Mohammad Nabi,0,Zeeshan Maqsood,"{'batsman': 0, 'extras': 0, 'total': 0}",0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,Oman,0,2017-01-20,male,T20,1,Afghanistan,wickets,8,0,0,0,0,Mohammad Shahzad,20,Afghanistan,Oman,Afghanistan,field,Dubai International Cricket Stadium
4.3,Aqib Ilyas,Mohammad Nabi,0,Zeeshan Maqsood,"{'batsman': 0, 'extras': 0, 'total': 0}",0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,Oman,0,2017-01-20,male,T20,1,Afghanistan,wickets,8,0,0,0,0,Mohammad Shahzad,20,Afghanistan,Oman,Afghanistan,field,Dubai International Cricket Stadium
4.4,Aqib Ilyas,Mohammad Nabi,0,Zeeshan Maqsood,"{'batsman': 0, 'extras': 0, 'total': 0}",0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,Oman,0,2017-01-20,male,T20,1,Afghanistan,wickets,8,0,0,0,0,Mohammad Shahzad,20,Afghanistan,Oman,Afghanistan,field,Dubai International Cricket Stadium
