delivery,batsman,bowler,extras_dict,non_striker,runs_dict,wicket_dict,wides,noballs,legbyes,byes,penalty,kind,player_out,fielders,runs,extras,total,team,city,date,gender,match_type,neutral_venue,winner,winType,winMargin,result,resultHow,resultTeam,non_boundary,ManOfMatch,overs,team1,team2,tossWinner,tossDecision,venue
0.1,Mohammad Shahzad,AD Russell,0,Usman Ghani,"{'batsman': 1, 'extras': 0, 'total': 1}",0,0.0,0.0,0.0,0,0,0,0,0,1,0,1,Afghanistan,Nagpur,2016-03-27,male,T20,1,Afghanistan,runs,6,0,0,0,0,Najibullah Zadran,20,Afghanistan,West Indies,West Indies,field,"Vidarbha Cricket Association Stadium, Jamtha"
0.2,Usman Ghani,AD Russell,0,Mohammad Shahzad,"{'batsman': 0, 'extras': 0, 'total': 0}",0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,Afghanistan,Nagpur,2016-03-27,male,T20,1,Afghanistan,runs,6,0,0,0,0,Najibullah Zadran,20,Afghanistan,West Indies,West Indies,field,"Vidarbha Cricket Association Stadium, Jamtha"
0.3,Usman Ghani,AD Russell,0,Mohammad Shahzad,"{'batsman': 0, 'extras': 0, 'total': 0}",0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,Afghanistan,Nagpur,2016-03-27,male,T20,1,Afghanistan,runs,6,0,0,0,0,Najibullah Zadran,20,Afghanistan,West Indies,West Indies,field,"Vidarbha Cricket Association Stadium, Jamtha"
0.4,Usman Ghani,AD Russell,0,Mohammad Shahzad,"{'batsman': 0, 'extras': 0, 'total': 0}",0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,Afghanistan,Nagpur,2016-03-27,male,T20,1,Afghanistan,runs,6,0,0,0,0,Najibullah Zadran,20,Afghanistan,West Indies,West Indies,field,"Vidarbha Cricket Association Stadium, Jamtha"
0.5,Usman Ghani,AD Russell,0,Mohammad Shahzad,"{'batsman': 4, 'extras': 0, 'total': 4}",0,0.0,0.0,0.0,0,0,0,0,0,4,0,4,Afghanistan,Nagpur,2016-03-27,male,T20,1,Afghanistan,runs,6,0,0,0,0,Najibullah Zadran,20,Afghanistan,West Indies,West Indies,field,"Vidarbha Cricket Association Stadium, Jamtha"
0.6,Usman Ghani,AD Russell,0,Mohammad Shahzad,"{'batsman': 0, 'extras': 0, 'total': 0}",0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,Afghanistan,Nagpur,2016-03-27,male,T20,1,Afghanistan,runs,6,0,0,0,0,Najibullah Zadran,20,Afghanistan,West Indies,West Indies,field,"Vidarbha Cricket Association Stadium, Jamtha"
1.1,Mohammad Shahzad,S Badree,0,Usman Ghani,"{'batsman': 0, 'extras': 0, 'total': 0}",0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,Afghanistan,Nagpur,2016-03-27,male,T20,1,Afghanistan,runs,6,0,0,0,0,Najibullah Zadran,20,Afghanistan,West Indies,West Indies,field,"Vidarbha Cricket Association Stadium, Jamtha"
1.2,Mohammad Shahzad,S Badree,0,Usman Ghani,"{'batsman': 0, 'extras': 0, 'total': 0}",0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,Afghanistan,Nagpur,2016-03-27,male,T20,1,Afghanistan,runs,6,0,0,0,0,Najibullah Zadran,20,Afghanistan,West Indies,West Indies,field,"Vidarbha Cricket Association Stadium, Jamtha"
1.3,Mohammad Shahzad,S Badree,0,Usman Ghani,"{'batsman': 2, 'extras': 0, 'total': 2}",0,0.0,0.0,0.0,0,0,0,0,0,2,0,2,Afghanistan,Nagpur,2016-03-27,male,T20,1,Afghanistan,runs,6,0,0,0,0,Najibullah Zadran,20,Afghanistan,West Indies,West Indies,field,"Vidarbha Cricket Association Stadium, Jamtha"
1.4,Mohammad Shahzad,S Badree,0,Usman Ghani,"{'batsman': 1, 'extras': 0, 'total': 1}",0,0.0,0.0,0.0,0,0,0,0,0,1,0,1,Afghanistan,Nagpur,2016-03-27,male,T20,1,Afghanistan,runs,6,0,0,0,0,Najibullah Zadran,20,Afghanistan,West Indies,West Indies,field,"Vidarbha Cricket Association Stadium, Jamtha"
1.5,Usman Ghani,S Badree,0,Mohammad Shahzad,"{'batsman': 0, 'extras': 0, 'total': 0}","{'kind': 'bowled', 'player_out': 'Usman Ghani'}",0.0,0.0,0.0,0,0,bowled,Usman Ghani,0,0,0,0,Afghanistan,Nagpur,2016-03-27,male,T20,1,Afghanistan,runs,6,0,0,0,0,Najibullah Zadran,20,Afghanistan,West Indies,West Indies,field,"Vidarbha Cricket Association Stadium, Jamtha"
1.6,Asghar Stanikzai,S Badree,0,Mohammad Shahzad,"{'batsman': 0, 'extras': 0, 'total': 0}",0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,Afghanistan,Nagpur,2016-03-27,male,T20,1,Afghanistan,runs,6,0,0,0,0,Najibullah Zadran,20,Afghanistan,West Indies,West Indies,field,"Vidarbha Cricket Association Stadium, Jamtha"
2.1,Mohammad Shahzad,CR Brathwaite,0,Asghar Stanikzai,"{'batsman': 1, 'extras': 0, 'total': 1}",0,0.0,0.0,0.0,0,0,0,0,0,1,0,1,Afghanistan,Nagpur,2016-03-27,male,T20,1,Afghanistan,runs,6,0,0,0,0,Najibullah Zadran,20,Afghanistan,West Indies,West Indies,field,"Vidarbha Cricket Association Stadium, Jamtha"
2.2,Asghar Stanikzai,CR Brathwaite,0,Mohammad Shahzad,"{'batsman': 1, 'extras': 0, 'total': 1}",0,0.0,0.0,0.0,0,0,0,0,0,1,0,1,Afghanistan,Nagpur,2016-03-27,male,T20,1,Afghanistan,runs,6,0,0,0,0,Najibullah Zadran,20,Afghanistan,West Indies,West Indies,field,"Vidarbha Cricket Association Stadium, Jamtha"
2.3,Mohammad Shahzad,CR Brathwaite,0,Asghar Stanikzai,"{'batsman': 4, 'extras': 0, 'total': 4}",0,0.0,0.0,0.0,0,0,0,0,0,4,0,4,Afghanistan,Nagpur,2016-03-27,male,T20,1,Afghanistan,runs,6,0,0,0,0,Najibullah Zadran,20,Afghanistan,West Indies,West Indies,field,"Vidarbha Cricket Association Stadium, Jamtha"
2.4,Mohammad Shahzad,CR Brathwaite,0,Asghar Stanikzai,"{'batsman': 0, 'extras': 0, 'total': 0}",0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,Afghanistan,Nagpur,2016-03-27,male,T20,1,Afghanistan,runs,6,0,0,0,0,Najibullah Zadran,20,Afghanistan,West Indies,West Indies,field,"Vidarbha Cricket Association Stadium, Jamtha"
2.5,Mohammad Shahzad,CR Brathwaite,0,Asghar Stanikzai,"{'batsman': 4, 'extras': 0, 'total': 4}",0,0.0,0.0,0.0,0,0,0,0,0,4,0,4,Afghanistan,Nagpur,2016-03-27,male,T20,1,Afghanistan,runs,6,0,0,0,0,Najibullah Zadran,20,Afghanistan,West Indies,West Indies,field,"Vidarbha Cricket Association Stadium, Jamtha"
2.6,Mohammad Shahzad,CR Brathwaite,0,Asghar Stanikzai,"{'batsman': 1, 'extras': 0, 'total': 1}",0,0.0,0.0,0.0,0,0,0,0,0,1,0,1,Afghanistan,Nagpur,2016-03-27,male,T20,1,Afghanistan,runs,6,0,0,0,0,Najibullah Zadran,20,Afghanistan,West Indies,West Indies,field,"Vidarbha Cricket Association Stadium, Jamtha"
3.1,Mohammad Shahzad,SJ Benn,0,Asghar Stanikzai,"{'batsman': 0, 'extras': 0, 'total': 0}",0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,Afghanistan,Nagpur,2016-03-27,male,T20,1,Afghanistan,runs,6,0,0,0,0,Najibullah Zadran,20,Afghanistan,West Indies,West Indies,field,"Vidarbha Cricket Association Stadium, Jamtha"
3.2,Mohammad Shahzad,SJ Benn,0,Asghar Stanikzai,"{'batsman': 0, 'extras': 0, 'total': 0}",0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,Afghanistan,Nagpur,2016-03-27,male,T20,1,Afghanistan,runs,6,0,0,0,0,Najibullah Zadran,20,Afghanistan,West Indies,West Indies,field,"Vidarbha Cricket Association Stadium, Jamtha"
3.3,Mohammad Shahzad,SJ Benn,0,Asghar Stanikzai,"{'batsman': 0, 'extras': 0, 'total': 0}",0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,Afghanistan,Nagpur,2016-03-27,male,T20,1,Afghanistan,runs,6,0,0,0,0,Najibullah Zadran,20,Afghanistan,West Indies,West Indies,field,"Vidarbha Cricket Association Stadium, Jamtha"
3.4,Mohammad Shahzad,SJ Benn,0,Asghar Stanikzai,"{'batsman': 1, 'extras': 0, 'total': 1}",0,0.0,0.0,0.0,0,0,0,0,0,1,0,1,Afghanistan,Nagpur,2016-03-27,male,T20,1,Afghanistan,runs,6,0,0,0,0,Najibullah Zadran,20,Afghanistan,West Indies,West Indies,field,"Vidarbha Cricket Association Stadium, Jamtha"
3.5,Asghar Stanikzai,SJ Benn,0,Mohammad Shahzad,"{'batsman': 1, 'extras': 0, 'total': 1}",0,0.0,0.0,0.0,0,0,0,0,0,1,0,1,Afghanistan,Nagpur,2016-03-27,male,T20,1,Afghanistan,runs,6,0,0,0,0,Najibullah Zadran,20,Afghanistan,West Indies,West Indies,field,"Vidarbha Cricket Association Stadium, Jamtha"
