delivery,batsman,bowler,extras_dict,non_striker,runs_dict,wicket_dict,wides,noballs,legbyes,byes,penalty,kind,player_out,fielders,runs,extras,total,team,city,date,gender,match_type,neutral_venue,winner,winType,winMargin,result,resultHow,resultTeam,non_boundary,ManOfMatch,overs,team1,team2,tossWinner,tossDecision,venue
0.1,Mohammad Shahzad,WP Masakadza,0,Noor Ali Zadran,"{'batsman': 2, 'extras': 0, 'total': 2}",0,0.0,0,0.0,0.0,0,0,0,0,2,0,2,Afghanistan,Nagpur,2016-03-12,male,T20,1,Afghanistan,runs,59,0,0,0,0,Mohammad Nabi,20,Afghanistan,Zimbabwe,Afghanistan,bat,"Vidarbha Cricket Association Stadium, Jamtha"
0.2,Mohammad Shahzad,WP Masakadza,0,Noor Ali Zadran,"{'batsman': 0, 'extras': 0, 'total': 0}",0,0.0,0,0.0,0.0,0,0,0,0,0,0,0,Afghanistan,Nagpur,2016-03-12,male,T20,1,Afghanistan,runs,59,0,0,0,0,Mohammad Nabi,20,Afghanistan,Zimbabwe,Afghanistan,bat,"Vidarbha Cricket Association Stadium, Jamtha"
0.3,Mohammad Shahzad,WP Masakadza,0,Noor Ali Zadran,"{'batsman': 0, 'extras': 0, 'total': 0}",0,0.0,0,0.0,0.0,0,0,0,0,0,0,0,Afghanistan,Nagpur,2016-03-12,male,T20,1,Afghanistan,runs,59,0,0,0,0,Mohammad Nabi,20,Afghanistan,Zimbabwe,Afghanistan,bat,"Vidarbha Cricket Association Stadium, Jamtha"
0.4,Mohammad Shahzad,WP Masakadza,0,Noor Ali Zadran,"{'batsman': 0, 'extras': 0, 'total': 0}",0,0.0,0,0.0,0.0,0,0,0,0,0,0,0,Afghanistan,Nagpur,2016-03-12,male,T20,1,Afghanistan,runs,59,0,0,0,0,Mohammad Nabi,20,Afghanistan,Zimbabwe,Afghanistan,bat,"Vidarbha Cricket Association Stadium, Jamtha"
0.5,Mohammad Shahzad,WP Masakadza,0,Noor Ali Zadran,"{'batsman': 2, 'extras': 0, 'total': 2}",0,0.0,0,0.0,0.0,0,0,0,0,2,0,2,Afghanistan,Nagpur,2016-03-12,male,T20,1,Afghanistan,runs,59,0,0,0,0,Mohammad Nabi,20,Afghanistan,Zimbabwe,Afghanistan,bat,"Vidarbha Cricket Association Stadium, Jamtha"
0.6,Mohammad Shahzad,WP Masakadza,0,Noor Ali Zadran,"{'batsman': 0, 'extras': 0, 'total': 0}",0,0.0,0,0.0,0.0,0,0,0,0,0,0,0,Afghanistan,Nagpur,2016-03-12,male,T20,1,Afghanistan,runs,59,0,0,0,0,Mohammad Nabi,20,Afghanistan,Zimbabwe,Afghanistan,bat,"Vidarbha Cricket Association Stadium, Jamtha"
1.1,Noor Ali Zadran,TL Chatara,0,Mohammad Shahzad,"{'batsman': 1, 'extras': 0, 'total': 1}",0,0.0,0,0.0,0.0,0,0,0,0,1,0,1,Afghanistan,Nagpur,2016-03-12,male,T20,1,Afghanistan,runs,59,0,0,0,0,Mohammad Nabi,20,Afghanistan,Zimbabwe,Afghanistan,bat,"Vidarbha Cricket Association Stadium, Jamtha"
1.2,Mohammad Shahzad,TL Chatara,0,Noor Ali Zadran,"{'batsman': 0, 'extras': 0, 'total': 0}",0,0.0,0,0.0,0.0,0,0,0,0,0,0,0,Afghanistan,Nagpur,2016-03-12,male,T20,1,Afghanistan,runs,59,0,0,0,0,Mohammad Nabi,20,Afghanistan,Zimbabwe,Afghanistan,bat,"Vidarbha Cricket Association Stadium, Jamtha"
1.3,Mohammad Shahzad,TL Chatara,0,Noor Ali Zadran,"{'batsman': 4, 'extras': 0, 'total': 4}",0,0.0,0,0.0,0.0,0,0,0,0,4,0,4,Afghanistan,Nagpur,2016-03-12,male,T20,1,Afghanistan,runs,59,0,0,0,0,Mohammad Nabi,20,Afghanistan,Zimbabwe,Afghanistan,bat,"Vidarbha Cricket Association Stadium, Jamtha"
1.4,Mohammad Shahzad,TL Chatara,0,Noor Ali Zadran,"{'batsman': 4, 'extras': 0, 'total': 4}",0,0.0,0,0.0,0.0,0,0,0,0,4,0,4,Afghanistan,Nagpur,2016-03-12,male,T20,1,Afghanistan,runs,59,0,0,0,0,Mohammad Nabi,20,Afghanistan,Zimbabwe,Afghanistan,bat,"Vidarbha Cricket Association Stadium, Jamtha"
