delivery,batsman,bowler,extras_dict,non_striker,runs_dict,wicket_dict,wides,noballs,legbyes,byes,penalty,kind,player_out,fielders,runs,extras,total,team,city,date,gender,match_type,neutral_venue,winner,winType,winMargin,result,resultHow,resultTeam,non_boundary,ManOfMatch,overs,team1,team2,tossWinner,tossDecision,venue
0.1,DA Warner,CR Woakes,0,SR Watson,"{'batsman': 0, 'extras': 0, 'total': 0}",0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,Australia,0,2011-01-14,male,T20,0,Australia,runs,4,0,0,0,0,AJ Finch,20,Australia,England,Australia,bat,Melbourne Cricket Ground
0.2,DA Warner,CR Woakes,0,SR Watson,"{'batsman': 0, 'extras': 0, 'total': 0}",0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,Australia,0,2011-01-14,male,T20,0,Australia,runs,4,0,0,0,0,AJ Finch,20,Australia,England,Australia,bat,Melbourne Cricket Ground
0.3,DA Warner,CR Woakes,0,SR Watson,"{'batsman': 0, 'extras': 0, 'total': 0}",0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,Australia,0,2011-01-14,male,T20,0,Australia,runs,4,0,0,0,0,AJ Finch,20,Australia,England,Australia,bat,Melbourne Cricket Ground
0.4,DA Warner,CR Woakes,0,SR Watson,"{'batsman': 1, 'extras': 0, 'total': 1}",0,0.0,0.0,0.0,0,0,0,0,0,1,0,1,Australia,0,2011-01-14,male,T20,0,Australia,runs,4,0,0,0,0,AJ Finch,20,Australia,England,Australia,bat,Melbourne Cricket Ground
0.5,SR Watson,CR Woakes,0,DA Warner,"{'batsman': 1, 'extras': 0, 'total': 1}",0,0.0,0.0,0.0,0,0,0,0,0,1,0,1,Australia,0,2011-01-14,male,T20,0,Australia,runs,4,0,0,0,0,AJ Finch,20,Australia,England,Australia,bat,Melbourne Cricket Ground
0.6,DA Warner,CR Woakes,0,SR Watson,"{'batsman': 0, 'extras': 0, 'total': 0}",0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,Australia,0,2011-01-14,male,T20,0,Australia,runs,4,0,0,0,0,AJ Finch,20,Australia,England,Australia,bat,Melbourne Cricket Ground
1.1,SR Watson,A Shahzad,0,DA Warner,"{'batsman': 0, 'extras': 0, 'total': 0}",0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,Australia,0,2011-01-14,male,T20,0,Australia,runs,4,0,0,0,0,AJ Finch,20,Australia,England,Australia,bat,Melbourne Cricket Ground
1.2,SR Watson,A Shahzad,0,DA Warner,"{'batsman': 0, 'extras': 0, 'total': 0}",0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,Australia,0,2011-01-14,male,T20,0,Australia,runs,4,0,0,0,0,AJ Finch,20,Australia,England,Australia,bat,Melbourne Cricket Ground
1.3,SR Watson,A Shahzad,0,DA Warner,"{'batsman': 1, 'extras': 0, 'total': 1}",0,0.0,0.0,0.0,0,0,0,0,0,1,0,1,Australia,0,2011-01-14,male,T20,0,Australia,runs,4,0,0,0,0,AJ Finch,20,Australia,England,Australia,bat,Melbourne Cricket Ground
1.4,DA Warner,A Shahzad,0,SR Watson,"{'batsman': 2, 'extras': 0, 'total': 2}",0,0.0,0.0,0.0,0,0,0,0,0,2,0,2,Australia,0,2011-01-14,male,T20,0,Australia,runs,4,0,0,0,0,AJ Finch,20,Australia,England,Australia,bat,Melbourne Cricket Ground
1.5,DA Warner,A Shahzad,0,SR Watson,"{'batsman': 2, 'extras': 0, 'total': 2}",0,0.0,0.0,0.0,0,0,0,0,0,2,0,2,Australia,0,2011-01-14,male,T20,0,Australia,runs,4,0,0,0,0,AJ Finch,20,Australia,England,Australia,bat,Melbourne Cricket Ground
1.6,DA Warner,A Shahzad,0,SR Watson,"{'batsman': 4, 'extras': 0, 'total': 4}",0,0.0,0.0,0.0,0,0,0,0,0,4,0,4,Australia,0,2011-01-14,male,T20,0,Australia,runs,4,0,0,0,0,AJ Finch,20,Australia,England,Australia,bat,Melbourne Cricket Ground
2.1,SR Watson,CR Woakes,0,DA Warner,"{'batsman': 6, 'extras': 0, 'total': 6}",0,0.0,0.0,0.0,0,0,0,0,0,6,0,6,Australia,0,2011-01-14,male,T20,0,Australia,runs,4,0,0,0,0,AJ Finch,20,Australia,England,Australia,bat,Melbourne Cricket Ground
2.2,SR Watson,CR Woakes,0,DA Warner,"{'batsman': 1, 'extras': 0, 'total': 1}",0,0.0,0.0,0.0,0,0,0,0,0,1,0,1,Australia,0,2011-01-14,male,T20,0,Australia,runs,4,0,0,0,0,AJ Finch,20,Australia,England,Australia,bat,Melbourne Cricket Ground
2.3,DA Warner,CR Woakes,0,SR Watson,"{'batsman': 2, 'extras': 0, 'total': 2}",0,0.0,0.0,0.0,0,0,0,0,0,2,0,2,Australia,0,2011-01-14,male,T20,0,Australia,runs,4,0,0,0,0,AJ Finch,20,Australia,England,Australia,bat,Melbourne Cricket Ground
2.4,DA Warner,CR Woakes,0,SR Watson,"{'batsman': 1, 'extras': 0, 'total': 1}",0,0.0,0.0,0.0,0,0,0,0,0,1,0,1,Australia,0,2011-01-14,male,T20,0,Australia,runs,4,0,0,0,0,AJ Finch,20,Australia,England,Australia,bat,Melbourne Cricket Ground
2.5,SR Watson,CR Woakes,0,DA Warner,"{'batsman': 1, 'extras': 0, 'total': 1}",0,0.0,0.0,0.0,0,0,0,0,0,1,0,1,Australia,0,2011-01-14,male,T20,0,Australia,runs,4,0,0,0,0,AJ Finch,20,Australia,England,Australia,bat,Melbourne Cricket Ground
2.6,DA Warner,CR Woakes,0,SR Watson,"{'batsman': 4, 'extras': 0, 'total': 4}",0,0.0,0.0,0.0,0,0,0,0,0,4,0,4,Australia,0,2011-01-14,male,T20,0,Australia,runs,4,0,0,0,0,AJ Finch,20,Australia,England,Australia,bat,Melbourne Cricket Ground
3.1,SR Watson,A Shahzad,0,DA Warner,"{'batsman': 6, 'extras': 0, 'total': 6}",0,0.0,0.0,0.0,0,0,0,0,0,6,0,6,Australia,0,2011-01-14,male,T20,0,Australia,runs,4,0,0,0,0,AJ Finch,20,Australia,England,Australia,bat,Melbourne Cricket Ground
3.2,SR Watson,A Shahzad,0,DA Warner,"{'batsman': 1, 'extras': 0, 'total': 1}",0,0.0,0.0,0.0,0,0,0,0,0,1,0,1,Australia,0,2011-01-14,male,T20,0,Australia,runs,4,0,0,0,0,AJ Finch,20,Australia,England,Australia,bat,Melbourne Cricket Ground
3.3,DA Warner,A Shahzad,0,SR Watson,"{'batsman': 0, 'extras': 0, 'total': 0}",0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,Australia,0,2011-01-14,male,T20,0,Australia,runs,4,0,0,0,0,AJ Finch,20,Australia,England,Australia,bat,Melbourne Cricket Ground
3.4,DA Warner,A Shahzad,0,SR Watson,"{'batsman': 0, 'extras': 0, 'total': 0}",0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,Australia,0,2011-01-14,male,T20,0,Australia,runs,4,0,0,0,0,AJ Finch,20,Australia,England,Australia,bat,Melbourne Cricket Ground
3.5,DA Warner,A Shahzad,0,SR Watson,"{'batsman': 4, 'extras': 0, 'total': 4}",0,0.0,0.0,0.0,0,0,0,0,0,4,0,4,Australia,0,2011-01-14,male,T20,0,Australia,runs,4,0,0,0,0,AJ Finch,20,Australia,England,Australia,bat,Melbourne Cricket Ground
3.6,DA Warner,A Shahzad,0,SR Watson,"{'batsman': 0, 'extras': 0, 'total': 0}",0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,Australia,0,2011-01-14,male,T20,0,Australia,runs,4,0,0,0,0,AJ Finch,20,Australia,England,Australia,bat,Melbourne Cricket Ground
4.1,SR Watson,CR Woakes,0,DA Warner,"{'batsman': 0, 'extras': 0, 'total': 0}","{'fielders': ['EJG Morgan'], 'kind': 'caught', 'player_out': 'SR Watson'}",0.0,0.0,0.0,0,0,caught,SR Watson,['EJG Morgan'],0,0,0,Australia,0,2011-01-14,male,T20,0,Australia,runs,4,0,0,0,0,AJ Finch,20,Australia,England,Australia,bat,Melbourne Cricket Ground
4.2,DA Warner,CR Woakes,{'wides': 1},TD Paine,"{'batsman': 0, 'extras': 1, 'total': 1}",0,1.0,0.0,0.0,0,0,0,0,0,0,1,1,Australia,0,2011-01-14,male,T20,0,Australia,runs,4,0,0,0,0,AJ Finch,20,Australia,England,Australia,bat,Melbourne Cricket Ground
4.3,DA Warner,CR Woakes,0,TD Paine,"{'batsman': 1, 'extras': 0, 'total': 1}",0,0.0,0.0,0.0,0,0,0,0,0,1,0,1,Australia,0,2011-01-14,male,T20,0,Australia,runs,4,0,0,0,0,AJ Finch,20,Australia,England,Australia,bat,Melbourne Cricket Ground
4.4,TD Paine,CR Woakes,0,DA Warner,"{'batsman': 0, 'extras': 0, 'total': 0}",0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,Australia,0,2011-01-14,male,T20,0,Australia,runs,4,0,0,0,0,AJ Finch,20,Australia,England,Australia,bat,Melbourne Cricket Ground
4.5,TD Paine,CR Woakes,0,DA Warner,"{'batsman': 6, 'extras': 0, 'total': 6}",0,0.0,0.0,0.0,0,0,0,0,0,6,0,6,Australia,0,2011-01-14,male,T20,0,Australia,runs,4,0,0,0,0,AJ Finch,20,Australia,England,Australia,bat,Melbourne Cricket Ground
4.6,TD Paine,CR Woakes,0,DA Warner,"{'batsman': 2, 'extras': 0, 'total': 2}",0,0.0,0.0,0.0,0,0,0,0,0,2,0,2,Australia,0,2011-01-14,male,T20,0,Australia,runs,4,0,0,0,0,AJ Finch,20,Australia,England,Australia,bat,Melbourne Cricket Ground
4.7,TD Paine,CR Woakes,0,DA Warner,"{'batsman': 2, 'extras': 0, 'total': 2}",0,0.0,0.0,0.0,0,0,0,0,0,2,0,2,Australia,0,2011-01-14,male,T20,0,Australia,runs,4,0,0,0,0,AJ Finch,20,Australia,England,Australia,bat,Melbourne Cricket Ground
5.1,DA Warner,TT Bresnan,0,TD Paine,"{'batsman': 1, 'extras': 0, 'total': 1}",0,0.0,0.0,0.0,0,0,0,0,0,1,0,1,Australia,0,2011-01-14,male,T20,0,Australia,runs,4,0,0,0,0,AJ Finch,20,Australia,England,Australia,bat,Melbourne Cricket Ground
5.2,TD Paine,TT Bresnan,0,DA Warner,"{'batsman': 1, 'extras': 0, 'total': 1}",0,0.0,0.0,0.0,0,0,0,0,0,1,0,1,Australia,0,2011-01-14,male,T20,0,Australia,runs,4,0,0,0,0,AJ Finch,20,Australia,England,Australia,bat,Melbourne Cricket Ground
5.3,DA Warner,TT Bresnan,0,TD Paine,"{'batsman': 1, 'extras': 0, 'total': 1}",0,0.0,0.0,0.0,0,0,0,0,0,1,0,1,Australia,0,2011-01-14,male,T20,0,Australia,runs,4,0,0,0,0,AJ Finch,20,Australia,England,Australia,bat,Melbourne Cricket Ground
5.4,TD Paine,TT Bresnan,0,DA Warner,"{'batsman': 4, 'extras': 0, 'total': 4}",0,0.0,0.0,0.0,0,0,0,0,0,4,0,4,Australia,0,2011-01-14,male,T20,0,Australia,runs,4,0,0,0,0,AJ Finch,20,Australia,England,Australia,bat,Melbourne Cricket Ground
5.5,TD Paine,TT Bresnan,0,DA Warner,"{'batsman': 0, 'extras': 0, 'total': 0}",0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,Australia,0,2011-01-14,male,T20,0,Australia,runs,4,0,0,0,0,AJ Finch,20,Australia,England,Australia,bat,Melbourne Cricket Ground
5.6,TD Paine,TT Bresnan,0,DA Warner,"{'batsman': 1, 'extras': 0, 'total': 1}",0,0.0,0.0,0.0,0,0,0,0,0,1,0,1,Australia,0,2011-01-14,male,T20,0,Australia,runs,4,0,0,0,0,AJ Finch,20,Australia,England,Australia,bat,Melbourne Cricket Ground
6.1,TD Paine,GP Swann,0,DA Warner,"{'batsman': 0, 'extras': 0, 'total': 0}",0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,Australia,0,2011-01-14,male,T20,0,Australia,runs,4,0,0,0,0,AJ Finch,20,Australia,England,Australia,bat,Melbourne Cricket Ground
6.2,TD Paine,GP Swann,0,DA Warner,"{'batsman': 4, 'extras': 0, 'total': 4}",0,0.0,0.0,0.0,0,0,0,0,0,4,0,4,Australia,0,2011-01-14,male,T20,0,Australia,runs,4,0,0,0,0,AJ Finch,20,Australia,England,Australia,bat,Melbourne Cricket Ground
6.3,TD Paine,GP Swann,0,DA Warner,"{'batsman': 1, 'extras': 0, 'total': 1}",0,0.0,0.0,0.0,0,0,0,0,0,1,0,1,Australia,0,2011-01-14,male,T20,0,Australia,runs,4,0,0,0,0,AJ Finch,20,Australia,England,Australia,bat,Melbourne Cricket Ground
6.4,DA Warner,GP Swann,0,TD Paine,"{'batsman': 1, 'extras': 0, 'total': 1}",0,0.0,0.0,0.0,0,0,0,0,0,1,0,1,Australia,0,2011-01-14,male,T20,0,Australia,runs,4,0,0,0,0,AJ Finch,20,Australia,England,Australia,bat,Melbourne Cricket Ground
6.5,TD Paine,GP Swann,0,DA Warner,"{'batsman': 0, 'extras': 0, 'total': 0}","{'fielders': ['PD Collingwood'], 'kind': 'caught', 'player_out': 'TD Paine'}",0.0,0.0,0.0,0,0,caught,TD Paine,['PD Collingwood'],0,0,0,Australia,0,2011-01-14,male,T20,0,Australia,runs,4,0,0,0,0,AJ Finch,20,Australia,England,Australia,bat,Melbourne Cricket Ground
6.6,DA Warner,GP Swann,0,DJ Hussey,"{'batsman': 0, 'extras': 0, 'total': 0}",0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,Australia,0,2011-01-14,male,T20,0,Australia,runs,4,0,0,0,0,AJ Finch,20,Australia,England,Australia,bat,Melbourne Cricket Ground
7.1,DJ Hussey,TT Bresnan,0,DA Warner,"{'batsman': 0, 'extras': 0, 'total': 0}",0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,Australia,0,2011-01-14,male,T20,0,Australia,runs,4,0,0,0,0,AJ Finch,20,Australia,England,Australia,bat,Melbourne Cricket Ground
7.2,DJ Hussey,TT Bresnan,0,DA Warner,"{'batsman': 1, 'extras': 0, 'total': 1}",0,0.0,0.0,0.0,0,0,0,0,0,1,0,1,Australia,0,2011-01-14,male,T20,0,Australia,runs,4,0,0,0,0,AJ Finch,20,Australia,England,Australia,bat,Melbourne Cricket Ground
7.3,DA Warner,TT Bresnan,0,DJ Hussey,"{'batsman': 3, 'extras': 0, 'total': 3}",0,0.0,0.0,0.0,0,0,0,0,0,3,0,3,Australia,0,2011-01-14,male,T20,0,Australia,runs,4,0,0,0,0,AJ Finch,20,Australia,England,Australia,bat,Melbourne Cricket Ground
7.4,DJ Hussey,TT Bresnan,0,DA Warner,"{'batsman': 0, 'extras': 0, 'total': 0}",0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,Australia,0,2011-01-14,male,T20,0,Australia,runs,4,0,0,0,0,AJ Finch,20,Australia,England,Australia,bat,Melbourne Cricket Ground
7.5,DJ Hussey,TT Bresnan,0,DA Warner,"{'batsman': 1, 'extras': 0, 'total': 1}",0,0.0,0.0,0.0,0,0,0,0,0,1,0,1,Australia,0,2011-01-14,male,T20,0,Australia,runs,4,0,0,0,0,AJ Finch,20,Australia,England,Australia,bat,Melbourne Cricket Ground
7.6,DA Warner,TT Bresnan,0,DJ Hussey,"{'batsman': 1, 'extras': 0, 'total': 1}",0,0.0,0.0,0.0,0,0,0,0,0,1,0,1,Australia,0,2011-01-14,male,T20,0,Australia,runs,4,0,0,0,0,AJ Finch,20,Australia,England,Australia,bat,Melbourne Cricket Ground
8.1,DA Warner,GP Swann,0,DJ Hussey,"{'batsman': 1, 'extras': 0, 'total': 1}",0,0.0,0.0,0.0,0,0,0,0,0,1,0,1,Australia,0,2011-01-14,male,T20,0,Australia,runs,4,0,0,0,0,AJ Finch,20,Australia,England,Australia,bat,Melbourne Cricket Ground
8.2,DJ Hussey,GP Swann,0,DA Warner,"{'batsman': 0, 'extras': 0, 'total': 0}",0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,Australia,0,2011-01-14,male,T20,0,Australia,runs,4,0,0,0,0,AJ Finch,20,Australia,England,Australia,bat,Melbourne Cricket Ground
