delivery,batsman,bowler,extras_dict,non_striker,runs_dict,wicket_dict,wides,noballs,legbyes,byes,penalty,kind,player_out,fielders,runs,extras,total,team,city,date,gender,match_type,neutral_venue,winner,winType,winMargin,result,resultHow,resultTeam,non_boundary,ManOfMatch,overs,team1,team2,tossWinner,tossDecision,venue
0.1,A Sharma,EA Perry,0,PG Raut,"{'batsman': 1, 'extras': 0, 'total': 1}",0,0.0,0.0,0.0,0,0,0,0,0,1,0,1,India,0,2012-09-27,female,T20,1,Australia,wickets,8,0,0,0,0,EA Osborne,20,Australia,India,India,bat,Galle International Stadium
0.2,PG Raut,EA Perry,0,A Sharma,"{'batsman': 0, 'extras': 0, 'total': 0}",0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,India,0,2012-09-27,female,T20,1,Australia,wickets,8,0,0,0,0,EA Osborne,20,Australia,India,India,bat,Galle International Stadium
0.3,PG Raut,EA Perry,0,A Sharma,"{'batsman': 0, 'extras': 0, 'total': 0}",0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,India,0,2012-09-27,female,T20,1,Australia,wickets,8,0,0,0,0,EA Osborne,20,Australia,India,India,bat,Galle International Stadium
0.4,PG Raut,EA Perry,0,A Sharma,"{'batsman': 4, 'extras': 0, 'total': 4}",0,0.0,0.0,0.0,0,0,0,0,0,4,0,4,India,0,2012-09-27,female,T20,1,Australia,wickets,8,0,0,0,0,EA Osborne,20,Australia,India,India,bat,Galle International Stadium
0.5,PG Raut,EA Perry,0,A Sharma,"{'batsman': 0, 'extras': 0, 'total': 0}",0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,India,0,2012-09-27,female,T20,1,Australia,wickets,8,0,0,0,0,EA Osborne,20,Australia,India,India,bat,Galle International Stadium
0.6,PG Raut,EA Perry,0,A Sharma,"{'batsman': 0, 'extras': 0, 'total': 0}",0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,India,0,2012-09-27,female,T20,1,Australia,wickets,8,0,0,0,0,EA Osborne,20,Australia,India,India,bat,Galle International Stadium
1.1,A Sharma,JL Hunter,0,PG Raut,"{'batsman': 0, 'extras': 0, 'total': 0}",0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,India,0,2012-09-27,female,T20,1,Australia,wickets,8,0,0,0,0,EA Osborne,20,Australia,India,India,bat,Galle International Stadium
1.2,A Sharma,JL Hunter,0,PG Raut,"{'batsman': 0, 'extras': 0, 'total': 0}",0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,India,0,2012-09-27,female,T20,1,Australia,wickets,8,0,0,0,0,EA Osborne,20,Australia,India,India,bat,Galle International Stadium
1.3,A Sharma,JL Hunter,0,PG Raut,"{'batsman': 0, 'extras': 0, 'total': 0}",0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,India,0,2012-09-27,female,T20,1,Australia,wickets,8,0,0,0,0,EA Osborne,20,Australia,India,India,bat,Galle International Stadium
1.4,A Sharma,JL Hunter,0,PG Raut,"{'batsman': 0, 'extras': 0, 'total': 0}",0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,India,0,2012-09-27,female,T20,1,Australia,wickets,8,0,0,0,0,EA Osborne,20,Australia,India,India,bat,Galle International Stadium
1.5,A Sharma,JL Hunter,{'noballs': 1},PG Raut,"{'batsman': 4, 'extras': 1, 'total': 5}",0,0.0,1.0,0.0,0,0,0,0,0,4,1,5,India,0,2012-09-27,female,T20,1,Australia,wickets,8,0,0,0,0,EA Osborne,20,Australia,India,India,bat,Galle International Stadium
1.6,A Sharma,JL Hunter,0,PG Raut,"{'batsman': 0, 'extras': 0, 'total': 0}",0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,India,0,2012-09-27,female,T20,1,Australia,wickets,8,0,0,0,0,EA Osborne,20,Australia,India,India,bat,Galle International Stadium
1.7,A Sharma,JL Hunter,0,PG Raut,"{'batsman': 0, 'extras': 0, 'total': 0}",0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,India,0,2012-09-27,female,T20,1,Australia,wickets,8,0,0,0,0,EA Osborne,20,Australia,India,India,bat,Galle International Stadium
2.1,PG Raut,EA Perry,0,A Sharma,"{'batsman': 2, 'extras': 0, 'total': 2}",0,0.0,0.0,0.0,0,0,0,0,0,2,0,2,India,0,2012-09-27,female,T20,1,Australia,wickets,8,0,0,0,0,EA Osborne,20,Australia,India,India,bat,Galle International Stadium
2.2,PG Raut,EA Perry,0,A Sharma,"{'batsman': 2, 'extras': 0, 'total': 2}",0,0.0,0.0,0.0,0,0,0,0,0,2,0,2,India,0,2012-09-27,female,T20,1,Australia,wickets,8,0,0,0,0,EA Osborne,20,Australia,India,India,bat,Galle International Stadium
2.3,PG Raut,EA Perry,0,A Sharma,"{'batsman': 4, 'extras': 0, 'total': 4}",0,0.0,0.0,0.0,0,0,0,0,0,4,0,4,India,0,2012-09-27,female,T20,1,Australia,wickets,8,0,0,0,0,EA Osborne,20,Australia,India,India,bat,Galle International Stadium
2.4,PG Raut,EA Perry,0,A Sharma,"{'batsman': 0, 'extras': 0, 'total': 0}",0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,India,0,2012-09-27,female,T20,1,Australia,wickets,8,0,0,0,0,EA Osborne,20,Australia,India,India,bat,Galle International Stadium
2.5,PG Raut,EA Perry,0,A Sharma,"{'batsman': 0, 'extras': 0, 'total': 0}",0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,India,0,2012-09-27,female,T20,1,Australia,wickets,8,0,0,0,0,EA Osborne,20,Australia,India,India,bat,Galle International Stadium
2.6,PG Raut,EA Perry,0,A Sharma,"{'batsman': 0, 'extras': 0, 'total': 0}",0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,India,0,2012-09-27,female,T20,1,Australia,wickets,8,0,0,0,0,EA Osborne,20,Australia,India,India,bat,Galle International Stadium
3.1,A Sharma,LC Sthalekar,0,PG Raut,"{'batsman': 0, 'extras': 0, 'total': 0}",0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,India,0,2012-09-27,female,T20,1,Australia,wickets,8,0,0,0,0,EA Osborne,20,Australia,India,India,bat,Galle International Stadium
3.2,A Sharma,LC Sthalekar,0,PG Raut,"{'batsman': 0, 'extras': 0, 'total': 0}",0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,India,0,2012-09-27,female,T20,1,Australia,wickets,8,0,0,0,0,EA Osborne,20,Australia,India,India,bat,Galle International Stadium
3.3,A Sharma,LC Sthalekar,0,PG Raut,"{'batsman': 0, 'extras': 0, 'total': 0}",0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,India,0,2012-09-27,female,T20,1,Australia,wickets,8,0,0,0,0,EA Osborne,20,Australia,India,India,bat,Galle International Stadium
3.4,A Sharma,LC Sthalekar,0,PG Raut,"{'batsman': 0, 'extras': 0, 'total': 0}",0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,India,0,2012-09-27,female,T20,1,Australia,wickets,8,0,0,0,0,EA Osborne,20,Australia,India,India,bat,Galle International Stadium
3.5,A Sharma,LC Sthalekar,0,PG Raut,"{'batsman': 4, 'extras': 0, 'total': 4}",0,0.0,0.0,0.0,0,0,0,0,0,4,0,4,India,0,2012-09-27,female,T20,1,Australia,wickets,8,0,0,0,0,EA Osborne,20,Australia,India,India,bat,Galle International Stadium
3.6,A Sharma,LC Sthalekar,0,PG Raut,"{'batsman': 2, 'extras': 0, 'total': 2}",0,0.0,0.0,0.0,0,0,0,0,0,2,0,2,India,0,2012-09-27,female,T20,1,Australia,wickets,8,0,0,0,0,EA Osborne,20,Australia,India,India,bat,Galle International Stadium
4.1,PG Raut,JL Hunter,0,A Sharma,"{'batsman': 0, 'extras': 0, 'total': 0}",0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,India,0,2012-09-27,female,T20,1,Australia,wickets,8,0,0,0,0,EA Osborne,20,Australia,India,India,bat,Galle International Stadium
4.2,PG Raut,JL Hunter,0,A Sharma,"{'batsman': 4, 'extras': 0, 'total': 4}",0,0.0,0.0,0.0,0,0,0,0,0,4,0,4,India,0,2012-09-27,female,T20,1,Australia,wickets,8,0,0,0,0,EA Osborne,20,Australia,India,India,bat,Galle International Stadium
4.3,PG Raut,JL Hunter,0,A Sharma,"{'batsman': 0, 'extras': 0, 'total': 0}",0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,India,0,2012-09-27,female,T20,1,Australia,wickets,8,0,0,0,0,EA Osborne,20,Australia,India,India,bat,Galle International Stadium
4.4,PG Raut,JL Hunter,0,A Sharma,"{'batsman': 1, 'extras': 0, 'total': 1}",0,0.0,0.0,0.0,0,0,0,0,0,1,0,1,India,0,2012-09-27,female,T20,1,Australia,wickets,8,0,0,0,0,EA Osborne,20,Australia,India,India,bat,Galle International Stadium
4.5,A Sharma,JL Hunter,0,PG Raut,"{'batsman': 0, 'extras': 0, 'total': 0}","{'fielders': ['JE Cameron'], 'kind': 'caught', 'player_out': 'A Sharma'}",0.0,0.0,0.0,0,0,caught,A Sharma,['JE Cameron'],0,0,0,India,0,2012-09-27,female,T20,1,Australia,wickets,8,0,0,0,0,EA Osborne,20,Australia,India,India,bat,Galle International Stadium
