delivery,batsman,bowler,extras_dict,non_striker,runs_dict,wicket_dict,wides,noballs,legbyes,byes,penalty,kind,player_out,fielders,runs,extras,total,team,city,date,gender,match_type,neutral_venue,winner,winType,winMargin,result,resultHow,resultTeam,non_boundary,ManOfMatch,overs,team1,team2,tossWinner,tossDecision,venue
0.1,AJ Healy,MJG Nielsen,0,EJ Villani,"{'batsman': 0, 'extras': 0, 'total': 0}",0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,Australia,Nagpur,2016-03-21,female,T20,1,New Zealand,wickets,6,0,0,0,0,LM Kasperek,20,Australia,New Zealand,Australia,bat,"Vidarbha Cricket Association Stadium, Jamtha"
0.2,AJ Healy,MJG Nielsen,0,EJ Villani,"{'batsman': 0, 'extras': 0, 'total': 0}",0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,Australia,Nagpur,2016-03-21,female,T20,1,New Zealand,wickets,6,0,0,0,0,LM Kasperek,20,Australia,New Zealand,Australia,bat,"Vidarbha Cricket Association Stadium, Jamtha"
0.3,AJ Healy,MJG Nielsen,0,EJ Villani,"{'batsman': 1, 'extras': 0, 'total': 1}",0,0.0,0.0,0.0,0.0,0,0,0,0,1,0,1,Australia,Nagpur,2016-03-21,female,T20,1,New Zealand,wickets,6,0,0,0,0,LM Kasperek,20,Australia,New Zealand,Australia,bat,"Vidarbha Cricket Association Stadium, Jamtha"
0.4,EJ Villani,MJG Nielsen,0,AJ Healy,"{'batsman': 0, 'extras': 0, 'total': 0}",0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,Australia,Nagpur,2016-03-21,female,T20,1,New Zealand,wickets,6,0,0,0,0,LM Kasperek,20,Australia,New Zealand,Australia,bat,"Vidarbha Cricket Association Stadium, Jamtha"
0.5,EJ Villani,MJG Nielsen,0,AJ Healy,"{'batsman': 0, 'extras': 0, 'total': 0}",0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,Australia,Nagpur,2016-03-21,female,T20,1,New Zealand,wickets,6,0,0,0,0,LM Kasperek,20,Australia,New Zealand,Australia,bat,"Vidarbha Cricket Association Stadium, Jamtha"
0.6,EJ Villani,MJG Nielsen,0,AJ Healy,"{'batsman': 0, 'extras': 0, 'total': 0}",0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,Australia,Nagpur,2016-03-21,female,T20,1,New Zealand,wickets,6,0,0,0,0,LM Kasperek,20,Australia,New Zealand,Australia,bat,"Vidarbha Cricket Association Stadium, Jamtha"
1.1,AJ Healy,LM Kasperek,0,EJ Villani,"{'batsman': 1, 'extras': 0, 'total': 1}",0,0.0,0.0,0.0,0.0,0,0,0,0,1,0,1,Australia,Nagpur,2016-03-21,female,T20,1,New Zealand,wickets,6,0,0,0,0,LM Kasperek,20,Australia,New Zealand,Australia,bat,"Vidarbha Cricket Association Stadium, Jamtha"
1.2,EJ Villani,LM Kasperek,0,AJ Healy,"{'batsman': 0, 'extras': 0, 'total': 0}",0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,Australia,Nagpur,2016-03-21,female,T20,1,New Zealand,wickets,6,0,0,0,0,LM Kasperek,20,Australia,New Zealand,Australia,bat,"Vidarbha Cricket Association Stadium, Jamtha"
1.3,EJ Villani,LM Kasperek,0,AJ Healy,"{'batsman': 0, 'extras': 0, 'total': 0}",0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,Australia,Nagpur,2016-03-21,female,T20,1,New Zealand,wickets,6,0,0,0,0,LM Kasperek,20,Australia,New Zealand,Australia,bat,"Vidarbha Cricket Association Stadium, Jamtha"
1.4,EJ Villani,LM Kasperek,0,AJ Healy,"{'batsman': 0, 'extras': 0, 'total': 0}","{'fielders': ['LMM Tahuhu'], 'kind': 'caught', 'player_out': 'EJ Villani'}",0.0,0.0,0.0,0.0,0,caught,EJ Villani,['LMM Tahuhu'],0,0,0,Australia,Nagpur,2016-03-21,female,T20,1,New Zealand,wickets,6,0,0,0,0,LM Kasperek,20,Australia,New Zealand,Australia,bat,"Vidarbha Cricket Association Stadium, Jamtha"
1.5,AJ Healy,LM Kasperek,0,EA Osborne,"{'batsman': 0, 'extras': 0, 'total': 0}","{'fielders': ['LMM Tahuhu'], 'kind': 'caught', 'player_out': 'AJ Healy'}",0.0,0.0,0.0,0.0,0,caught,AJ Healy,['LMM Tahuhu'],0,0,0,Australia,Nagpur,2016-03-21,female,T20,1,New Zealand,wickets,6,0,0,0,0,LM Kasperek,20,Australia,New Zealand,Australia,bat,"Vidarbha Cricket Association Stadium, Jamtha"
1.6,MM Lanning,LM Kasperek,0,EA Osborne,"{'batsman': 0, 'extras': 0, 'total': 0}",0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,Australia,Nagpur,2016-03-21,female,T20,1,New Zealand,wickets,6,0,0,0,0,LM Kasperek,20,Australia,New Zealand,Australia,bat,"Vidarbha Cricket Association Stadium, Jamtha"
