delivery,batsman,bowler,extras_dict,non_striker,runs_dict,wicket_dict,wides,noballs,legbyes,byes,penalty,kind,player_out,fielders,runs,extras,total,team,city,date,gender,match_type,neutral_venue,winner,winType,winMargin,result,resultHow,resultTeam,non_boundary,ManOfMatch,overs,team1,team2,tossWinner,tossDecision,venue
0.1,EJ Villani,Asmavia Iqbal,0,DM Kimmince,"{'batsman': 2, 'extras': 0, 'total': 2}",0,0.0,0,0.0,0.0,0,0,0,0,2,0,2,Australia,Gold Coast,2014-08-31,female,T20,0,Australia,runs,63,0,0,0,0,DM Kimmince,20,Australia,Pakistan,Australia,bat,Kerrydale Oval
0.2,EJ Villani,Asmavia Iqbal,0,DM Kimmince,"{'batsman': 1, 'extras': 0, 'total': 1}",0,0.0,0,0.0,0.0,0,0,0,0,1,0,1,Australia,Gold Coast,2014-08-31,female,T20,0,Australia,runs,63,0,0,0,0,DM Kimmince,20,Australia,Pakistan,Australia,bat,Kerrydale Oval
0.3,DM Kimmince,Asmavia Iqbal,0,EJ Villani,"{'batsman': 0, 'extras': 0, 'total': 0}",0,0.0,0,0.0,0.0,0,0,0,0,0,0,0,Australia,Gold Coast,2014-08-31,female,T20,0,Australia,runs,63,0,0,0,0,DM Kimmince,20,Australia,Pakistan,Australia,bat,Kerrydale Oval
0.4,DM Kimmince,Asmavia Iqbal,0,EJ Villani,"{'batsman': 1, 'extras': 0, 'total': 1}",0,0.0,0,0.0,0.0,0,0,0,0,1,0,1,Australia,Gold Coast,2014-08-31,female,T20,0,Australia,runs,63,0,0,0,0,DM Kimmince,20,Australia,Pakistan,Australia,bat,Kerrydale Oval
0.5,EJ Villani,Asmavia Iqbal,0,DM Kimmince,"{'batsman': 2, 'extras': 0, 'total': 2}",0,0.0,0,0.0,0.0,0,0,0,0,2,0,2,Australia,Gold Coast,2014-08-31,female,T20,0,Australia,runs,63,0,0,0,0,DM Kimmince,20,Australia,Pakistan,Australia,bat,Kerrydale Oval
0.6,EJ Villani,Asmavia Iqbal,0,DM Kimmince,"{'batsman': 0, 'extras': 0, 'total': 0}",0,0.0,0,0.0,0.0,0,0,0,0,0,0,0,Australia,Gold Coast,2014-08-31,female,T20,0,Australia,runs,63,0,0,0,0,DM Kimmince,20,Australia,Pakistan,Australia,bat,Kerrydale Oval
1.1,DM Kimmince,Qanita Jalil,{'wides': 1},EJ Villani,"{'batsman': 0, 'extras': 1, 'total': 1}",0,1.0,0,0.0,0.0,0,0,0,0,0,1,1,Australia,Gold Coast,2014-08-31,female,T20,0,Australia,runs,63,0,0,0,0,DM Kimmince,20,Australia,Pakistan,Australia,bat,Kerrydale Oval
1.2,DM Kimmince,Qanita Jalil,{'wides': 1},EJ Villani,"{'batsman': 0, 'extras': 1, 'total': 1}",0,1.0,0,0.0,0.0,0,0,0,0,0,1,1,Australia,Gold Coast,2014-08-31,female,T20,0,Australia,runs,63,0,0,0,0,DM Kimmince,20,Australia,Pakistan,Australia,bat,Kerrydale Oval
1.3,DM Kimmince,Qanita Jalil,0,EJ Villani,"{'batsman': 0, 'extras': 0, 'total': 0}",0,0.0,0,0.0,0.0,0,0,0,0,0,0,0,Australia,Gold Coast,2014-08-31,female,T20,0,Australia,runs,63,0,0,0,0,DM Kimmince,20,Australia,Pakistan,Australia,bat,Kerrydale Oval
1.4,DM Kimmince,Qanita Jalil,0,EJ Villani,"{'batsman': 2, 'extras': 0, 'total': 2}",0,0.0,0,0.0,0.0,0,0,0,0,2,0,2,Australia,Gold Coast,2014-08-31,female,T20,0,Australia,runs,63,0,0,0,0,DM Kimmince,20,Australia,Pakistan,Australia,bat,Kerrydale Oval
