delivery,batsman,bowler,extras_dict,non_striker,runs_dict,wicket_dict,wides,noballs,legbyes,byes,penalty,kind,player_out,fielders,runs,extras,total,team,city,date,gender,match_type,neutral_venue,winner,winType,winMargin,result,resultHow,resultTeam,non_boundary,ManOfMatch,overs,team1,team2,tossWinner,tossDecision,venue
0.1,JR Hopes,SM Pollock,0,DR Martyn,"{'batsman': 0, 'extras': 0, 'total': 0}",0,0.0,0,0.0,0.0,0,0,0,0,0,0,0,Australia,Brisbane,2006-01-09,male,T20,0,Australia,runs,95,0,0,0,0,DR Martyn,20,Australia,South Africa,Australia,bat,"Brisbane Cricket Ground, Woolloongabba"
0.2,JR Hopes,SM Pollock,0,DR Martyn,"{'batsman': 0, 'extras': 0, 'total': 0}",0,0.0,0,0.0,0.0,0,0,0,0,0,0,0,Australia,Brisbane,2006-01-09,male,T20,0,Australia,runs,95,0,0,0,0,DR Martyn,20,Australia,South Africa,Australia,bat,"Brisbane Cricket Ground, Woolloongabba"
0.3,JR Hopes,SM Pollock,0,DR Martyn,"{'batsman': 0, 'extras': 0, 'total': 0}",0,0.0,0,0.0,0.0,0,0,0,0,0,0,0,Australia,Brisbane,2006-01-09,male,T20,0,Australia,runs,95,0,0,0,0,DR Martyn,20,Australia,South Africa,Australia,bat,"Brisbane Cricket Ground, Woolloongabba"
0.4,JR Hopes,SM Pollock,0,DR Martyn,"{'batsman': 0, 'extras': 0, 'total': 0}",0,0.0,0,0.0,0.0,0,0,0,0,0,0,0,Australia,Brisbane,2006-01-09,male,T20,0,Australia,runs,95,0,0,0,0,DR Martyn,20,Australia,South Africa,Australia,bat,"Brisbane Cricket Ground, Woolloongabba"
0.5,JR Hopes,SM Pollock,0,DR Martyn,"{'batsman': 1, 'extras': 0, 'total': 1}",0,0.0,0,0.0,0.0,0,0,0,0,1,0,1,Australia,Brisbane,2006-01-09,male,T20,0,Australia,runs,95,0,0,0,0,DR Martyn,20,Australia,South Africa,Australia,bat,"Brisbane Cricket Ground, Woolloongabba"
0.6,DR Martyn,SM Pollock,0,JR Hopes,"{'batsman': 4, 'extras': 0, 'total': 4}",0,0.0,0,0.0,0.0,0,0,0,0,4,0,4,Australia,Brisbane,2006-01-09,male,T20,0,Australia,runs,95,0,0,0,0,DR Martyn,20,Australia,South Africa,Australia,bat,"Brisbane Cricket Ground, Woolloongabba"
1.1,JR Hopes,GJP Kruger,0,DR Martyn,"{'batsman': 0, 'extras': 0, 'total': 0}",0,0.0,0,0.0,0.0,0,0,0,0,0,0,0,Australia,Brisbane,2006-01-09,male,T20,0,Australia,runs,95,0,0,0,0,DR Martyn,20,Australia,South Africa,Australia,bat,"Brisbane Cricket Ground, Woolloongabba"
1.2,JR Hopes,GJP Kruger,0,DR Martyn,"{'batsman': 1, 'extras': 0, 'total': 1}",0,0.0,0,0.0,0.0,0,0,0,0,1,0,1,Australia,Brisbane,2006-01-09,male,T20,0,Australia,runs,95,0,0,0,0,DR Martyn,20,Australia,South Africa,Australia,bat,"Brisbane Cricket Ground, Woolloongabba"
1.3,DR Martyn,GJP Kruger,0,JR Hopes,"{'batsman': 1, 'extras': 0, 'total': 1}",0,0.0,0,0.0,0.0,0,0,0,0,1,0,1,Australia,Brisbane,2006-01-09,male,T20,0,Australia,runs,95,0,0,0,0,DR Martyn,20,Australia,South Africa,Australia,bat,"Brisbane Cricket Ground, Woolloongabba"
1.4,JR Hopes,GJP Kruger,0,DR Martyn,"{'batsman': 0, 'extras': 0, 'total': 0}",0,0.0,0,0.0,0.0,0,0,0,0,0,0,0,Australia,Brisbane,2006-01-09,male,T20,0,Australia,runs,95,0,0,0,0,DR Martyn,20,Australia,South Africa,Australia,bat,"Brisbane Cricket Ground, Woolloongabba"
