delivery,batsman,bowler,extras_dict,non_striker,runs_dict,wicket_dict,wides,noballs,legbyes,byes,penalty,kind,player_out,fielders,runs,extras,total,team,city,date,gender,match_type,neutral_venue,winner,winType,winMargin,result,resultHow,resultTeam,non_boundary,ManOfMatch,overs,team1,team2,tossWinner,tossDecision,venue
0.1,M Klinger,SL Malinga,0,AJ Finch,"{'batsman': 0, 'extras': 0, 'total': 0}",0,0.0,0,0.0,0,0,0,0,0,0,0,0,Australia,Victoria,2017-02-19,male,T20,0,Sri Lanka,wickets,2,0,0,0,0,DAS Gunaratne,20,Australia,Sri Lanka,Sri Lanka,field,"Simonds Stadium, South Geelong"
0.2,M Klinger,SL Malinga,0,AJ Finch,"{'batsman': 1, 'extras': 0, 'total': 1}",0,0.0,0,0.0,0,0,0,0,0,1,0,1,Australia,Victoria,2017-02-19,male,T20,0,Sri Lanka,wickets,2,0,0,0,0,DAS Gunaratne,20,Australia,Sri Lanka,Sri Lanka,field,"Simonds Stadium, South Geelong"
0.3,AJ Finch,SL Malinga,0,M Klinger,"{'batsman': 0, 'extras': 0, 'total': 0}",0,0.0,0,0.0,0,0,0,0,0,0,0,0,Australia,Victoria,2017-02-19,male,T20,0,Sri Lanka,wickets,2,0,0,0,0,DAS Gunaratne,20,Australia,Sri Lanka,Sri Lanka,field,"Simonds Stadium, South Geelong"
0.4,AJ Finch,SL Malinga,0,M Klinger,"{'batsman': 4, 'extras': 0, 'total': 4}",0,0.0,0,0.0,0,0,0,0,0,4,0,4,Australia,Victoria,2017-02-19,male,T20,0,Sri Lanka,wickets,2,0,0,0,0,DAS Gunaratne,20,Australia,Sri Lanka,Sri Lanka,field,"Simonds Stadium, South Geelong"
0.5,AJ Finch,SL Malinga,{'legbyes': 1},M Klinger,"{'batsman': 0, 'extras': 1, 'total': 1}",0,0.0,0,1.0,0,0,0,0,0,0,1,1,Australia,Victoria,2017-02-19,male,T20,0,Sri Lanka,wickets,2,0,0,0,0,DAS Gunaratne,20,Australia,Sri Lanka,Sri Lanka,field,"Simonds Stadium, South Geelong"
0.6,M Klinger,SL Malinga,0,AJ Finch,"{'batsman': 1, 'extras': 0, 'total': 1}",0,0.0,0,0.0,0,0,0,0,0,1,0,1,Australia,Victoria,2017-02-19,male,T20,0,Sri Lanka,wickets,2,0,0,0,0,DAS Gunaratne,20,Australia,Sri Lanka,Sri Lanka,field,"Simonds Stadium, South Geelong"
1.1,M Klinger,KMDN Kulasekara,{'wides': 1},AJ Finch,"{'batsman': 0, 'extras': 1, 'total': 1}",0,1.0,0,0.0,0,0,0,0,0,0,1,1,Australia,Victoria,2017-02-19,male,T20,0,Sri Lanka,wickets,2,0,0,0,0,DAS Gunaratne,20,Australia,Sri Lanka,Sri Lanka,field,"Simonds Stadium, South Geelong"
1.2,M Klinger,KMDN Kulasekara,0,AJ Finch,"{'batsman': 1, 'extras': 0, 'total': 1}",0,0.0,0,0.0,0,0,0,0,0,1,0,1,Australia,Victoria,2017-02-19,male,T20,0,Sri Lanka,wickets,2,0,0,0,0,DAS Gunaratne,20,Australia,Sri Lanka,Sri Lanka,field,"Simonds Stadium, South Geelong"
1.3,AJ Finch,KMDN Kulasekara,0,M Klinger,"{'batsman': 2, 'extras': 0, 'total': 2}",0,0.0,0,0.0,0,0,0,0,0,2,0,2,Australia,Victoria,2017-02-19,male,T20,0,Sri Lanka,wickets,2,0,0,0,0,DAS Gunaratne,20,Australia,Sri Lanka,Sri Lanka,field,"Simonds Stadium, South Geelong"
1.4,AJ Finch,KMDN Kulasekara,0,M Klinger,"{'batsman': 2, 'extras': 0, 'total': 2}",0,0.0,0,0.0,0,0,0,0,0,2,0,2,Australia,Victoria,2017-02-19,male,T20,0,Sri Lanka,wickets,2,0,0,0,0,DAS Gunaratne,20,Australia,Sri Lanka,Sri Lanka,field,"Simonds Stadium, South Geelong"
1.5,AJ Finch,KMDN Kulasekara,0,M Klinger,"{'batsman': 4, 'extras': 0, 'total': 4}",0,0.0,0,0.0,0,0,0,0,0,4,0,4,Australia,Victoria,2017-02-19,male,T20,0,Sri Lanka,wickets,2,0,0,0,0,DAS Gunaratne,20,Australia,Sri Lanka,Sri Lanka,field,"Simonds Stadium, South Geelong"
1.6,AJ Finch,KMDN Kulasekara,0,M Klinger,"{'batsman': 0, 'extras': 0, 'total': 0}",0,0.0,0,0.0,0,0,0,0,0,0,0,0,Australia,Victoria,2017-02-19,male,T20,0,Sri Lanka,wickets,2,0,0,0,0,DAS Gunaratne,20,Australia,Sri Lanka,Sri Lanka,field,"Simonds Stadium, South Geelong"
1.7,AJ Finch,KMDN Kulasekara,0,M Klinger,"{'batsman': 0, 'extras': 0, 'total': 0}",0,0.0,0,0.0,0,0,0,0,0,0,0,0,Australia,Victoria,2017-02-19,male,T20,0,Sri Lanka,wickets,2,0,0,0,0,DAS Gunaratne,20,Australia,Sri Lanka,Sri Lanka,field,"Simonds Stadium, South Geelong"
2.1,M Klinger,JRMVB Sanjaya,0,AJ Finch,"{'batsman': 0, 'extras': 0, 'total': 0}",0,0.0,0,0.0,0,0,0,0,0,0,0,0,Australia,Victoria,2017-02-19,male,T20,0,Sri Lanka,wickets,2,0,0,0,0,DAS Gunaratne,20,Australia,Sri Lanka,Sri Lanka,field,"Simonds Stadium, South Geelong"
2.2,M Klinger,JRMVB Sanjaya,0,AJ Finch,"{'batsman': 1, 'extras': 0, 'total': 1}",0,0.0,0,0.0,0,0,0,0,0,1,0,1,Australia,Victoria,2017-02-19,male,T20,0,Sri Lanka,wickets,2,0,0,0,0,DAS Gunaratne,20,Australia,Sri Lanka,Sri Lanka,field,"Simonds Stadium, South Geelong"
2.3,AJ Finch,JRMVB Sanjaya,0,M Klinger,"{'batsman': 0, 'extras': 0, 'total': 0}",0,0.0,0,0.0,0,0,0,0,0,0,0,0,Australia,Victoria,2017-02-19,male,T20,0,Sri Lanka,wickets,2,0,0,0,0,DAS Gunaratne,20,Australia,Sri Lanka,Sri Lanka,field,"Simonds Stadium, South Geelong"
2.4,AJ Finch,JRMVB Sanjaya,0,M Klinger,"{'batsman': 0, 'extras': 0, 'total': 0}","{'kind': 'caught and bowled', 'player_out': 'AJ Finch'}",0.0,0,0.0,0,0,caught and bowled,AJ Finch,0,0,0,0,Australia,Victoria,2017-02-19,male,T20,0,Sri Lanka,wickets,2,0,0,0,0,DAS Gunaratne,20,Australia,Sri Lanka,Sri Lanka,field,"Simonds Stadium, South Geelong"
2.5,BR Dunk,JRMVB Sanjaya,0,M Klinger,"{'batsman': 0, 'extras': 0, 'total': 0}",0,0.0,0,0.0,0,0,0,0,0,0,0,0,Australia,Victoria,2017-02-19,male,T20,0,Sri Lanka,wickets,2,0,0,0,0,DAS Gunaratne,20,Australia,Sri Lanka,Sri Lanka,field,"Simonds Stadium, South Geelong"
2.6,BR Dunk,JRMVB Sanjaya,0,M Klinger,"{'batsman': 0, 'extras': 0, 'total': 0}",0,0.0,0,0.0,0,0,0,0,0,0,0,0,Australia,Victoria,2017-02-19,male,T20,0,Sri Lanka,wickets,2,0,0,0,0,DAS Gunaratne,20,Australia,Sri Lanka,Sri Lanka,field,"Simonds Stadium, South Geelong"
3.1,M Klinger,KMDN Kulasekara,{'wides': 1},BR Dunk,"{'batsman': 0, 'extras': 1, 'total': 1}",0,1.0,0,0.0,0,0,0,0,0,0,1,1,Australia,Victoria,2017-02-19,male,T20,0,Sri Lanka,wickets,2,0,0,0,0,DAS Gunaratne,20,Australia,Sri Lanka,Sri Lanka,field,"Simonds Stadium, South Geelong"
