delivery,batsman,bowler,extras_dict,non_striker,runs_dict,wicket_dict,wides,noballs,legbyes,byes,penalty,kind,player_out,fielders,runs,extras,total,team,city,date,gender,match_type,neutral_venue,winner,winType,winMargin,result,resultHow,resultTeam,non_boundary,ManOfMatch,overs,team1,team2,tossWinner,tossDecision,venue
0.1,Kycia A Knight,RM Farrell,0,SR Taylor,"{'batsman': 1, 'extras': 0, 'total': 1}",0,0.0,0,0.0,0.0,0,0,0,0,1,0,1,West Indies,Sydney,2014-11-02,female,T20,0,Australia,wickets,4,0,0,0,0,JL Jonassen,20,Australia,West Indies,Australia,field,North Sydney Oval
0.2,SR Taylor,RM Farrell,0,Kycia A Knight,"{'batsman': 0, 'extras': 0, 'total': 0}",0,0.0,0,0.0,0.0,0,0,0,0,0,0,0,West Indies,Sydney,2014-11-02,female,T20,0,Australia,wickets,4,0,0,0,0,JL Jonassen,20,Australia,West Indies,Australia,field,North Sydney Oval
0.3,SR Taylor,RM Farrell,0,Kycia A Knight,"{'batsman': 0, 'extras': 0, 'total': 0}",0,0.0,0,0.0,0.0,0,0,0,0,0,0,0,West Indies,Sydney,2014-11-02,female,T20,0,Australia,wickets,4,0,0,0,0,JL Jonassen,20,Australia,West Indies,Australia,field,North Sydney Oval
0.4,SR Taylor,RM Farrell,0,Kycia A Knight,"{'batsman': 1, 'extras': 0, 'total': 1}",0,0.0,0,0.0,0.0,0,0,0,0,1,0,1,West Indies,Sydney,2014-11-02,female,T20,0,Australia,wickets,4,0,0,0,0,JL Jonassen,20,Australia,West Indies,Australia,field,North Sydney Oval
0.5,Kycia A Knight,RM Farrell,0,SR Taylor,"{'batsman': 0, 'extras': 0, 'total': 0}",0,0.0,0,0.0,0.0,0,0,0,0,0,0,0,West Indies,Sydney,2014-11-02,female,T20,0,Australia,wickets,4,0,0,0,0,JL Jonassen,20,Australia,West Indies,Australia,field,North Sydney Oval
0.6,Kycia A Knight,RM Farrell,0,SR Taylor,"{'batsman': 0, 'extras': 0, 'total': 0}",0,0.0,0,0.0,0.0,0,0,0,0,0,0,0,West Indies,Sydney,2014-11-02,female,T20,0,Australia,wickets,4,0,0,0,0,JL Jonassen,20,Australia,West Indies,Australia,field,North Sydney Oval
1.1,SR Taylor,JL Jonassen,0,Kycia A Knight,"{'batsman': 4, 'extras': 0, 'total': 4}",0,0.0,0,0.0,0.0,0,0,0,0,4,0,4,West Indies,Sydney,2014-11-02,female,T20,0,Australia,wickets,4,0,0,0,0,JL Jonassen,20,Australia,West Indies,Australia,field,North Sydney Oval
1.2,SR Taylor,JL Jonassen,0,Kycia A Knight,"{'batsman': 0, 'extras': 0, 'total': 0}",0,0.0,0,0.0,0.0,0,0,0,0,0,0,0,West Indies,Sydney,2014-11-02,female,T20,0,Australia,wickets,4,0,0,0,0,JL Jonassen,20,Australia,West Indies,Australia,field,North Sydney Oval
1.3,SR Taylor,JL Jonassen,0,Kycia A Knight,"{'batsman': 1, 'extras': 0, 'total': 1}",0,0.0,0,0.0,0.0,0,0,0,0,1,0,1,West Indies,Sydney,2014-11-02,female,T20,0,Australia,wickets,4,0,0,0,0,JL Jonassen,20,Australia,West Indies,Australia,field,North Sydney Oval
1.4,Kycia A Knight,JL Jonassen,0,SR Taylor,"{'batsman': 0, 'extras': 0, 'total': 0}",0,0.0,0,0.0,0.0,0,0,0,0,0,0,0,West Indies,Sydney,2014-11-02,female,T20,0,Australia,wickets,4,0,0,0,0,JL Jonassen,20,Australia,West Indies,Australia,field,North Sydney Oval
1.5,Kycia A Knight,JL Jonassen,0,SR Taylor,"{'batsman': 1, 'extras': 0, 'total': 1}",0,0.0,0,0.0,0.0,0,0,0,0,1,0,1,West Indies,Sydney,2014-11-02,female,T20,0,Australia,wickets,4,0,0,0,0,JL Jonassen,20,Australia,West Indies,Australia,field,North Sydney Oval
1.6,SR Taylor,JL Jonassen,0,Kycia A Knight,"{'batsman': 0, 'extras': 0, 'total': 0}",0,0.0,0,0.0,0.0,0,0,0,0,0,0,0,West Indies,Sydney,2014-11-02,female,T20,0,Australia,wickets,4,0,0,0,0,JL Jonassen,20,Australia,West Indies,Australia,field,North Sydney Oval
2.1,Kycia A Knight,RM Farrell,0,SR Taylor,"{'batsman': 0, 'extras': 0, 'total': 0}",0,0.0,0,0.0,0.0,0,0,0,0,0,0,0,West Indies,Sydney,2014-11-02,female,T20,0,Australia,wickets,4,0,0,0,0,JL Jonassen,20,Australia,West Indies,Australia,field,North Sydney Oval
2.2,Kycia A Knight,RM Farrell,0,SR Taylor,"{'batsman': 0, 'extras': 0, 'total': 0}",0,0.0,0,0.0,0.0,0,0,0,0,0,0,0,West Indies,Sydney,2014-11-02,female,T20,0,Australia,wickets,4,0,0,0,0,JL Jonassen,20,Australia,West Indies,Australia,field,North Sydney Oval
