delivery,batsman,bowler,extras_dict,non_striker,runs_dict,wicket_dict,wides,noballs,legbyes,byes,penalty,kind,player_out,fielders,runs,extras,total,team,city,date,gender,match_type,neutral_venue,winner,winType,winMargin,result,resultHow,resultTeam,non_boundary,ManOfMatch,overs,team1,team2,tossWinner,tossDecision,venue
0.1,M Raj,Salma Khatun,0,H Kaur,"{'batsman': 0, 'extras': 0, 'total': 0}",0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,India,0,2014-03-30,female,T20,0,India,runs,79,0,0,0,0,H Kaur,20,Bangladesh,India,India,bat,Sylhet Stadium
0.2,M Raj,Salma Khatun,0,H Kaur,"{'batsman': 0, 'extras': 0, 'total': 0}",0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,India,0,2014-03-30,female,T20,0,India,runs,79,0,0,0,0,H Kaur,20,Bangladesh,India,India,bat,Sylhet Stadium
0.3,M Raj,Salma Khatun,0,H Kaur,"{'batsman': 0, 'extras': 0, 'total': 0}",0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,India,0,2014-03-30,female,T20,0,India,runs,79,0,0,0,0,H Kaur,20,Bangladesh,India,India,bat,Sylhet Stadium
0.4,M Raj,Salma Khatun,0,H Kaur,"{'batsman': 0, 'extras': 0, 'total': 0}",0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,India,0,2014-03-30,female,T20,0,India,runs,79,0,0,0,0,H Kaur,20,Bangladesh,India,India,bat,Sylhet Stadium
0.5,M Raj,Salma Khatun,0,H Kaur,"{'batsman': 1, 'extras': 0, 'total': 1}",0,0.0,0.0,0.0,0.0,0,0,0,0,1,0,1,India,0,2014-03-30,female,T20,0,India,runs,79,0,0,0,0,H Kaur,20,Bangladesh,India,India,bat,Sylhet Stadium
0.6,H Kaur,Salma Khatun,0,M Raj,"{'batsman': 0, 'extras': 0, 'total': 0}",0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,India,0,2014-03-30,female,T20,0,India,runs,79,0,0,0,0,H Kaur,20,Bangladesh,India,India,bat,Sylhet Stadium
1.1,M Raj,Jahanara Alam,0,H Kaur,"{'batsman': 4, 'extras': 0, 'total': 4}",0,0.0,0.0,0.0,0.0,0,0,0,0,4,0,4,India,0,2014-03-30,female,T20,0,India,runs,79,0,0,0,0,H Kaur,20,Bangladesh,India,India,bat,Sylhet Stadium
1.2,M Raj,Jahanara Alam,0,H Kaur,"{'batsman': 1, 'extras': 0, 'total': 1}",0,0.0,0.0,0.0,0.0,0,0,0,0,1,0,1,India,0,2014-03-30,female,T20,0,India,runs,79,0,0,0,0,H Kaur,20,Bangladesh,India,India,bat,Sylhet Stadium
1.3,H Kaur,Jahanara Alam,0,M Raj,"{'batsman': 0, 'extras': 0, 'total': 0}",0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,India,0,2014-03-30,female,T20,0,India,runs,79,0,0,0,0,H Kaur,20,Bangladesh,India,India,bat,Sylhet Stadium
1.4,H Kaur,Jahanara Alam,0,M Raj,"{'batsman': 1, 'extras': 0, 'total': 1}",0,0.0,0.0,0.0,0.0,0,0,0,0,1,0,1,India,0,2014-03-30,female,T20,0,India,runs,79,0,0,0,0,H Kaur,20,Bangladesh,India,India,bat,Sylhet Stadium
1.5,M Raj,Jahanara Alam,0,H Kaur,"{'batsman': 0, 'extras': 0, 'total': 0}",0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,India,0,2014-03-30,female,T20,0,India,runs,79,0,0,0,0,H Kaur,20,Bangladesh,India,India,bat,Sylhet Stadium
1.6,M Raj,Jahanara Alam,0,H Kaur,"{'batsman': 4, 'extras': 0, 'total': 4}",0,0.0,0.0,0.0,0.0,0,0,0,0,4,0,4,India,0,2014-03-30,female,T20,0,India,runs,79,0,0,0,0,H Kaur,20,Bangladesh,India,India,bat,Sylhet Stadium
2.1,H Kaur,Salma Khatun,0,M Raj,"{'batsman': 0, 'extras': 0, 'total': 0}",0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,India,0,2014-03-30,female,T20,0,India,runs,79,0,0,0,0,H Kaur,20,Bangladesh,India,India,bat,Sylhet Stadium
2.2,H Kaur,Salma Khatun,{'wides': 3},M Raj,"{'batsman': 0, 'extras': 3, 'total': 3}",0,3.0,0.0,0.0,0.0,0,0,0,0,0,3,3,India,0,2014-03-30,female,T20,0,India,runs,79,0,0,0,0,H Kaur,20,Bangladesh,India,India,bat,Sylhet Stadium
2.3,H Kaur,Salma Khatun,0,M Raj,"{'batsman': 0, 'extras': 0, 'total': 0}",0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,India,0,2014-03-30,female,T20,0,India,runs,79,0,0,0,0,H Kaur,20,Bangladesh,India,India,bat,Sylhet Stadium
2.4,H Kaur,Salma Khatun,0,M Raj,"{'batsman': 0, 'extras': 0, 'total': 0}",0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,India,0,2014-03-30,female,T20,0,India,runs,79,0,0,0,0,H Kaur,20,Bangladesh,India,India,bat,Sylhet Stadium
