delivery,batsman,bowler,extras_dict,non_striker,runs_dict,wicket_dict,wides,noballs,legbyes,byes,penalty,kind,player_out,fielders,runs,extras,total,team,city,date,gender,match_type,neutral_venue,winner,winType,winMargin,result,resultHow,resultTeam,non_boundary,ManOfMatch,overs,team1,team2,tossWinner,tossDecision,venue
0.1,Tamim Iqbal,Mohammad Hafeez,0,Mohammad Ashraful,"{'batsman': 1, 'extras': 0, 'total': 1}",0,0.0,0.0,0.0,0.0,0,0,0,0,1,0,1,Bangladesh,0,2012-09-25,male,T20,1,Pakistan,wickets,8,0,0,0,0,Imran Nazir,20,Bangladesh,Pakistan,Bangladesh,bat,Pallekele International Cricket Stadium
0.2,Mohammad Ashraful,Mohammad Hafeez,0,Tamim Iqbal,"{'batsman': 0, 'extras': 0, 'total': 0}",0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,Bangladesh,0,2012-09-25,male,T20,1,Pakistan,wickets,8,0,0,0,0,Imran Nazir,20,Bangladesh,Pakistan,Bangladesh,bat,Pallekele International Cricket Stadium
0.3,Mohammad Ashraful,Mohammad Hafeez,0,Tamim Iqbal,"{'batsman': 0, 'extras': 0, 'total': 0}",0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,Bangladesh,0,2012-09-25,male,T20,1,Pakistan,wickets,8,0,0,0,0,Imran Nazir,20,Bangladesh,Pakistan,Bangladesh,bat,Pallekele International Cricket Stadium
0.4,Mohammad Ashraful,Mohammad Hafeez,0,Tamim Iqbal,"{'batsman': 4, 'extras': 0, 'total': 4}",0,0.0,0.0,0.0,0.0,0,0,0,0,4,0,4,Bangladesh,0,2012-09-25,male,T20,1,Pakistan,wickets,8,0,0,0,0,Imran Nazir,20,Bangladesh,Pakistan,Bangladesh,bat,Pallekele International Cricket Stadium
0.5,Mohammad Ashraful,Mohammad Hafeez,0,Tamim Iqbal,"{'batsman': 2, 'extras': 0, 'total': 2}",0,0.0,0.0,0.0,0.0,0,0,0,0,2,0,2,Bangladesh,0,2012-09-25,male,T20,1,Pakistan,wickets,8,0,0,0,0,Imran Nazir,20,Bangladesh,Pakistan,Bangladesh,bat,Pallekele International Cricket Stadium
0.6,Mohammad Ashraful,Mohammad Hafeez,0,Tamim Iqbal,"{'batsman': 0, 'extras': 0, 'total': 0}",0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,Bangladesh,0,2012-09-25,male,T20,1,Pakistan,wickets,8,0,0,0,0,Imran Nazir,20,Bangladesh,Pakistan,Bangladesh,bat,Pallekele International Cricket Stadium
1.1,Tamim Iqbal,Sohail Tanvir,{'noballs': 1},Mohammad Ashraful,"{'batsman': 1, 'extras': 1, 'total': 2}",0,0.0,1.0,0.0,0.0,0,0,0,0,1,1,2,Bangladesh,0,2012-09-25,male,T20,1,Pakistan,wickets,8,0,0,0,0,Imran Nazir,20,Bangladesh,Pakistan,Bangladesh,bat,Pallekele International Cricket Stadium
1.2,Mohammad Ashraful,Sohail Tanvir,0,Tamim Iqbal,"{'batsman': 4, 'extras': 0, 'total': 4}",0,0.0,0.0,0.0,0.0,0,0,0,0,4,0,4,Bangladesh,0,2012-09-25,male,T20,1,Pakistan,wickets,8,0,0,0,0,Imran Nazir,20,Bangladesh,Pakistan,Bangladesh,bat,Pallekele International Cricket Stadium
1.3,Mohammad Ashraful,Sohail Tanvir,0,Tamim Iqbal,"{'batsman': 0, 'extras': 0, 'total': 0}",0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,Bangladesh,0,2012-09-25,male,T20,1,Pakistan,wickets,8,0,0,0,0,Imran Nazir,20,Bangladesh,Pakistan,Bangladesh,bat,Pallekele International Cricket Stadium
1.4,Mohammad Ashraful,Sohail Tanvir,0,Tamim Iqbal,"{'batsman': 0, 'extras': 0, 'total': 0}",0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,Bangladesh,0,2012-09-25,male,T20,1,Pakistan,wickets,8,0,0,0,0,Imran Nazir,20,Bangladesh,Pakistan,Bangladesh,bat,Pallekele International Cricket Stadium
