delivery,batsman,bowler,extras_dict,non_striker,runs_dict,wicket_dict,wides,noballs,legbyes,byes,penalty,kind,player_out,fielders,runs,extras,total,team,city,date,gender,match_type,neutral_venue,winner,winType,winMargin,result,resultHow,resultTeam,non_boundary,ManOfMatch,overs,team1,team2,tossWinner,tossDecision,venue
0.1,Tamim Iqbal,TM Dilshan,0,Shamsur Rahman,"{'batsman': 1, 'extras': 0, 'total': 1}",0,0.0,0.0,0.0,0.0,0,0,0,0,1,0,1,Bangladesh,Chittagong,2014-02-14,male,T20,0,Sri Lanka,wickets,3,0,0,0,0,NLTC Perera,20,Bangladesh,Sri Lanka,Bangladesh,bat,Zahur Ahmed Chowdhury Stadium
0.2,Shamsur Rahman,TM Dilshan,0,Tamim Iqbal,"{'batsman': 0, 'extras': 0, 'total': 0}",0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,Bangladesh,Chittagong,2014-02-14,male,T20,0,Sri Lanka,wickets,3,0,0,0,0,NLTC Perera,20,Bangladesh,Sri Lanka,Bangladesh,bat,Zahur Ahmed Chowdhury Stadium
0.3,Shamsur Rahman,TM Dilshan,0,Tamim Iqbal,"{'batsman': 1, 'extras': 0, 'total': 1}",0,0.0,0.0,0.0,0.0,0,0,0,0,1,0,1,Bangladesh,Chittagong,2014-02-14,male,T20,0,Sri Lanka,wickets,3,0,0,0,0,NLTC Perera,20,Bangladesh,Sri Lanka,Bangladesh,bat,Zahur Ahmed Chowdhury Stadium
0.4,Tamim Iqbal,TM Dilshan,0,Shamsur Rahman,"{'batsman': 1, 'extras': 0, 'total': 1}",0,0.0,0.0,0.0,0.0,0,0,0,0,1,0,1,Bangladesh,Chittagong,2014-02-14,male,T20,0,Sri Lanka,wickets,3,0,0,0,0,NLTC Perera,20,Bangladesh,Sri Lanka,Bangladesh,bat,Zahur Ahmed Chowdhury Stadium
0.5,Shamsur Rahman,TM Dilshan,0,Tamim Iqbal,"{'batsman': 0, 'extras': 0, 'total': 0}","{'fielders': ['LD Chandimal'], 'kind': 'caught', 'player_out': 'Shamsur Rahman'}",0.0,0.0,0.0,0.0,0,caught,Shamsur Rahman,['LD Chandimal'],0,0,0,Bangladesh,Chittagong,2014-02-14,male,T20,0,Sri Lanka,wickets,3,0,0,0,0,NLTC Perera,20,Bangladesh,Sri Lanka,Bangladesh,bat,Zahur Ahmed Chowdhury Stadium
0.6,Anamul Haque,TM Dilshan,0,Tamim Iqbal,"{'batsman': 0, 'extras': 0, 'total': 0}",0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,Bangladesh,Chittagong,2014-02-14,male,T20,0,Sri Lanka,wickets,3,0,0,0,0,NLTC Perera,20,Bangladesh,Sri Lanka,Bangladesh,bat,Zahur Ahmed Chowdhury Stadium
1.1,Tamim Iqbal,KMDN Kulasekara,0,Anamul Haque,"{'batsman': 0, 'extras': 0, 'total': 0}",0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,Bangladesh,Chittagong,2014-02-14,male,T20,0,Sri Lanka,wickets,3,0,0,0,0,NLTC Perera,20,Bangladesh,Sri Lanka,Bangladesh,bat,Zahur Ahmed Chowdhury Stadium
1.2,Tamim Iqbal,KMDN Kulasekara,0,Anamul Haque,"{'batsman': 0, 'extras': 0, 'total': 0}","{'fielders': ['BAW Mendis'], 'kind': 'caught', 'player_out': 'Tamim Iqbal'}",0.0,0.0,0.0,0.0,0,caught,Tamim Iqbal,['BAW Mendis'],0,0,0,Bangladesh,Chittagong,2014-02-14,male,T20,0,Sri Lanka,wickets,3,0,0,0,0,NLTC Perera,20,Bangladesh,Sri Lanka,Bangladesh,bat,Zahur Ahmed Chowdhury Stadium
1.3,Shakib Al Hasan,KMDN Kulasekara,0,Anamul Haque,"{'batsman': 4, 'extras': 0, 'total': 4}",0,0.0,0.0,0.0,0.0,0,0,0,0,4,0,4,Bangladesh,Chittagong,2014-02-14,male,T20,0,Sri Lanka,wickets,3,0,0,0,0,NLTC Perera,20,Bangladesh,Sri Lanka,Bangladesh,bat,Zahur Ahmed Chowdhury Stadium
1.4,Shakib Al Hasan,KMDN Kulasekara,0,Anamul Haque,"{'batsman': 0, 'extras': 0, 'total': 0}",0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,Bangladesh,Chittagong,2014-02-14,male,T20,0,Sri Lanka,wickets,3,0,0,0,0,NLTC Perera,20,Bangladesh,Sri Lanka,Bangladesh,bat,Zahur Ahmed Chowdhury Stadium
1.5,Shakib Al Hasan,KMDN Kulasekara,0,Anamul Haque,"{'batsman': 4, 'extras': 0, 'total': 4}",0,0.0,0.0,0.0,0.0,0,0,0,0,4,0,4,Bangladesh,Chittagong,2014-02-14,male,T20,0,Sri Lanka,wickets,3,0,0,0,0,NLTC Perera,20,Bangladesh,Sri Lanka,Bangladesh,bat,Zahur Ahmed Chowdhury Stadium
1.6,Shakib Al Hasan,KMDN Kulasekara,0,Anamul Haque,"{'batsman': 4, 'extras': 0, 'total': 4}",0,0.0,0.0,0.0,0.0,0,0,0,0,4,0,4,Bangladesh,Chittagong,2014-02-14,male,T20,0,Sri Lanka,wickets,3,0,0,0,0,NLTC Perera,20,Bangladesh,Sri Lanka,Bangladesh,bat,Zahur Ahmed Chowdhury Stadium
2.1,Anamul Haque,TM Dilshan,0,Shakib Al Hasan,"{'batsman': 0, 'extras': 0, 'total': 0}",0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,Bangladesh,Chittagong,2014-02-14,male,T20,0,Sri Lanka,wickets,3,0,0,0,0,NLTC Perera,20,Bangladesh,Sri Lanka,Bangladesh,bat,Zahur Ahmed Chowdhury Stadium
