delivery,batsman,bowler,extras_dict,non_striker,runs_dict,wicket_dict,wides,noballs,legbyes,byes,penalty,kind,player_out,fielders,runs,extras,total,team,city,date,gender,match_type,neutral_venue,winner,winType,winMargin,result,resultHow,resultTeam,non_boundary,ManOfMatch,overs,team1,team2,tossWinner,tossDecision,venue
0.1,DR Smith,Sohag Gazi,0,CH Gayle,"{'batsman': 1, 'extras': 0, 'total': 1}",0,0.0,0.0,0.0,0.0,0,0,0,0,1,0,1,West Indies,Mirpur,2012-12-10,male,T20,0,West Indies,runs,18,0,0,0,0,MN Samuels,20,Bangladesh,West Indies,West Indies,bat,Shere Bangla National Stadium
0.2,CH Gayle,Sohag Gazi,0,DR Smith,"{'batsman': 1, 'extras': 0, 'total': 1}",0,0.0,0.0,0.0,0.0,0,0,0,0,1,0,1,West Indies,Mirpur,2012-12-10,male,T20,0,West Indies,runs,18,0,0,0,0,MN Samuels,20,Bangladesh,West Indies,West Indies,bat,Shere Bangla National Stadium
0.3,DR Smith,Sohag Gazi,0,CH Gayle,"{'batsman': 0, 'extras': 0, 'total': 0}",0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,West Indies,Mirpur,2012-12-10,male,T20,0,West Indies,runs,18,0,0,0,0,MN Samuels,20,Bangladesh,West Indies,West Indies,bat,Shere Bangla National Stadium
0.4,DR Smith,Sohag Gazi,0,CH Gayle,"{'batsman': 0, 'extras': 0, 'total': 0}",0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,West Indies,Mirpur,2012-12-10,male,T20,0,West Indies,runs,18,0,0,0,0,MN Samuels,20,Bangladesh,West Indies,West Indies,bat,Shere Bangla National Stadium
0.5,DR Smith,Sohag Gazi,0,CH Gayle,"{'batsman': 6, 'extras': 0, 'total': 6}",0,0.0,0.0,0.0,0.0,0,0,0,0,6,0,6,West Indies,Mirpur,2012-12-10,male,T20,0,West Indies,runs,18,0,0,0,0,MN Samuels,20,Bangladesh,West Indies,West Indies,bat,Shere Bangla National Stadium
0.6,DR Smith,Sohag Gazi,0,CH Gayle,"{'batsman': 2, 'extras': 0, 'total': 2}",0,0.0,0.0,0.0,0.0,0,0,0,0,2,0,2,West Indies,Mirpur,2012-12-10,male,T20,0,West Indies,runs,18,0,0,0,0,MN Samuels,20,Bangladesh,West Indies,West Indies,bat,Shere Bangla National Stadium
1.1,CH Gayle,Shafiul Islam,0,DR Smith,"{'batsman': 1, 'extras': 0, 'total': 1}",0,0.0,0.0,0.0,0.0,0,0,0,0,1,0,1,West Indies,Mirpur,2012-12-10,male,T20,0,West Indies,runs,18,0,0,0,0,MN Samuels,20,Bangladesh,West Indies,West Indies,bat,Shere Bangla National Stadium
1.2,DR Smith,Shafiul Islam,0,CH Gayle,"{'batsman': 4, 'extras': 0, 'total': 4}",0,0.0,0.0,0.0,0.0,0,0,0,0,4,0,4,West Indies,Mirpur,2012-12-10,male,T20,0,West Indies,runs,18,0,0,0,0,MN Samuels,20,Bangladesh,West Indies,West Indies,bat,Shere Bangla National Stadium
1.3,DR Smith,Shafiul Islam,0,CH Gayle,"{'batsman': 1, 'extras': 0, 'total': 1}",0,0.0,0.0,0.0,0.0,0,0,0,0,1,0,1,West Indies,Mirpur,2012-12-10,male,T20,0,West Indies,runs,18,0,0,0,0,MN Samuels,20,Bangladesh,West Indies,West Indies,bat,Shere Bangla National Stadium
1.4,CH Gayle,Shafiul Islam,0,DR Smith,"{'batsman': 0, 'extras': 0, 'total': 0}",0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,West Indies,Mirpur,2012-12-10,male,T20,0,West Indies,runs,18,0,0,0,0,MN Samuels,20,Bangladesh,West Indies,West Indies,bat,Shere Bangla National Stadium
1.5,CH Gayle,Shafiul Islam,0,DR Smith,"{'batsman': 0, 'extras': 0, 'total': 0}",0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,West Indies,Mirpur,2012-12-10,male,T20,0,West Indies,runs,18,0,0,0,0,MN Samuels,20,Bangladesh,West Indies,West Indies,bat,Shere Bangla National Stadium
1.6,CH Gayle,Shafiul Islam,0,DR Smith,"{'batsman': 0, 'extras': 0, 'total': 0}",0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,West Indies,Mirpur,2012-12-10,male,T20,0,West Indies,runs,18,0,0,0,0,MN Samuels,20,Bangladesh,West Indies,West Indies,bat,Shere Bangla National Stadium
2.1,DR Smith,Rubel Hossain,0,CH Gayle,"{'batsman': 0, 'extras': 0, 'total': 0}",0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,West Indies,Mirpur,2012-12-10,male,T20,0,West Indies,runs,18,0,0,0,0,MN Samuels,20,Bangladesh,West Indies,West Indies,bat,Shere Bangla National Stadium
2.2,DR Smith,Rubel Hossain,0,CH Gayle,"{'batsman': 4, 'extras': 0, 'total': 4}",0,0.0,0.0,0.0,0.0,0,0,0,0,4,0,4,West Indies,Mirpur,2012-12-10,male,T20,0,West Indies,runs,18,0,0,0,0,MN Samuels,20,Bangladesh,West Indies,West Indies,bat,Shere Bangla National Stadium
2.3,DR Smith,Rubel Hossain,0,CH Gayle,"{'batsman': 0, 'extras': 0, 'total': 0}",0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,West Indies,Mirpur,2012-12-10,male,T20,0,West Indies,runs,18,0,0,0,0,MN Samuels,20,Bangladesh,West Indies,West Indies,bat,Shere Bangla National Stadium
2.4,DR Smith,Rubel Hossain,0,CH Gayle,"{'batsman': 1, 'extras': 0, 'total': 1}",0,0.0,0.0,0.0,0.0,0,0,0,0,1,0,1,West Indies,Mirpur,2012-12-10,male,T20,0,West Indies,runs,18,0,0,0,0,MN Samuels,20,Bangladesh,West Indies,West Indies,bat,Shere Bangla National Stadium
2.5,CH Gayle,Rubel Hossain,0,DR Smith,"{'batsman': 4, 'extras': 0, 'total': 4}",0,0.0,0.0,0.0,0.0,0,0,0,0,4,0,4,West Indies,Mirpur,2012-12-10,male,T20,0,West Indies,runs,18,0,0,0,0,MN Samuels,20,Bangladesh,West Indies,West Indies,bat,Shere Bangla National Stadium
