delivery,batsman,bowler,extras_dict,non_striker,runs_dict,wicket_dict,wides,noballs,legbyes,byes,penalty,kind,player_out,fielders,runs,extras,total,team,city,date,gender,match_type,neutral_venue,winner,winType,winMargin,result,resultHow,resultTeam,non_boundary,ManOfMatch,overs,team1,team2,tossWinner,tossDecision,venue
0.1,SJ Myburgh,H Osinde,{'wides': 1},MR Swart,"{'batsman': 0, 'extras': 1, 'total': 1}",0,1.0,0,0.0,0.0,0,0,0,0,0,1,1,Netherlands,0,2012-03-13,male,T20,1,Netherlands,runs,42,0,0,0,0,Mudassar Bukhari,20,Canada,Netherlands,Netherlands,bat,Dubai International Cricket Stadium
0.2,SJ Myburgh,H Osinde,{'legbyes': 1},MR Swart,"{'batsman': 0, 'extras': 1, 'total': 1}",0,0.0,0,1.0,0.0,0,0,0,0,0,1,1,Netherlands,0,2012-03-13,male,T20,1,Netherlands,runs,42,0,0,0,0,Mudassar Bukhari,20,Canada,Netherlands,Netherlands,bat,Dubai International Cricket Stadium
0.3,MR Swart,H Osinde,0,SJ Myburgh,"{'batsman': 1, 'extras': 0, 'total': 1}",0,0.0,0,0.0,0.0,0,0,0,0,1,0,1,Netherlands,0,2012-03-13,male,T20,1,Netherlands,runs,42,0,0,0,0,Mudassar Bukhari,20,Canada,Netherlands,Netherlands,bat,Dubai International Cricket Stadium
0.4,SJ Myburgh,H Osinde,0,MR Swart,"{'batsman': 0, 'extras': 0, 'total': 0}",0,0.0,0,0.0,0.0,0,0,0,0,0,0,0,Netherlands,0,2012-03-13,male,T20,1,Netherlands,runs,42,0,0,0,0,Mudassar Bukhari,20,Canada,Netherlands,Netherlands,bat,Dubai International Cricket Stadium
0.5,SJ Myburgh,H Osinde,0,MR Swart,"{'batsman': 0, 'extras': 0, 'total': 0}",0,0.0,0,0.0,0.0,0,0,0,0,0,0,0,Netherlands,0,2012-03-13,male,T20,1,Netherlands,runs,42,0,0,0,0,Mudassar Bukhari,20,Canada,Netherlands,Netherlands,bat,Dubai International Cricket Stadium
0.6,SJ Myburgh,H Osinde,0,MR Swart,"{'batsman': 0, 'extras': 0, 'total': 0}",0,0.0,0,0.0,0.0,0,0,0,0,0,0,0,Netherlands,0,2012-03-13,male,T20,1,Netherlands,runs,42,0,0,0,0,Mudassar Bukhari,20,Canada,Netherlands,Netherlands,bat,Dubai International Cricket Stadium
0.7,SJ Myburgh,H Osinde,0,MR Swart,"{'batsman': 0, 'extras': 0, 'total': 0}",0,0.0,0,0.0,0.0,0,0,0,0,0,0,0,Netherlands,0,2012-03-13,male,T20,1,Netherlands,runs,42,0,0,0,0,Mudassar Bukhari,20,Canada,Netherlands,Netherlands,bat,Dubai International Cricket Stadium
1.1,MR Swart,Junaid Siddiqui,0,SJ Myburgh,"{'batsman': 1, 'extras': 0, 'total': 1}",0,0.0,0,0.0,0.0,0,0,0,0,1,0,1,Netherlands,0,2012-03-13,male,T20,1,Netherlands,runs,42,0,0,0,0,Mudassar Bukhari,20,Canada,Netherlands,Netherlands,bat,Dubai International Cricket Stadium
1.2,SJ Myburgh,Junaid Siddiqui,0,MR Swart,"{'batsman': 0, 'extras': 0, 'total': 0}",0,0.0,0,0.0,0.0,0,0,0,0,0,0,0,Netherlands,0,2012-03-13,male,T20,1,Netherlands,runs,42,0,0,0,0,Mudassar Bukhari,20,Canada,Netherlands,Netherlands,bat,Dubai International Cricket Stadium
1.3,SJ Myburgh,Junaid Siddiqui,0,MR Swart,"{'batsman': 1, 'extras': 0, 'total': 1}",0,0.0,0,0.0,0.0,0,0,0,0,1,0,1,Netherlands,0,2012-03-13,male,T20,1,Netherlands,runs,42,0,0,0,0,Mudassar Bukhari,20,Canada,Netherlands,Netherlands,bat,Dubai International Cricket Stadium
