delivery,batsman,bowler,extras_dict,non_striker,runs_dict,wicket_dict,wides,noballs,legbyes,byes,penalty,kind,player_out,fielders,runs,extras,total,team,city,date,gender,match_type,neutral_venue,winner,winType,winMargin,result,resultHow,resultTeam,non_boundary,ManOfMatch,overs,team1,team2,tossWinner,tossDecision,venue
0.1,S Nitschke,LA Marsh,0,LJ Poulton,"{'batsman': 1, 'extras': 0, 'total': 1}",0,0.0,0.0,0.0,0,0,0,0,0,1,0,1,Australia,London,2009-06-19,female,T20,0,England,wickets,8,0,0,0,0,SC Taylor,20,England,Australia,England,field,Kennington Oval
0.2,LJ Poulton,LA Marsh,0,S Nitschke,"{'batsman': 0, 'extras': 0, 'total': 0}",0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,Australia,London,2009-06-19,female,T20,0,England,wickets,8,0,0,0,0,SC Taylor,20,England,Australia,England,field,Kennington Oval
0.3,LJ Poulton,LA Marsh,0,S Nitschke,"{'batsman': 0, 'extras': 0, 'total': 0}",0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,Australia,London,2009-06-19,female,T20,0,England,wickets,8,0,0,0,0,SC Taylor,20,England,Australia,England,field,Kennington Oval
0.4,LJ Poulton,LA Marsh,0,S Nitschke,"{'batsman': 1, 'extras': 0, 'total': 1}",0,0.0,0.0,0.0,0,0,0,0,0,1,0,1,Australia,London,2009-06-19,female,T20,0,England,wickets,8,0,0,0,0,SC Taylor,20,England,Australia,England,field,Kennington Oval
0.5,S Nitschke,LA Marsh,0,LJ Poulton,"{'batsman': 0, 'extras': 0, 'total': 0}",0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,Australia,London,2009-06-19,female,T20,0,England,wickets,8,0,0,0,0,SC Taylor,20,England,Australia,England,field,Kennington Oval
0.6,S Nitschke,LA Marsh,0,LJ Poulton,"{'batsman': 0, 'extras': 0, 'total': 0}",0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,Australia,London,2009-06-19,female,T20,0,England,wickets,8,0,0,0,0,SC Taylor,20,England,Australia,England,field,Kennington Oval
1.1,LJ Poulton,KH Brunt,{'wides': 1},S Nitschke,"{'batsman': 0, 'extras': 1, 'total': 1}",0,1.0,0.0,0.0,0,0,0,0,0,0,1,1,Australia,London,2009-06-19,female,T20,0,England,wickets,8,0,0,0,0,SC Taylor,20,England,Australia,England,field,Kennington Oval
1.2,LJ Poulton,KH Brunt,0,S Nitschke,"{'batsman': 0, 'extras': 0, 'total': 0}",0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,Australia,London,2009-06-19,female,T20,0,England,wickets,8,0,0,0,0,SC Taylor,20,England,Australia,England,field,Kennington Oval
1.3,LJ Poulton,KH Brunt,0,S Nitschke,"{'batsman': 1, 'extras': 0, 'total': 1}",0,0.0,0.0,0.0,0,0,0,0,0,1,0,1,Australia,London,2009-06-19,female,T20,0,England,wickets,8,0,0,0,0,SC Taylor,20,England,Australia,England,field,Kennington Oval
1.4,S Nitschke,KH Brunt,0,LJ Poulton,"{'batsman': 1, 'extras': 0, 'total': 1}",0,0.0,0.0,0.0,0,0,0,0,0,1,0,1,Australia,London,2009-06-19,female,T20,0,England,wickets,8,0,0,0,0,SC Taylor,20,England,Australia,England,field,Kennington Oval
1.5,LJ Poulton,KH Brunt,0,S Nitschke,"{'batsman': 0, 'extras': 0, 'total': 0}",0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,Australia,London,2009-06-19,female,T20,0,England,wickets,8,0,0,0,0,SC Taylor,20,England,Australia,England,field,Kennington Oval
1.6,LJ Poulton,KH Brunt,0,S Nitschke,"{'batsman': 0, 'extras': 0, 'total': 0}",0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,Australia,London,2009-06-19,female,T20,0,England,wickets,8,0,0,0,0,SC Taylor,20,England,Australia,England,field,Kennington Oval
1.7,LJ Poulton,KH Brunt,0,S Nitschke,"{'batsman': 4, 'extras': 0, 'total': 4}",0,0.0,0.0,0.0,0,0,0,0,0,4,0,4,Australia,London,2009-06-19,female,T20,0,England,wickets,8,0,0,0,0,SC Taylor,20,England,Australia,England,field,Kennington Oval
2.1,S Nitschke,NJ Shaw,{'noballs': 1},LJ Poulton,"{'batsman': 1, 'extras': 1, 'total': 2}",0,0.0,1.0,0.0,0,0,0,0,0,1,1,2,Australia,London,2009-06-19,female,T20,0,England,wickets,8,0,0,0,0,SC Taylor,20,England,Australia,England,field,Kennington Oval
2.2,LJ Poulton,NJ Shaw,0,S Nitschke,"{'batsman': 1, 'extras': 0, 'total': 1}",0,0.0,0.0,0.0,0,0,0,0,0,1,0,1,Australia,London,2009-06-19,female,T20,0,England,wickets,8,0,0,0,0,SC Taylor,20,England,Australia,England,field,Kennington Oval
2.3,S Nitschke,NJ Shaw,0,LJ Poulton,"{'batsman': 0, 'extras': 0, 'total': 0}",0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,Australia,London,2009-06-19,female,T20,0,England,wickets,8,0,0,0,0,SC Taylor,20,England,Australia,England,field,Kennington Oval
2.4,S Nitschke,NJ Shaw,0,LJ Poulton,"{'batsman': 1, 'extras': 0, 'total': 1}",0,0.0,0.0,0.0,0,0,0,0,0,1,0,1,Australia,London,2009-06-19,female,T20,0,England,wickets,8,0,0,0,0,SC Taylor,20,England,Australia,England,field,Kennington Oval
2.5,LJ Poulton,NJ Shaw,0,S Nitschke,"{'batsman': 0, 'extras': 0, 'total': 0}",0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,Australia,London,2009-06-19,female,T20,0,England,wickets,8,0,0,0,0,SC Taylor,20,England,Australia,England,field,Kennington Oval
2.6,LJ Poulton,NJ Shaw,0,S Nitschke,"{'batsman': 4, 'extras': 0, 'total': 4}",0,0.0,0.0,0.0,0,0,0,0,0,4,0,4,Australia,London,2009-06-19,female,T20,0,England,wickets,8,0,0,0,0,SC Taylor,20,England,Australia,England,field,Kennington Oval
2.7,LJ Poulton,NJ Shaw,0,S Nitschke,"{'batsman': 1, 'extras': 0, 'total': 1}",0,0.0,0.0,0.0,0,0,0,0,0,1,0,1,Australia,London,2009-06-19,female,T20,0,England,wickets,8,0,0,0,0,SC Taylor,20,England,Australia,England,field,Kennington Oval
3.1,LJ Poulton,KH Brunt,0,S Nitschke,"{'batsman': 4, 'extras': 0, 'total': 4}",0,0.0,0.0,0.0,0,0,0,0,0,4,0,4,Australia,London,2009-06-19,female,T20,0,England,wickets,8,0,0,0,0,SC Taylor,20,England,Australia,England,field,Kennington Oval
3.2,LJ Poulton,KH Brunt,0,S Nitschke,"{'batsman': 0, 'extras': 0, 'total': 0}",0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,Australia,London,2009-06-19,female,T20,0,England,wickets,8,0,0,0,0,SC Taylor,20,England,Australia,England,field,Kennington Oval
3.3,LJ Poulton,KH Brunt,0,S Nitschke,"{'batsman': 4, 'extras': 0, 'total': 4}",0,0.0,0.0,0.0,0,0,0,0,0,4,0,4,Australia,London,2009-06-19,female,T20,0,England,wickets,8,0,0,0,0,SC Taylor,20,England,Australia,England,field,Kennington Oval
3.4,LJ Poulton,KH Brunt,0,S Nitschke,"{'batsman': 4, 'extras': 0, 'total': 4}",0,0.0,0.0,0.0,0,0,0,0,0,4,0,4,Australia,London,2009-06-19,female,T20,0,England,wickets,8,0,0,0,0,SC Taylor,20,England,Australia,England,field,Kennington Oval
3.5,LJ Poulton,KH Brunt,0,S Nitschke,"{'batsman': 0, 'extras': 0, 'total': 0}",0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,Australia,London,2009-06-19,female,T20,0,England,wickets,8,0,0,0,0,SC Taylor,20,England,Australia,England,field,Kennington Oval
