delivery,batsman,bowler,extras_dict,non_striker,runs_dict,wicket_dict,wides,noballs,legbyes,byes,penalty,kind,player_out,fielders,runs,extras,total,team,city,date,gender,match_type,neutral_venue,winner,winType,winMargin,result,resultHow,resultTeam,non_boundary,ManOfMatch,overs,team1,team2,tossWinner,tossDecision,venue
0.1,PA Patel,TT Bresnan,{'wides': 1},AM Rahane,"{'batsman': 0, 'extras': 1, 'total': 1}",0,1.0,0,0.0,0,0,0,0,0,0,1,1,India,Manchester,2011-08-31,male,T20,0,England,wickets,6,0,0,0,0,JW Dernbach,20,England,India,India,bat,Old Trafford
0.2,PA Patel,TT Bresnan,0,AM Rahane,"{'batsman': 4, 'extras': 0, 'total': 4}",0,0.0,0,0.0,0,0,0,0,0,4,0,4,India,Manchester,2011-08-31,male,T20,0,England,wickets,6,0,0,0,0,JW Dernbach,20,England,India,India,bat,Old Trafford
0.3,PA Patel,TT Bresnan,0,AM Rahane,"{'batsman': 0, 'extras': 0, 'total': 0}",0,0.0,0,0.0,0,0,0,0,0,0,0,0,India,Manchester,2011-08-31,male,T20,0,England,wickets,6,0,0,0,0,JW Dernbach,20,England,India,India,bat,Old Trafford
0.4,PA Patel,TT Bresnan,0,AM Rahane,"{'batsman': 0, 'extras': 0, 'total': 0}",0,0.0,0,0.0,0,0,0,0,0,0,0,0,India,Manchester,2011-08-31,male,T20,0,England,wickets,6,0,0,0,0,JW Dernbach,20,England,India,India,bat,Old Trafford
0.5,PA Patel,TT Bresnan,0,AM Rahane,"{'batsman': 0, 'extras': 0, 'total': 0}",0,0.0,0,0.0,0,0,0,0,0,0,0,0,India,Manchester,2011-08-31,male,T20,0,England,wickets,6,0,0,0,0,JW Dernbach,20,England,India,India,bat,Old Trafford
0.6,PA Patel,TT Bresnan,0,AM Rahane,"{'batsman': 1, 'extras': 0, 'total': 1}",0,0.0,0,0.0,0,0,0,0,0,1,0,1,India,Manchester,2011-08-31,male,T20,0,England,wickets,6,0,0,0,0,JW Dernbach,20,England,India,India,bat,Old Trafford
0.7,AM Rahane,TT Bresnan,{'legbyes': 1},PA Patel,"{'batsman': 0, 'extras': 1, 'total': 1}",0,0.0,0,1.0,0,0,0,0,0,0,1,1,India,Manchester,2011-08-31,male,T20,0,England,wickets,6,0,0,0,0,JW Dernbach,20,England,India,India,bat,Old Trafford
1.1,AM Rahane,JW Dernbach,0,PA Patel,"{'batsman': 0, 'extras': 0, 'total': 0}",0,0.0,0,0.0,0,0,0,0,0,0,0,0,India,Manchester,2011-08-31,male,T20,0,England,wickets,6,0,0,0,0,JW Dernbach,20,England,India,India,bat,Old Trafford
1.2,AM Rahane,JW Dernbach,0,PA Patel,"{'batsman': 4, 'extras': 0, 'total': 4}",0,0.0,0,0.0,0,0,0,0,0,4,0,4,India,Manchester,2011-08-31,male,T20,0,England,wickets,6,0,0,0,0,JW Dernbach,20,England,India,India,bat,Old Trafford
1.3,AM Rahane,JW Dernbach,0,PA Patel,"{'batsman': 1, 'extras': 0, 'total': 1}",0,0.0,0,0.0,0,0,0,0,0,1,0,1,India,Manchester,2011-08-31,male,T20,0,England,wickets,6,0,0,0,0,JW Dernbach,20,England,India,India,bat,Old Trafford
1.4,PA Patel,JW Dernbach,0,AM Rahane,"{'batsman': 1, 'extras': 0, 'total': 1}",0,0.0,0,0.0,0,0,0,0,0,1,0,1,India,Manchester,2011-08-31,male,T20,0,England,wickets,6,0,0,0,0,JW Dernbach,20,England,India,India,bat,Old Trafford
1.5,AM Rahane,JW Dernbach,0,PA Patel,"{'batsman': 1, 'extras': 0, 'total': 1}",0,0.0,0,0.0,0,0,0,0,0,1,0,1,India,Manchester,2011-08-31,male,T20,0,England,wickets,6,0,0,0,0,JW Dernbach,20,England,India,India,bat,Old Trafford
1.6,PA Patel,JW Dernbach,0,AM Rahane,"{'batsman': 0, 'extras': 0, 'total': 0}",0,0.0,0,0.0,0,0,0,0,0,0,0,0,India,Manchester,2011-08-31,male,T20,0,England,wickets,6,0,0,0,0,JW Dernbach,20,England,India,India,bat,Old Trafford
2.1,AM Rahane,TT Bresnan,0,PA Patel,"{'batsman': 0, 'extras': 0, 'total': 0}",0,0.0,0,0.0,0,0,0,0,0,0,0,0,India,Manchester,2011-08-31,male,T20,0,England,wickets,6,0,0,0,0,JW Dernbach,20,England,India,India,bat,Old Trafford
2.2,AM Rahane,TT Bresnan,0,PA Patel,"{'batsman': 4, 'extras': 0, 'total': 4}",0,0.0,0,0.0,0,0,0,0,0,4,0,4,India,Manchester,2011-08-31,male,T20,0,England,wickets,6,0,0,0,0,JW Dernbach,20,England,India,India,bat,Old Trafford
2.3,AM Rahane,TT Bresnan,0,PA Patel,"{'batsman': 1, 'extras': 0, 'total': 1}",0,0.0,0,0.0,0,0,0,0,0,1,0,1,India,Manchester,2011-08-31,male,T20,0,England,wickets,6,0,0,0,0,JW Dernbach,20,England,India,India,bat,Old Trafford
2.4,PA Patel,TT Bresnan,0,AM Rahane,"{'batsman': 4, 'extras': 0, 'total': 4}",0,0.0,0,0.0,0,0,0,0,0,4,0,4,India,Manchester,2011-08-31,male,T20,0,England,wickets,6,0,0,0,0,JW Dernbach,20,England,India,India,bat,Old Trafford
2.5,PA Patel,TT Bresnan,0,AM Rahane,"{'batsman': 0, 'extras': 0, 'total': 0}",0,0.0,0,0.0,0,0,0,0,0,0,0,0,India,Manchester,2011-08-31,male,T20,0,England,wickets,6,0,0,0,0,JW Dernbach,20,England,India,India,bat,Old Trafford
2.6,PA Patel,TT Bresnan,0,AM Rahane,"{'batsman': 0, 'extras': 0, 'total': 0}",0,0.0,0,0.0,0,0,0,0,0,0,0,0,India,Manchester,2011-08-31,male,T20,0,England,wickets,6,0,0,0,0,JW Dernbach,20,England,India,India,bat,Old Trafford
3.1,AM Rahane,SCJ Broad,0,PA Patel,"{'batsman': 2, 'extras': 0, 'total': 2}",0,0.0,0,0.0,0,0,0,0,0,2,0,2,India,Manchester,2011-08-31,male,T20,0,England,wickets,6,0,0,0,0,JW Dernbach,20,England,India,India,bat,Old Trafford
3.2,AM Rahane,SCJ Broad,0,PA Patel,"{'batsman': 4, 'extras': 0, 'total': 4}",0,0.0,0,0.0,0,0,0,0,0,4,0,4,India,Manchester,2011-08-31,male,T20,0,England,wickets,6,0,0,0,0,JW Dernbach,20,England,India,India,bat,Old Trafford
3.3,AM Rahane,SCJ Broad,0,PA Patel,"{'batsman': 0, 'extras': 0, 'total': 0}",0,0.0,0,0.0,0,0,0,0,0,0,0,0,India,Manchester,2011-08-31,male,T20,0,England,wickets,6,0,0,0,0,JW Dernbach,20,England,India,India,bat,Old Trafford
3.4,AM Rahane,SCJ Broad,0,PA Patel,"{'batsman': 4, 'extras': 0, 'total': 4}",0,0.0,0,0.0,0,0,0,0,0,4,0,4,India,Manchester,2011-08-31,male,T20,0,England,wickets,6,0,0,0,0,JW Dernbach,20,England,India,India,bat,Old Trafford
3.5,AM Rahane,SCJ Broad,0,PA Patel,"{'batsman': 1, 'extras': 0, 'total': 1}",0,0.0,0,0.0,0,0,0,0,0,1,0,1,India,Manchester,2011-08-31,male,T20,0,England,wickets,6,0,0,0,0,JW Dernbach,20,England,India,India,bat,Old Trafford
3.6,PA Patel,SCJ Broad,0,AM Rahane,"{'batsman': 0, 'extras': 0, 'total': 0}",0,0.0,0,0.0,0,0,0,0,0,0,0,0,India,Manchester,2011-08-31,male,T20,0,England,wickets,6,0,0,0,0,JW Dernbach,20,England,India,India,bat,Old Trafford
4.1,AM Rahane,JW Dernbach,0,PA Patel,"{'batsman': 4, 'extras': 0, 'total': 4}",0,0.0,0,0.0,0,0,0,0,0,4,0,4,India,Manchester,2011-08-31,male,T20,0,England,wickets,6,0,0,0,0,JW Dernbach,20,England,India,India,bat,Old Trafford
4.2,AM Rahane,JW Dernbach,0,PA Patel,"{'batsman': 0, 'extras': 0, 'total': 0}",0,0.0,0,0.0,0,0,0,0,0,0,0,0,India,Manchester,2011-08-31,male,T20,0,England,wickets,6,0,0,0,0,JW Dernbach,20,England,India,India,bat,Old Trafford
4.3,AM Rahane,JW Dernbach,0,PA Patel,"{'batsman': 1, 'extras': 0, 'total': 1}",0,0.0,0,0.0,0,0,0,0,0,1,0,1,India,Manchester,2011-08-31,male,T20,0,England,wickets,6,0,0,0,0,JW Dernbach,20,England,India,India,bat,Old Trafford
4.4,PA Patel,JW Dernbach,0,AM Rahane,"{'batsman': 0, 'extras': 0, 'total': 0}","{'fielders': ['SCJ Broad'], 'kind': 'caught', 'player_out': 'PA Patel'}",0.0,0,0.0,0,0,caught,PA Patel,['SCJ Broad'],0,0,0,India,Manchester,2011-08-31,male,T20,0,England,wickets,6,0,0,0,0,JW Dernbach,20,England,India,India,bat,Old Trafford
4.5,R Dravid,JW Dernbach,0,AM Rahane,"{'batsman': 0, 'extras': 0, 'total': 0}",0,0.0,0,0.0,0,0,0,0,0,0,0,0,India,Manchester,2011-08-31,male,T20,0,England,wickets,6,0,0,0,0,JW Dernbach,20,England,India,India,bat,Old Trafford
4.6,R Dravid,JW Dernbach,0,AM Rahane,"{'batsman': 1, 'extras': 0, 'total': 1}",0,0.0,0,0.0,0,0,0,0,0,1,0,1,India,Manchester,2011-08-31,male,T20,0,England,wickets,6,0,0,0,0,JW Dernbach,20,England,India,India,bat,Old Trafford
5.1,R Dravid,SCJ Broad,0,AM Rahane,"{'batsman': 0, 'extras': 0, 'total': 0}",0,0.0,0,0.0,0,0,0,0,0,0,0,0,India,Manchester,2011-08-31,male,T20,0,England,wickets,6,0,0,0,0,JW Dernbach,20,England,India,India,bat,Old Trafford
5.2,R Dravid,SCJ Broad,0,AM Rahane,"{'batsman': 0, 'extras': 0, 'total': 0}",0,0.0,0,0.0,0,0,0,0,0,0,0,0,India,Manchester,2011-08-31,male,T20,0,England,wickets,6,0,0,0,0,JW Dernbach,20,England,India,India,bat,Old Trafford
5.3,R Dravid,SCJ Broad,0,AM Rahane,"{'batsman': 1, 'extras': 0, 'total': 1}",0,0.0,0,0.0,0,0,0,0,0,1,0,1,India,Manchester,2011-08-31,male,T20,0,England,wickets,6,0,0,0,0,JW Dernbach,20,England,India,India,bat,Old Trafford
5.4,AM Rahane,SCJ Broad,0,R Dravid,"{'batsman': 0, 'extras': 0, 'total': 0}",0,0.0,0,0.0,0,0,0,0,0,0,0,0,India,Manchester,2011-08-31,male,T20,0,England,wickets,6,0,0,0,0,JW Dernbach,20,England,India,India,bat,Old Trafford
5.5,AM Rahane,SCJ Broad,0,R Dravid,"{'batsman': 4, 'extras': 0, 'total': 4}",0,0.0,0,0.0,0,0,0,0,0,4,0,4,India,Manchester,2011-08-31,male,T20,0,England,wickets,6,0,0,0,0,JW Dernbach,20,England,India,India,bat,Old Trafford
5.6,AM Rahane,SCJ Broad,0,R Dravid,"{'batsman': 4, 'extras': 0, 'total': 4}",0,0.0,0,0.0,0,0,0,0,0,4,0,4,India,Manchester,2011-08-31,male,T20,0,England,wickets,6,0,0,0,0,JW Dernbach,20,England,India,India,bat,Old Trafford
6.1,R Dravid,SR Patel,0,AM Rahane,"{'batsman': 0, 'extras': 0, 'total': 0}",0,0.0,0,0.0,0,0,0,0,0,0,0,0,India,Manchester,2011-08-31,male,T20,0,England,wickets,6,0,0,0,0,JW Dernbach,20,England,India,India,bat,Old Trafford
6.2,R Dravid,SR Patel,0,AM Rahane,"{'batsman': 1, 'extras': 0, 'total': 1}",0,0.0,0,0.0,0,0,0,0,0,1,0,1,India,Manchester,2011-08-31,male,T20,0,England,wickets,6,0,0,0,0,JW Dernbach,20,England,India,India,bat,Old Trafford
6.3,AM Rahane,SR Patel,0,R Dravid,"{'batsman': 1, 'extras': 0, 'total': 1}",0,0.0,0,0.0,0,0,0,0,0,1,0,1,India,Manchester,2011-08-31,male,T20,0,England,wickets,6,0,0,0,0,JW Dernbach,20,England,India,India,bat,Old Trafford
6.4,R Dravid,SR Patel,0,AM Rahane,"{'batsman': 1, 'extras': 0, 'total': 1}",0,0.0,0,0.0,0,0,0,0,0,1,0,1,India,Manchester,2011-08-31,male,T20,0,England,wickets,6,0,0,0,0,JW Dernbach,20,England,India,India,bat,Old Trafford
6.5,AM Rahane,SR Patel,0,R Dravid,"{'batsman': 2, 'extras': 0, 'total': 2}",0,0.0,0,0.0,0,0,0,0,0,2,0,2,India,Manchester,2011-08-31,male,T20,0,England,wickets,6,0,0,0,0,JW Dernbach,20,England,India,India,bat,Old Trafford
6.6,AM Rahane,SR Patel,0,R Dravid,"{'batsman': 1, 'extras': 0, 'total': 1}",0,0.0,0,0.0,0,0,0,0,0,1,0,1,India,Manchester,2011-08-31,male,T20,0,England,wickets,6,0,0,0,0,JW Dernbach,20,England,India,India,bat,Old Trafford
7.1,AM Rahane,GP Swann,0,R Dravid,"{'batsman': 1, 'extras': 0, 'total': 1}",0,0.0,0,0.0,0,0,0,0,0,1,0,1,India,Manchester,2011-08-31,male,T20,0,England,wickets,6,0,0,0,0,JW Dernbach,20,England,India,India,bat,Old Trafford
7.2,R Dravid,GP Swann,0,AM Rahane,"{'batsman': 1, 'extras': 0, 'total': 1}",0,0.0,0,0.0,0,0,0,0,0,1,0,1,India,Manchester,2011-08-31,male,T20,0,England,wickets,6,0,0,0,0,JW Dernbach,20,England,India,India,bat,Old Trafford
7.3,AM Rahane,GP Swann,0,R Dravid,"{'batsman': 4, 'extras': 0, 'total': 4}",0,0.0,0,0.0,0,0,0,0,0,4,0,4,India,Manchester,2011-08-31,male,T20,0,England,wickets,6,0,0,0,0,JW Dernbach,20,England,India,India,bat,Old Trafford
7.4,AM Rahane,GP Swann,0,R Dravid,"{'batsman': 2, 'extras': 0, 'total': 2}",0,0.0,0,0.0,0,0,0,0,0,2,0,2,India,Manchester,2011-08-31,male,T20,0,England,wickets,6,0,0,0,0,JW Dernbach,20,England,India,India,bat,Old Trafford
7.5,AM Rahane,GP Swann,0,R Dravid,"{'batsman': 1, 'extras': 0, 'total': 1}",0,0.0,0,0.0,0,0,0,0,0,1,0,1,India,Manchester,2011-08-31,male,T20,0,England,wickets,6,0,0,0,0,JW Dernbach,20,England,India,India,bat,Old Trafford
7.6,R Dravid,GP Swann,0,AM Rahane,"{'batsman': 1, 'extras': 0, 'total': 1}",0,0.0,0,0.0,0,0,0,0,0,1,0,1,India,Manchester,2011-08-31,male,T20,0,England,wickets,6,0,0,0,0,JW Dernbach,20,England,India,India,bat,Old Trafford
8.1,R Dravid,SR Patel,0,AM Rahane,"{'batsman': 1, 'extras': 0, 'total': 1}",0,0.0,0,0.0,0,0,0,0,0,1,0,1,India,Manchester,2011-08-31,male,T20,0,England,wickets,6,0,0,0,0,JW Dernbach,20,England,India,India,bat,Old Trafford
8.2,AM Rahane,SR Patel,0,R Dravid,"{'batsman': 0, 'extras': 0, 'total': 0}",0,0.0,0,0.0,0,0,0,0,0,0,0,0,India,Manchester,2011-08-31,male,T20,0,England,wickets,6,0,0,0,0,JW Dernbach,20,England,India,India,bat,Old Trafford
8.3,AM Rahane,SR Patel,0,R Dravid,"{'batsman': 1, 'extras': 0, 'total': 1}",0,0.0,0,0.0,0,0,0,0,0,1,0,1,India,Manchester,2011-08-31,male,T20,0,England,wickets,6,0,0,0,0,JW Dernbach,20,England,India,India,bat,Old Trafford
8.4,R Dravid,SR Patel,0,AM Rahane,"{'batsman': 1, 'extras': 0, 'total': 1}",0,0.0,0,0.0,0,0,0,0,0,1,0,1,India,Manchester,2011-08-31,male,T20,0,England,wickets,6,0,0,0,0,JW Dernbach,20,England,India,India,bat,Old Trafford
8.5,AM Rahane,SR Patel,0,R Dravid,"{'batsman': 2, 'extras': 0, 'total': 2}",0,0.0,0,0.0,0,0,0,0,0,2,0,2,India,Manchester,2011-08-31,male,T20,0,England,wickets,6,0,0,0,0,JW Dernbach,20,England,India,India,bat,Old Trafford
8.6,AM Rahane,SR Patel,0,R Dravid,"{'batsman': 1, 'extras': 0, 'total': 1}",0,0.0,0,0.0,0,0,0,0,0,1,0,1,India,Manchester,2011-08-31,male,T20,0,England,wickets,6,0,0,0,0,JW Dernbach,20,England,India,India,bat,Old Trafford
9.1,AM Rahane,GP Swann,0,R Dravid,"{'batsman': 2, 'extras': 0, 'total': 2}",0,0.0,0,0.0,0,0,0,0,0,2,0,2,India,Manchester,2011-08-31,male,T20,0,England,wickets,6,0,0,0,0,JW Dernbach,20,England,India,India,bat,Old Trafford
9.2,AM Rahane,GP Swann,0,R Dravid,"{'batsman': 1, 'extras': 0, 'total': 1}",0,0.0,0,0.0,0,0,0,0,0,1,0,1,India,Manchester,2011-08-31,male,T20,0,England,wickets,6,0,0,0,0,JW Dernbach,20,England,India,India,bat,Old Trafford
9.3,R Dravid,GP Swann,0,AM Rahane,"{'batsman': 1, 'extras': 0, 'total': 1}",0,0.0,0,0.0,0,0,0,0,0,1,0,1,India,Manchester,2011-08-31,male,T20,0,England,wickets,6,0,0,0,0,JW Dernbach,20,England,India,India,bat,Old Trafford
9.4,AM Rahane,GP Swann,0,R Dravid,"{'batsman': 2, 'extras': 0, 'total': 2}",0,0.0,0,0.0,0,0,0,0,0,2,0,2,India,Manchester,2011-08-31,male,T20,0,England,wickets,6,0,0,0,0,JW Dernbach,20,England,India,India,bat,Old Trafford
9.5,AM Rahane,GP Swann,0,R Dravid,"{'batsman': 1, 'extras': 0, 'total': 1}",0,0.0,0,0.0,0,0,0,0,0,1,0,1,India,Manchester,2011-08-31,male,T20,0,England,wickets,6,0,0,0,0,JW Dernbach,20,England,India,India,bat,Old Trafford
9.6,R Dravid,GP Swann,0,AM Rahane,"{'batsman': 1, 'extras': 0, 'total': 1}",0,0.0,0,0.0,0,0,0,0,0,1,0,1,India,Manchester,2011-08-31,male,T20,0,England,wickets,6,0,0,0,0,JW Dernbach,20,England,India,India,bat,Old Trafford
10.1,R Dravid,SR Patel,0,AM Rahane,"{'batsman': 1, 'extras': 0, 'total': 1}",0,0.0,0,0.0,0,0,0,0,0,1,0,1,India,Manchester,2011-08-31,male,T20,0,England,wickets,6,0,0,0,0,JW Dernbach,20,England,India,India,bat,Old Trafford
10.2,AM Rahane,SR Patel,0,R Dravid,"{'batsman': 1, 'extras': 0, 'total': 1}",0,0.0,0,0.0,0,0,0,0,0,1,0,1,India,Manchester,2011-08-31,male,T20,0,England,wickets,6,0,0,0,0,JW Dernbach,20,England,India,India,bat,Old Trafford
10.3,R Dravid,SR Patel,0,AM Rahane,"{'batsman': 2, 'extras': 0, 'total': 2}",0,0.0,0,0.0,0,0,0,0,0,2,0,2,India,Manchester,2011-08-31,male,T20,0,England,wickets,6,0,0,0,0,JW Dernbach,20,England,India,India,bat,Old Trafford
10.4,R Dravid,SR Patel,0,AM Rahane,"{'batsman': 6, 'extras': 0, 'total': 6}",0,0.0,0,0.0,0,0,0,0,0,6,0,6,India,Manchester,2011-08-31,male,T20,0,England,wickets,6,0,0,0,0,JW Dernbach,20,England,India,India,bat,Old Trafford
