delivery,batsman,bowler,extras_dict,non_striker,runs_dict,wicket_dict,wides,noballs,legbyes,byes,penalty,kind,player_out,fielders,runs,extras,total,team,city,date,gender,match_type,neutral_venue,winner,winType,winMargin,result,resultHow,resultTeam,non_boundary,ManOfMatch,overs,team1,team2,tossWinner,tossDecision,venue
0.1,MR Swart,MM Ali,0,SJ Myburgh,"{'batsman': 1, 'extras': 0, 'total': 1}",0,0.0,0,0.0,0.0,0,0,0,0,1,0,1,Netherlands,Chittagong,2014-03-31,male,T20,1,Netherlands,runs,45,0,0,0,0,Mudassar Bukhari,20,England,Netherlands,England,field,Zahur Ahmed Chowdhury Stadium
0.2,SJ Myburgh,MM Ali,0,MR Swart,"{'batsman': 4, 'extras': 0, 'total': 4}",0,0.0,0,0.0,0.0,0,0,0,0,4,0,4,Netherlands,Chittagong,2014-03-31,male,T20,1,Netherlands,runs,45,0,0,0,0,Mudassar Bukhari,20,England,Netherlands,England,field,Zahur Ahmed Chowdhury Stadium
0.3,SJ Myburgh,MM Ali,0,MR Swart,"{'batsman': 4, 'extras': 0, 'total': 4}",0,0.0,0,0.0,0.0,0,0,0,0,4,0,4,Netherlands,Chittagong,2014-03-31,male,T20,1,Netherlands,runs,45,0,0,0,0,Mudassar Bukhari,20,England,Netherlands,England,field,Zahur Ahmed Chowdhury Stadium
0.4,SJ Myburgh,MM Ali,0,MR Swart,"{'batsman': 0, 'extras': 0, 'total': 0}",0,0.0,0,0.0,0.0,0,0,0,0,0,0,0,Netherlands,Chittagong,2014-03-31,male,T20,1,Netherlands,runs,45,0,0,0,0,Mudassar Bukhari,20,England,Netherlands,England,field,Zahur Ahmed Chowdhury Stadium
0.5,SJ Myburgh,MM Ali,0,MR Swart,"{'batsman': 4, 'extras': 0, 'total': 4}",0,0.0,0,0.0,0.0,0,0,0,0,4,0,4,Netherlands,Chittagong,2014-03-31,male,T20,1,Netherlands,runs,45,0,0,0,0,Mudassar Bukhari,20,England,Netherlands,England,field,Zahur Ahmed Chowdhury Stadium
0.6,SJ Myburgh,MM Ali,0,MR Swart,"{'batsman': 0, 'extras': 0, 'total': 0}",0,0.0,0,0.0,0.0,0,0,0,0,0,0,0,Netherlands,Chittagong,2014-03-31,male,T20,1,Netherlands,runs,45,0,0,0,0,Mudassar Bukhari,20,England,Netherlands,England,field,Zahur Ahmed Chowdhury Stadium
1.1,MR Swart,TT Bresnan,0,SJ Myburgh,"{'batsman': 0, 'extras': 0, 'total': 0}",0,0.0,0,0.0,0.0,0,0,0,0,0,0,0,Netherlands,Chittagong,2014-03-31,male,T20,1,Netherlands,runs,45,0,0,0,0,Mudassar Bukhari,20,England,Netherlands,England,field,Zahur Ahmed Chowdhury Stadium
1.2,MR Swart,TT Bresnan,0,SJ Myburgh,"{'batsman': 0, 'extras': 0, 'total': 0}",0,0.0,0,0.0,0.0,0,0,0,0,0,0,0,Netherlands,Chittagong,2014-03-31,male,T20,1,Netherlands,runs,45,0,0,0,0,Mudassar Bukhari,20,England,Netherlands,England,field,Zahur Ahmed Chowdhury Stadium
1.3,MR Swart,TT Bresnan,0,SJ Myburgh,"{'batsman': 0, 'extras': 0, 'total': 0}",0,0.0,0,0.0,0.0,0,0,0,0,0,0,0,Netherlands,Chittagong,2014-03-31,male,T20,1,Netherlands,runs,45,0,0,0,0,Mudassar Bukhari,20,England,Netherlands,England,field,Zahur Ahmed Chowdhury Stadium
1.4,MR Swart,TT Bresnan,0,SJ Myburgh,"{'batsman': 4, 'extras': 0, 'total': 4}",0,0.0,0,0.0,0.0,0,0,0,0,4,0,4,Netherlands,Chittagong,2014-03-31,male,T20,1,Netherlands,runs,45,0,0,0,0,Mudassar Bukhari,20,England,Netherlands,England,field,Zahur Ahmed Chowdhury Stadium
