delivery,batsman,bowler,extras_dict,non_striker,runs_dict,wicket_dict,wides,noballs,legbyes,byes,penalty,kind,player_out,fielders,runs,extras,total,team,city,date,gender,match_type,neutral_venue,winner,winType,winMargin,result,resultHow,resultTeam,non_boundary,ManOfMatch,overs,team1,team2,tossWinner,tossDecision,venue
0.1,L Winfield,Aiman Anwer,0,TT Beaumont,"{'batsman': 4, 'extras': 0, 'total': 4}",0,0.0,0.0,0,0,0,0,0,0,4,0,4,England,Southampton,2016-07-05,female,T20,0,England,runs,35,0,0,0,0,FC Wilson,20,England,Pakistan,England,bat,The Rose Bowl
0.2,L Winfield,Aiman Anwer,0,TT Beaumont,"{'batsman': 4, 'extras': 0, 'total': 4}",0,0.0,0.0,0,0,0,0,0,0,4,0,4,England,Southampton,2016-07-05,female,T20,0,England,runs,35,0,0,0,0,FC Wilson,20,England,Pakistan,England,bat,The Rose Bowl
0.3,L Winfield,Aiman Anwer,0,TT Beaumont,"{'batsman': 0, 'extras': 0, 'total': 0}",0,0.0,0.0,0,0,0,0,0,0,0,0,0,England,Southampton,2016-07-05,female,T20,0,England,runs,35,0,0,0,0,FC Wilson,20,England,Pakistan,England,bat,The Rose Bowl
0.4,L Winfield,Aiman Anwer,0,TT Beaumont,"{'batsman': 4, 'extras': 0, 'total': 4}",0,0.0,0.0,0,0,0,0,0,0,4,0,4,England,Southampton,2016-07-05,female,T20,0,England,runs,35,0,0,0,0,FC Wilson,20,England,Pakistan,England,bat,The Rose Bowl
0.5,L Winfield,Aiman Anwer,0,TT Beaumont,"{'batsman': 1, 'extras': 0, 'total': 1}",0,0.0,0.0,0,0,0,0,0,0,1,0,1,England,Southampton,2016-07-05,female,T20,0,England,runs,35,0,0,0,0,FC Wilson,20,England,Pakistan,England,bat,The Rose Bowl
0.6,TT Beaumont,Aiman Anwer,0,L Winfield,"{'batsman': 0, 'extras': 0, 'total': 0}",0,0.0,0.0,0,0,0,0,0,0,0,0,0,England,Southampton,2016-07-05,female,T20,0,England,runs,35,0,0,0,0,FC Wilson,20,England,Pakistan,England,bat,The Rose Bowl
1.1,L Winfield,Anam Amin,0,TT Beaumont,"{'batsman': 1, 'extras': 0, 'total': 1}",0,0.0,0.0,0,0,0,0,0,0,1,0,1,England,Southampton,2016-07-05,female,T20,0,England,runs,35,0,0,0,0,FC Wilson,20,England,Pakistan,England,bat,The Rose Bowl
1.2,TT Beaumont,Anam Amin,0,L Winfield,"{'batsman': 0, 'extras': 0, 'total': 0}",0,0.0,0.0,0,0,0,0,0,0,0,0,0,England,Southampton,2016-07-05,female,T20,0,England,runs,35,0,0,0,0,FC Wilson,20,England,Pakistan,England,bat,The Rose Bowl
1.3,TT Beaumont,Anam Amin,0,L Winfield,"{'batsman': 0, 'extras': 0, 'total': 0}",0,0.0,0.0,0,0,0,0,0,0,0,0,0,England,Southampton,2016-07-05,female,T20,0,England,runs,35,0,0,0,0,FC Wilson,20,England,Pakistan,England,bat,The Rose Bowl
1.4,TT Beaumont,Anam Amin,0,L Winfield,"{'batsman': 0, 'extras': 0, 'total': 0}",0,0.0,0.0,0,0,0,0,0,0,0,0,0,England,Southampton,2016-07-05,female,T20,0,England,runs,35,0,0,0,0,FC Wilson,20,England,Pakistan,England,bat,The Rose Bowl
1.5,TT Beaumont,Anam Amin,0,L Winfield,"{'batsman': 1, 'extras': 0, 'total': 1}",0,0.0,0.0,0,0,0,0,0,0,1,0,1,England,Southampton,2016-07-05,female,T20,0,England,runs,35,0,0,0,0,FC Wilson,20,England,Pakistan,England,bat,The Rose Bowl
1.6,L Winfield,Anam Amin,0,TT Beaumont,"{'batsman': 0, 'extras': 0, 'total': 0}",0,0.0,0.0,0,0,0,0,0,0,0,0,0,England,Southampton,2016-07-05,female,T20,0,England,runs,35,0,0,0,0,FC Wilson,20,England,Pakistan,England,bat,The Rose Bowl
2.1,TT Beaumont,Aiman Anwer,0,L Winfield,"{'batsman': 0, 'extras': 0, 'total': 0}",0,0.0,0.0,0,0,0,0,0,0,0,0,0,England,Southampton,2016-07-05,female,T20,0,England,runs,35,0,0,0,0,FC Wilson,20,England,Pakistan,England,bat,The Rose Bowl
2.2,TT Beaumont,Aiman Anwer,0,L Winfield,"{'batsman': 4, 'extras': 0, 'total': 4}",0,0.0,0.0,0,0,0,0,0,0,4,0,4,England,Southampton,2016-07-05,female,T20,0,England,runs,35,0,0,0,0,FC Wilson,20,England,Pakistan,England,bat,The Rose Bowl
2.3,TT Beaumont,Aiman Anwer,0,L Winfield,"{'batsman': 0, 'extras': 0, 'total': 0}",0,0.0,0.0,0,0,0,0,0,0,0,0,0,England,Southampton,2016-07-05,female,T20,0,England,runs,35,0,0,0,0,FC Wilson,20,England,Pakistan,England,bat,The Rose Bowl
2.4,TT Beaumont,Aiman Anwer,0,L Winfield,"{'batsman': 0, 'extras': 0, 'total': 0}",0,0.0,0.0,0,0,0,0,0,0,0,0,0,England,Southampton,2016-07-05,female,T20,0,England,runs,35,0,0,0,0,FC Wilson,20,England,Pakistan,England,bat,The Rose Bowl
2.5,TT Beaumont,Aiman Anwer,0,L Winfield,"{'batsman': 0, 'extras': 0, 'total': 0}",0,0.0,0.0,0,0,0,0,0,0,0,0,0,England,Southampton,2016-07-05,female,T20,0,England,runs,35,0,0,0,0,FC Wilson,20,England,Pakistan,England,bat,The Rose Bowl
2.6,TT Beaumont,Aiman Anwer,0,L Winfield,"{'batsman': 0, 'extras': 0, 'total': 0}","{'kind': 'lbw', 'player_out': 'TT Beaumont'}",0.0,0.0,0,0,0,lbw,TT Beaumont,0,0,0,0,England,Southampton,2016-07-05,female,T20,0,England,runs,35,0,0,0,0,FC Wilson,20,England,Pakistan,England,bat,The Rose Bowl
