delivery,batsman,bowler,extras_dict,non_striker,runs_dict,wicket_dict,wides,noballs,legbyes,byes,penalty,kind,player_out,fielders,runs,extras,total,team,city,date,gender,match_type,neutral_venue,winner,winType,winMargin,result,resultHow,resultTeam,non_boundary,ManOfMatch,overs,team1,team2,tossWinner,tossDecision,venue
0.1,CM Edwards,S Ismail,{'legbyes': 4},L Winfield,"{'batsman': 0, 'extras': 4, 'total': 4}",0,0.0,0.0,4.0,0,0,0,0,0,0,4,4,England,Birmingham,2014-09-07,female,T20,0,England,runs,8,0,0,0,0,L Winfield,20,England,South Africa,South Africa,field,Edgbaston
0.2,CM Edwards,S Ismail,0,L Winfield,"{'batsman': 4, 'extras': 0, 'total': 4}",0,0.0,0.0,0.0,0,0,0,0,0,4,0,4,England,Birmingham,2014-09-07,female,T20,0,England,runs,8,0,0,0,0,L Winfield,20,England,South Africa,South Africa,field,Edgbaston
0.3,CM Edwards,S Ismail,0,L Winfield,"{'batsman': 0, 'extras': 0, 'total': 0}",0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,England,Birmingham,2014-09-07,female,T20,0,England,runs,8,0,0,0,0,L Winfield,20,England,South Africa,South Africa,field,Edgbaston
0.4,CM Edwards,S Ismail,0,L Winfield,"{'batsman': 0, 'extras': 0, 'total': 0}",0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,England,Birmingham,2014-09-07,female,T20,0,England,runs,8,0,0,0,0,L Winfield,20,England,South Africa,South Africa,field,Edgbaston
0.5,CM Edwards,S Ismail,0,L Winfield,"{'batsman': 0, 'extras': 0, 'total': 0}",0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,England,Birmingham,2014-09-07,female,T20,0,England,runs,8,0,0,0,0,L Winfield,20,England,South Africa,South Africa,field,Edgbaston
0.6,CM Edwards,S Ismail,0,L Winfield,"{'batsman': 0, 'extras': 0, 'total': 0}",0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,England,Birmingham,2014-09-07,female,T20,0,England,runs,8,0,0,0,0,L Winfield,20,England,South Africa,South Africa,field,Edgbaston
1.1,L Winfield,M Daniels,0,CM Edwards,"{'batsman': 0, 'extras': 0, 'total': 0}",0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,England,Birmingham,2014-09-07,female,T20,0,England,runs,8,0,0,0,0,L Winfield,20,England,South Africa,South Africa,field,Edgbaston
1.2,L Winfield,M Daniels,0,CM Edwards,"{'batsman': 0, 'extras': 0, 'total': 0}",0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,England,Birmingham,2014-09-07,female,T20,0,England,runs,8,0,0,0,0,L Winfield,20,England,South Africa,South Africa,field,Edgbaston
1.3,L Winfield,M Daniels,0,CM Edwards,"{'batsman': 0, 'extras': 0, 'total': 0}",0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,England,Birmingham,2014-09-07,female,T20,0,England,runs,8,0,0,0,0,L Winfield,20,England,South Africa,South Africa,field,Edgbaston
1.4,L Winfield,M Daniels,0,CM Edwards,"{'batsman': 0, 'extras': 0, 'total': 0}",0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,England,Birmingham,2014-09-07,female,T20,0,England,runs,8,0,0,0,0,L Winfield,20,England,South Africa,South Africa,field,Edgbaston
