delivery,batsman,bowler,extras_dict,non_striker,runs_dict,wicket_dict,wides,noballs,legbyes,byes,penalty,kind,player_out,fielders,runs,extras,total,team,city,date,gender,match_type,neutral_venue,winner,winType,winMargin,result,resultHow,resultTeam,non_boundary,ManOfMatch,overs,team1,team2,tossWinner,tossDecision,venue
0.1,CM Edwards,SC Selman,{'noballs': 1},LA Marsh,"{'batsman': 0, 'extras': 1, 'total': 1}",0,0.0,1.0,0.0,0,0,0,0,0,0,1,1,England,Hove,2012-09-15,female,T20,0,England,runs,84,0,0,0,0,LS Greenway,20,England,West Indies,England,bat,County Ground
0.2,CM Edwards,SC Selman,0,LA Marsh,"{'batsman': 4, 'extras': 0, 'total': 4}",0,0.0,0.0,0.0,0,0,0,0,0,4,0,4,England,Hove,2012-09-15,female,T20,0,England,runs,84,0,0,0,0,LS Greenway,20,England,West Indies,England,bat,County Ground
0.3,CM Edwards,SC Selman,0,LA Marsh,"{'batsman': 0, 'extras': 0, 'total': 0}",0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,England,Hove,2012-09-15,female,T20,0,England,runs,84,0,0,0,0,LS Greenway,20,England,West Indies,England,bat,County Ground
0.4,CM Edwards,SC Selman,0,LA Marsh,"{'batsman': 0, 'extras': 0, 'total': 0}",0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,England,Hove,2012-09-15,female,T20,0,England,runs,84,0,0,0,0,LS Greenway,20,England,West Indies,England,bat,County Ground
0.5,CM Edwards,SC Selman,0,LA Marsh,"{'batsman': 0, 'extras': 0, 'total': 0}",0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,England,Hove,2012-09-15,female,T20,0,England,runs,84,0,0,0,0,LS Greenway,20,England,West Indies,England,bat,County Ground
0.6,CM Edwards,SC Selman,0,LA Marsh,"{'batsman': 1, 'extras': 0, 'total': 1}",0,0.0,0.0,0.0,0,0,0,0,0,1,0,1,England,Hove,2012-09-15,female,T20,0,England,runs,84,0,0,0,0,LS Greenway,20,England,West Indies,England,bat,County Ground
0.7,LA Marsh,SC Selman,0,CM Edwards,"{'batsman': 0, 'extras': 0, 'total': 0}",0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,England,Hove,2012-09-15,female,T20,0,England,runs,84,0,0,0,0,LS Greenway,20,England,West Indies,England,bat,County Ground
1.1,CM Edwards,SF Daley,0,LA Marsh,"{'batsman': 1, 'extras': 0, 'total': 1}",0,0.0,0.0,0.0,0,0,0,0,0,1,0,1,England,Hove,2012-09-15,female,T20,0,England,runs,84,0,0,0,0,LS Greenway,20,England,West Indies,England,bat,County Ground
1.2,LA Marsh,SF Daley,0,CM Edwards,"{'batsman': 0, 'extras': 0, 'total': 0}",0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,England,Hove,2012-09-15,female,T20,0,England,runs,84,0,0,0,0,LS Greenway,20,England,West Indies,England,bat,County Ground
1.3,LA Marsh,SF Daley,0,CM Edwards,"{'batsman': 0, 'extras': 0, 'total': 0}",0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,England,Hove,2012-09-15,female,T20,0,England,runs,84,0,0,0,0,LS Greenway,20,England,West Indies,England,bat,County Ground
1.4,LA Marsh,SF Daley,0,CM Edwards,"{'batsman': 0, 'extras': 0, 'total': 0}",0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,England,Hove,2012-09-15,female,T20,0,England,runs,84,0,0,0,0,LS Greenway,20,England,West Indies,England,bat,County Ground
1.5,LA Marsh,SF Daley,0,CM Edwards,"{'batsman': 0, 'extras': 0, 'total': 0}",0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,England,Hove,2012-09-15,female,T20,0,England,runs,84,0,0,0,0,LS Greenway,20,England,West Indies,England,bat,County Ground
1.6,LA Marsh,SF Daley,0,CM Edwards,"{'batsman': 0, 'extras': 0, 'total': 0}",0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,England,Hove,2012-09-15,female,T20,0,England,runs,84,0,0,0,0,LS Greenway,20,England,West Indies,England,bat,County Ground
2.1,CM Edwards,SC Selman,0,LA Marsh,"{'batsman': 1, 'extras': 0, 'total': 1}",0,0.0,0.0,0.0,0,0,0,0,0,1,0,1,England,Hove,2012-09-15,female,T20,0,England,runs,84,0,0,0,0,LS Greenway,20,England,West Indies,England,bat,County Ground
2.2,LA Marsh,SC Selman,0,CM Edwards,"{'batsman': 0, 'extras': 0, 'total': 0}",0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,England,Hove,2012-09-15,female,T20,0,England,runs,84,0,0,0,0,LS Greenway,20,England,West Indies,England,bat,County Ground
2.3,LA Marsh,SC Selman,0,CM Edwards,"{'batsman': 4, 'extras': 0, 'total': 4}",0,0.0,0.0,0.0,0,0,0,0,0,4,0,4,England,Hove,2012-09-15,female,T20,0,England,runs,84,0,0,0,0,LS Greenway,20,England,West Indies,England,bat,County Ground
