delivery,batsman,bowler,extras_dict,non_striker,runs_dict,wicket_dict,wides,noballs,legbyes,byes,penalty,kind,player_out,fielders,runs,extras,total,team,city,date,gender,match_type,neutral_venue,winner,winType,winMargin,result,resultHow,resultTeam,non_boundary,ManOfMatch,overs,team1,team2,tossWinner,tossDecision,venue
0.1,DL Maddy,E Chigumbura,0,MJ Prior,"{'batsman': 1, 'extras': 0, 'total': 1}",0,0.0,0,0.0,0,0,0,0,0,1,0,1,England,Cape Town,2007-09-13,male,T20,1,England,runs,50,0,0,0,0,KP Pietersen,20,England,Zimbabwe,England,bat,Newlands
0.2,MJ Prior,E Chigumbura,0,DL Maddy,"{'batsman': 1, 'extras': 0, 'total': 1}",0,0.0,0,0.0,0,0,0,0,0,1,0,1,England,Cape Town,2007-09-13,male,T20,1,England,runs,50,0,0,0,0,KP Pietersen,20,England,Zimbabwe,England,bat,Newlands
0.3,DL Maddy,E Chigumbura,0,MJ Prior,"{'batsman': 0, 'extras': 0, 'total': 0}",0,0.0,0,0.0,0,0,0,0,0,0,0,0,England,Cape Town,2007-09-13,male,T20,1,England,runs,50,0,0,0,0,KP Pietersen,20,England,Zimbabwe,England,bat,Newlands
0.4,DL Maddy,E Chigumbura,0,MJ Prior,"{'batsman': 1, 'extras': 0, 'total': 1}",0,0.0,0,0.0,0,0,0,0,0,1,0,1,England,Cape Town,2007-09-13,male,T20,1,England,runs,50,0,0,0,0,KP Pietersen,20,England,Zimbabwe,England,bat,Newlands
0.5,MJ Prior,E Chigumbura,0,DL Maddy,"{'batsman': 0, 'extras': 0, 'total': 0}",0,0.0,0,0.0,0,0,0,0,0,0,0,0,England,Cape Town,2007-09-13,male,T20,1,England,runs,50,0,0,0,0,KP Pietersen,20,England,Zimbabwe,England,bat,Newlands
0.6,MJ Prior,E Chigumbura,0,DL Maddy,"{'batsman': 0, 'extras': 0, 'total': 0}",0,0.0,0,0.0,0,0,0,0,0,0,0,0,England,Cape Town,2007-09-13,male,T20,1,England,runs,50,0,0,0,0,KP Pietersen,20,England,Zimbabwe,England,bat,Newlands
1.1,DL Maddy,GB Brent,0,MJ Prior,"{'batsman': 3, 'extras': 0, 'total': 3}",0,0.0,0,0.0,0,0,0,0,0,3,0,3,England,Cape Town,2007-09-13,male,T20,1,England,runs,50,0,0,0,0,KP Pietersen,20,England,Zimbabwe,England,bat,Newlands
1.2,MJ Prior,GB Brent,0,DL Maddy,"{'batsman': 0, 'extras': 0, 'total': 0}",0,0.0,0,0.0,0,0,0,0,0,0,0,0,England,Cape Town,2007-09-13,male,T20,1,England,runs,50,0,0,0,0,KP Pietersen,20,England,Zimbabwe,England,bat,Newlands
1.3,MJ Prior,GB Brent,0,DL Maddy,"{'batsman': 4, 'extras': 0, 'total': 4}",0,0.0,0,0.0,0,0,0,0,0,4,0,4,England,Cape Town,2007-09-13,male,T20,1,England,runs,50,0,0,0,0,KP Pietersen,20,England,Zimbabwe,England,bat,Newlands
1.4,MJ Prior,GB Brent,0,DL Maddy,"{'batsman': 1, 'extras': 0, 'total': 1}",0,0.0,0,0.0,0,0,0,0,0,1,0,1,England,Cape Town,2007-09-13,male,T20,1,England,runs,50,0,0,0,0,KP Pietersen,20,England,Zimbabwe,England,bat,Newlands
1.5,DL Maddy,GB Brent,0,MJ Prior,"{'batsman': 4, 'extras': 0, 'total': 4}",0,0.0,0,0.0,0,0,0,0,0,4,0,4,England,Cape Town,2007-09-13,male,T20,1,England,runs,50,0,0,0,0,KP Pietersen,20,England,Zimbabwe,England,bat,Newlands
1.6,DL Maddy,GB Brent,0,MJ Prior,"{'batsman': 1, 'extras': 0, 'total': 1}",0,0.0,0,0.0,0,0,0,0,0,1,0,1,England,Cape Town,2007-09-13,male,T20,1,England,runs,50,0,0,0,0,KP Pietersen,20,England,Zimbabwe,England,bat,Newlands
2.1,DL Maddy,E Chigumbura,0,MJ Prior,"{'batsman': 4, 'extras': 0, 'total': 4}",0,0.0,0,0.0,0,0,0,0,0,4,0,4,England,Cape Town,2007-09-13,male,T20,1,England,runs,50,0,0,0,0,KP Pietersen,20,England,Zimbabwe,England,bat,Newlands
2.2,DL Maddy,E Chigumbura,0,MJ Prior,"{'batsman': 0, 'extras': 0, 'total': 0}",0,0.0,0,0.0,0,0,0,0,0,0,0,0,England,Cape Town,2007-09-13,male,T20,1,England,runs,50,0,0,0,0,KP Pietersen,20,England,Zimbabwe,England,bat,Newlands
2.3,DL Maddy,E Chigumbura,0,MJ Prior,"{'batsman': 0, 'extras': 0, 'total': 0}","{'fielders': ['S Matsikenyeri'], 'kind': 'caught', 'player_out': 'DL Maddy'}",0.0,0,0.0,0,0,caught,DL Maddy,['S Matsikenyeri'],0,0,0,England,Cape Town,2007-09-13,male,T20,1,England,runs,50,0,0,0,0,KP Pietersen,20,England,Zimbabwe,England,bat,Newlands
2.4,LJ Wright,E Chigumbura,0,MJ Prior,"{'batsman': 0, 'extras': 0, 'total': 0}","{'fielders': ['BRM Taylor'], 'kind': 'caught', 'player_out': 'LJ Wright'}",0.0,0,0.0,0,0,caught,LJ Wright,['BRM Taylor'],0,0,0,England,Cape Town,2007-09-13,male,T20,1,England,runs,50,0,0,0,0,KP Pietersen,20,England,Zimbabwe,England,bat,Newlands
2.5,KP Pietersen,E Chigumbura,0,MJ Prior,"{'batsman': 0, 'extras': 0, 'total': 0}",0,0.0,0,0.0,0,0,0,0,0,0,0,0,England,Cape Town,2007-09-13,male,T20,1,England,runs,50,0,0,0,0,KP Pietersen,20,England,Zimbabwe,England,bat,Newlands
2.6,KP Pietersen,E Chigumbura,0,MJ Prior,"{'batsman': 0, 'extras': 0, 'total': 0}",0,0.0,0,0.0,0,0,0,0,0,0,0,0,England,Cape Town,2007-09-13,male,T20,1,England,runs,50,0,0,0,0,KP Pietersen,20,England,Zimbabwe,England,bat,Newlands
3.1,MJ Prior,T Mupariwa,0,KP Pietersen,"{'batsman': 4, 'extras': 0, 'total': 4}",0,0.0,0,0.0,0,0,0,0,0,4,0,4,England,Cape Town,2007-09-13,male,T20,1,England,runs,50,0,0,0,0,KP Pietersen,20,England,Zimbabwe,England,bat,Newlands
3.2,MJ Prior,T Mupariwa,0,KP Pietersen,"{'batsman': 0, 'extras': 0, 'total': 0}",0,0.0,0,0.0,0,0,0,0,0,0,0,0,England,Cape Town,2007-09-13,male,T20,1,England,runs,50,0,0,0,0,KP Pietersen,20,England,Zimbabwe,England,bat,Newlands
3.3,MJ Prior,T Mupariwa,0,KP Pietersen,"{'batsman': 1, 'extras': 0, 'total': 1}",0,0.0,0,0.0,0,0,0,0,0,1,0,1,England,Cape Town,2007-09-13,male,T20,1,England,runs,50,0,0,0,0,KP Pietersen,20,England,Zimbabwe,England,bat,Newlands
3.4,KP Pietersen,T Mupariwa,0,MJ Prior,"{'batsman': 0, 'extras': 0, 'total': 0}",0,0.0,0,0.0,0,0,0,0,0,0,0,0,England,Cape Town,2007-09-13,male,T20,1,England,runs,50,0,0,0,0,KP Pietersen,20,England,Zimbabwe,England,bat,Newlands
3.5,KP Pietersen,T Mupariwa,0,MJ Prior,"{'batsman': 1, 'extras': 0, 'total': 1}",0,0.0,0,0.0,0,0,0,0,0,1,0,1,England,Cape Town,2007-09-13,male,T20,1,England,runs,50,0,0,0,0,KP Pietersen,20,England,Zimbabwe,England,bat,Newlands
3.6,MJ Prior,T Mupariwa,0,KP Pietersen,"{'batsman': 2, 'extras': 0, 'total': 2}",0,0.0,0,0.0,0,0,0,0,0,2,0,2,England,Cape Town,2007-09-13,male,T20,1,England,runs,50,0,0,0,0,KP Pietersen,20,England,Zimbabwe,England,bat,Newlands
4.1,KP Pietersen,E Chigumbura,0,MJ Prior,"{'batsman': 3, 'extras': 0, 'total': 3}",0,0.0,0,0.0,0,0,0,0,0,3,0,3,England,Cape Town,2007-09-13,male,T20,1,England,runs,50,0,0,0,0,KP Pietersen,20,England,Zimbabwe,England,bat,Newlands
4.2,MJ Prior,E Chigumbura,0,KP Pietersen,"{'batsman': 1, 'extras': 0, 'total': 1}",0,0.0,0,0.0,0,0,0,0,0,1,0,1,England,Cape Town,2007-09-13,male,T20,1,England,runs,50,0,0,0,0,KP Pietersen,20,England,Zimbabwe,England,bat,Newlands
4.3,KP Pietersen,E Chigumbura,0,MJ Prior,"{'batsman': 2, 'extras': 0, 'total': 2}",0,0.0,0,0.0,0,0,0,0,0,2,0,2,England,Cape Town,2007-09-13,male,T20,1,England,runs,50,0,0,0,0,KP Pietersen,20,England,Zimbabwe,England,bat,Newlands
4.4,KP Pietersen,E Chigumbura,0,MJ Prior,"{'batsman': 4, 'extras': 0, 'total': 4}",0,0.0,0,0.0,0,0,0,0,0,4,0,4,England,Cape Town,2007-09-13,male,T20,1,England,runs,50,0,0,0,0,KP Pietersen,20,England,Zimbabwe,England,bat,Newlands
4.5,KP Pietersen,E Chigumbura,0,MJ Prior,"{'batsman': 4, 'extras': 0, 'total': 4}",0,0.0,0,0.0,0,0,0,0,0,4,0,4,England,Cape Town,2007-09-13,male,T20,1,England,runs,50,0,0,0,0,KP Pietersen,20,England,Zimbabwe,England,bat,Newlands
4.6,KP Pietersen,E Chigumbura,{'wides': 1},MJ Prior,"{'batsman': 0, 'extras': 1, 'total': 1}",0,1.0,0,0.0,0,0,0,0,0,0,1,1,England,Cape Town,2007-09-13,male,T20,1,England,runs,50,0,0,0,0,KP Pietersen,20,England,Zimbabwe,England,bat,Newlands
4.7,KP Pietersen,E Chigumbura,0,MJ Prior,"{'batsman': 2, 'extras': 0, 'total': 2}",0,0.0,0,0.0,0,0,0,0,0,2,0,2,England,Cape Town,2007-09-13,male,T20,1,England,runs,50,0,0,0,0,KP Pietersen,20,England,Zimbabwe,England,bat,Newlands
5.1,MJ Prior,T Mupariwa,0,KP Pietersen,"{'batsman': 6, 'extras': 0, 'total': 6}",0,0.0,0,0.0,0,0,0,0,0,6,0,6,England,Cape Town,2007-09-13,male,T20,1,England,runs,50,0,0,0,0,KP Pietersen,20,England,Zimbabwe,England,bat,Newlands
5.2,MJ Prior,T Mupariwa,0,KP Pietersen,"{'batsman': 0, 'extras': 0, 'total': 0}",0,0.0,0,0.0,0,0,0,0,0,0,0,0,England,Cape Town,2007-09-13,male,T20,1,England,runs,50,0,0,0,0,KP Pietersen,20,England,Zimbabwe,England,bat,Newlands
5.3,MJ Prior,T Mupariwa,0,KP Pietersen,"{'batsman': 0, 'extras': 0, 'total': 0}","{'fielders': ['CJ Chibhabha'], 'kind': 'caught', 'player_out': 'MJ Prior'}",0.0,0,0.0,0,0,caught,MJ Prior,['CJ Chibhabha'],0,0,0,England,Cape Town,2007-09-13,male,T20,1,England,runs,50,0,0,0,0,KP Pietersen,20,England,Zimbabwe,England,bat,Newlands
5.4,KP Pietersen,T Mupariwa,0,PD Collingwood,"{'batsman': 1, 'extras': 0, 'total': 1}",0,0.0,0,0.0,0,0,0,0,0,1,0,1,England,Cape Town,2007-09-13,male,T20,1,England,runs,50,0,0,0,0,KP Pietersen,20,England,Zimbabwe,England,bat,Newlands
5.5,PD Collingwood,T Mupariwa,0,KP Pietersen,"{'batsman': 1, 'extras': 0, 'total': 1}",0,0.0,0,0.0,0,0,0,0,0,1,0,1,England,Cape Town,2007-09-13,male,T20,1,England,runs,50,0,0,0,0,KP Pietersen,20,England,Zimbabwe,England,bat,Newlands
5.6,KP Pietersen,T Mupariwa,0,PD Collingwood,"{'batsman': 6, 'extras': 0, 'total': 6}",0,0.0,0,0.0,0,0,0,0,0,6,0,6,England,Cape Town,2007-09-13,male,T20,1,England,runs,50,0,0,0,0,KP Pietersen,20,England,Zimbabwe,England,bat,Newlands
6.1,PD Collingwood,P Utseya,0,KP Pietersen,"{'batsman': 1, 'extras': 0, 'total': 1}",0,0.0,0,0.0,0,0,0,0,0,1,0,1,England,Cape Town,2007-09-13,male,T20,1,England,runs,50,0,0,0,0,KP Pietersen,20,England,Zimbabwe,England,bat,Newlands
6.2,KP Pietersen,P Utseya,0,PD Collingwood,"{'batsman': 1, 'extras': 0, 'total': 1}",0,0.0,0,0.0,0,0,0,0,0,1,0,1,England,Cape Town,2007-09-13,male,T20,1,England,runs,50,0,0,0,0,KP Pietersen,20,England,Zimbabwe,England,bat,Newlands
6.3,PD Collingwood,P Utseya,0,KP Pietersen,"{'batsman': 1, 'extras': 0, 'total': 1}",0,0.0,0,0.0,0,0,0,0,0,1,0,1,England,Cape Town,2007-09-13,male,T20,1,England,runs,50,0,0,0,0,KP Pietersen,20,England,Zimbabwe,England,bat,Newlands
