delivery,batsman,bowler,extras_dict,non_striker,runs_dict,wicket_dict,wides,noballs,legbyes,byes,penalty,kind,player_out,fielders,runs,extras,total,team,city,date,gender,match_type,neutral_venue,winner,winType,winMargin,result,resultHow,resultTeam,non_boundary,ManOfMatch,overs,team1,team2,tossWinner,tossDecision,venue
0.1,JJ Atkinson,MRJ Watt,0,RJ Campbell,"{'batsman': 0, 'extras': 0, 'total': 0}",0,0.0,0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,Hong Kong,Nagpur,2016-03-12,male,T20,1,Scotland,wickets,8,0,0,0,0,MW Machan,20,Hong Kong,Scotland,Hong Kong,bat,"Vidarbha Cricket Association Stadium, Jamtha"
0.2,JJ Atkinson,MRJ Watt,0,RJ Campbell,"{'batsman': 0, 'extras': 0, 'total': 0}",0,0.0,0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,Hong Kong,Nagpur,2016-03-12,male,T20,1,Scotland,wickets,8,0,0,0,0,MW Machan,20,Hong Kong,Scotland,Hong Kong,bat,"Vidarbha Cricket Association Stadium, Jamtha"
0.3,JJ Atkinson,MRJ Watt,0,RJ Campbell,"{'batsman': 1, 'extras': 0, 'total': 1}",0,0.0,0,0.0,0.0,0,0,0,0,1.0,0.0,1.0,Hong Kong,Nagpur,2016-03-12,male,T20,1,Scotland,wickets,8,0,0,0,0,MW Machan,20,Hong Kong,Scotland,Hong Kong,bat,"Vidarbha Cricket Association Stadium, Jamtha"
0.4,RJ Campbell,MRJ Watt,0,JJ Atkinson,"{'batsman': 0, 'extras': 0, 'total': 0}",0,0.0,0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,Hong Kong,Nagpur,2016-03-12,male,T20,1,Scotland,wickets,8,0,0,0,0,MW Machan,20,Hong Kong,Scotland,Hong Kong,bat,"Vidarbha Cricket Association Stadium, Jamtha"
0.5,RJ Campbell,MRJ Watt,0,JJ Atkinson,"{'batsman': 0, 'extras': 0, 'total': 0}",0,0.0,0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,Hong Kong,Nagpur,2016-03-12,male,T20,1,Scotland,wickets,8,0,0,0,0,MW Machan,20,Hong Kong,Scotland,Hong Kong,bat,"Vidarbha Cricket Association Stadium, Jamtha"
0.6,RJ Campbell,MRJ Watt,0,JJ Atkinson,"{'batsman': 0, 'extras': 0, 'total': 0}",0,0.0,0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,Hong Kong,Nagpur,2016-03-12,male,T20,1,Scotland,wickets,8,0,0,0,0,MW Machan,20,Hong Kong,Scotland,Hong Kong,bat,"Vidarbha Cricket Association Stadium, Jamtha"
1.1,JJ Atkinson,JH Davey,0,RJ Campbell,"{'batsman': 0, 'extras': 0, 'total': 0}",0,0.0,0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,Hong Kong,Nagpur,2016-03-12,male,T20,1,Scotland,wickets,8,0,0,0,0,MW Machan,20,Hong Kong,Scotland,Hong Kong,bat,"Vidarbha Cricket Association Stadium, Jamtha"
1.2,JJ Atkinson,JH Davey,0,RJ Campbell,"{'batsman': 0, 'extras': 0, 'total': 0}",0,0.0,0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,Hong Kong,Nagpur,2016-03-12,male,T20,1,Scotland,wickets,8,0,0,0,0,MW Machan,20,Hong Kong,Scotland,Hong Kong,bat,"Vidarbha Cricket Association Stadium, Jamtha"
1.3,JJ Atkinson,JH Davey,0,RJ Campbell,"{'batsman': 0, 'extras': 0, 'total': 0}",0,0.0,0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,Hong Kong,Nagpur,2016-03-12,male,T20,1,Scotland,wickets,8,0,0,0,0,MW Machan,20,Hong Kong,Scotland,Hong Kong,bat,"Vidarbha Cricket Association Stadium, Jamtha"
1.4,JJ Atkinson,JH Davey,0,RJ Campbell,"{'batsman': 4, 'extras': 0, 'total': 4}",0,0.0,0,0.0,0.0,0,0,0,0,4.0,0.0,4.0,Hong Kong,Nagpur,2016-03-12,male,T20,1,Scotland,wickets,8,0,0,0,0,MW Machan,20,Hong Kong,Scotland,Hong Kong,bat,"Vidarbha Cricket Association Stadium, Jamtha"
1.5,JJ Atkinson,JH Davey,0,RJ Campbell,"{'batsman': 4, 'extras': 0, 'total': 4}",0,0.0,0,0.0,0.0,0,0,0,0,4.0,0.0,4.0,Hong Kong,Nagpur,2016-03-12,male,T20,1,Scotland,wickets,8,0,0,0,0,MW Machan,20,Hong Kong,Scotland,Hong Kong,bat,"Vidarbha Cricket Association Stadium, Jamtha"
1.6,JJ Atkinson,JH Davey,0,RJ Campbell,"{'batsman': 0, 'extras': 0, 'total': 0}",0,0.0,0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,Hong Kong,Nagpur,2016-03-12,male,T20,1,Scotland,wickets,8,0,0,0,0,MW Machan,20,Hong Kong,Scotland,Hong Kong,bat,"Vidarbha Cricket Association Stadium, Jamtha"
2.1,RJ Campbell,GT Main,0,JJ Atkinson,"{'batsman': 0, 'extras': 0, 'total': 0}","{'fielders': ['JH Davey'], 'kind': 'caught', 'player_out': 'RJ Campbell'}",0.0,0,0.0,0.0,0,caught,RJ Campbell,['JH Davey'],0.0,0.0,0.0,Hong Kong,Nagpur,2016-03-12,male,T20,1,Scotland,wickets,8,0,0,0,0,MW Machan,20,Hong Kong,Scotland,Hong Kong,bat,"Vidarbha Cricket Association Stadium, Jamtha"
