delivery,batsman,bowler,extras_dict,non_striker,runs_dict,wicket_dict,wides,noballs,legbyes,byes,penalty,kind,player_out,fielders,runs,extras,total,team,city,date,gender,match_type,neutral_venue,winner,winType,winMargin,result,resultHow,resultTeam,non_boundary,ManOfMatch,overs,team1,team2,tossWinner,tossDecision,venue
0.1,V Kohli,TS Mills,0,KL Rahul,"{'batsman': 0, 'extras': 0, 'total': 0}",0,0.0,0,0.0,0.0,0,0,0,0,0,0,0,India,Bangalore,2017-02-01,male,T20,0,India,runs,75,0,0,0,0,YS Chahal,20,India,England,England,field,M Chinnaswamy Stadium
0.2,V Kohli,TS Mills,{'wides': 1},KL Rahul,"{'batsman': 0, 'extras': 1, 'total': 1}",0,1.0,0,0.0,0.0,0,0,0,0,0,1,1,India,Bangalore,2017-02-01,male,T20,0,India,runs,75,0,0,0,0,YS Chahal,20,India,England,England,field,M Chinnaswamy Stadium
0.3,V Kohli,TS Mills,0,KL Rahul,"{'batsman': 1, 'extras': 0, 'total': 1}",0,0.0,0,0.0,0.0,0,0,0,0,1,0,1,India,Bangalore,2017-02-01,male,T20,0,India,runs,75,0,0,0,0,YS Chahal,20,India,England,England,field,M Chinnaswamy Stadium
0.4,KL Rahul,TS Mills,0,V Kohli,"{'batsman': 0, 'extras': 0, 'total': 0}",0,0.0,0,0.0,0.0,0,0,0,0,0,0,0,India,Bangalore,2017-02-01,male,T20,0,India,runs,75,0,0,0,0,YS Chahal,20,India,England,England,field,M Chinnaswamy Stadium
0.5,KL Rahul,TS Mills,0,V Kohli,"{'batsman': 0, 'extras': 0, 'total': 0}",0,0.0,0,0.0,0.0,0,0,0,0,0,0,0,India,Bangalore,2017-02-01,male,T20,0,India,runs,75,0,0,0,0,YS Chahal,20,India,England,England,field,M Chinnaswamy Stadium
0.6,KL Rahul,TS Mills,0,V Kohli,"{'batsman': 1, 'extras': 0, 'total': 1}",0,0.0,0,0.0,0.0,0,0,0,0,1,0,1,India,Bangalore,2017-02-01,male,T20,0,India,runs,75,0,0,0,0,YS Chahal,20,India,England,England,field,M Chinnaswamy Stadium
0.7,V Kohli,TS Mills,0,KL Rahul,"{'batsman': 1, 'extras': 0, 'total': 1}",0,0.0,0,0.0,0.0,0,0,0,0,1,0,1,India,Bangalore,2017-02-01,male,T20,0,India,runs,75,0,0,0,0,YS Chahal,20,India,England,England,field,M Chinnaswamy Stadium
1.1,V Kohli,CJ Jordan,0,KL Rahul,"{'batsman': 0, 'extras': 0, 'total': 0}","{'fielders': ['CJ Jordan'], 'kind': 'run out', 'player_out': 'V Kohli'}",0.0,0,0.0,0.0,0,run out,V Kohli,['CJ Jordan'],0,0,0,India,Bangalore,2017-02-01,male,T20,0,India,runs,75,0,0,0,0,YS Chahal,20,India,England,England,field,M Chinnaswamy Stadium
1.2,SK Raina,CJ Jordan,{'wides': 1},KL Rahul,"{'batsman': 0, 'extras': 1, 'total': 1}",0,1.0,0,0.0,0.0,0,0,0,0,0,1,1,India,Bangalore,2017-02-01,male,T20,0,India,runs,75,0,0,0,0,YS Chahal,20,India,England,England,field,M Chinnaswamy Stadium
1.3,SK Raina,CJ Jordan,0,KL Rahul,"{'batsman': 1, 'extras': 0, 'total': 1}",0,0.0,0,0.0,0.0,0,0,0,0,1,0,1,India,Bangalore,2017-02-01,male,T20,0,India,runs,75,0,0,0,0,YS Chahal,20,India,England,England,field,M Chinnaswamy Stadium
1.4,KL Rahul,CJ Jordan,0,SK Raina,"{'batsman': 0, 'extras': 0, 'total': 0}",0,0.0,0,0.0,0.0,0,0,0,0,0,0,0,India,Bangalore,2017-02-01,male,T20,0,India,runs,75,0,0,0,0,YS Chahal,20,India,England,England,field,M Chinnaswamy Stadium
1.5,KL Rahul,CJ Jordan,0,SK Raina,"{'batsman': 0, 'extras': 0, 'total': 0}",0,0.0,0,0.0,0.0,0,0,0,0,0,0,0,India,Bangalore,2017-02-01,male,T20,0,India,runs,75,0,0,0,0,YS Chahal,20,India,England,England,field,M Chinnaswamy Stadium
1.6,KL Rahul,CJ Jordan,{'legbyes': 1},SK Raina,"{'batsman': 0, 'extras': 1, 'total': 1}",0,0.0,0,1.0,0.0,0,0,0,0,0,1,1,India,Bangalore,2017-02-01,male,T20,0,India,runs,75,0,0,0,0,YS Chahal,20,India,England,England,field,M Chinnaswamy Stadium
