delivery,batsman,bowler,extras_dict,non_striker,runs_dict,wicket_dict,wides,noballs,legbyes,byes,penalty,kind,player_out,fielders,runs,extras,total,team,city,date,gender,match_type,neutral_venue,winner,winType,winMargin,result,resultHow,resultTeam,non_boundary,ManOfMatch,overs,team1,team2,tossWinner,tossDecision,venue
0.1,RJ Nicol,Z Khan,0,MJ Guptill,"{'batsman': 0, 'extras': 0, 'total': 0}",0,0.0,0,0.0,0,0,0,0,0,0,0,0,New Zealand,Chennai,2012-09-11,male,T20,0,New Zealand,runs,1,0,0,0,0,BB McCullum,20,India,New Zealand,India,field,"MA Chidambaram Stadium, Chepauk"
0.2,RJ Nicol,Z Khan,0,MJ Guptill,"{'batsman': 0, 'extras': 0, 'total': 0}",0,0.0,0,0.0,0,0,0,0,0,0,0,0,New Zealand,Chennai,2012-09-11,male,T20,0,New Zealand,runs,1,0,0,0,0,BB McCullum,20,India,New Zealand,India,field,"MA Chidambaram Stadium, Chepauk"
0.3,RJ Nicol,Z Khan,{'legbyes': 1},MJ Guptill,"{'batsman': 0, 'extras': 1, 'total': 1}",0,0.0,0,1.0,0,0,0,0,0,0,1,1,New Zealand,Chennai,2012-09-11,male,T20,0,New Zealand,runs,1,0,0,0,0,BB McCullum,20,India,New Zealand,India,field,"MA Chidambaram Stadium, Chepauk"
0.4,MJ Guptill,Z Khan,0,RJ Nicol,"{'batsman': 0, 'extras': 0, 'total': 0}",0,0.0,0,0.0,0,0,0,0,0,0,0,0,New Zealand,Chennai,2012-09-11,male,T20,0,New Zealand,runs,1,0,0,0,0,BB McCullum,20,India,New Zealand,India,field,"MA Chidambaram Stadium, Chepauk"
0.5,MJ Guptill,Z Khan,0,RJ Nicol,"{'batsman': 1, 'extras': 0, 'total': 1}",0,0.0,0,0.0,0,0,0,0,0,1,0,1,New Zealand,Chennai,2012-09-11,male,T20,0,New Zealand,runs,1,0,0,0,0,BB McCullum,20,India,New Zealand,India,field,"MA Chidambaram Stadium, Chepauk"
0.6,RJ Nicol,Z Khan,0,MJ Guptill,"{'batsman': 0, 'extras': 0, 'total': 0}","{'kind': 'bowled', 'player_out': 'RJ Nicol'}",0.0,0,0.0,0,0,bowled,RJ Nicol,0,0,0,0,New Zealand,Chennai,2012-09-11,male,T20,0,New Zealand,runs,1,0,0,0,0,BB McCullum,20,India,New Zealand,India,field,"MA Chidambaram Stadium, Chepauk"
1.1,MJ Guptill,IK Pathan,0,BB McCullum,"{'batsman': 0, 'extras': 0, 'total': 0}",0,0.0,0,0.0,0,0,0,0,0,0,0,0,New Zealand,Chennai,2012-09-11,male,T20,0,New Zealand,runs,1,0,0,0,0,BB McCullum,20,India,New Zealand,India,field,"MA Chidambaram Stadium, Chepauk"
1.2,MJ Guptill,IK Pathan,0,BB McCullum,"{'batsman': 0, 'extras': 0, 'total': 0}",0,0.0,0,0.0,0,0,0,0,0,0,0,0,New Zealand,Chennai,2012-09-11,male,T20,0,New Zealand,runs,1,0,0,0,0,BB McCullum,20,India,New Zealand,India,field,"MA Chidambaram Stadium, Chepauk"
1.3,MJ Guptill,IK Pathan,0,BB McCullum,"{'batsman': 0, 'extras': 0, 'total': 0}","{'kind': 'bowled', 'player_out': 'MJ Guptill'}",0.0,0,0.0,0,0,bowled,MJ Guptill,0,0,0,0,New Zealand,Chennai,2012-09-11,male,T20,0,New Zealand,runs,1,0,0,0,0,BB McCullum,20,India,New Zealand,India,field,"MA Chidambaram Stadium, Chepauk"
1.4,KS Williamson,IK Pathan,0,BB McCullum,"{'batsman': 4, 'extras': 0, 'total': 4}",0,0.0,0,0.0,0,0,0,0,0,4,0,4,New Zealand,Chennai,2012-09-11,male,T20,0,New Zealand,runs,1,0,0,0,0,BB McCullum,20,India,New Zealand,India,field,"MA Chidambaram Stadium, Chepauk"
