delivery,batsman,bowler,extras_dict,non_striker,runs_dict,wicket_dict,wides,noballs,legbyes,byes,penalty,kind,player_out,fielders,runs,extras,total,team,city,date,gender,match_type,neutral_venue,winner,winType,winMargin,result,resultHow,resultTeam,non_boundary,ManOfMatch,overs,team1,team2,tossWinner,tossDecision,venue
0.1,Bismah Maroof,J Goswami,0,Marina Iqbal,"{'batsman': 0, 'extras': 0, 'total': 0}",0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,Pakistan,0,2012-10-28,female,T20,1,India,wickets,8,0,0,0,0,M Raj,20,India,Pakistan,Pakistan,bat,Guanggong International Cricket Stadium
0.2,Bismah Maroof,J Goswami,0,Marina Iqbal,"{'batsman': 1, 'extras': 0, 'total': 1}",0,0.0,0.0,0.0,0.0,0,0,0,0,1,0,1,Pakistan,0,2012-10-28,female,T20,1,India,wickets,8,0,0,0,0,M Raj,20,India,Pakistan,Pakistan,bat,Guanggong International Cricket Stadium
0.3,Marina Iqbal,J Goswami,0,Bismah Maroof,"{'batsman': 0, 'extras': 0, 'total': 0}",0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,Pakistan,0,2012-10-28,female,T20,1,India,wickets,8,0,0,0,0,M Raj,20,India,Pakistan,Pakistan,bat,Guanggong International Cricket Stadium
0.4,Marina Iqbal,J Goswami,0,Bismah Maroof,"{'batsman': 0, 'extras': 0, 'total': 0}",0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,Pakistan,0,2012-10-28,female,T20,1,India,wickets,8,0,0,0,0,M Raj,20,India,Pakistan,Pakistan,bat,Guanggong International Cricket Stadium
0.5,Marina Iqbal,J Goswami,0,Bismah Maroof,"{'batsman': 0, 'extras': 0, 'total': 0}",0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,Pakistan,0,2012-10-28,female,T20,1,India,wickets,8,0,0,0,0,M Raj,20,India,Pakistan,Pakistan,bat,Guanggong International Cricket Stadium
0.6,Marina Iqbal,J Goswami,{'noballs': 1},Bismah Maroof,"{'batsman': 3, 'extras': 1, 'total': 4}",0,0.0,1.0,0.0,0.0,0,0,0,0,3,1,4,Pakistan,0,2012-10-28,female,T20,1,India,wickets,8,0,0,0,0,M Raj,20,India,Pakistan,Pakistan,bat,Guanggong International Cricket Stadium
0.7,Bismah Maroof,J Goswami,0,Marina Iqbal,"{'batsman': 1, 'extras': 0, 'total': 1}",0,0.0,0.0,0.0,0.0,0,0,0,0,1,0,1,Pakistan,0,2012-10-28,female,T20,1,India,wickets,8,0,0,0,0,M Raj,20,India,Pakistan,Pakistan,bat,Guanggong International Cricket Stadium
1.1,Bismah Maroof,A Das,0,Marina Iqbal,"{'batsman': 0, 'extras': 0, 'total': 0}",0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,Pakistan,0,2012-10-28,female,T20,1,India,wickets,8,0,0,0,0,M Raj,20,India,Pakistan,Pakistan,bat,Guanggong International Cricket Stadium
1.2,Bismah Maroof,A Das,0,Marina Iqbal,"{'batsman': 0, 'extras': 0, 'total': 0}",0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,Pakistan,0,2012-10-28,female,T20,1,India,wickets,8,0,0,0,0,M Raj,20,India,Pakistan,Pakistan,bat,Guanggong International Cricket Stadium
1.3,Bismah Maroof,A Das,0,Marina Iqbal,"{'batsman': 1, 'extras': 0, 'total': 1}",0,0.0,0.0,0.0,0.0,0,0,0,0,1,0,1,Pakistan,0,2012-10-28,female,T20,1,India,wickets,8,0,0,0,0,M Raj,20,India,Pakistan,Pakistan,bat,Guanggong International Cricket Stadium
