delivery,batsman,bowler,extras_dict,non_striker,runs_dict,wicket_dict,wides,noballs,legbyes,byes,penalty,kind,player_out,fielders,runs,extras,total,team,city,date,gender,match_type,neutral_venue,winner,winType,winMargin,result,resultHow,resultTeam,non_boundary,ManOfMatch,overs,team1,team2,tossWinner,tossDecision,venue
0.1,RG Sharma,KJ Abbott,0,S Dhawan,"{'batsman': 0, 'extras': 0, 'total': 0}",0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,India,Dharmasala,2015-10-02,male,T20,0,South Africa,wickets,7,0,0,0,0,JP Duminy,20,India,South Africa,South Africa,field,Himachal Pradesh Cricket Association Stadium
0.2,RG Sharma,KJ Abbott,0,S Dhawan,"{'batsman': 0, 'extras': 0, 'total': 0}",0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,India,Dharmasala,2015-10-02,male,T20,0,South Africa,wickets,7,0,0,0,0,JP Duminy,20,India,South Africa,South Africa,field,Himachal Pradesh Cricket Association Stadium
0.3,RG Sharma,KJ Abbott,0,S Dhawan,"{'batsman': 0, 'extras': 0, 'total': 0}",0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,India,Dharmasala,2015-10-02,male,T20,0,South Africa,wickets,7,0,0,0,0,JP Duminy,20,India,South Africa,South Africa,field,Himachal Pradesh Cricket Association Stadium
0.4,RG Sharma,KJ Abbott,0,S Dhawan,"{'batsman': 0, 'extras': 0, 'total': 0}",0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,India,Dharmasala,2015-10-02,male,T20,0,South Africa,wickets,7,0,0,0,0,JP Duminy,20,India,South Africa,South Africa,field,Himachal Pradesh Cricket Association Stadium
0.5,RG Sharma,KJ Abbott,0,S Dhawan,"{'batsman': 4, 'extras': 0, 'total': 4}",0,0.0,0.0,0.0,0,0,0,0,0,4,0,4,India,Dharmasala,2015-10-02,male,T20,0,South Africa,wickets,7,0,0,0,0,JP Duminy,20,India,South Africa,South Africa,field,Himachal Pradesh Cricket Association Stadium
0.6,RG Sharma,KJ Abbott,0,S Dhawan,"{'batsman': 0, 'extras': 0, 'total': 0}",0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,India,Dharmasala,2015-10-02,male,T20,0,South Africa,wickets,7,0,0,0,0,JP Duminy,20,India,South Africa,South Africa,field,Himachal Pradesh Cricket Association Stadium
1.1,S Dhawan,K Rabada,{'wides': 1},RG Sharma,"{'batsman': 0, 'extras': 1, 'total': 1}",0,1.0,0.0,0.0,0,0,0,0,0,0,1,1,India,Dharmasala,2015-10-02,male,T20,0,South Africa,wickets,7,0,0,0,0,JP Duminy,20,India,South Africa,South Africa,field,Himachal Pradesh Cricket Association Stadium
1.2,S Dhawan,K Rabada,0,RG Sharma,"{'batsman': 1, 'extras': 0, 'total': 1}",0,0.0,0.0,0.0,0,0,0,0,0,1,0,1,India,Dharmasala,2015-10-02,male,T20,0,South Africa,wickets,7,0,0,0,0,JP Duminy,20,India,South Africa,South Africa,field,Himachal Pradesh Cricket Association Stadium
1.3,RG Sharma,K Rabada,0,S Dhawan,"{'batsman': 0, 'extras': 0, 'total': 0}",0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,India,Dharmasala,2015-10-02,male,T20,0,South Africa,wickets,7,0,0,0,0,JP Duminy,20,India,South Africa,South Africa,field,Himachal Pradesh Cricket Association Stadium
1.4,RG Sharma,K Rabada,0,S Dhawan,"{'batsman': 0, 'extras': 0, 'total': 0}",0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,India,Dharmasala,2015-10-02,male,T20,0,South Africa,wickets,7,0,0,0,0,JP Duminy,20,India,South Africa,South Africa,field,Himachal Pradesh Cricket Association Stadium
