delivery,batsman,bowler,extras_dict,non_striker,runs_dict,wicket_dict,wides,noballs,legbyes,byes,penalty,kind,player_out,fielders,runs,extras,total,team,city,date,gender,match_type,neutral_venue,winner,winType,winMargin,result,resultHow,resultTeam,non_boundary,ManOfMatch,overs,team1,team2,tossWinner,tossDecision,venue
0.1,N Dickwella,R Ashwin,0,TM Dilshan,"{'batsman': 1, 'extras': 0, 'total': 1}",0,0.0,0.0,0.0,0,0,0,0,0,1,0,1,Sri Lanka,Visakhapatnam,2016-02-14,male,T20,0,India,wickets,9,0,0,0,0,R Ashwin,20,India,Sri Lanka,India,field,Dr. Y.S. Rajasekhara Reddy ACA-VDCA Cricket Stadium
0.2,TM Dilshan,R Ashwin,0,N Dickwella,"{'batsman': 1, 'extras': 0, 'total': 1}",0,0.0,0.0,0.0,0,0,0,0,0,1,0,1,Sri Lanka,Visakhapatnam,2016-02-14,male,T20,0,India,wickets,9,0,0,0,0,R Ashwin,20,India,Sri Lanka,India,field,Dr. Y.S. Rajasekhara Reddy ACA-VDCA Cricket Stadium
0.3,N Dickwella,R Ashwin,0,TM Dilshan,"{'batsman': 0, 'extras': 0, 'total': 0}","{'fielders': ['MS Dhoni'], 'kind': 'stumped', 'player_out': 'N Dickwella'}",0.0,0.0,0.0,0,0,stumped,N Dickwella,['MS Dhoni'],0,0,0,Sri Lanka,Visakhapatnam,2016-02-14,male,T20,0,India,wickets,9,0,0,0,0,R Ashwin,20,India,Sri Lanka,India,field,Dr. Y.S. Rajasekhara Reddy ACA-VDCA Cricket Stadium
0.4,LD Chandimal,R Ashwin,0,TM Dilshan,"{'batsman': 0, 'extras': 0, 'total': 0}",0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,Sri Lanka,Visakhapatnam,2016-02-14,male,T20,0,India,wickets,9,0,0,0,0,R Ashwin,20,India,Sri Lanka,India,field,Dr. Y.S. Rajasekhara Reddy ACA-VDCA Cricket Stadium
0.5,LD Chandimal,R Ashwin,{'legbyes': 1},TM Dilshan,"{'batsman': 0, 'extras': 1, 'total': 1}",0,0.0,0.0,1.0,0,0,0,0,0,0,1,1,Sri Lanka,Visakhapatnam,2016-02-14,male,T20,0,India,wickets,9,0,0,0,0,R Ashwin,20,India,Sri Lanka,India,field,Dr. Y.S. Rajasekhara Reddy ACA-VDCA Cricket Stadium
0.6,TM Dilshan,R Ashwin,0,LD Chandimal,"{'batsman': 0, 'extras': 0, 'total': 0}","{'kind': 'lbw', 'player_out': 'TM Dilshan'}",0.0,0.0,0.0,0,0,lbw,TM Dilshan,0,0,0,0,Sri Lanka,Visakhapatnam,2016-02-14,male,T20,0,India,wickets,9,0,0,0,0,R Ashwin,20,India,Sri Lanka,India,field,Dr. Y.S. Rajasekhara Reddy ACA-VDCA Cricket Stadium
1.1,LD Chandimal,A Nehra,0,DAS Gunaratne,"{'batsman': 0, 'extras': 0, 'total': 0}",0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,Sri Lanka,Visakhapatnam,2016-02-14,male,T20,0,India,wickets,9,0,0,0,0,R Ashwin,20,India,Sri Lanka,India,field,Dr. Y.S. Rajasekhara Reddy ACA-VDCA Cricket Stadium
1.2,LD Chandimal,A Nehra,0,DAS Gunaratne,"{'batsman': 0, 'extras': 0, 'total': 0}",0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,Sri Lanka,Visakhapatnam,2016-02-14,male,T20,0,India,wickets,9,0,0,0,0,R Ashwin,20,India,Sri Lanka,India,field,Dr. Y.S. Rajasekhara Reddy ACA-VDCA Cricket Stadium
1.3,LD Chandimal,A Nehra,0,DAS Gunaratne,"{'batsman': 4, 'extras': 0, 'total': 4}",0,0.0,0.0,0.0,0,0,0,0,0,4,0,4,Sri Lanka,Visakhapatnam,2016-02-14,male,T20,0,India,wickets,9,0,0,0,0,R Ashwin,20,India,Sri Lanka,India,field,Dr. Y.S. Rajasekhara Reddy ACA-VDCA Cricket Stadium
1.4,LD Chandimal,A Nehra,0,DAS Gunaratne,"{'batsman': 0, 'extras': 0, 'total': 0}",0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,Sri Lanka,Visakhapatnam,2016-02-14,male,T20,0,India,wickets,9,0,0,0,0,R Ashwin,20,India,Sri Lanka,India,field,Dr. Y.S. Rajasekhara Reddy ACA-VDCA Cricket Stadium
