delivery,batsman,bowler,extras_dict,non_striker,runs_dict,wicket_dict,wides,noballs,legbyes,byes,penalty,kind,player_out,fielders,runs,extras,total,team,city,date,gender,match_type,neutral_venue,winner,winType,winMargin,result,resultHow,resultTeam,non_boundary,ManOfMatch,overs,team1,team2,tossWinner,tossDecision,venue
0.1,RG Sharma,AD Russell,0,AM Rahane,"{'batsman': 0, 'extras': 0, 'total': 0}",0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,India,Mumbai,2016-03-31,male,T20,0,West Indies,wickets,7,0,0,0,0,LMP Simmons,20,India,West Indies,West Indies,field,Wankhede Stadium
0.2,RG Sharma,AD Russell,0,AM Rahane,"{'batsman': 0, 'extras': 0, 'total': 0}",0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,India,Mumbai,2016-03-31,male,T20,0,West Indies,wickets,7,0,0,0,0,LMP Simmons,20,India,West Indies,West Indies,field,Wankhede Stadium
0.3,RG Sharma,AD Russell,0,AM Rahane,"{'batsman': 0, 'extras': 0, 'total': 0}",0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,India,Mumbai,2016-03-31,male,T20,0,West Indies,wickets,7,0,0,0,0,LMP Simmons,20,India,West Indies,West Indies,field,Wankhede Stadium
0.4,RG Sharma,AD Russell,0,AM Rahane,"{'batsman': 1, 'extras': 0, 'total': 1}",0,0.0,0.0,0.0,0,0,0,0,0,1,0,1,India,Mumbai,2016-03-31,male,T20,0,West Indies,wickets,7,0,0,0,0,LMP Simmons,20,India,West Indies,West Indies,field,Wankhede Stadium
0.5,AM Rahane,AD Russell,0,RG Sharma,"{'batsman': 1, 'extras': 0, 'total': 1}",0,0.0,0.0,0.0,0,0,0,0,0,1,0,1,India,Mumbai,2016-03-31,male,T20,0,West Indies,wickets,7,0,0,0,0,LMP Simmons,20,India,West Indies,West Indies,field,Wankhede Stadium
0.6,RG Sharma,AD Russell,0,AM Rahane,"{'batsman': 0, 'extras': 0, 'total': 0}",0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,India,Mumbai,2016-03-31,male,T20,0,West Indies,wickets,7,0,0,0,0,LMP Simmons,20,India,West Indies,West Indies,field,Wankhede Stadium
1.1,AM Rahane,S Badree,0,RG Sharma,"{'batsman': 1, 'extras': 0, 'total': 1}",0,0.0,0.0,0.0,0,0,0,0,0,1,0,1,India,Mumbai,2016-03-31,male,T20,0,West Indies,wickets,7,0,0,0,0,LMP Simmons,20,India,West Indies,West Indies,field,Wankhede Stadium
1.2,RG Sharma,S Badree,{'legbyes': 1},AM Rahane,"{'batsman': 0, 'extras': 1, 'total': 1}",0,0.0,0.0,1.0,0,0,0,0,0,0,1,1,India,Mumbai,2016-03-31,male,T20,0,West Indies,wickets,7,0,0,0,0,LMP Simmons,20,India,West Indies,West Indies,field,Wankhede Stadium
1.3,AM Rahane,S Badree,0,RG Sharma,"{'batsman': 0, 'extras': 0, 'total': 0}",0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,India,Mumbai,2016-03-31,male,T20,0,West Indies,wickets,7,0,0,0,0,LMP Simmons,20,India,West Indies,West Indies,field,Wankhede Stadium
1.4,AM Rahane,S Badree,0,RG Sharma,"{'batsman': 0, 'extras': 0, 'total': 0}",0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,India,Mumbai,2016-03-31,male,T20,0,West Indies,wickets,7,0,0,0,0,LMP Simmons,20,India,West Indies,West Indies,field,Wankhede Stadium
