delivery,batsman,bowler,extras_dict,non_striker,runs_dict,wicket_dict,wides,noballs,legbyes,byes,penalty,kind,player_out,fielders,runs,extras,total,team,city,date,gender,match_type,neutral_venue,winner,winType,winMargin,result,resultHow,resultTeam,non_boundary,ManOfMatch,overs,team1,team2,tossWinner,tossDecision,venue
0.1,SJ Myburgh,TJ Murtagh,0,TLW Cooper,"{'batsman': 0, 'extras': 0, 'total': 0}",0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,Netherlands,Dharamsala,2016-03-13,male,T20,1,Netherlands,runs,12,0,0,0,0,PA van Meekeren,20,Ireland,Netherlands,Ireland,field,Himachal Pradesh Cricket Association Stadium
0.2,SJ Myburgh,TJ Murtagh,0,TLW Cooper,"{'batsman': 0, 'extras': 0, 'total': 0}",0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,Netherlands,Dharamsala,2016-03-13,male,T20,1,Netherlands,runs,12,0,0,0,0,PA van Meekeren,20,Ireland,Netherlands,Ireland,field,Himachal Pradesh Cricket Association Stadium
0.3,SJ Myburgh,TJ Murtagh,0,TLW Cooper,"{'batsman': 0, 'extras': 0, 'total': 0}",0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,Netherlands,Dharamsala,2016-03-13,male,T20,1,Netherlands,runs,12,0,0,0,0,PA van Meekeren,20,Ireland,Netherlands,Ireland,field,Himachal Pradesh Cricket Association Stadium
0.4,SJ Myburgh,TJ Murtagh,0,TLW Cooper,"{'batsman': 4, 'extras': 0, 'total': 4}",0,0.0,0.0,0.0,0.0,0,0,0,0,4,0,4,Netherlands,Dharamsala,2016-03-13,male,T20,1,Netherlands,runs,12,0,0,0,0,PA van Meekeren,20,Ireland,Netherlands,Ireland,field,Himachal Pradesh Cricket Association Stadium
0.5,SJ Myburgh,TJ Murtagh,0,TLW Cooper,"{'batsman': 4, 'extras': 0, 'total': 4}",0,0.0,0.0,0.0,0.0,0,0,0,0,4,0,4,Netherlands,Dharamsala,2016-03-13,male,T20,1,Netherlands,runs,12,0,0,0,0,PA van Meekeren,20,Ireland,Netherlands,Ireland,field,Himachal Pradesh Cricket Association Stadium
0.6,SJ Myburgh,TJ Murtagh,0,TLW Cooper,"{'batsman': 1, 'extras': 0, 'total': 1}",0,0.0,0.0,0.0,0.0,0,0,0,0,1,0,1,Netherlands,Dharamsala,2016-03-13,male,T20,1,Netherlands,runs,12,0,0,0,0,PA van Meekeren,20,Ireland,Netherlands,Ireland,field,Himachal Pradesh Cricket Association Stadium
1.1,SJ Myburgh,GH Dockrell,{'legbyes': 1},TLW Cooper,"{'batsman': 0, 'extras': 1, 'total': 1}",0,0.0,0.0,1.0,0.0,0,0,0,0,0,1,1,Netherlands,Dharamsala,2016-03-13,male,T20,1,Netherlands,runs,12,0,0,0,0,PA van Meekeren,20,Ireland,Netherlands,Ireland,field,Himachal Pradesh Cricket Association Stadium
1.2,TLW Cooper,GH Dockrell,0,SJ Myburgh,"{'batsman': 0, 'extras': 0, 'total': 0}",0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,Netherlands,Dharamsala,2016-03-13,male,T20,1,Netherlands,runs,12,0,0,0,0,PA van Meekeren,20,Ireland,Netherlands,Ireland,field,Himachal Pradesh Cricket Association Stadium
1.3,TLW Cooper,GH Dockrell,0,SJ Myburgh,"{'batsman': 0, 'extras': 0, 'total': 0}","{'fielders': ['WB Rankin'], 'kind': 'caught', 'player_out': 'TLW Cooper'}",0.0,0.0,0.0,0.0,0,caught,TLW Cooper,['WB Rankin'],0,0,0,Netherlands,Dharamsala,2016-03-13,male,T20,1,Netherlands,runs,12,0,0,0,0,PA van Meekeren,20,Ireland,Netherlands,Ireland,field,Himachal Pradesh Cricket Association Stadium
1.4,RE van der Merwe,GH Dockrell,0,SJ Myburgh,"{'batsman': 2, 'extras': 0, 'total': 2}",0,0.0,0.0,0.0,0.0,0,0,0,0,2,0,2,Netherlands,Dharamsala,2016-03-13,male,T20,1,Netherlands,runs,12,0,0,0,0,PA van Meekeren,20,Ireland,Netherlands,Ireland,field,Himachal Pradesh Cricket Association Stadium
