delivery,batsman,bowler,extras_dict,non_striker,runs_dict,wicket_dict,wides,noballs,legbyes,byes,penalty,kind,player_out,fielders,runs,extras,total,team,city,date,gender,match_type,neutral_venue,winner,winType,winMargin,result,resultHow,resultTeam,non_boundary,ManOfMatch,overs,team1,team2,tossWinner,tossDecision,venue
0.1,Javeria Khan,AJ Kenealy,0,Nain Abidi,"{'batsman': 0, 'extras': 0, 'total': 0}",0,0.0,0,0.0,0.0,0,0,0,0,0,0,0,Pakistan,0,2014-03-31,female,T20,1,Pakistan,runs,14,0,0,0,0,Bismah Maroof,20,Ireland,Pakistan,Pakistan,bat,Sylhet Stadium
0.2,Javeria Khan,AJ Kenealy,0,Nain Abidi,"{'batsman': 1, 'extras': 0, 'total': 1}",0,0.0,0,0.0,0.0,0,0,0,0,1,0,1,Pakistan,0,2014-03-31,female,T20,1,Pakistan,runs,14,0,0,0,0,Bismah Maroof,20,Ireland,Pakistan,Pakistan,bat,Sylhet Stadium
0.3,Nain Abidi,AJ Kenealy,0,Javeria Khan,"{'batsman': 1, 'extras': 0, 'total': 1}",0,0.0,0,0.0,0.0,0,0,0,0,1,0,1,Pakistan,0,2014-03-31,female,T20,1,Pakistan,runs,14,0,0,0,0,Bismah Maroof,20,Ireland,Pakistan,Pakistan,bat,Sylhet Stadium
0.4,Javeria Khan,AJ Kenealy,0,Nain Abidi,"{'batsman': 1, 'extras': 0, 'total': 1}",0,0.0,0,0.0,0.0,0,0,0,0,1,0,1,Pakistan,0,2014-03-31,female,T20,1,Pakistan,runs,14,0,0,0,0,Bismah Maroof,20,Ireland,Pakistan,Pakistan,bat,Sylhet Stadium
0.5,Nain Abidi,AJ Kenealy,0,Javeria Khan,"{'batsman': 1, 'extras': 0, 'total': 1}",0,0.0,0,0.0,0.0,0,0,0,0,1,0,1,Pakistan,0,2014-03-31,female,T20,1,Pakistan,runs,14,0,0,0,0,Bismah Maroof,20,Ireland,Pakistan,Pakistan,bat,Sylhet Stadium
0.6,Javeria Khan,AJ Kenealy,0,Nain Abidi,"{'batsman': 1, 'extras': 0, 'total': 1}",0,0.0,0,0.0,0.0,0,0,0,0,1,0,1,Pakistan,0,2014-03-31,female,T20,1,Pakistan,runs,14,0,0,0,0,Bismah Maroof,20,Ireland,Pakistan,Pakistan,bat,Sylhet Stadium
1.1,Javeria Khan,IMHC Joyce,0,Nain Abidi,"{'batsman': 1, 'extras': 0, 'total': 1}",0,0.0,0,0.0,0.0,0,0,0,0,1,0,1,Pakistan,0,2014-03-31,female,T20,1,Pakistan,runs,14,0,0,0,0,Bismah Maroof,20,Ireland,Pakistan,Pakistan,bat,Sylhet Stadium
1.2,Nain Abidi,IMHC Joyce,0,Javeria Khan,"{'batsman': 0, 'extras': 0, 'total': 0}",0,0.0,0,0.0,0.0,0,0,0,0,0,0,0,Pakistan,0,2014-03-31,female,T20,1,Pakistan,runs,14,0,0,0,0,Bismah Maroof,20,Ireland,Pakistan,Pakistan,bat,Sylhet Stadium
1.3,Nain Abidi,IMHC Joyce,0,Javeria Khan,"{'batsman': 0, 'extras': 0, 'total': 0}",0,0.0,0,0.0,0.0,0,0,0,0,0,0,0,Pakistan,0,2014-03-31,female,T20,1,Pakistan,runs,14,0,0,0,0,Bismah Maroof,20,Ireland,Pakistan,Pakistan,bat,Sylhet Stadium
1.4,Nain Abidi,IMHC Joyce,0,Javeria Khan,"{'batsman': 1, 'extras': 0, 'total': 1}",0,0.0,0,0.0,0.0,0,0,0,0,1,0,1,Pakistan,0,2014-03-31,female,T20,1,Pakistan,runs,14,0,0,0,0,Bismah Maroof,20,Ireland,Pakistan,Pakistan,bat,Sylhet Stadium
