delivery,batsman,bowler,extras_dict,non_striker,runs_dict,wicket_dict,wides,noballs,legbyes,byes,penalty,kind,player_out,fielders,runs,extras,total,team,city,date,gender,match_type,neutral_venue,winner,winType,winMargin,result,resultHow,resultTeam,non_boundary,ManOfMatch,overs,team1,team2,tossWinner,tossDecision,venue
0.1,WTS Porterfield,A Vala,0,A Balbirnie,"{'batsman': 4, 'extras': 0, 'total': 4}",0,0.0,0,0.0,0,0,0,0,0,4,0,4,Ireland,Townsville,2016-02-07,male,T20,1,Ireland,runs,7,0,0,0,0,0,20,Ireland,Papua New Guinea,Papua New Guinea,field,Tony Ireland Stadium
0.2,WTS Porterfield,A Vala,0,A Balbirnie,"{'batsman': 4, 'extras': 0, 'total': 4}",0,0.0,0,0.0,0,0,0,0,0,4,0,4,Ireland,Townsville,2016-02-07,male,T20,1,Ireland,runs,7,0,0,0,0,0,20,Ireland,Papua New Guinea,Papua New Guinea,field,Tony Ireland Stadium
0.3,WTS Porterfield,A Vala,0,A Balbirnie,"{'batsman': 1, 'extras': 0, 'total': 1}",0,0.0,0,0.0,0,0,0,0,0,1,0,1,Ireland,Townsville,2016-02-07,male,T20,1,Ireland,runs,7,0,0,0,0,0,20,Ireland,Papua New Guinea,Papua New Guinea,field,Tony Ireland Stadium
0.4,A Balbirnie,A Vala,0,WTS Porterfield,"{'batsman': 0, 'extras': 0, 'total': 0}","{'fielders': ['N Vanua'], 'kind': 'caught', 'player_out': 'A Balbirnie'}",0.0,0,0.0,0,0,caught,A Balbirnie,['N Vanua'],0,0,0,Ireland,Townsville,2016-02-07,male,T20,1,Ireland,runs,7,0,0,0,0,0,20,Ireland,Papua New Guinea,Papua New Guinea,field,Tony Ireland Stadium
0.5,SW Poynter,A Vala,0,WTS Porterfield,"{'batsman': 1, 'extras': 0, 'total': 1}",0,0.0,0,0.0,0,0,0,0,0,1,0,1,Ireland,Townsville,2016-02-07,male,T20,1,Ireland,runs,7,0,0,0,0,0,20,Ireland,Papua New Guinea,Papua New Guinea,field,Tony Ireland Stadium
0.6,WTS Porterfield,A Vala,0,SW Poynter,"{'batsman': 1, 'extras': 0, 'total': 1}",0,0.0,0,0.0,0,0,0,0,0,1,0,1,Ireland,Townsville,2016-02-07,male,T20,1,Ireland,runs,7,0,0,0,0,0,20,Ireland,Papua New Guinea,Papua New Guinea,field,Tony Ireland Stadium
1.1,WTS Porterfield,N Vanua,0,SW Poynter,"{'batsman': 2, 'extras': 0, 'total': 2}",0,0.0,0,0.0,0,0,0,0,0,2,0,2,Ireland,Townsville,2016-02-07,male,T20,1,Ireland,runs,7,0,0,0,0,0,20,Ireland,Papua New Guinea,Papua New Guinea,field,Tony Ireland Stadium
1.2,WTS Porterfield,N Vanua,0,SW Poynter,"{'batsman': 4, 'extras': 0, 'total': 4}",0,0.0,0,0.0,0,0,0,0,0,4,0,4,Ireland,Townsville,2016-02-07,male,T20,1,Ireland,runs,7,0,0,0,0,0,20,Ireland,Papua New Guinea,Papua New Guinea,field,Tony Ireland Stadium
1.3,WTS Porterfield,N Vanua,0,SW Poynter,"{'batsman': 1, 'extras': 0, 'total': 1}",0,0.0,0,0.0,0,0,0,0,0,1,0,1,Ireland,Townsville,2016-02-07,male,T20,1,Ireland,runs,7,0,0,0,0,0,20,Ireland,Papua New Guinea,Papua New Guinea,field,Tony Ireland Stadium
1.4,SW Poynter,N Vanua,0,WTS Porterfield,"{'batsman': 2, 'extras': 0, 'total': 2}",0,0.0,0,0.0,0,0,0,0,0,2,0,2,Ireland,Townsville,2016-02-07,male,T20,1,Ireland,runs,7,0,0,0,0,0,20,Ireland,Papua New Guinea,Papua New Guinea,field,Tony Ireland Stadium
