delivery,batsman,bowler,extras_dict,non_striker,runs_dict,wicket_dict,wides,noballs,legbyes,byes,penalty,kind,player_out,fielders,runs,extras,total,team,city,date,gender,match_type,neutral_venue,winner,winType,winMargin,result,resultHow,resultTeam,non_boundary,ManOfMatch,overs,team1,team2,tossWinner,tossDecision,venue
0.1,TM Dilshan,WB Rankin,0,ST Jayasuriya,"{'batsman': 0, 'extras': 0, 'total': 0}",0,0.0,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,Sri Lanka,London,2009-06-14,male,T20,1,Sri Lanka,runs,9,0,0,0,0,DPMD Jayawardene,20,Ireland,Sri Lanka,Sri Lanka,bat,Lord's
0.2,TM Dilshan,WB Rankin,0,ST Jayasuriya,"{'batsman': 0, 'extras': 0, 'total': 0}","{'fielders': [""NJ O'Brien""], 'kind': 'caught', 'player_out': 'TM Dilshan'}",0.0,0.0,0.0,0.0,0,caught,TM Dilshan,"[""NJ O'Brien""]",0.0,0.0,0.0,Sri Lanka,London,2009-06-14,male,T20,1,Sri Lanka,runs,9,0,0,0,0,DPMD Jayawardene,20,Ireland,Sri Lanka,Sri Lanka,bat,Lord's
0.3,ST Jayasuriya,WB Rankin,0,KC Sangakkara,"{'batsman': 0, 'extras': 0, 'total': 0}",0,0.0,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,Sri Lanka,London,2009-06-14,male,T20,1,Sri Lanka,runs,9,0,0,0,0,DPMD Jayawardene,20,Ireland,Sri Lanka,Sri Lanka,bat,Lord's
0.4,ST Jayasuriya,WB Rankin,0,KC Sangakkara,"{'batsman': 4, 'extras': 0, 'total': 4}",0,0.0,0.0,0.0,0.0,0,0,0,0,4.0,0.0,4.0,Sri Lanka,London,2009-06-14,male,T20,1,Sri Lanka,runs,9,0,0,0,0,DPMD Jayawardene,20,Ireland,Sri Lanka,Sri Lanka,bat,Lord's
0.5,ST Jayasuriya,WB Rankin,0,KC Sangakkara,"{'batsman': 0, 'extras': 0, 'total': 0}",0,0.0,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,Sri Lanka,London,2009-06-14,male,T20,1,Sri Lanka,runs,9,0,0,0,0,DPMD Jayawardene,20,Ireland,Sri Lanka,Sri Lanka,bat,Lord's
0.6,ST Jayasuriya,WB Rankin,0,KC Sangakkara,"{'batsman': 0, 'extras': 0, 'total': 0}",0,0.0,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,Sri Lanka,London,2009-06-14,male,T20,1,Sri Lanka,runs,9,0,0,0,0,DPMD Jayawardene,20,Ireland,Sri Lanka,Sri Lanka,bat,Lord's
1.1,KC Sangakkara,DT Johnston,{'wides': 1},ST Jayasuriya,"{'batsman': 0, 'extras': 1, 'total': 1}",0,1.0,0.0,0.0,0.0,0,0,0,0,0.0,1.0,1.0,Sri Lanka,London,2009-06-14,male,T20,1,Sri Lanka,runs,9,0,0,0,0,DPMD Jayawardene,20,Ireland,Sri Lanka,Sri Lanka,bat,Lord's
1.2,KC Sangakkara,DT Johnston,0,ST Jayasuriya,"{'batsman': 0, 'extras': 0, 'total': 0}",0,0.0,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,Sri Lanka,London,2009-06-14,male,T20,1,Sri Lanka,runs,9,0,0,0,0,DPMD Jayawardene,20,Ireland,Sri Lanka,Sri Lanka,bat,Lord's
1.3,KC Sangakkara,DT Johnston,0,ST Jayasuriya,"{'batsman': 0, 'extras': 0, 'total': 0}",0,0.0,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,Sri Lanka,London,2009-06-14,male,T20,1,Sri Lanka,runs,9,0,0,0,0,DPMD Jayawardene,20,Ireland,Sri Lanka,Sri Lanka,bat,Lord's
1.4,KC Sangakkara,DT Johnston,0,ST Jayasuriya,"{'batsman': 1, 'extras': 0, 'total': 1}",0,0.0,0.0,0.0,0.0,0,0,0,0,1.0,0.0,1.0,Sri Lanka,London,2009-06-14,male,T20,1,Sri Lanka,runs,9,0,0,0,0,DPMD Jayawardene,20,Ireland,Sri Lanka,Sri Lanka,bat,Lord's
1.5,ST Jayasuriya,DT Johnston,0,KC Sangakkara,"{'batsman': 0, 'extras': 0, 'total': 0}",0,0.0,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,Sri Lanka,London,2009-06-14,male,T20,1,Sri Lanka,runs,9,0,0,0,0,DPMD Jayawardene,20,Ireland,Sri Lanka,Sri Lanka,bat,Lord's
1.6,ST Jayasuriya,DT Johnston,0,KC Sangakkara,"{'batsman': 0, 'extras': 0, 'total': 0}",0,0.0,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,Sri Lanka,London,2009-06-14,male,T20,1,Sri Lanka,runs,9,0,0,0,0,DPMD Jayawardene,20,Ireland,Sri Lanka,Sri Lanka,bat,Lord's
1.7,ST Jayasuriya,DT Johnston,{'legbyes': 1},KC Sangakkara,"{'batsman': 0, 'extras': 1, 'total': 1}",0,0.0,0.0,1.0,0.0,0,0,0,0,0.0,1.0,1.0,Sri Lanka,London,2009-06-14,male,T20,1,Sri Lanka,runs,9,0,0,0,0,DPMD Jayawardene,20,Ireland,Sri Lanka,Sri Lanka,bat,Lord's
2.1,ST Jayasuriya,WB Rankin,0,KC Sangakkara,"{'batsman': 1, 'extras': 0, 'total': 1}",0,0.0,0.0,0.0,0.0,0,0,0,0,1.0,0.0,1.0,Sri Lanka,London,2009-06-14,male,T20,1,Sri Lanka,runs,9,0,0,0,0,DPMD Jayawardene,20,Ireland,Sri Lanka,Sri Lanka,bat,Lord's
