delivery,batsman,bowler,extras_dict,non_striker,runs_dict,wicket_dict,wides,noballs,legbyes,byes,penalty,kind,player_out,fielders,runs,extras,total,team,city,date,gender,match_type,neutral_venue,winner,winType,winMargin,result,resultHow,resultTeam,non_boundary,ManOfMatch,overs,team1,team2,tossWinner,tossDecision,venue
0.1,Sagar Pun,AR Cusack,0,AK Mandal,"{'batsman': 4, 'extras': 0, 'total': 4}",0,0.0,0.0,0.0,0.0,0,0,0,0,4,0,4,Nepal,Belfast,2015-07-13,male,T20,0,Ireland,wickets,8,0,0,0,0,KJ O'Brien,20,Nepal,Ireland,Ireland,field,"Civil Service Cricket Club, Stormont"
0.2,Sagar Pun,AR Cusack,0,AK Mandal,"{'batsman': 1, 'extras': 0, 'total': 1}",0,0.0,0.0,0.0,0.0,0,0,0,0,1,0,1,Nepal,Belfast,2015-07-13,male,T20,0,Ireland,wickets,8,0,0,0,0,KJ O'Brien,20,Nepal,Ireland,Ireland,field,"Civil Service Cricket Club, Stormont"
0.3,AK Mandal,AR Cusack,0,Sagar Pun,"{'batsman': 1, 'extras': 0, 'total': 1}",0,0.0,0.0,0.0,0.0,0,0,0,0,1,0,1,Nepal,Belfast,2015-07-13,male,T20,0,Ireland,wickets,8,0,0,0,0,KJ O'Brien,20,Nepal,Ireland,Ireland,field,"Civil Service Cricket Club, Stormont"
0.4,Sagar Pun,AR Cusack,0,AK Mandal,"{'batsman': 0, 'extras': 0, 'total': 0}",0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,Nepal,Belfast,2015-07-13,male,T20,0,Ireland,wickets,8,0,0,0,0,KJ O'Brien,20,Nepal,Ireland,Ireland,field,"Civil Service Cricket Club, Stormont"
0.5,Sagar Pun,AR Cusack,0,AK Mandal,"{'batsman': 1, 'extras': 0, 'total': 1}",0,0.0,0.0,0.0,0.0,0,0,0,0,1,0,1,Nepal,Belfast,2015-07-13,male,T20,0,Ireland,wickets,8,0,0,0,0,KJ O'Brien,20,Nepal,Ireland,Ireland,field,"Civil Service Cricket Club, Stormont"
0.6,AK Mandal,AR Cusack,0,Sagar Pun,"{'batsman': 0, 'extras': 0, 'total': 0}",0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,Nepal,Belfast,2015-07-13,male,T20,0,Ireland,wickets,8,0,0,0,0,KJ O'Brien,20,Nepal,Ireland,Ireland,field,"Civil Service Cricket Club, Stormont"
1.1,Sagar Pun,CA Young,0,AK Mandal,"{'batsman': 0, 'extras': 0, 'total': 0}",0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,Nepal,Belfast,2015-07-13,male,T20,0,Ireland,wickets,8,0,0,0,0,KJ O'Brien,20,Nepal,Ireland,Ireland,field,"Civil Service Cricket Club, Stormont"
1.2,Sagar Pun,CA Young,0,AK Mandal,"{'batsman': 4, 'extras': 0, 'total': 4}",0,0.0,0.0,0.0,0.0,0,0,0,0,4,0,4,Nepal,Belfast,2015-07-13,male,T20,0,Ireland,wickets,8,0,0,0,0,KJ O'Brien,20,Nepal,Ireland,Ireland,field,"Civil Service Cricket Club, Stormont"
1.3,Sagar Pun,CA Young,0,AK Mandal,"{'batsman': 0, 'extras': 0, 'total': 0}",0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,Nepal,Belfast,2015-07-13,male,T20,0,Ireland,wickets,8,0,0,0,0,KJ O'Brien,20,Nepal,Ireland,Ireland,field,"Civil Service Cricket Club, Stormont"
1.4,Sagar Pun,CA Young,0,AK Mandal,"{'batsman': 1, 'extras': 0, 'total': 1}",0,0.0,0.0,0.0,0.0,0,0,0,0,1,0,1,Nepal,Belfast,2015-07-13,male,T20,0,Ireland,wickets,8,0,0,0,0,KJ O'Brien,20,Nepal,Ireland,Ireland,field,"Civil Service Cricket Club, Stormont"
1.5,AK Mandal,CA Young,0,Sagar Pun,"{'batsman': 1, 'extras': 0, 'total': 1}",0,0.0,0.0,0.0,0.0,0,0,0,0,1,0,1,Nepal,Belfast,2015-07-13,male,T20,0,Ireland,wickets,8,0,0,0,0,KJ O'Brien,20,Nepal,Ireland,Ireland,field,"Civil Service Cricket Club, Stormont"
1.6,Sagar Pun,CA Young,{'noballs': 1},AK Mandal,"{'batsman': 0, 'extras': 1, 'total': 1}",0,0.0,1.0,0.0,0.0,0,0,0,0,0,1,1,Nepal,Belfast,2015-07-13,male,T20,0,Ireland,wickets,8,0,0,0,0,KJ O'Brien,20,Nepal,Ireland,Ireland,field,"Civil Service Cricket Club, Stormont"
1.7,Sagar Pun,CA Young,0,AK Mandal,"{'batsman': 4, 'extras': 0, 'total': 4}",0,0.0,0.0,0.0,0.0,0,0,0,0,4,0,4,Nepal,Belfast,2015-07-13,male,T20,0,Ireland,wickets,8,0,0,0,0,KJ O'Brien,20,Nepal,Ireland,Ireland,field,"Civil Service Cricket Club, Stormont"
