delivery,batsman,bowler,extras_dict,non_striker,runs_dict,wicket_dict,wides,noballs,legbyes,byes,penalty,kind,player_out,fielders,runs,extras,total,team,city,date,gender,match_type,neutral_venue,winner,winType,winMargin,result,resultHow,resultTeam,non_boundary,ManOfMatch,overs,team1,team2,tossWinner,tossDecision,venue
0.1,RD Berrington,TGJ Gruijters,0,CS MacLeod,"{'batsman': 0, 'extras': 0, 'total': 0}",0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,Scotland,Abu Dhabi,2013-11-28,male,T20,1,Netherlands,wickets,8,0,0,0,0,W Barresi,20,Netherlands,Scotland,Scotland,bat,Sheikh Zayed Stadium
0.2,RD Berrington,TGJ Gruijters,{'wides': 1},CS MacLeod,"{'batsman': 0, 'extras': 1, 'total': 1}",0,1.0,0.0,0.0,0.0,0,0,0,0,0,1,1,Scotland,Abu Dhabi,2013-11-28,male,T20,1,Netherlands,wickets,8,0,0,0,0,W Barresi,20,Netherlands,Scotland,Scotland,bat,Sheikh Zayed Stadium
0.3,RD Berrington,TGJ Gruijters,0,CS MacLeod,"{'batsman': 0, 'extras': 0, 'total': 0}","{'kind': 'bowled', 'player_out': 'RD Berrington'}",0.0,0.0,0.0,0.0,0,bowled,RD Berrington,0,0,0,0,Scotland,Abu Dhabi,2013-11-28,male,T20,1,Netherlands,wickets,8,0,0,0,0,W Barresi,20,Netherlands,Scotland,Scotland,bat,Sheikh Zayed Stadium
0.4,MW Machan,TGJ Gruijters,0,CS MacLeod,"{'batsman': 0, 'extras': 0, 'total': 0}",0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,Scotland,Abu Dhabi,2013-11-28,male,T20,1,Netherlands,wickets,8,0,0,0,0,W Barresi,20,Netherlands,Scotland,Scotland,bat,Sheikh Zayed Stadium
0.5,MW Machan,TGJ Gruijters,0,CS MacLeod,"{'batsman': 0, 'extras': 0, 'total': 0}",0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,Scotland,Abu Dhabi,2013-11-28,male,T20,1,Netherlands,wickets,8,0,0,0,0,W Barresi,20,Netherlands,Scotland,Scotland,bat,Sheikh Zayed Stadium
0.6,MW Machan,TGJ Gruijters,0,CS MacLeod,"{'batsman': 0, 'extras': 0, 'total': 0}",0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,Scotland,Abu Dhabi,2013-11-28,male,T20,1,Netherlands,wickets,8,0,0,0,0,W Barresi,20,Netherlands,Scotland,Scotland,bat,Sheikh Zayed Stadium
0.7,MW Machan,TGJ Gruijters,0,CS MacLeod,"{'batsman': 0, 'extras': 0, 'total': 0}",0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,Scotland,Abu Dhabi,2013-11-28,male,T20,1,Netherlands,wickets,8,0,0,0,0,W Barresi,20,Netherlands,Scotland,Scotland,bat,Sheikh Zayed Stadium
1.1,CS MacLeod,Mudassar Bukhari,0,MW Machan,"{'batsman': 0, 'extras': 0, 'total': 0}","{'kind': 'bowled', 'player_out': 'CS MacLeod'}",0.0,0.0,0.0,0.0,0,bowled,CS MacLeod,0,0,0,0,Scotland,Abu Dhabi,2013-11-28,male,T20,1,Netherlands,wickets,8,0,0,0,0,W Barresi,20,Netherlands,Scotland,Scotland,bat,Sheikh Zayed Stadium
1.2,MA Leask,Mudassar Bukhari,0,MW Machan,"{'batsman': 0, 'extras': 0, 'total': 0}",0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,Scotland,Abu Dhabi,2013-11-28,male,T20,1,Netherlands,wickets,8,0,0,0,0,W Barresi,20,Netherlands,Scotland,Scotland,bat,Sheikh Zayed Stadium
1.3,MA Leask,Mudassar Bukhari,0,MW Machan,"{'batsman': 0, 'extras': 0, 'total': 0}",0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,Scotland,Abu Dhabi,2013-11-28,male,T20,1,Netherlands,wickets,8,0,0,0,0,W Barresi,20,Netherlands,Scotland,Scotland,bat,Sheikh Zayed Stadium
