delivery,batsman,bowler,extras_dict,non_striker,runs_dict,wicket_dict,wides,noballs,legbyes,byes,penalty,kind,player_out,fielders,runs,extras,total,team,city,date,gender,match_type,neutral_venue,winner,winType,winMargin,result,resultHow,resultTeam,non_boundary,ManOfMatch,overs,team1,team2,tossWinner,tossDecision,venue
0.1,Faizan Asif,Mudassar Bukhari,0,Mohammad Shahzad (2),"{'batsman': 0, 'extras': 0, 'total': 0}",0,0.0,0,0.0,0,0,0,0,0,0,0,0,United Arab Emirates,Edinburgh,2015-07-12,male,T20,1,Netherlands,wickets,7,0,0,0,0,RE van der Merwe,20,Netherlands,United Arab Emirates,Netherlands,field,"Grange Cricket Club Ground, Raeburn Place"
0.2,Faizan Asif,Mudassar Bukhari,0,Mohammad Shahzad (2),"{'batsman': 4, 'extras': 0, 'total': 4}",0,0.0,0,0.0,0,0,0,0,0,4,0,4,United Arab Emirates,Edinburgh,2015-07-12,male,T20,1,Netherlands,wickets,7,0,0,0,0,RE van der Merwe,20,Netherlands,United Arab Emirates,Netherlands,field,"Grange Cricket Club Ground, Raeburn Place"
0.3,Faizan Asif,Mudassar Bukhari,0,Mohammad Shahzad (2),"{'batsman': 4, 'extras': 0, 'total': 4}",0,0.0,0,0.0,0,0,0,0,0,4,0,4,United Arab Emirates,Edinburgh,2015-07-12,male,T20,1,Netherlands,wickets,7,0,0,0,0,RE van der Merwe,20,Netherlands,United Arab Emirates,Netherlands,field,"Grange Cricket Club Ground, Raeburn Place"
0.4,Faizan Asif,Mudassar Bukhari,{'wides': 1},Mohammad Shahzad (2),"{'batsman': 0, 'extras': 1, 'total': 1}",0,1.0,0,0.0,0,0,0,0,0,0,1,1,United Arab Emirates,Edinburgh,2015-07-12,male,T20,1,Netherlands,wickets,7,0,0,0,0,RE van der Merwe,20,Netherlands,United Arab Emirates,Netherlands,field,"Grange Cricket Club Ground, Raeburn Place"
0.5,Faizan Asif,Mudassar Bukhari,0,Mohammad Shahzad (2),"{'batsman': 1, 'extras': 0, 'total': 1}",0,0.0,0,0.0,0,0,0,0,0,1,0,1,United Arab Emirates,Edinburgh,2015-07-12,male,T20,1,Netherlands,wickets,7,0,0,0,0,RE van der Merwe,20,Netherlands,United Arab Emirates,Netherlands,field,"Grange Cricket Club Ground, Raeburn Place"
0.6,Mohammad Shahzad (2),Mudassar Bukhari,0,Faizan Asif,"{'batsman': 0, 'extras': 0, 'total': 0}",0,0.0,0,0.0,0,0,0,0,0,0,0,0,United Arab Emirates,Edinburgh,2015-07-12,male,T20,1,Netherlands,wickets,7,0,0,0,0,RE van der Merwe,20,Netherlands,United Arab Emirates,Netherlands,field,"Grange Cricket Club Ground, Raeburn Place"
0.7,Mohammad Shahzad (2),Mudassar Bukhari,0,Faizan Asif,"{'batsman': 4, 'extras': 0, 'total': 4}",0,0.0,0,0.0,0,0,0,0,0,4,0,4,United Arab Emirates,Edinburgh,2015-07-12,male,T20,1,Netherlands,wickets,7,0,0,0,0,RE van der Merwe,20,Netherlands,United Arab Emirates,Netherlands,field,"Grange Cricket Club Ground, Raeburn Place"
1.1,Faizan Asif,T van der Gugten,0,Mohammad Shahzad (2),"{'batsman': 1, 'extras': 0, 'total': 1}",0,0.0,0,0.0,0,0,0,0,0,1,0,1,United Arab Emirates,Edinburgh,2015-07-12,male,T20,1,Netherlands,wickets,7,0,0,0,0,RE van der Merwe,20,Netherlands,United Arab Emirates,Netherlands,field,"Grange Cricket Club Ground, Raeburn Place"
1.2,Mohammad Shahzad (2),T van der Gugten,0,Faizan Asif,"{'batsman': 1, 'extras': 0, 'total': 1}",0,0.0,0,0.0,0,0,0,0,0,1,0,1,United Arab Emirates,Edinburgh,2015-07-12,male,T20,1,Netherlands,wickets,7,0,0,0,0,RE van der Merwe,20,Netherlands,United Arab Emirates,Netherlands,field,"Grange Cricket Club Ground, Raeburn Place"
1.3,Faizan Asif,T van der Gugten,0,Mohammad Shahzad (2),"{'batsman': 0, 'extras': 0, 'total': 0}",0,0.0,0,0.0,0,0,0,0,0,0,0,0,United Arab Emirates,Edinburgh,2015-07-12,male,T20,1,Netherlands,wickets,7,0,0,0,0,RE van der Merwe,20,Netherlands,United Arab Emirates,Netherlands,field,"Grange Cricket Club Ground, Raeburn Place"
