delivery,batsman,bowler,extras_dict,non_striker,runs_dict,wicket_dict,wides,noballs,legbyes,byes,penalty,kind,player_out,fielders,runs,extras,total,team,city,date,gender,match_type,neutral_venue,winner,winType,winMargin,result,resultHow,resultTeam,non_boundary,ManOfMatch,overs,team1,team2,tossWinner,tossDecision,venue
0.1,BB McCullum,SW Tait,{'legbyes': 4},PJ Ingram,"{'batsman': 0, 'extras': 4, 'total': 4}",0,0.0,0.0,4.0,0,0,0,0,0,0,4,4,New Zealand,Christchurch,2010-02-28,male,T20,0,0,0,0,tie,eliminator,New Zealand,0,BB McCullum,20,New Zealand,Australia,New Zealand,bat,AMI Stadium
0.2,BB McCullum,SW Tait,0,PJ Ingram,"{'batsman': 0, 'extras': 0, 'total': 0}",0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,New Zealand,Christchurch,2010-02-28,male,T20,0,0,0,0,tie,eliminator,New Zealand,0,BB McCullum,20,New Zealand,Australia,New Zealand,bat,AMI Stadium
0.3,BB McCullum,SW Tait,0,PJ Ingram,"{'batsman': 4, 'extras': 0, 'total': 4}",0,0.0,0.0,0.0,0,0,0,0,0,4,0,4,New Zealand,Christchurch,2010-02-28,male,T20,0,0,0,0,tie,eliminator,New Zealand,0,BB McCullum,20,New Zealand,Australia,New Zealand,bat,AMI Stadium
0.4,BB McCullum,SW Tait,0,PJ Ingram,"{'batsman': 1, 'extras': 0, 'total': 1}",0,0.0,0.0,0.0,0,0,0,0,0,1,0,1,New Zealand,Christchurch,2010-02-28,male,T20,0,0,0,0,tie,eliminator,New Zealand,0,BB McCullum,20,New Zealand,Australia,New Zealand,bat,AMI Stadium
0.5,PJ Ingram,SW Tait,{'wides': 1},BB McCullum,"{'batsman': 0, 'extras': 1, 'total': 1}",0,1.0,0.0,0.0,0,0,0,0,0,0,1,1,New Zealand,Christchurch,2010-02-28,male,T20,0,0,0,0,tie,eliminator,New Zealand,0,BB McCullum,20,New Zealand,Australia,New Zealand,bat,AMI Stadium
0.6,PJ Ingram,SW Tait,0,BB McCullum,"{'batsman': 0, 'extras': 0, 'total': 0}",0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,New Zealand,Christchurch,2010-02-28,male,T20,0,0,0,0,tie,eliminator,New Zealand,0,BB McCullum,20,New Zealand,Australia,New Zealand,bat,AMI Stadium
0.7,PJ Ingram,SW Tait,0,BB McCullum,"{'batsman': 0, 'extras': 0, 'total': 0}","{'kind': 'bowled', 'player_out': 'PJ Ingram'}",0.0,0.0,0.0,0,0,bowled,PJ Ingram,0,0,0,0,New Zealand,Christchurch,2010-02-28,male,T20,0,0,0,0,tie,eliminator,New Zealand,0,BB McCullum,20,New Zealand,Australia,New Zealand,bat,AMI Stadium
1.1,BB McCullum,DP Nannes,0,MJ Guptill,"{'batsman': 6, 'extras': 0, 'total': 6}",0,0.0,0.0,0.0,0,0,0,0,0,6,0,6,New Zealand,Christchurch,2010-02-28,male,T20,0,0,0,0,tie,eliminator,New Zealand,0,BB McCullum,20,New Zealand,Australia,New Zealand,bat,AMI Stadium
1.2,BB McCullum,DP Nannes,0,MJ Guptill,"{'batsman': 3, 'extras': 0, 'total': 3}",0,0.0,0.0,0.0,0,0,0,0,0,3,0,3,New Zealand,Christchurch,2010-02-28,male,T20,0,0,0,0,tie,eliminator,New Zealand,0,BB McCullum,20,New Zealand,Australia,New Zealand,bat,AMI Stadium
1.3,MJ Guptill,DP Nannes,0,BB McCullum,"{'batsman': 1, 'extras': 0, 'total': 1}",0,0.0,0.0,0.0,0,0,0,0,0,1,0,1,New Zealand,Christchurch,2010-02-28,male,T20,0,0,0,0,tie,eliminator,New Zealand,0,BB McCullum,20,New Zealand,Australia,New Zealand,bat,AMI Stadium
