delivery,batsman,bowler,extras_dict,non_striker,runs_dict,wicket_dict,wides,noballs,legbyes,byes,penalty,kind,player_out,fielders,runs,extras,total,team,city,date,gender,match_type,neutral_venue,winner,winType,winMargin,result,resultHow,resultTeam,non_boundary,ManOfMatch,overs,team1,team2,tossWinner,tossDecision,venue
0.1,CM Edwards,FL Mackay,0,LA Marsh,"{'batsman': 3, 'extras': 0, 'total': 3}",0,0.0,0.0,0.0,0,0,0,0,0,3,0,3,England,Auckland,2012-02-22,female,T20,0,England,runs,10,0,0,0,0,JL Gunn,20,New Zealand,England,New Zealand,field,Eden Park
0.2,LA Marsh,FL Mackay,0,CM Edwards,"{'batsman': 0, 'extras': 0, 'total': 0}","{'fielders': ['SJ McGlashan'], 'kind': 'caught', 'player_out': 'LA Marsh'}",0.0,0.0,0.0,0,0,caught,LA Marsh,['SJ McGlashan'],0,0,0,England,Auckland,2012-02-22,female,T20,0,England,runs,10,0,0,0,0,JL Gunn,20,New Zealand,England,New Zealand,field,Eden Park
0.3,SJ Taylor,FL Mackay,{'noballs': 1},CM Edwards,"{'batsman': 1, 'extras': 1, 'total': 2}",0,0.0,1.0,0.0,0,0,0,0,0,1,1,2,England,Auckland,2012-02-22,female,T20,0,England,runs,10,0,0,0,0,JL Gunn,20,New Zealand,England,New Zealand,field,Eden Park
0.4,CM Edwards,FL Mackay,0,SJ Taylor,"{'batsman': 0, 'extras': 0, 'total': 0}",0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,England,Auckland,2012-02-22,female,T20,0,England,runs,10,0,0,0,0,JL Gunn,20,New Zealand,England,New Zealand,field,Eden Park
0.5,CM Edwards,FL Mackay,0,SJ Taylor,"{'batsman': 0, 'extras': 0, 'total': 0}",0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,England,Auckland,2012-02-22,female,T20,0,England,runs,10,0,0,0,0,JL Gunn,20,New Zealand,England,New Zealand,field,Eden Park
0.6,CM Edwards,FL Mackay,0,SJ Taylor,"{'batsman': 1, 'extras': 0, 'total': 1}",0,0.0,0.0,0.0,0,0,0,0,0,1,0,1,England,Auckland,2012-02-22,female,T20,0,England,runs,10,0,0,0,0,JL Gunn,20,New Zealand,England,New Zealand,field,Eden Park
0.7,SJ Taylor,FL Mackay,0,CM Edwards,"{'batsman': 0, 'extras': 0, 'total': 0}",0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,England,Auckland,2012-02-22,female,T20,0,England,runs,10,0,0,0,0,JL Gunn,20,New Zealand,England,New Zealand,field,Eden Park
1.1,CM Edwards,RH Candy,0,SJ Taylor,"{'batsman': 0, 'extras': 0, 'total': 0}","{'fielders': ['LMM Tahuhu'], 'kind': 'caught', 'player_out': 'CM Edwards'}",0.0,0.0,0.0,0,0,caught,CM Edwards,['LMM Tahuhu'],0,0,0,England,Auckland,2012-02-22,female,T20,0,England,runs,10,0,0,0,0,JL Gunn,20,New Zealand,England,New Zealand,field,Eden Park
1.2,SJ Taylor,RH Candy,0,LS Greenway,"{'batsman': 0, 'extras': 0, 'total': 0}",0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,England,Auckland,2012-02-22,female,T20,0,England,runs,10,0,0,0,0,JL Gunn,20,New Zealand,England,New Zealand,field,Eden Park
1.3,SJ Taylor,RH Candy,{'wides': 1},LS Greenway,"{'batsman': 0, 'extras': 1, 'total': 1}",0,1.0,0.0,0.0,0,0,0,0,0,0,1,1,England,Auckland,2012-02-22,female,T20,0,England,runs,10,0,0,0,0,JL Gunn,20,New Zealand,England,New Zealand,field,Eden Park
1.4,SJ Taylor,RH Candy,0,LS Greenway,"{'batsman': 0, 'extras': 0, 'total': 0}",0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,England,Auckland,2012-02-22,female,T20,0,England,runs,10,0,0,0,0,JL Gunn,20,New Zealand,England,New Zealand,field,Eden Park
1.5,SJ Taylor,RH Candy,0,LS Greenway,"{'batsman': 2, 'extras': 0, 'total': 2}",0,0.0,0.0,0.0,0,0,0,0,0,2,0,2,England,Auckland,2012-02-22,female,T20,0,England,runs,10,0,0,0,0,JL Gunn,20,New Zealand,England,New Zealand,field,Eden Park
1.6,SJ Taylor,RH Candy,0,LS Greenway,"{'batsman': 0, 'extras': 0, 'total': 0}",0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,England,Auckland,2012-02-22,female,T20,0,England,runs,10,0,0,0,0,JL Gunn,20,New Zealand,England,New Zealand,field,Eden Park
1.7,SJ Taylor,RH Candy,{'wides': 1},LS Greenway,"{'batsman': 0, 'extras': 1, 'total': 1}",0,1.0,0.0,0.0,0,0,0,0,0,0,1,1,England,Auckland,2012-02-22,female,T20,0,England,runs,10,0,0,0,0,JL Gunn,20,New Zealand,England,New Zealand,field,Eden Park
1.8,SJ Taylor,RH Candy,0,LS Greenway,"{'batsman': 0, 'extras': 0, 'total': 0}",0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,England,Auckland,2012-02-22,female,T20,0,England,runs,10,0,0,0,0,JL Gunn,20,New Zealand,England,New Zealand,field,Eden Park
2.1,LS Greenway,FL Mackay,0,SJ Taylor,"{'batsman': 0, 'extras': 0, 'total': 0}",0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,England,Auckland,2012-02-22,female,T20,0,England,runs,10,0,0,0,0,JL Gunn,20,New Zealand,England,New Zealand,field,Eden Park
2.2,LS Greenway,FL Mackay,0,SJ Taylor,"{'batsman': 1, 'extras': 0, 'total': 1}",0,0.0,0.0,0.0,0,0,0,0,0,1,0,1,England,Auckland,2012-02-22,female,T20,0,England,runs,10,0,0,0,0,JL Gunn,20,New Zealand,England,New Zealand,field,Eden Park
2.3,SJ Taylor,FL Mackay,0,LS Greenway,"{'batsman': 1, 'extras': 0, 'total': 1}",0,0.0,0.0,0.0,0,0,0,0,0,1,0,1,England,Auckland,2012-02-22,female,T20,0,England,runs,10,0,0,0,0,JL Gunn,20,New Zealand,England,New Zealand,field,Eden Park
2.4,LS Greenway,FL Mackay,0,SJ Taylor,"{'batsman': 0, 'extras': 0, 'total': 0}",0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,England,Auckland,2012-02-22,female,T20,0,England,runs,10,0,0,0,0,JL Gunn,20,New Zealand,England,New Zealand,field,Eden Park
2.5,LS Greenway,FL Mackay,0,SJ Taylor,"{'batsman': 0, 'extras': 0, 'total': 0}","{'fielders': ['FL Mackay'], 'kind': 'run out', 'player_out': 'SJ Taylor'}",0.0,0.0,0.0,0,0,run out,SJ Taylor,['FL Mackay'],0,0,0,England,Auckland,2012-02-22,female,T20,0,England,runs,10,0,0,0,0,JL Gunn,20,New Zealand,England,New Zealand,field,Eden Park
2.6,LS Greenway,FL Mackay,0,A Brindle,"{'batsman': 0, 'extras': 0, 'total': 0}","{'fielders': ['SW Bates', 'KJ Martin'], 'kind': 'run out', 'player_out': 'A Brindle'}",0.0,0.0,0.0,0,0,run out,A Brindle,"['SW Bates', 'KJ Martin']",0,0,0,England,Auckland,2012-02-22,female,T20,0,England,runs,10,0,0,0,0,JL Gunn,20,New Zealand,England,New Zealand,field,Eden Park
3.1,LS Greenway,RH Candy,0,TT Beaumont,"{'batsman': 0, 'extras': 0, 'total': 0}",0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,England,Auckland,2012-02-22,female,T20,0,England,runs,10,0,0,0,0,JL Gunn,20,New Zealand,England,New Zealand,field,Eden Park
3.2,LS Greenway,RH Candy,0,TT Beaumont,"{'batsman': 0, 'extras': 0, 'total': 0}",0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,England,Auckland,2012-02-22,female,T20,0,England,runs,10,0,0,0,0,JL Gunn,20,New Zealand,England,New Zealand,field,Eden Park
3.3,LS Greenway,RH Candy,{'wides': 1},TT Beaumont,"{'batsman': 0, 'extras': 1, 'total': 1}",0,1.0,0.0,0.0,0,0,0,0,0,0,1,1,England,Auckland,2012-02-22,female,T20,0,England,runs,10,0,0,0,0,JL Gunn,20,New Zealand,England,New Zealand,field,Eden Park
3.4,LS Greenway,RH Candy,0,TT Beaumont,"{'batsman': 0, 'extras': 0, 'total': 0}",0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,England,Auckland,2012-02-22,female,T20,0,England,runs,10,0,0,0,0,JL Gunn,20,New Zealand,England,New Zealand,field,Eden Park
3.5,LS Greenway,RH Candy,0,TT Beaumont,"{'batsman': 0, 'extras': 0, 'total': 0}",0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,England,Auckland,2012-02-22,female,T20,0,England,runs,10,0,0,0,0,JL Gunn,20,New Zealand,England,New Zealand,field,Eden Park
3.6,LS Greenway,RH Candy,0,TT Beaumont,"{'batsman': 1, 'extras': 0, 'total': 1}",0,0.0,0.0,0.0,0,0,0,0,0,1,0,1,England,Auckland,2012-02-22,female,T20,0,England,runs,10,0,0,0,0,JL Gunn,20,New Zealand,England,New Zealand,field,Eden Park
3.7,TT Beaumont,RH Candy,0,LS Greenway,"{'batsman': 0, 'extras': 0, 'total': 0}",0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,England,Auckland,2012-02-22,female,T20,0,England,runs,10,0,0,0,0,JL Gunn,20,New Zealand,England,New Zealand,field,Eden Park
4.1,LS Greenway,KE Broadmore,0,TT Beaumont,"{'batsman': 1, 'extras': 0, 'total': 1}",0,0.0,0.0,0.0,0,0,0,0,0,1,0,1,England,Auckland,2012-02-22,female,T20,0,England,runs,10,0,0,0,0,JL Gunn,20,New Zealand,England,New Zealand,field,Eden Park
4.2,TT Beaumont,KE Broadmore,0,LS Greenway,"{'batsman': 1, 'extras': 0, 'total': 1}",0,0.0,0.0,0.0,0,0,0,0,0,1,0,1,England,Auckland,2012-02-22,female,T20,0,England,runs,10,0,0,0,0,JL Gunn,20,New Zealand,England,New Zealand,field,Eden Park
4.3,LS Greenway,KE Broadmore,0,TT Beaumont,"{'batsman': 0, 'extras': 0, 'total': 0}",0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,England,Auckland,2012-02-22,female,T20,0,England,runs,10,0,0,0,0,JL Gunn,20,New Zealand,England,New Zealand,field,Eden Park
4.4,LS Greenway,KE Broadmore,0,TT Beaumont,"{'batsman': 4, 'extras': 0, 'total': 4}",0,0.0,0.0,0.0,0,0,0,0,0,4,0,4,England,Auckland,2012-02-22,female,T20,0,England,runs,10,0,0,0,0,JL Gunn,20,New Zealand,England,New Zealand,field,Eden Park
4.5,LS Greenway,KE Broadmore,0,TT Beaumont,"{'batsman': 0, 'extras': 0, 'total': 0}",0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,England,Auckland,2012-02-22,female,T20,0,England,runs,10,0,0,0,0,JL Gunn,20,New Zealand,England,New Zealand,field,Eden Park
4.6,LS Greenway,KE Broadmore,0,TT Beaumont,"{'batsman': 1, 'extras': 0, 'total': 1}",0,0.0,0.0,0.0,0,0,0,0,0,1,0,1,England,Auckland,2012-02-22,female,T20,0,England,runs,10,0,0,0,0,JL Gunn,20,New Zealand,England,New Zealand,field,Eden Park
